combo_id,name_ru,who,description_ru,required_item_ids,optional_item_ids,forbidden_item_ids,image_refs,confidence,prompt_hint
CMB001,Бедный мужчина летом,бедный горожанин или подёнщик,"Небелёная грубая сорочица, простые порты, тканый/кожаный пояс и недорогая кожаная обувь. Износ и заплаты допустимы, но не театральные лохмотья.",GM002 | GM004 | AC002 | FW001,AC008 | AC009 | HW005 | FW016,ANTI001 | ANTI002 | ANTI003 | ANTI005 | ANTI009,IMG_SHEET_08,B,"poor male townsman, Novgorod around 1230, coarse undyed plant-fiber shirt, simple trousers, narrow woven belt, leather porshni, practical wear and repairs, no fantasy"
CMB002,Бедный мужчина зимой,"бедный горожанин, подёнщик или сельский работник","Грубая сорочица, шерстяные порты, простая шерстяная верхняя одежда, овчинный кожух, компактная меховая шапка, тёплые стельки/носки и поршни либо мягкая обувь.",GM002 | GM005 | GM008 | HW003 | FW013 | FW001,GM006 | FW015 | AC036 | GM012,ANTI006 | ANTI012 | ANTI016 | ANTI017,IMG_SHEET_07 | IMG_SHEET_08,B,"poor Novgorod man in winter around 1230, sheepskin coat fur inward, compact fur cap, wool trousers, felt insoles, simple leather shoes, muted natural colors"
CMB003,Городской ремесленник,"сапожник, кожевник, плотник или иной мастер","Сорочица, порты, шерстяной верхний слой, простой пояс с ножом и одним-двумя инструментами; рабочий передник только по профессии.",GM001 | GM004 | GM003 | AC001 | AC008 | AC009 | FW002,GM014 | GM015 | AC013 | AC031 | AC032 | HW001,ANTI003 | ANTI004 | ANTI009,IMG_SHEET_08,B,"urban craftsman in Veliky Novgorod around 1230, layered linen and wool clothing, narrow leather belt, small utility knife, one profession-specific tool, practical leather shoes"
CMB004,Подёнщик,наёмный работник физического труда,"Максимально простой комплект: грубая рубаха, порты, пояс, поршни или дешёвые мягкие туфли, при непогоде плотная накидка.",GM002 | GM004 | AC002 | FW001,GM012 | HW005 | AC037,ANTI003 | ANTI005 | ANTI009 | ANTI012,IMG_SHEET_08,B,"day laborer, Novgorod around 1230, coarse undyed shirt, simple trousers, leather porshni, no jewelry, no picturesque rags, realistic working posture"
CMB005,Рыбак или лодочник летом,городской/прибрежный рыбак и лодочник,"Рабочая рубаха, порты, поясной нож, чехол или сумка, практичная мягкая обувь; сетевые грузила и снасти находятся у работы, а не как декор.",GM002 | GM004 | AC001 | AC033 | FW002,GM013 | GM014 | AC034 | AC035 | AC038,ANTI004 | ANTI005 | ANTI009,IMG_SHEET_08,B,"Novgorod fisherman or boatman around 1230, coarse linen shirt, simple trousers, utility knife, practical leather shoes, net weights and fishing gear, damp working environment"
CMB006,Рыбак или лодочник зимой,рыбак на зимней реке или лодочник в холодный сезон,"Тёплые порты, шерстяные слои, кожух, меховая шапка, шерстяные носки/стельки; на льду — съёмные ледоходные шипы. Детализация исходной уверенности: A–B.",GM005 | GM003 | GM008 | HW003 | FW015 | FW018,AC036 | GM012 | AC033,ANTI006 | ANTI012 | ANTI016,IMG_SHEET_01 | IMG_SHEET_07,B,"winter fisherman on frozen Volkhov region around 1230, layered wool, sheepskin coat fur inward, compact fur cap, leather footwear with iron ice cleats"
CMB007,Крестьянин Новгородской земли летом,сельский земледелец/хозяин,"Грубая растительная рубаха, порты, простой пояс, поршни или мягкая кожаная обувь; головная повязка/шапка по погоде.",GM002 | GM004 | AC002 | FW001,HW001 | HW005 | AC008 | AC009,ANTI002 | ANTI003 | ANTI005 | ANTI009,IMG_SHEET_08,B,"rural man of Novgorod Land around 1230, coarse undyed shirt and trousers, narrow woven belt, leather footwear, restrained practical appearance"
CMB008,Крестьянин Новгородской земли зимой,сельский житель зимой,"Растительная сорочица, шерстяные порты, верхняя шерстяная одежда, овчинный кожух, меховая шапка, обмотки и тёплая обувь.",GM002 | GM005 | GM003 | GM008 | HW003 | FW013,GM006 | FW015 | AC036 | FW001,ANTI006 | ANTI012 | ANTI017,IMG_SHEET_07 | IMG_SHEET_08,B,"Novgorod Land peasant in winter around 1230, layered wool and sheepskin, muted brown and gray, compact fur cap, warm leather footwear"
CMB009,Охотник или промысловик,"лесной охотник, сборщик меха, промысловик","Плотная шерсть, порты, высокий охотничий сапог либо полуботинок с обмоткой, дорожный плащ, поясной нож, лук или копьё по задаче; мех — добыча/утеплитель, не фэнтезийная шкура.",GM003 | GM004 | GM012 | AC033 | FW008,GM013 | GM008 | AR027 | AR028 | AR029 | AR019 | AC035 | AC012,ANTI007 | ANTI012 | ANTI004,IMG_SHEET_05 | IMG_SHEET_08,B,"forest hunter from Novgorod Land around 1230, dense wool layers, high soft leather hunting boots, utility knife, simple bow or light spear, no barbarian fur fantasy"
CMB010,Купец в городе,новгородский купец среднего/высокого достатка,"Качественная сорочица, тонкая шерстяная верхняя одежда или свита, аккуратный пояс, кошель, мягкие туфли/сапоги, компактная шапка; статус — через ткань и чистоту, не чрезмерное золото.",GM001 | GM016 | AC004 | AC011 | FW003 | HW001,GM010 | AC024 | AC040 | FW005 | GM017,ANTI001 | ANTI003 | ANTI006 | ANTI009,IMG_SHEET_08,B,"prosperous Novgorod merchant around 1230, fine wool overgarment, clean linen underlayer, small bronze buckle, leather purse, quality soft shoes, restrained status"
CMB011,Купец в зимней дороге,купец с обозом или в санном/речном пути,"Тёплые шерстяные слои, тканью покрытая шуба или качественный кожух, дорожный плащ, меховая шапка, сапоги с носками/стельками, тобол и торговый набор.",GM001 | GM005 | GM009 | GM012 | HW004 | FW007 | FW015 | AC012,AC040 | AC036 | FW018 | AC038,ANTI006 | ANTI012 | ANTI016,IMG_SHEET_07 | IMG_SHEET_08,B,"Novgorod merchant traveling in winter around 1230, cloth-covered fur coat, dense wool cloak, compact fur-trimmed cap, soft leather boots, travel bag, restrained wealth"
CMB012,Зажиточный горожанин,"владелец усадьбы, приказчик, состоятельный мастер","Качественная шерстяная одежда, бронзовая пряжка/небольшой поясной набор, кошель, украшенная обувь и хороший плащ.",GM001 | GM016 | AC004 | AC011 | FW005,GM010 | AC005 | AC024 | HW004,ANTI001 | ANTI003 | ANTI006 | ANTI009,IMG_SHEET_08,B,"well-to-do Novgorod townsman around 1230, fine wool clothing, bronze buckle, small purse, decorated but practical leather shoes, no later Muscovite costume"
CMB013,Боярин вне боя,представитель новгородской знати,"Тонкая окрашенная шерсть, небольшая шёлковая кайма, качественный плащ, статусный пояс и обувь; одно-два дорогих украшения. Не позднемосковский боярин.",GM016 | GM017 | GM010 | AC005 | FW006 | HW004,GM009 | AC024 | AC027 | AC018,ANTI001 | ANTI006 | ANTI009 | ANTI020,IMG_SHEET_08,B,"Novgorod boyar around 1230, fine naturally dyed wool, narrow silk trim, quality cloak and belt fittings, refined leather footwear, restrained elite jewelry, no 17th-century boyar stereotypes"
CMB014,Дружинник вне боя,профессиональный воин в городе/лагере без надетого доспеха,"Качественная шерстяная одежда, пояс с ножом и мечевым подвесом, сапоги, плащ; кольчуга и шлем могут лежать рядом, а не носиться постоянно.",GM001 | GM003 | AC001 | AC008 | AC010 | FW007,GM010 | AR020 | AR021 | HW001 | AC035,ANTI004 | ANTI009 | ANTI018,IMG_SHEET_05 | IMG_SHEET_08,B,"Novgorod druzhinnik off duty around 1230, layered linen and wool, sword belt and boots, mail and helmet nearby rather than constantly worn, no fantasy leather armor"
CMB015,Дружинник в бою,профессиональный пеший или конный дружинник,"Текстильный поддоспешный слой, кольчуга, шлем, щит, копьё или меч, поясной нож; комплект индивидуален и не унифицирован. Детализация исходной уверенности: A–B.",AR001 | AR003 | AR008 | AR014 | AR017 | AC008,AR005 | AR006 | AR020 | AR021 | AR023 | FW020,ANTI004 | ANTI010 | ANTI011 | ANTI018 | ANTI019,IMG_SHEET_05,B,"professional Novgorod druzhinnik in battle around 1230, mail shirt, conical iron helmet, shield, spear and side sword, individual equipment, no plate armor, no horned helmet"
CMB016,Ополченец,"городской или сельский мужчина, призванный к обороне","Обычная одежда, щит, копьё или рабочий/боевой топор, поясной нож; шлем возможен, кольчуга — только у обеспеченного.",GM001 | GM004 | AC001 | AC008 | AR017 | AR013,AR008 | AR022 | AR003 | AR036,ANTI009 | ANTI010 | ANTI011 | ANTI018,IMG_SHEET_05,B,"Novgorod militia man around 1230, ordinary civilian wool and linen clothing, simple shield and spear or practical axe, maybe a simple helmet, mail only if prosperous"
CMB017,Конный воин,профессиональный всадник дружинного круга,"Кольчуга, шлем, щит, конное копьё и меч; сапоги со шпорами, седло, узда и стремена. Конь без поздней полной брони. Детализация исходной уверенности: A–B.",AR003 | AR009 | AR014 | AR018 | AR020 | FW007 | FW020 | AR032 | AR033 | AR034,AR006 | AR011 | AR035 | AR036,ANTI010 | ANTI011 | ANTI018 | ANTI019,IMG_SHEET_05,B,"mounted Novgorod warrior around 1230, mail armor, spheroconical helmet, lance, sword, soft leather boots with small spurs, medieval saddle and bridle, no horse plate armor"
CMB018,Лучник,воин или промысловый стрелок,"Шерстяная одежда, поясной нож, лук, стрелы и колчан; лёгкий шлем/щит возможны у военного лучника, но не обязательны.",GM003 | GM004 | AC008 | AR027 | AR028 | AR029,AR008 | AR013 | AR030 | GM012,ANTI004 | ANTI009 | ANTI010,IMG_SHEET_05,B,"Novgorod archer around 1230, practical wool clothing, simple historical bow, natural-feather arrows, side quiver, small utility knife, no fantasy archery gear"
CMB019,Воин зимой,дружинник или ополченец в зимнем походе/дозоре,"Тёплые слои под/вместо доспеха, меховой верхний слой в лагере, шерстяные носки и стельки, плащ. В бою доспех остаётся функциональным, а не утопленным в меху.",AR037 | FW015 | FW013 | AR036,AR003 | AR008 | AC036 | FW018,ANTI006 | ANTI010 | ANTI012 | ANTI018,IMG_SHEET_05 | IMG_SHEET_07,B,"Novgorod warrior in winter around 1230, layered wool, fur-lined outerwear off battle, mail and helmet functional, wool socks and felt insoles, muted colors"
CMB020,Священник в повседневной обстановке,православный приходской/городской священник,"Длинная скромная одежда из шерсти/льна, пояс, простая обувь, небольшой крест; не современная ряса и не парадное облачение. Детализация исходной уверенности: B–C.",CL001 | AC017 | FW002,GM010 | AC018 | HW001,ANTI001 | ANTI003 | ANTI006,IMG_SHEET_08,C,"Orthodox priest in Novgorod around 1230, modest long wool and linen robe, small cross, soft leather shoes, no modern cassock cut, no lavish liturgical vestments"
CMB021,Священник на литургии,православный священник во время богослужения,"Стихарь/нижний литургический слой, епитрахиль, мягко драпирующаяся фелонь и поручьи; ткань богата только по возможностям храма.",CL004 | CL005 | CL006 | CL007,AC017 | AC018,ANTI003 | ANTI009,IMG_SHEET_08,B,"Orthodox priest celebrating liturgy in Novgorod around 1230, soft-draped early phelonion, epitrachelion, light sticharion, restrained woven borders, no modern stiff vestments"
CMB022,Дьякон на литургии,православный дьякон,"Светлый стихарь и длинный орарь; простые литургические ткани, без позднего машинного декора.",CL004 | CL008,CL007 | AC017,ANTI003,IMG_SHEET_08,B,"Orthodox deacon in Novgorod around 1230, long light sticharion and narrow orarion, restrained handwoven borders, no modern vestment patterns"
CMB023,Монах или монахиня,насельник/насельница новгородского монастыря,"Длинная неброская шерстяная одежда, простой пояс, мантия и капюшон/покров; цвета натуральные тёмные, не обязательный абсолютный чёрный. Детализация исходной уверенности: B–C.",CL002 | CL003 | HW013 | FW002,AC017 | AC018 | GM012,ANTI003 | ANTI006 | ANTI009,IMG_SHEET_08,C,"Novgorod monastic around 1230, modest long undyed dark wool garment, simple mantle and hood, soft leather shoes, no modern standardized monastic uniform"
CMB024,Бедная женщина летом,бедная горожанка или работница,"Грубая длинная сорочица, простая шерстяная верхняя одежда или только рубаха дома, тканый пояс, мягкая кожаная обувь; минимум украшений.",GF002 | GF004 | AC002 | FW002,GF009 | HW007 | AC029,ANTI003 | ANTI005 | ANTI013 | ANTI014 | ANTI015 | ANTI020,IMG_SHEET_04 | IMG_SHEET_08,B,"poor Novgorod woman around 1230, long coarse plant-fiber underdress, simple wool overgarment, narrow woven belt, soft leather shoes, restrained head covering, no kokoshnik"
CMB025,Замужняя горожанка среднего достатка,взрослая замужняя женщина в городе,"Длинная сорочица, шерстяная верхняя одежда, нижний головной слой и покрывало, пояс, мягкие туфли; простые бусы/серьги по достатку.",GF001 | GF003 | HW006 | HW007 | AC001 | FW003,AC020 | AC021 | AC023 | GF006,ANTI003 | ANTI013 | ANTI014 | ANTI015 | ANTI020,IMG_SHEET_04,B,"married Novgorod townswoman around 1230, long linen underdress, wool overdress, low under-cap and linen veil covering hair, soft leather shoes, modest jewelry"
CMB026,Женщина среднего/зажиточного городского слоя,хозяйка городской усадьбы или жена мастера/купца,"Качественная шерсть, светлая сорочица, покрытый головной убор, бронзовая пряжка, бусы и серьги, украшенная обувь; без элитного золотого перегруза.",GF001 | GF005 | HW006 | HW007 | AC004 | FW005,AC020 | AC021 | AC023 | GF010 | GF006,ANTI013 | ANTI014 | ANTI015 | ANTI020,IMG_SHEET_04,B,"prosperous married Novgorod woman around 1230, fine wool long overgarment, light linen veil over low cap, bronze belt fitting, modest beads and earrings, decorated leather shoes"
CMB027,Знатная женщина,боярыня или женщина из княжеско-боярской среды,"Тонкая окрашенная шерсть, шёлковая кайма, сложнее устроенный покрытый головной убор, качественная обувь, серебряные украшения; колты/рясна или квадрифолий — только редкая альтернатива, не всё сразу.",GF001 | GF005 | GF010 | HW006 | HW007 | FW009,AC021 | AC023 | AC025 | AC026 | AC027 | GF007,ANTI001 | ANTI013 | ANTI014 | ANTI015 | ANTI020,IMG_SHEET_04,B,"noble Novgorod woman around 1230, fine naturally dyed wool, narrow silk trim, layered low head covering and veil, quality leather boots, restrained silver jewelry, one rare elite ornament at most"
CMB028,Незамужняя девушка,городская или сельская девушка до брака,"Длинная сорочица и шерстяная верхняя одежда, девичья лента/низкое очелье, одна-две косы, простые бусы или серьги; волосы открыты больше, чем у замужней.",GF001 | GF003 | HW010 | FW002,AC020 | AC021 | AC019 | AC002,ANTI003 | ANTI013 | ANTI014 | ANTI015 | ANTI020,IMG_SHEET_04,B,"unmarried Novgorod girl around 1230, long linen and wool layers, low woven headband, one or two braids, modest beads, soft leather shoes, no kokoshnik"
CMB029,Ремесленница или торговка,"городская женщина, занятая производством или продажей","Практичные длинные слои, покрытые волосы у замужней, пояс с кошелем/ключом/небольшим инструментом, передник по задаче, мягкая обувь.",GF002 | GF004 | HW007 | AC001 | FW002,GF009 | AC011 | AC013 | AC030 | AC039,ANTI003 | ANTI013 | ANTI014 | ANTI020,IMG_SHEET_04 | IMG_SHEET_08,B,"Novgorod craftswoman or market seller around 1230, practical long linen and wool clothing, covered hair if married, narrow belt with small purse or tool case, soft leather shoes"
CMB030,Женщина зимой,городская или сельская женщина в холодный сезон,"Длинная сорочица, шерстяная верхняя одежда, овчинный кожух/шуба, закрытый головной убор с компактной меховой шапкой, тёплые носки/стельки и сапоги/туфли.",GF001 | GF003 | GF008 | HW006 | HW011 | FW015 | FW013,GF014 | FW007 | AC036,ANTI006 | ANTI012 | ANTI013 | ANTI014 | ANTI016,IMG_SHEET_04 | IMG_SHEET_07,B,"Novgorod woman in winter around 1230, long wool layers, sheepskin coat fur inward, low covered head with compact fur cap, wool socks and soft leather boots"
CMB031,Мальчик,городской или сельский мальчик,"Детская рубаха, шерстяной верхний слой и по возрасту простые порты, поясок и детская кожаная обувь.",GC001 | GC002 | GC003 | GC006 | FW010,HW016 | AC029,ANTI002 | ANTI003 | ANTI009,IMG_SHEET_04,B,"boy in Novgorod around 1230, simple child-sized linen shirt, wool overgarment, basic trousers, narrow belt, soft child leather shoes, no miniature warrior costume"
CMB032,Девочка,городская или сельская девочка,"Детская длинная рубаха, шерстяной верхний слой, мягкая шапочка/лента по возрасту, детская кожаная обувь; минимум украшений.",GC001 | GC002 | FW010,HW016 | HW010 | GC006 | AC020,ANTI003 | ANTI013 | ANTI014 | ANTI020,IMG_SHEET_04,B,"girl in Novgorod around 1230, simple long child-sized linen and wool layers, soft cap or low ribbon, child leather shoes, very modest ornament"
CMB033,Ребёнок зимой,мальчик или девочка зимой,"Детская рубаха, шерстяной слой, меховой кожушок, простая меховая шапка, рукавицы и детская обувь с тёплой стелькой. Детализация исходной уверенности: B–C.",GC001 | GC002 | GC005 | HW017 | GC007 | FW013,FW010 | FW011 | GC004,ANTI006 | ANTI012 | ANTI016,IMG_SHEET_04 | IMG_SHEET_07,C,"child in Novgorod winter around 1230, layered wool, small sheepskin coat fur inward, compact fur cap, simple mittens and soft leather shoes, no modern snowsuit"
CMB034,Летний дорожный комплект,мужчина или женщина в недальней дороге,"Базовые льняные/шерстяные слои, плотный плащ при непогоде, пояс/сумка, практичная обувь, огниво и сосуд по необходимости.",GM001 | GM003 | GM012 | AC012 | FW004,AC035 | AC038 | AC008 | GM018,ANTI004 | ANTI009,IMG_SHEET_03 | IMG_SHEET_08,B,"traveler from Novgorod around 1230, layered linen and wool, dense practical cloak, shoulder bag, soft ankle shoes, small fire kit and travel necessities"
CMB035,Зимний дорожный комплект,"путник, купец, гонец или промысловик","Шерстяные слои, кожух/шуба, плотный дорожный плащ, меховая шапка, рукавицы, тёплые носки/стельки и сапоги; ледоходы — при движении по льду.",GM005 | GM008 | GM012 | HW003 | FW015 | FW013 | FW007 | AC012,AC036 | FW018 | GM018 | AC035,ANTI006 | ANTI012 | ANTI016,IMG_SHEET_07 | IMG_SHEET_08,B,"winter traveler in Novgorod Land around 1230, wool layers, sheepskin coat fur inward, dense cloak, compact fur cap, mittens, soft boots with wool socks"
CMB036,Готландский купец,сезонный купец с Готланда на торговом дворе,"Западно-/североевропейская туника, раздельные шерстяные шоссы, плащ на кольцевой броши, качественная обувь и импортная пряжка; христианский городской человек XIII века.",FR001 | FR002 | FR004 | FR008 | AC006 | FW003,FR003 | FR009 | AC011 | AC040,ANTI007 | ANTI009 | ANTI019,IMG_SHEET_06,B,"Gotland merchant in Novgorod around 1230, Christian north European urban dress, knee-length wool tunic, separate wool chausses, cloak with small ring brooch, quality soft shoes, no Viking-age costume"
CMB037,Немецкий купец,купец с Немецкого двора,"Западная шерстяная туника, шоссы, отдельный капюшон/плащ, западная пряжка, кошель и торговые инструменты; статус выражен тонким сукном.",FR001 | FR002 | AC006 | FW003 | AC011,FR003 | FR004 | FR009 | AC040,ANTI001 | ANTI007 | ANTI009 | ANTI019,IMG_SHEET_06,B,"German merchant at the Novgorod German Court around 1230, early 13th-century western wool tunic and chausses, small imported buckle, purse and merchant tools, no late Hanseatic fashion"
CMB038,Скандинавский приезжий или дружинный человек,"купец, охранник или воин из скандинавского мира","Костюм начала XIII в. близок североевропейскому христианскому: шерстяная туника, плащ, кольцевая брошь, мягкая обувь; оружие по роли. Никаких рогов и ранневикингского набора. Детализация исходной уверенности: B–C.",FR001 | FR004 | FR008 | FW004,FR012 | AR020 | AR017 | AC006,ANTI007 | ANTI011 | ANTI012,IMG_SHEET_06,C,"Scandinavian visitor in Novgorod around 1230, Christian early-13th-century northern European clothing, wool tunic and cloak with ring brooch, no Viking Age helmet, no fur barbarian stereotype"
CMB039,Балтийская приезжая,женщина из эстонского/ливонского/латгальского или близкого балтийского круга — конкретизировать по сцене,"Льняная сорочица, региональная шерстяная верхняя форма, спиральные/пластинчатые украшения и при обосновании булавки с цепью; точная этничность не выводится из одного украшения.",GF001 | FR005 | AC022 | FR007 | FW002,AC019 | AC028 | FR006 | AC020,ANTI003 | ANTI009 | ANTI014 | ANTI020,IMG_SHEET_06,C,"carefully reconstructed Baltic woman visiting Novgorod around 1230, linen underdress, regional wool wrap garment, restrained bronze spiral and band ornaments, explicitly non-fantasy, no modern folk costume"
CMB040,Финно-угорская приезжая из Новгородской земли,"водская, ижорская, карельская или чудская/эстонская женщина — выбрать одну группу","Региональный шерстяной и льняной комплект с отдельными бронзовыми украшениями; возможны шейная гривна, пластинчатые браслеты или спиральные детали, но не все сразу. Детализация исходной уверенности: B–C.",GF001 | GF003 | AC022 | FW002,FR005 | FR006 | FR007 | AC019 | AC020,ANTI003 | ANTI009 | ANTI014 | ANTI020,IMG_SHEET_06,C,"Finno-Ugric woman from the Novgorod frontier around 1230, linen and wool layers, one or two regionally grounded bronze ornaments, restrained and specific, no generic ethnic fantasy"
CMB041,Русский приезжий из другого княжества,"купец, посол, духовное или служилое лицо из другой русской земли","Базовый древнерусский комплект близок новгородскому; различие задаётся одним региональным украшением, типом пояса, обуви или воинской детали при отдельном источнике.",FR010 | GM001 | GM003 | FW002,GM010 | AC005 | AR020 | AC018,ANTI009 | ANTI001 | ANTI003,IMG_SHEET_06,B,"visitor from another Rus principality in Novgorod around 1230, broadly similar Rus linen-and-wool clothing with one source-based regional detail, no invented national uniform"
CMB042,Латинский клирик или паломник,западный священник/капеллан/паломник при торговом дворе,"Длинная западная шерстяная одежда, отдельный капюшон или плащ, простая обувь и крест; без позднего орденского театрального образа. Детализация исходной уверенности: B–C.",FR011 | FR003 | FW002 | AC017,FR004 | AC012,ANTI007 | ANTI009,IMG_SHEET_06,C,"Latin cleric or pilgrim at the Novgorod foreign court around 1230, modest early-13th-century western wool robe and hood, small cross, practical soft shoes, no late monastic stereotype"
CMB043,Иностранный дружинник/охранник,редкий приезжий профессиональный воин,"Базовый общеевропейский воинский комплект: шерстяные слои, кольчуга, шлем, щит и оружие с одной региональной деталью; не «экзотический наёмник».",FR012 | AR001 | AR003 | AR008 | AR013 | AR017,AR020 | FR008 | AC006 | AR015,ANTI007 | ANTI008 | ANTI010 | ANTI011 | ANTI018,IMG_SHEET_05 | IMG_SHEET_06,C,"foreign retainer in Novgorod around 1230, broadly European mail, simple iron helmet, shield and spear, one restrained regional fitting, no Viking or Mongol caricature"
CMB044,Архиепископ на литургии,новгородский архиепископ/епископ в богослужебной сцене,"Литургические слои с омофором; митра только в осторожной ранней форме. Богатство возможно, но иконографично и не превращается в позднее барочное облачение. Детализация исходной уверенности: B–C.",CL004 | CL005 | CL007 | CL009,HW014 | AC018 | GF010,ANTI001 | ANTI003 | ANTI006 | ANTI009,IMG_SHEET_08,C,"Archbishop of Novgorod in liturgy around 1230, early Orthodox vestments, omophorion over light sticharion, restrained silk borders, low early mitre only if used, no modern vestment cut"
CMB045,Бедная сельская женщина летом,крестьянка Новгородской земли,"Грубая длинная рубаха, простой шерстяной верхний слой по погоде, тканый пояс, покрывало замужней или лента девушки, кожаная обувь.",GF002 | GF004 | AC002 | FW001,HW007 | HW010 | GF009,ANTI003 | ANTI005 | ANTI013 | ANTI014 | ANTI015,IMG_SHEET_04,B,"poor rural woman of Novgorod Land around 1230, coarse long linen dress layer, simple wool overgarment, woven belt, leather porshni, restrained head covering, no later folk costume"
CMB046,Городская торговка среднего достатка,"женщина, продающая товар на рынке или управляющая лавкой","Практичный, но аккуратный женский комплект с покрытыми волосами, поясом, кошелем/ключом, качественной мягкой обувью и небольшими украшениями.",GF001 | GF003 | HW006 | HW007 | AC011 | FW003,AC039 | AC020 | AC021 | GF006,ANTI013 | ANTI014 | ANTI015 | ANTI020,IMG_SHEET_04 | IMG_SHEET_08,B,"Novgorod market woman around 1230, neat long wool and linen layers, covered hair, small purse and key, quality soft shoes, modest beads, practical urban realism"
