kn_id,kind,role_refs,topic,event_ref,carrier_rule,distortion_rule,text_pool_ref,source_refs,confidence,status
kn_rumor_rumor_road_mud_closed,rumor,возчики|проводники|купеческие спутники,Дорога стала непроходимой,generic_class:road,"who_spreads=возчики;проводники;купеческие спутники | where_heard=торг;погост;постоялый двор;переправа","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC","говорят, телеги вязнут по ступицу / кто вчера шёл, вернулся по темноте / через низину теперь лучше не соваться",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_road_mud_closed],C,candidate
kn_rumor_rumor_ford_shallow_or_deep,rumor,рыбаки|перевозчики|местные крестьяне,Брод изменился,generic_class:ford,"who_spreads=рыбаки;перевозчики;местные крестьяне | where_heard=брод;берег;погост;рыбацкий стан","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",брод будто ушёл под воду / старый переход теперь по грудь / ниже по течению ищут другое место,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_ford_shallow_or_deep],C,candidate
kn_rumor_rumor_ferry_refuses,rumor,перевозчики|страж переправы|путники,Перевозчик не берёт людей,generic_class:ferry,"who_spreads=перевозчики;страж переправы;путники | where_heard=перевоз;берег ожидания;торг","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC","перевозчик ворота закрыл / лодку берегут, вода дурная / чужих без старшего не сажают",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_ferry_refuses],C,candidate
kn_rumor_rumor_price_grain_high,rumor,торговцы|хозяйки|грузчики|нищие,Хлеб дорожает,generic_class:prices,"who_spreads=торговцы;хозяйки;грузчики;нищие | where_heard=торг;погост;двор;пристань","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC","муку держат в клетях / за зерно просят больше, чем на прошлой неделе / солью и рыбой уже не всякий берёт",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_price_grain_high],C,candidate
kn_rumor_rumor_salt_shortage,rumor,рыбаки|купцы|складские сторожа,Соль стала дорогой или редкой,generic_class:prices,"who_spreads=рыбаки;купцы;складские сторожа | where_heard=торг;пристань;рыбацкий стан","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",соль привезли мокрую и мало / без соли рыба портится / купец держит мешки до лучшей цены,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_salt_shortage],C,candidate
kn_rumor_rumor_famine_memory,rumor,старики|нищие|деревенские|женщины у колодца,Люди вспоминают голод,generic_class:famine,"who_spreads=старики;нищие;деревенские;женщины у колодца | where_heard=деревня;погост;городская окраина","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC","старики говорят, бывало хуже / крошки стали считать / у бедных дворов совсем тихо",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_famine_memory],C,candidate
kn_rumor_rumor_prince_arrival,rumor,стража|купцы|городские люди,Князь или княжий человек близко,generic_class:prince,"who_spreads=стража;купцы;городские люди | where_heard=ворота;торг;двор власти","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",княжьих людей видели на дороге / будто князь ждёт ответа от Новгорода / дружинники спрашивали о корме,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_prince_arrival],C,candidate
kn_rumor_rumor_posadnik_dispute,rumor,городские люди|слуги|торговцы,О посаднике спорят,generic_class:posadnik,"who_spreads=городские люди;слуги;торговцы | where_heard=торг;улица;боярский двор","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",на Торгу спорили о людях посадника / старшие не сходятся / у боярских ворот было многолюдно,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_posadnik_dispute],C,candidate
kn_rumor_rumor_vladyka_order,rumor,церковные люди|прихожане|писцы,Владыка что-то велел,generic_class:vladyka,"who_spreads=церковные люди;прихожане;писцы | where_heard=церковь;церковный двор;монастырь","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC","владычный человек приходил к попу / при церкви велели смотреть за чужими / говорят, письмо пришло",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_vladyka_order],C,candidate
kn_rumor_rumor_war_alarm_west,rumor,купцы|дружинники|проводники,Военная тревога с запада,generic_class:war,"who_spreads=купцы;дружинники;проводники | where_heard=дорога;торг;погост","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",с Псковской стороны тревожно / чужие люди у дороги / послы и дружинники ходят чаще,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_war_alarm_west],C,candidate
