id	scale_level	node_type	title	parent_node_id	region_cell_code	g1_type	place_template_id	evidence_status	status	confidence
gn_nov_g1_00_00	G1	region_cell	Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_00_00)		nov_g1_00_00	empty_wild		regional_typological	usable_with_caution	medium_low
gn_nov_g1_00_01	G1	region_cell	Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_00_01)		nov_g1_00_01	empty_wild		regional_typological	usable_with_caution	medium_low
gn_nov_g1_00_02	G1	region_cell	Шелонская западная лесо-пойменная ячейка (nov_g1_00_02)		nov_g1_00_02	dense_river_road		source_backed_corridor	usable_with_caution	medium_low
gn_nov_g1_00_03	G1	region_cell	Шелонская западная лесо-пойменная ячейка (nov_g1_00_03)		nov_g1_00_03	dense_river_road		source_backed_corridor	usable_with_caution	medium_low
gn_nov_g1_00_04	G1	region_cell	Центральная лесо-луговая сельская ячейка (nov_g1_00_04)		nov_g1_00_04	ordinary_rural		regional_typological	usable_with_caution	medium_low
gn_nov_g1_00_05	G1	region_cell	Северная лесная ячейка между Волховом и внутренними промысловыми зонами (nov_g1_00_05)		nov_g1_00_05	dense_river_road		regional_typological	usable_with_caution	medium_low
gn_nov_g1_00_06	G1	region_cell	Северная лесная ячейка между Волховом и внутренними промысловыми зонами (nov_g1_00_06)		nov_g1_00_06	dense_river_road		regional_typological	usable_with_caution	medium_low
gn_nov_g1_01_00	G1	region_cell	Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_01_00)		nov_g1_01_00	dense_river_road		source_backed_corridor	usable_with_caution	medium_low
gn_nov_g1_01_01	G1	region_cell	Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_01_01)		nov_g1_01_01	dense_river_road		source_backed_corridor	usable_with_caution	medium_low
gn_nov_g1_01_02	G1	region_cell	Приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_01_02)		nov_g1_01_02	dense_river_road		source_backed_corridor	usable_with_caution	medium
gn_nov_g1_01_03	G1	region_cell	Приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_01_03)		nov_g1_01_03	dense_river_road		source_backed_corridor	usable_with_caution	medium
gn_nov_g1_01_04	G1	region_cell	Поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_01_04)		nov_g1_01_04	dense_river_road		source_backed_rural_zone	usable_with_caution	medium
gn_nov_g1_01_05	G1	region_cell	Поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_01_05)		nov_g1_01_05	dense_river_road		source_backed_rural_zone	usable_with_caution	medium
gn_nov_g1_01_06	G1	region_cell	Северная лесная ячейка между Волховом и внутренними промысловыми зонами (nov_g1_01_06)		nov_g1_01_06	dense_river_road		regional_typological	usable_with_caution	medium_low
gn_nov_g1_02_00	G1	region_cell	Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_02_00)		nov_g1_02_00	dense_river_road		source_backed_corridor	usable_with_caution	medium_low
gn_nov_g1_02_01	G1	region_cell	Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_02_01)		nov_g1_02_01	dense_river_road		source_backed_corridor	usable_with_caution	medium_low
gn_nov_g1_02_02	G1	region_cell	Приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_02_02)		nov_g1_02_02	dense_river_road		source_backed_corridor	usable_with_caution	medium
gn_nov_g1_02_03	G1	region_cell	Западный Ильмень и шелонское устьевое побережье		nov_g1_02_03	dense_river_road		source_backed_corridor	usable_with_caution	medium
gn_nov_g1_02_04	G1	region_cell	Поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_02_04)		nov_g1_02_04	dense_river_road		source_backed_rural_zone	usable_with_caution	medium
gn_nov_g1_02_05	G1	region_cell	Поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_02_05)		nov_g1_02_05	dense_river_road		source_backed_rural_zone	usable_with_caution	medium
gn_nov_g1_02_06	G1	region_cell	Северная лесная ячейка между Волховом и внутренними промысловыми зонами (nov_g1_02_06)		nov_g1_02_06	dense_river_road		regional_typological	usable_with_caution	medium_low
gn_nov_g1_03_00	G1	region_cell	Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_03_00)		nov_g1_03_00	dense_river_road		source_backed_corridor	usable_with_caution	medium_low
gn_nov_g1_03_01	G1	region_cell	Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_03_01)		nov_g1_03_01	dense_river_road		source_backed_corridor	usable_with_caution	medium_low
gn_nov_g1_03_02	G1	region_cell	Руса (Старая Русса): южное Приильменье и соляной узел		nov_g1_03_02	urban_town		source_backed_anchor	usable_with_caution	medium
gn_nov_g1_03_03	G1	region_cell	Северный Ильмень и исток Волхова		nov_g1_03_03	dense_river_road		source_backed_anchor	usable_with_caution	medium_high
gn_nov_g1_03_04	G1	region_cell	Новгородская ячейка: исток Волхова и городская округа		nov_g1_03_04	urban_novgorod		source_backed_anchor	usable_with_caution	medium_high
gn_nov_g1_03_05	G1	region_cell	Поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_03_05)		nov_g1_03_05	dense_river_road		source_backed_rural_zone	usable_with_caution	medium
gn_nov_g1_03_06	G1	region_cell	Волховская северная речная ячейка (nov_g1_03_06)		nov_g1_03_06	dense_river_road		source_backed_corridor	usable_with_caution	medium
gn_nov_g1_04_00	G1	region_cell	Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_04_00)		nov_g1_04_00	empty_wild		regional_typological	usable_with_caution	medium_low
gn_nov_g1_04_01	G1	region_cell	Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_04_01)		nov_g1_04_01	empty_wild		regional_typological	usable_with_caution	medium_low
gn_nov_g1_04_02	G1	region_cell	Приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_04_02)		nov_g1_04_02	dense_river_road		source_backed_corridor	usable_with_caution	medium
gn_nov_g1_04_03	G1	region_cell	Восточный Ильмень и мстинское устьевое побережье		nov_g1_04_03	dense_river_road		source_backed_corridor	usable_with_caution	medium
gn_nov_g1_04_04	G1	region_cell	Восточная окологородская ячейка Волхова и монастырской округи		nov_g1_04_04	dense_river_road		source_backed_anchor	usable_with_caution	medium
gn_nov_g1_04_05	G1	region_cell	Волховская северная речная ячейка (nov_g1_04_05)		nov_g1_04_05	dense_river_road		source_backed_corridor	usable_with_caution	medium
gn_nov_g1_04_06	G1	region_cell	Волховская северная речная ячейка (nov_g1_04_06)		nov_g1_04_06	dense_river_road		source_backed_corridor	usable_with_caution	medium
gn_nov_g1_05_00	G1	region_cell	Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_05_00)		nov_g1_05_00	empty_wild		regional_typological	usable_with_caution	medium_low
gn_nov_g1_05_01	G1	region_cell	Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_05_01)		nov_g1_05_01	empty_wild		regional_typological	usable_with_caution	medium_low
gn_nov_g1_05_02	G1	region_cell	Центральная лесо-луговая сельская ячейка (nov_g1_05_02)		nov_g1_05_02	ordinary_rural		regional_typological	usable_with_caution	medium_low
gn_nov_g1_05_03	G1	region_cell	Приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_05_03)		nov_g1_05_03	dense_river_road		source_backed_corridor	usable_with_caution	medium
gn_nov_g1_05_04	G1	region_cell	Мстинская речная и сухопутная коридорная ячейка (nov_g1_05_04)		nov_g1_05_04	dense_river_road		source_backed_corridor	usable_with_caution	medium
gn_nov_g1_05_05	G1	region_cell	Северо-восточная лесо-болотная ячейка промысловой периферии (nov_g1_05_05)		nov_g1_05_05	empty_wild		regional_typological	usable_with_caution	medium_low
gn_nov_g1_05_06	G1	region_cell	Северо-восточная лесо-болотная ячейка промысловой периферии (nov_g1_05_06)		nov_g1_05_06	empty_wild		regional_typological	usable_with_caution	medium_low
gn_nov_g1_06_00	G1	region_cell	Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_06_00)		nov_g1_06_00	empty_wild		regional_typological	usable_with_caution	medium_low
