nm_id,name_ru,name_en,material_kind,category_code,scope,soil_ground_type,texture_ru,parent_material,perceptual_cues,moisture_regime,winter_ground_state,wet_trafficability,dig_difficulty,landscape_template_ids,source_refs,confidence,status
nm_ground_alluvial_silt_mud,Аллювиальный ил и супесь низкого берега,alluvial silt and sandy mud of a low bank,ground,natural_ground.alluvial_silt_mud,universal,alluvial_silt_mud,"ил, супесь, прослои песка",alluvial,"цвет: серый и серо-бурый, у воды темнее; запах: сырой речной ил, в тепло — тина; на ощупь/под ногой: липкий, чавкает под ногой, на сухом месте осыпается песком",wet_or_seasonal,промерзает; у кромки воды под снегом может оставаться мокрым,"вязко, скользко, следы глубокие",easy,lt_low_alluvial_riverbank,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",B,candidate
nm_ground_alluvial_silt_clay,Пойменный суглинок и глинистый наилок,floodplain silty clay loam,ground,natural_ground.alluvial_silt_clay,universal,alluvial_silt_clay,"суглинок, глинистый ил, местами песок",alluvial / lake-alluvial,"цвет: серо-бурый, сизый в мокрых западинах; запах: влажная земля, прелая трава; на ощупь/под ногой: вязкий и пластичный мокрым, растрескивается при сушке",seasonally_wet,промерзает плотной коркой; весной долго мокрый,"налипает на обувь и колёса, колеи держатся",medium,lt_alluvial_floodplain,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",B,candidate
nm_ground_firm_soil,Плотный минеральный грунт возвышенности,firm upland mineral soil,ground,natural_ground.firm_soil,universal,firm_soil,"супесь и суглинок, местами с галькой и валунами",moraine / fluvioglacial,"цвет: бурый под тёмным дёрном; запах: сухая земля, дёрн; на ощупь/под ногой: твёрдый, держит шаг, в сырость мягчает сверху",normal,промерзает до полуметра,проходим; в распутицу верх раскисает,medium,lt_gentle_hills,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)|Климат Новгородской области — trasa.ru (макс. глубина промерзания почв до 50 см; безморозный период 143 дня; распутица с начала апреля 20–30 дней). http://trasa.ru/region/novgorodskaya_clim.html",B,candidate
nm_ground_needle_litter_roots,Песчаный лесной грунт под хвойной подстилкой,sandy forest ground under needle litter,ground,natural_ground.needle_litter_roots,universal,needle_litter_roots,песок и супесь под слоем хвои и корней,fluvioglacial sand,"цвет: рыжеватая хвоя сверху, под ней пепельно-серый и жёлтый песок; запах: смолистая хвоя, сухой песок; на ощупь/под ногой: пружинит под ногой, корни цепляют",normal_or_wet,промерзает; под снегом и подстилкой мягче,"сырость уходит быстро, грязи мало",medium,lt_temperate_coniferous_forest,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)|wk:claim:residual-tree-pinus-sylvestris-dry-infertile-soils",C,candidate
nm_ground_wet_roots_mud,Сырой корнистый грунт низинного леса,wet root-bound lowland forest ground,ground,natural_ground.wet_roots_mud,universal,wet_roots_mud,"оглеенный суглинок, перегной, корни, местами торф",alluvial / organic,"цвет: чёрно-бурый, в ямах сизоватый; запах: прель, гниющий лист, болотная сырость; на ощупь/под ногой: мокрый, вязкий, под ногой проседает",wet,промерзает поздно; кочки твердеют раньше западин,"топко, вода стоит в следах",hard_roots,lt_wet_lowland_forest,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",C,candidate
nm_ground_mineral_mud_silt,Минеральный ил травяного болота,mineral marsh mud and silt,ground,natural_ground.mineral_mud_silt,universal,mineral_mud_silt,"ил, глинистый песок, растительный детрит",lacustrine / alluvial,"цвет: тёмно-серый до чёрного; запах: тина, болотный газ при разрытии; на ощупь/под ногой: засасывает ногу, холодный",waterlogged,"поверхность промерзает, под коркой может оставаться вода",непроходимо без настила в тёплое время,easy_waterlogged,lt_freshwater_marsh,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",B,candidate
nm_ground_alluvial_mud_roots,Пойменный наилок с корнями и листовой подстилкой,root-bound alluvial mud with leaf litter,ground,natural_ground.alluvial_mud_roots,universal,alluvial_mud_roots,"суглинистый наилок, песок, корни, опад",alluvial,"цвет: бурый, сверху прошлогодний лист; запах: прелый лист, речной ил; на ощупь/под ногой: мягкий, сверху шуршит подстилка",seasonally_wet,промерзает; в половодье заливается,"грязно в низинах, на гривках суше",medium_roots,lt_wooded_floodplain,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",B,candidate
nm_ground_podzolic_litter_roots,Подзолистый лесной грунт смешанного леса,podzolic mixed-forest ground,ground,natural_ground.podzolic_litter_roots,universal,podzolic_litter_roots,"супесь и суглинок, светлый подзолистый слой под подстилкой",moraine / fluvioglacial,"цвет: бурая подстилка, под ней белёсый слой, ниже бурый; запах: лесная подстилка, грибная сырость; на ощупь/под ногой: мягкий сверху, плотнее вглубь",normal_or_wet,промерзает до полуметра,сыро в понижениях,medium_roots,lt_boreal_mixed_forest,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",C,candidate
nm_ground_podzolic_soil_moss_roots,Подзолистый грунт под мхом таёжного леса,podzolic ground under forest moss,ground,natural_ground.podzolic_soil_moss_roots,universal,podzolic_soil_moss_roots,"супесь, песок, моховая подушка и корни",fluvioglacial / moraine,"цвет: зелёный мох сверху, под ним серо-белёсый песок; запах: мох, хвоя; на ощупь/под ногой: мох глушит шаг и держит влагу",normal_or_wet,промерзает под снегом неглубоко,"мох мокрый, но грунт держит",medium_roots,lt_boreal_taiga_coniferous_forest,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",C,candidate
nm_ground_needle_litter_roots_deadwood,Хвойная подстилка с валежником густого ельника,needle litter with deadwood of dense spruce forest,ground,natural_ground.needle_litter_roots_deadwood,universal,needle_litter_roots_deadwood,"хвоя, мох, гнилая древесина, песок и суглинок",moraine / fluvioglacial,"цвет: бурая хвоя, серые стволы валежа; запах: смола, гниль древесины; на ощупь/под ногой: рыхлый, трухлявые стволы ломаются под ногой",normal_or_wet,промерзает; снег в ельнике мельче,"идти мешает валежник, не грязь",hard_roots,lt_dense_coniferous_forest,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",C,candidate
