name	region_cell_code	place_template_id	name_status	evidence_status	rationale
Березье: охотничий стан	nov_g1_00_00	pt_hunting_camp	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Лужицы: двор	nov_g1_00_00	pt_isolated_farmstead	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхнее Селище: зимовье	nov_g1_00_00	pt_wintering_hut	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхний Наволок: охотничий стан	nov_g1_00_01	pt_hunting_camp	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхняя Глинка: двор	nov_g1_00_01	pt_isolated_farmstead	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхние Луки: зимовье	nov_g1_00_01	pt_wintering_hut	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхний Ольшаник: пристань	nov_g1_00_02	pt_river_landing	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхнее Следово: брод	nov_g1_00_02	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхняя Каменка: село	nov_g1_00_02	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхнее Заречье: село	nov_g1_00_02	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Подборье: пристань	nov_g1_00_02	pt_river_landing	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхние Ручьи: деревня	nov_g1_00_02	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
