rm_id,route_template_id,name_ru,is_allowed,is_common,is_rare,generation_weight,generation_weight_basis,allowed_edge_types,compatible_landscape_template_ids,compatible_water_body_template_ids,compatible_place_template_ids,regional_limits_ru,game_use_ru,limits_ru,status,confidence,sources,source_refs,note
trm_novgorod_major_road,rt_major_road,Большая сухопутная дорога,True,True,False,30,unverified_llm_draft_no_stated_rule,"[""road"", ""corridor_segment""]","[""lt_gentle_hills"", ""lt_mesic_meadow"", ""lt_alluvial_floodplain""]",[],"[""pt_town"", ""pt_pogost_center"", ""pt_market_place"", ""pt_crossroads""]","Большой сухопутный путь только там, где есть региональный коридор; не прокладывать через болото без причины.","Связывает города, погосты, торги, переправы.",Это вспомогательная региональная связка с route_templates; источник истины о конкретном пути — graph_edges.,candidate,C,"[""src_route_he"", ""src_novgorod_wider_context""]",file:data/world-catalogs/novgorod/sources/nov-region-audit-v1/novgorod_region_route_guidance.tsv#rrtg_novgorod_major_road,В схеме нет region_route_templates; лист нужен как guidance для заполнения graph_edges и генерации маршрутов.
trm_novgorod_local_road,rt_local_road,Местная сухопутная дорога,True,True,True,70,unverified_llm_draft_no_stated_rule,"[""road"", ""path""]","[""lt_mesic_meadow"", ""lt_dry_meadow"", ""lt_gentle_hills"", ""lt_alluvial_floodplain""]",[],"[""pt_village"", ""pt_hamlet"", ""pt_pogost_center"", ""pt_market_place""]","Местные дороги между сельскими местами, погостами, пристанями.",Базовый тип сухопутной связи в освоенной зоне.,Это вспомогательная региональная связка с route_templates; источник истины о конкретном пути — graph_edges.,candidate,C,"[""src_route_he"", ""src_novgorod_wider_context""]",file:data/world-catalogs/novgorod/sources/nov-region-audit-v1/novgorod_region_route_guidance.tsv#rrtg_novgorod_local_road,В схеме нет region_route_templates; лист нужен как guidance для заполнения graph_edges и генерации маршрутов.
trm_novgorod_cart_track,rt_cart_track,Колейный хозяйственный путь,True,True,False,55,unverified_llm_draft_no_stated_rule,"[""road"", ""path""]","[""lt_mesic_meadow"", ""lt_wet_meadow"", ""lt_alluvial_floodplain"", ""lt_boreal_mixed_forest""]",[],"[""pt_village"", ""pt_estate_center"", ""pt_forest_work_camp""]","Колейность и грязь задавать модификаторами, не отдельным шаблоном.","Хозяйственный путь возов, сена, леса, рыбы.",Это вспомогательная региональная связка с route_templates; источник истины о конкретном пути — graph_edges.,candidate,C,"[""src_route_he""]",file:data/world-catalogs/novgorod/sources/nov-region-audit-v1/novgorod_region_route_guidance.tsv#rrtg_novgorod_cart_track,В схеме нет region_route_templates; лист нужен как guidance для заполнения graph_edges и генерации маршрутов.
trm_novgorod_path,rt_path,Пешая тропа,True,True,True,85,unverified_llm_draft_no_stated_rule,"[""path""]",[],[],"[""pt_hamlet"", ""pt_village"", ""pt_hunting_camp"", ""pt_fishing_station""]",Обычная тропа; не требует дороги.,"Пешая связь, короткие переходы, местное знание.",Это вспомогательная региональная связка с route_templates; источник истины о конкретном пути — graph_edges.,candidate,C,"[""src_route_he""]",file:data/world-catalogs/novgorod/sources/nov-region-audit-v1/novgorod_region_route_guidance.tsv#rrtg_novgorod_path,В схеме нет region_route_templates; лист нужен как guidance для заполнения graph_edges и генерации маршрутов.
trm_novgorod_pack_animal_track,rt_pack_animal_track,Вьючная тропа,True,True,False,8,unverified_llm_draft_no_stated_rule,"[""path""]",[],[],"[""pt_crossroads"", ""pt_market_place""]",Редко как отдельный тип; чаще обычная тропа/дорога.,Вьючная тропа при перевозке груза без телеги.,Это вспомогательная региональная связка с route_templates; источник истины о конкретном пути — graph_edges.,candidate,C,"[""src_route_he""]",file:data/world-catalogs/novgorod/sources/nov-region-audit-v1/novgorod_region_route_guidance.tsv#rrtg_novgorod_pack_animal_track,В схеме нет region_route_templates; лист нужен как guidance для заполнения graph_edges и генерации маршрутов.
trm_novgorod_forest_track,rt_forest_track,Лесной ход,True,True,False,70,unverified_llm_draft_no_stated_rule,"[""forest_track"", ""path""]","[""lt_boreal_mixed_forest"", ""lt_boreal_taiga_coniferous_forest"", ""lt_dense_coniferous_forest"", ""lt_wet_lowland_forest""]",[],"[""pt_forest_work_camp"", ""pt_hunting_camp"", ""pt_wintering_hut""]",Только лесная среда; не городская улица.,"Промысловые ходы, лесные станы, зимовья.",Это вспомогательная региональная связка с route_templates; источник истины о конкретном пути — graph_edges.,candidate,C,"[""src_route_he"", ""src_novgorod_promysly""]",file:data/world-catalogs/novgorod/sources/nov-region-audit-v1/novgorod_region_route_guidance.tsv#rrtg_novgorod_forest_track,В схеме нет region_route_templates; лист нужен как guidance для заполнения graph_edges и генерации маршрутов.
trm_novgorod_offroad_crossing,rt_offroad_crossing,Переход без дороги,True,True,False,50,unverified_llm_draft_no_stated_rule,"[""offroad_crossing""]",[],[],[],Всегда требует landscape_template_id; повышенный риск в лесах/болотах.,Переход без дороги между ячейками.,Это вспомогательная региональная связка с route_templates; источник истины о конкретном пути — graph_edges.,candidate,C,"[""src_iucn_get"", ""src_route_he""]",file:data/world-catalogs/novgorod/sources/nov-region-audit-v1/novgorod_region_route_guidance.tsv#rrtg_novgorod_offroad_crossing,В схеме нет region_route_templates; лист нужен как guidance для заполнения graph_edges и генерации маршрутов.
trm_novgorod_wetland_causeway,rt_wetland_causeway,Гать / настил / дамбовая дорога через мокрую низину,True,True,False,12,unverified_llm_draft_no_stated_rule,"[""road"", ""path""]","[""lt_freshwater_marsh"", ""lt_fen"", ""lt_wooded_swamp"", ""lt_alluvial_floodplain""]",[],"[""pt_ford_place"", ""pt_bridge_place"", ""pt_village""]",Редко; только где есть настил/гать/дамба через мокрую низину.,Позволяет пройти через болото/пойму при местной инфраструктуре.,Это вспомогательная региональная связка с route_templates; источник истины о конкретном пути — graph_edges.,candidate,C,"[""src_route_he"", ""src_ramsar_wetlands""]",file:data/world-catalogs/novgorod/sources/nov-region-audit-v1/novgorod_region_route_guidance.tsv#rrtg_novgorod_wetland_causeway,В схеме нет region_route_templates; лист нужен как guidance для заполнения graph_edges и генерации маршрутов.
trm_novgorod_winter_road,rt_winter_road,Зимник / санный путь,True,True,False,65,unverified_llm_draft_no_stated_rule,"[""winter_road""]","[""lt_boreal_mixed_forest"", ""lt_alluvial_floodplain"", ""lt_raised_bog"", ""lt_fen""]","[""wb_small_river"", ""wb_medium_river"", ""wb_large_fresh_lake"", ""wb_floodwater""]","[""pt_village"", ""pt_pogost_center"", ""pt_wintering_hut""]",Только зимой/при устойчивом морозе; не круглогодичный путь.,"Санный путь по снегу, льду, болотам и замёрзшим водам.",Это вспомогательная региональная связка с route_templates; источник истины о конкретном пути — graph_edges.,candidate,C,"[""src_route_he"", ""src_ramsar_wetlands""]",file:data/world-catalogs/novgorod/sources/nov-region-audit-v1/novgorod_region_route_guidance.tsv#rrtg_novgorod_winter_road,В схеме нет region_route_templates; лист нужен как guidance для заполнения graph_edges и генерации маршрутов.
trm_novgorod_ford,rt_ford,Брод,True,True,False,45,unverified_llm_draft_no_stated_rule,"[""ford""]",[],"[""wb_brook"", ""wb_small_river"", ""wb_medium_river""]","[""pt_ford_place"", ""pt_village"", ""pt_crossroads""]",Брод не создаётся автоматически: нужна конкретная река и глубина/сезон.,Пересечение малых/средних водных препятствий.,Это вспомогательная региональная связка с route_templates; источник истины о конкретном пути — graph_edges.,candidate,C,"[""src_route_he"", ""src_ramsar_wetlands""]",file:data/world-catalogs/novgorod/sources/nov-region-audit-v1/novgorod_region_route_guidance.tsv#rrtg_novgorod_ford,В схеме нет region_route_templates; лист нужен как guidance для заполнения graph_edges и генерации маршрутов.
