state_id,name_ru,alt_names_ru,base_item_id,base_item_name_ru,base_family_key,state_or_composition,entity_kind_in_source_list,manufacturing_or_condition_state,description_ru,function,location_archetypes,context_anchor_item_ids,profession_ids,historical_confidence,evidence_basis,source_ids,generation_policy,party_state_rule,visual_prompt_hint,notes,deduplicated_candidate_item_id
STA0001,Мешок древесного угля,[],HOU0015,Мешок тканевый,charcoal_sack,composition,batch,packed,Вариант состояния или контекстного наполнения существующей вещи: перевозка и хранение кузнечного топлива. Не создаёт новый тип предмета и не меняет identity конкретного экземпляра.,перевозка и хранение кузнечного топлива,"[""forest"",""yard"",""hearth"",""forge"",""workshop"",""boat"",""construction_site""]","[""STR0013"",""ARC0031"",""INT0001"",""INT0010"",""INT0043"",""INT0044"",""INT0019""]","[""PRO0001"",""PRO0002"",""PRO0003"",""PRO0004"",""PRO0005"",""PRO0006"",""PRO0007"",""PRO0008"",""PRO0009"",""PRO0010"",""PRO0011"",""PRO0012"",""PRO0013"",""PRO0023"",""PRO0033"",""PRO0034"",""PRO0035"",""PRO0036"",""PRO0074"",""PRO0081""]",B,Хорошо подтверждаемая реконструкция по нескольким источникам; конкретная форма или сочетание не всегда найдено в одном закрытом комплексе около 1230 года.,"[""SRC005"",""SRC008"",""SRC032"",""SRC033"",""SRC045"",""SRC089"",""SRC103"",""SRC104""]",safe_with_explicit_context,apply to an existing instance as state/content/attachment; do not materialize a second canonical item type,existing item HOU0015 shown as мешок древесного угля; preserve base identity,"Содержимое, загрязнение, повреждение, намокание, заплата, упаковка или способ хранения принадлежат конкретному экземпляру и сцене.",
STA0002,Корзина древесного угля,[],HOU0016,Плетёная корзина,charcoal_basket,composition,batch,packed,Вариант состояния или контекстного наполнения существующей вещи: перенос небольшого запаса топлива. Не создаёт новый тип предмета и не меняет identity конкретного экземпляра.,перенос небольшого запаса топлива,"[""forest"",""yard"",""hearth"",""forge"",""workshop"",""boat"",""construction_site""]","[""STR0013"",""ARC0031"",""INT0001"",""INT0010"",""INT0043"",""INT0044"",""INT0019""]","[""PRO0001"",""PRO0002"",""PRO0003"",""PRO0004"",""PRO0005"",""PRO0006"",""PRO0007"",""PRO0008"",""PRO0009"",""PRO0010"",""PRO0011"",""PRO0012"",""PRO0013"",""PRO0023"",""PRO0033"",""PRO0034"",""PRO0035"",""PRO0036"",""PRO0074"",""PRO0081""]",B,Хорошо подтверждаемая реконструкция по нескольким источникам; конкретная форма или сочетание не всегда найдено в одном закрытом комплексе около 1230 года.,"[""SRC005"",""SRC008"",""SRC032"",""SRC033"",""SRC045"",""SRC089"",""SRC103"",""SRC104""]",safe_with_explicit_context,apply to an existing instance as state/content/attachment; do not materialize a second canonical item type,existing item HOU0016 shown as корзина древесного угля; preserve base identity,"Содержимое, загрязнение, повреждение, намокание, заплата, упаковка или способ хранения принадлежат конкретному экземпляру и сцене.",
STA0003,Сеть с налипшей травой и чешуёй,[],FSH0032,Рыболовная сеть из растительного волокна,fouled_net,composition,batch,fouled,Вариант состояния или контекстного наполнения существующей вещи: состояние после выборки улова. Не создаёт новый тип предмета и не меняет identity конкретного экземпляра.,состояние после выборки улова,"[""fishing_site"",""pier"",""boat"",""workshop"",""storehouse"",""hunting_camp""]","[""STR0010"",""STR0011"",""STR0012"",""ARC0031"",""INT0019"",""INT0044"",""ARC0018"",""ARC0026""]","[""PRO0058"",""PRO0059"",""PRO0060"",""PRO0061"",""PRO0062"",""PRO0063"",""PRO0064"",""PRO0065"",""PRO0066"",""PRO0067"",""PRO0068"",""PRO0105"",""PRO0106"",""PRO0107"",""PRO0108"",""PRO0109"",""PRO0110"",""PRO0111"",""PRO0112"",""PRO0113"",""PRO0114"",""PRO0115"",""PRO0116"",""PRO0117"",""PRO0118"",""PRO0119"",""PRO0120"",""PRO0121"",""PRO0122"",""PRO0123"",""PRO0124""]",A,"Прямые археологические, письменные или стратиграфически привязанные новгородские данные; запись допустима для обычной генерации в подходящем контексте.","[""SRC025"",""SRC039"",""SRC045"",""SRC103""]",safe_with_context,apply to an existing instance as state/content/attachment; do not materialize a second canonical item type,existing item FSH0032 shown as сеть с налипшей травой и чешуёй; preserve base identity,"Содержимое, загрязнение, повреждение, намокание, заплата, упаковка или способ хранения принадлежат конкретному экземпляру и сцене.",
STA0004,Мешок с подшитым донцем,[],HOU0015,Мешок тканевый,sack_reinforced_bottom,composition,container,repaired,Вариант состояния или контекстного наполнения существующей вещи: усиленная или ремонтированная тара. Не создаёт новый тип предмета и не меняет identity конкретного экземпляра.,усиленная или ремонтированная тара,"[""torg"",""storehouse"",""pier"",""boat"",""cart_or_sledge"",""urban_house"",""yard""]","[""STR0006"",""ARC0018"",""ARC0026"",""STR0010"",""STR0011"",""STR0012"",""ARC0020"",""ARC0021"",""INT0015"",""INT0019"",""STR0013"",""ARC0031""]","[""PRO0058"",""PRO0059"",""PRO0060"",""PRO0061"",""PRO0062"",""PRO0063"",""PRO0064"",""PRO0065"",""PRO0066"",""PRO0067"",""PRO0068"",""PRO0102"",""PRO0145"",""PRO0254"",""PRO0255"",""PRO0256"",""PRO0081"",""PRO0082"",""PRO0084"",""PRO0085"",""PRO0086"",""PRO0087"",""PRO0088"",""PRO0089"",""PRO0090"",""PRO0091"",""PRO0092"",""PRO0093"",""PRO0094"",""PRO0095"",""PRO0096"",""PRO0097"",""PRO0098"",""PRO0099"",""PRO0100"",""PRO0101""]",B,Хорошо подтверждаемая реконструкция по нескольким источникам; конкретная форма или сочетание не всегда найдено в одном закрытом комплексе около 1230 года.,"[""SRC008"",""SRC027"",""SRC039"",""SRC045"",""SRC050"",""SRC067"",""SRC091"",""SRC093"",""SRC096"",""SRC103""]",safe_with_explicit_context,apply to an existing instance as state/content/attachment; do not materialize a second canonical item type,existing item HOU0015 shown as мешок с подшитым донцем; preserve base identity,"Содержимое, загрязнение, повреждение, намокание, заплата, упаковка или способ хранения принадлежат конкретному экземпляру и сцене.",
STA0005,Мешок с большой заплатой,[],HOU0015,Мешок тканевый,patched_sack,composition,container,patched,Вариант состояния или контекстного наполнения существующей вещи: долго используемая тара. Не создаёт новый тип предмета и не меняет identity конкретного экземпляра.,долго используемая тара,"[""torg"",""storehouse"",""pier"",""boat"",""cart_or_sledge"",""urban_house"",""yard""]","[""STR0006"",""ARC0018"",""ARC0026"",""STR0010"",""STR0011"",""STR0012"",""ARC0020"",""ARC0021"",""INT0015"",""INT0019"",""STR0013"",""ARC0031""]","[""PRO0058"",""PRO0059"",""PRO0060"",""PRO0061"",""PRO0062"",""PRO0063"",""PRO0064"",""PRO0065"",""PRO0066"",""PRO0067"",""PRO0068"",""PRO0102"",""PRO0145"",""PRO0254"",""PRO0255"",""PRO0256"",""PRO0081"",""PRO0082"",""PRO0084"",""PRO0085"",""PRO0086"",""PRO0087"",""PRO0088"",""PRO0089"",""PRO0090"",""PRO0091"",""PRO0092"",""PRO0093"",""PRO0094"",""PRO0095"",""PRO0096"",""PRO0097"",""PRO0098"",""PRO0099"",""PRO0100"",""PRO0101""]",A,"Прямые археологические, письменные или стратиграфически привязанные новгородские данные; запись допустима для обычной генерации в подходящем контексте.","[""SRC008"",""SRC027"",""SRC039"",""SRC045"",""SRC050"",""SRC067"",""SRC091"",""SRC093"",""SRC096"",""SRC103""]",safe_with_context,apply to an existing instance as state/content/attachment; do not materialize a second canonical item type,existing item HOU0015 shown as мешок с большой заплатой; preserve base identity,"Содержимое, загрязнение, повреждение, намокание, заплата, упаковка или способ хранения принадлежат конкретному экземпляру и сцене.",
STA0006,Мешок с зашитой прорехой,[],HOU0015,Мешок тканевый,mended_sack,composition,container,repaired,Вариант состояния или контекстного наполнения существующей вещи: отремонтированная тара. Не создаёт новый тип предмета и не меняет identity конкретного экземпляра.,отремонтированная тара,"[""torg"",""storehouse"",""pier"",""boat"",""cart_or_sledge"",""urban_house"",""yard""]","[""STR0006"",""ARC0018"",""ARC0026"",""STR0010"",""STR0011"",""STR0012"",""ARC0020"",""ARC0021"",""INT0015"",""INT0019"",""STR0013"",""ARC0031""]","[""PRO0058"",""PRO0059"",""PRO0060"",""PRO0061"",""PRO0062"",""PRO0063"",""PRO0064"",""PRO0065"",""PRO0066"",""PRO0067"",""PRO0068"",""PRO0102"",""PRO0145"",""PRO0254"",""PRO0255"",""PRO0256"",""PRO0081"",""PRO0082"",""PRO0084"",""PRO0085"",""PRO0086"",""PRO0087"",""PRO0088"",""PRO0089"",""PRO0090"",""PRO0091"",""PRO0092"",""PRO0093"",""PRO0094"",""PRO0095"",""PRO0096"",""PRO0097"",""PRO0098"",""PRO0099"",""PRO0100"",""PRO0101""]",A,"Прямые археологические, письменные или стратиграфически привязанные новгородские данные; запись допустима для обычной генерации в подходящем контексте.","[""SRC008"",""SRC027"",""SRC039"",""SRC045"",""SRC050"",""SRC067"",""SRC091"",""SRC093"",""SRC096"",""SRC103""]",safe_with_context,apply to an existing instance as state/content/attachment; do not materialize a second canonical item type,existing item HOU0015 shown as мешок с зашитой прорехой; preserve base identity,"Содержимое, загрязнение, повреждение, намокание, заплата, упаковка или способ хранения принадлежат конкретному экземпляру и сцене.",
STA0007,Мешок с пришитой берестяной биркой,[],HOU0015,Мешок тканевый,sack_with_bark_tag,composition,packaging,labelled,Вариант состояния или контекстного наполнения существующей вещи: обозначение партии или владельца. Не создаёт новый тип предмета и не меняет identity конкретного экземпляра.,обозначение партии или владельца,"[""torg"",""storehouse"",""pier"",""boat"",""cart_or_sledge"",""urban_house"",""yard""]","[""STR0006"",""ARC0018"",""ARC0026"",""STR0010"",""STR0011"",""STR0012"",""ARC0020"",""ARC0021"",""INT0015"",""INT0019"",""STR0013"",""ARC0031""]","[""PRO0058"",""PRO0059"",""PRO0060"",""PRO0061"",""PRO0062"",""PRO0063"",""PRO0064"",""PRO0065"",""PRO0066"",""PRO0067"",""PRO0068"",""PRO0102"",""PRO0145"",""PRO0254"",""PRO0255"",""PRO0256"",""PRO0081"",""PRO0082"",""PRO0084"",""PRO0085"",""PRO0086"",""PRO0087"",""PRO0088"",""PRO0089"",""PRO0090"",""PRO0091"",""PRO0092"",""PRO0093"",""PRO0094"",""PRO0095"",""PRO0096"",""PRO0097"",""PRO0098"",""PRO0099"",""PRO0100"",""PRO0101""]",B,Хорошо подтверждаемая реконструкция по нескольким источникам; конкретная форма или сочетание не всегда найдено в одном закрытом комплексе около 1230 года.,"[""SRC008"",""SRC027"",""SRC039"",""SRC045"",""SRC050"",""SRC067"",""SRC091"",""SRC093"",""SRC096"",""SRC103""]",safe_with_explicit_context,apply to an existing instance as state/content/attachment; do not materialize a second canonical item type,existing item HOU0015 shown as мешок с пришитой берестяной биркой; preserve base identity,"Содержимое, загрязнение, повреждение, намокание, заплата, упаковка или способ хранения принадлежат конкретному экземпляру и сцене.",
STA0008,Корзина с выстилкой из ткани — состояние,[],HOU0016,Плетёная корзина,basket_cloth_lining,composition,packaging,lined,Вариант состояния или контекстного наполнения существующей вещи: перенос мелкого товара. Не создаёт новый тип предмета и не меняет identity конкретного экземпляра.,перенос мелкого товара,"[""workshop"",""storehouse"",""torg"",""pier"",""urban_house"",""yard"",""cellar""]","[""ARC0031"",""INT0019"",""INT0044"",""ARC0018"",""ARC0026"",""STR0006"",""STR0010"",""STR0011"",""STR0012"",""ARC0020"",""ARC0021"",""INT0015"",""STR0013""]","[""PRO0033"",""PRO0034"",""PRO0035"",""PRO0036"",""PRO0038"",""PRO0039"",""PRO0040"",""PRO0041"",""PRO0042"",""PRO0043"",""PRO0044"",""PRO0045"",""PRO0046"",""PRO0047"",""PRO0048"",""PRO0049"",""PRO0081"",""PRO0082"",""PRO0084"",""PRO0085"",""PRO0086"",""PRO0087"",""PRO0088"",""PRO0089"",""PRO0090"",""PRO0091"",""PRO0092"",""PRO0093"",""PRO0094"",""PRO0095"",""PRO0096"",""PRO0097"",""PRO0098"",""PRO0099"",""PRO0100"",""PRO0101""]",B,Хорошо подтверждаемая реконструкция по нескольким источникам; конкретная форма или сочетание не всегда найдено в одном закрытом комплексе около 1230 года.,"[""SRC005"",""SRC008"",""SRC027"",""SRC039"",""SRC045"",""SRC050"",""SRC067"",""SRC082"",""SRC103""]",safe_with_explicit_context,apply to an existing instance as state/content/attachment; do not materialize a second canonical item type,existing item HOU0016 shown as корзина с выстилкой из ткани — состояние; preserve base identity,"Содержимое, загрязнение, повреждение, намокание, заплата, упаковка или способ хранения принадлежат конкретному экземпляру и сцене.",
STA0009,Корзина с выстилкой из листьев — состояние,[],HOU0016,Плетёная корзина,basket_leaf_lining,composition,packaging,lined,Вариант состояния или контекстного наполнения существующей вещи: перенос пищи или влажного товара. Не создаёт новый тип предмета и не меняет identity конкретного экземпляра.,перенос пищи или влажного товара,"[""workshop"",""storehouse"",""torg"",""pier"",""urban_house"",""yard"",""cellar""]","[""ARC0031"",""INT0019"",""INT0044"",""ARC0018"",""ARC0026"",""STR0006"",""STR0010"",""STR0011"",""STR0012"",""ARC0020"",""ARC0021"",""INT0015"",""STR0013""]","[""PRO0033"",""PRO0034"",""PRO0035"",""PRO0036"",""PRO0038"",""PRO0039"",""PRO0040"",""PRO0041"",""PRO0042"",""PRO0043"",""PRO0044"",""PRO0045"",""PRO0046"",""PRO0047"",""PRO0048"",""PRO0049"",""PRO0081"",""PRO0082"",""PRO0084"",""PRO0085"",""PRO0086"",""PRO0087"",""PRO0088"",""PRO0089"",""PRO0090"",""PRO0091"",""PRO0092"",""PRO0093"",""PRO0094"",""PRO0095"",""PRO0096"",""PRO0097"",""PRO0098"",""PRO0099"",""PRO0100"",""PRO0101""]",B,Хорошо подтверждаемая реконструкция по нескольким источникам; конкретная форма или сочетание не всегда найдено в одном закрытом комплексе около 1230 года.,"[""SRC005"",""SRC008"",""SRC027"",""SRC039"",""SRC045"",""SRC050"",""SRC067"",""SRC082"",""SRC103""]",safe_with_explicit_context,apply to an existing instance as state/content/attachment; do not materialize a second canonical item type,existing item HOU0016 shown as корзина с выстилкой из листьев — состояние; preserve base identity,"Содержимое, загрязнение, повреждение, намокание, заплата, упаковка или способ хранения принадлежат конкретному экземпляру и сцене.",
STA0010,Ящик с внутренней берестяной прокладкой — состояние,[],TRD0042,Дощатый ящик,box_birch_lining,composition,packaging,lined,Вариант состояния или контекстного наполнения существующей вещи: защита содержимого от влаги и щелей. Не создаёт новый тип предмета и не меняет identity конкретного экземпляра.,защита содержимого от влаги и щелей,"[""workshop"",""storehouse"",""torg"",""pier"",""urban_house"",""yard"",""cellar""]","[""ARC0031"",""INT0019"",""INT0044"",""ARC0018"",""ARC0026"",""STR0006"",""STR0010"",""STR0011"",""STR0012"",""ARC0020"",""ARC0021"",""INT0015"",""STR0013""]","[""PRO0033"",""PRO0034"",""PRO0035"",""PRO0036"",""PRO0038"",""PRO0039"",""PRO0040"",""PRO0041"",""PRO0042"",""PRO0043"",""PRO0044"",""PRO0045"",""PRO0046"",""PRO0047"",""PRO0048"",""PRO0049"",""PRO0081"",""PRO0082"",""PRO0084"",""PRO0085"",""PRO0086"",""PRO0087"",""PRO0088"",""PRO0089"",""PRO0090"",""PRO0091"",""PRO0092"",""PRO0093"",""PRO0094"",""PRO0095"",""PRO0096"",""PRO0097"",""PRO0098"",""PRO0099"",""PRO0100"",""PRO0101""]",B,Хорошо подтверждаемая реконструкция по нескольким источникам; конкретная форма или сочетание не всегда найдено в одном закрытом комплексе около 1230 года.,"[""SRC005"",""SRC008"",""SRC027"",""SRC039"",""SRC045"",""SRC050"",""SRC067"",""SRC082"",""SRC103""]",safe_with_explicit_context,apply to an existing instance as state/content/attachment; do not materialize a second canonical item type,existing item TRD0042 shown as ящик с внутренней берестяной прокладкой — состояние; preserve base identity,"Содержимое, загрязнение, повреждение, намокание, заплата, упаковка или способ хранения принадлежат конкретному экземпляру и сцене.",
