npt_id,g4_ref,g4_short,layer,season_period,condition,requires,channel,clear_text,partial_text,loudness,member_ref,layer_class,source_refs,confidence,status
npt_central_current_split__surface__winter__snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,surface,winter,snow,ground_state=snow,visual,Низкий берег занесён ровным снегом; у самой воды из-под него проступает смёрзшийся ил.,Под ногами снег.,,,alluvial_silt_mud,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/surface|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/seasonal_phenomena.csv,C,candidate
npt_central_current_split__surface__winter__no_snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,surface,winter,no_snow,ground_state!=snow and season=winter,visual,"Ил у воды схвачен морозом, серые кочки грязи затвердели и хрустят.",Под ногами мёрзлая земля.,,,alluvial_silt_mud,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/surface|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/seasonal_phenomena.csv,C,candidate
npt_central_current_split__relief__winter__snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,relief,winter,snow,ground_state=snow,visual,"Низкий берег под снегом сливается со льдом реки, граница угадывается с трудом.",Берег едва различим.,,,bank_low,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/relief|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npt_central_current_split__relief__winter__no_snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,relief,winter,no_snow,ground_state!=snow and season=winter,visual,"Берег низкий, почти вровень с водой.",Берег низкий.,,,bank_low,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/relief|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npt_central_current_split__water_body__winter__ice,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,water_body,winter,ice,water_condition=ice,visual,"Протока стоит подо льдом; снег на нём ровный, только у стремнины лёд темнее.",Впереди лёд.,,,channel,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/water_body|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/seasonal_phenomena.csv,C,candidate
npt_central_current_split__bank_structure__winter__snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,bank_structure,winter,snow,ground_state=snow,visual,"Кромка берега вмёрзла в лёд, под снегом её не отличить от реки.",Различима кромка берега.,,,alluvial_silt_mud,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/bank_structure|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npt_central_current_split__bank_structure__winter__no_snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,bank_structure,winter,no_snow,ground_state!=snow and season=winter,visual,"Кромка берега вмёрзла в лёд, голая и мёрзлая; граница с рекой видна отчётливо.",Различима кромка берега.,,,alluvial_silt_mud,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/bank_structure|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npt_central_current_split__tree_layer__winter__snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,tree_layer,winter,snow,ground_state=snow,visual,Редкие деревья стоят по берегу; ивы стоят без листа.,Различимы очертания деревьев.,,,scattered_tree_cover,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/tree_layer|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|wk:claim:macro-b19-dried-willow-rods-can-be-moistened-for-flexible-basket-work|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json,C,candidate
npt_central_current_split__shrub_layer__winter__snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,shrub_layer,winter,snow,ground_state=snow,visual,Из снега торчат голые прутья кустарника.,Различим кустарник.,,,shrub_or_understory,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/shrub_layer|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npt_central_current_split__shrub_layer__winter__no_snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,shrub_layer,winter,no_snow,ground_state!=snow and season=winter,visual,Голые прутья кустарника чернеют на мёрзлой бесснежной земле.,Различим кустарник.,,,shrub_or_understory,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/shrub_layer|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npt_central_current_split__ground_cover__winter__snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,ground_cover,winter,snow,ground_state=snow,visual,"Трава и осока спрятаны под снегом, над ним качаются сухие метёлки.",Различим сухой травостой.,,,grass_sedge_and_shrub_cover,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/ground_cover|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npt_central_current_split__ground_cover__winter__no_snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,ground_cover,winter,no_snow,ground_state!=snow and season=winter,visual,"Сухая трава и осока побурели и полегли на мёрзлой голой земле, метёлки торчат над ней.",Различим сухой травостой.,,,grass_sedge_and_shrub_cover,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/ground_cover|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npt_central_current_split__riparian_vegetation__winter__snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,riparian_vegetation,winter,snow,ground_state=snow,visual,У воды из-под снега торчат сухие стебли и прутья. Над снегом видны голые ивовые прутья.,У воды различимы сухие стебли.,,,generic_riparian_or_wetland_cover,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/riparian_vegetation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npt_central_current_split__riparian_vegetation__winter__no_snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,riparian_vegetation,winter,no_snow,ground_state!=snow and season=winter,visual,"У воды стоят голые сухие стебли и прутья, земля вокруг мёрзлая. На мёрзлой земле стоят ивовые кусты.",У воды различимы сухие стебли.,,,generic_riparian_or_wetland_cover,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/riparian_vegetation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
