source_id	title	url	notes
src_novgorod_wider_context	Medieval Novgorod in its wider context	https://eprints.bournemouth.ac.uk/23438/1/01%20Novgorod%20IV.pdf	Rural hinterland, Poozerie, Lake Ilmen/Volkhov core, settlement concentration and resource use.
src_novgorod_promysly	Promysly v srednevekovom Novgorode po arkheologicheskim materialam	https://cyberleninka.ru/article/n/promysly-v-srednevekovom-novgorode-po-arheologicheskim-materialam	Fishing, hunting, beekeeping and other medieval Novgorod occupations from archaeological evidence.
src_novgorod_agriculture	Agricultural implements of medieval Novgorod: systematization, chronology	https://archaeologie.pro/en/archive/48/931/	Agricultural implements from Novgorod, 10th-15th centuries; used for arable/agricultural rule plausibility.
src_fish_feather_fur_forest	Fish, feather, fur and forest: exploitation of wild mammals in medieval Novgorod and its territory	https://eprints.bournemouth.ac.uk/24537/	Wild fauna/flora exploitation, woodland, flooded meadows, furs and fishing around Novgorod.
src_pogost_genesis	From the Centers of Settlement to the Centers of Power: genesis of churchyards in the west of the Novgorod land	https://www.e-anthropology.com/English/Catalog/History/STM_DWL_DwaX_2v4EpErfgTdO.aspx	Pogosts/churchyards as settlement-related administrative/fiscal/religious centers.
src_he_medieval_settlements	Historic England: Medieval settlements	https://historicengland.org.uk/images-books/publications/iha-medieval-settlements/heag210-medieval-settlements/	Comparative archaeological classification of farmsteads, hamlets, villages and seasonal/temporary abodes.
src_he_roads	Historic England: Pre-industrial roads, trackways and canals	https://historicengland.org.uk/images-books/publications/iha-preindustrial-roads-trackways-canals/heag224-pre-industrial-roads-trackways-canals/	Comparative terminology for engineered roads, trackways, causeways and crossings.
src_he_mills	Historic England: Mills	https://historicengland.org.uk/images-books/publications/iha-mills/heag212-mills/	Archaeological evidence for water- and wind-powered mills; watermills earlier and simpler than windmills.
src_he_salterns	Historic England: Pre-industrial salterns	https://historicengland.org.uk/images-books/publications/iha-preindustrial-salterns/heag225-pre-industrial-salterns/	Comparative archaeological basis for saltern/saltmaking places.
src_project_schema	Project world_base schema reference	local:/mnt/data/world_base_schema_reference.md	Defines region_place_generation_rules fields and shows the old narrow template_type check.
src_novgorod_region_templates	novgorod_region_template_links_v1	local:/mnt/data/novgorod_region_template_links_v1.xlsx	Allowed Novgorod landscape/water/land_use/place/route template links used for cross-reference validation.
