tg_id,name_ru,item_category_ref,direction,origin_region,season,practice_notes,source_refs,confidence
tg_fur_pelts,"Пушнина (мех, соболь, белка, куница и др.)","gap:raw_material.fur (ближайшая существующая: cat_item_material_fur_v1 — как свойство предмета, не как товарная категория)",export,"Обонежье, Заволочье, Двина, Вага, Корела",промысловый; зимнее качество ценится выше,"зависит от местных сборщиков дани и посредников; зимняя партия качественнее, риск подделки/подмены качества у ценного меха","sqlite:novgorod_1230(1)(1).economy(пушнина,A); wk:trade-economy-gap-closure-v1; tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_fur_squirrel,price_fur_marten",A
tg_wax,Воск,cat_item_material_wax_v1;cat_item_object_beeswax_v1,export,"лесные зоны, бортный промысел",сезон сбора (весна-осень),контроль качества и взвешивание у церкви Ивана на Опоках (эталон капи хранится в церкви); высокий спрос на Западе,"sqlite:novgorod_1230(1)(1).economy(воск,A); book:301539 §вощаный пуд эталон",A
tg_honey,Мёд,cat_item_object_honey_v1;cat_item_material_honey_v1,local;export,лесные зоны,сезон сбора (лето-осень),торговый товар и пищевой продукт одновременно,"sqlite:novgorod_1230(1)(1).economy(мёд,B); tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_honey",B
tg_hides_leather,Кожи / кожа выделанная,cat_item_material_leather_v1,export;local,город и округа,круглый год,"запах и загрязнение производства, кожевенные места вынесены за жилую застройку","sqlite:novgorod_1230(1)(1).economy(кожи,A); tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_leather",A
tg_fish,"Рыба (свежая, сушёная, солёная)",cat_item_object_fresh_fish_v1;cat_item_object_dried_fish_v1,local,"Ильмень, Волхов, Ловать, Мста, северные озёра",сезон промысла; свежая портится быстро,ключевой белок повседневного рациона; не заменяет зерно как основу питания,"sqlite:novgorod_1230(1)(1).economy(рыба,A); tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_fresh_fish,price_dried_fish",A
tg_salt,Соль,cat_item_material_salt_v1;cat_item_object_salt_v1,local;regional_export,Старая Русса,круглый год (топливоёмкое производство рассолов),цена зависит от доступности маршрутов; при блокаде дорог резко растёт,"sqlite:novgorod_1230(1)(1).economy(соль,A); tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_salt",A
tg_grain_rye,Зерно ржаное,"gap:raw_material.grain (ближайшая: cat_item_object_bread_v1 — готовый хлеб, не зерно)",local;import_in_shortage,Приильменье и Верхняя Волга,"дешевле после жатвы, дороже к весне",основа хлеба; особо уязвимо к морозу и блокаде подвоза (см. price_bands famine 1230-1231),"sqlite:novgorod_1230(1)(1).economy(зерно:рожь,A); tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_grain_rye",A
tg_grain_wheat,Пшеница,gap:raw_material.grain,import,южные и суздальские рынки,—,"дорогой хлеб, каша, церковные нужды; в 1230 г. цена резко выросла из-за неурожая (см. price_bands)","sqlite:novgorod_1230(1)(1).economy(пшеница,A)",A
tg_millet,Просо,gap:raw_material.grain,import,более тёплые южные зоны,—,крупа,"sqlite:novgorod_1230(1)(1).economy(просо,A)",A
tg_oats,Овёс,gap:raw_material.grain;gap:fodder,local;import,местная округа и импорт,—,"каша людям, корм коням","sqlite:novgorod_1230(1)(1).economy(овёс,A)",A
tg_barley,Ячмень,gap:raw_material.grain,local,местная округа,урожайность нестабильна год от года,"крупа, напитки, корм","sqlite:novgorod_1230(1)(1).economy(ячмень,B)",B
tg_flax,Лён,gap:raw_material.textile,local,ближняя округа,—,"полотно, нити, сети; трудоёмкая обработка","sqlite:novgorod_1230(1)(1).economy(лён,B)",B
