pf_id,wk_family_ref,name_ru,name_en,pf_kind,description_en,composes_with,layers_applicable,layers_not_applicable,layers_note,facet_ground,facet_use_people,facet_senses_traces,facet_risks_upkeep,facet_count,wk_claim_ref_count,wk_coverage,landscape_template_refs,land_use_template_refs,place_template_refs,water_body_template_refs,route_template_refs,template_refs_not_in_novgorod_candidate,templates_not_applicable,v6_g4_location_types,spatial_v3_scene_template_refs,master_location_archetypes,region_id,universal,source_refs,confidence,status,notes
pf_reality_batch_01_open_conditions,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=reality_batch_01_open_conditions],"Открытые условия (наложение): сырость, работа, животные, уход, грунт","Open conditions overlay (wetland, work, animals, care, ground)",overlay,"Open composition for established wetland, work, animal, care and ground conditions.",pf_town_street,,surface;relief;water_body;bank_structure;tree_layer;shrub_layer;ground_cover;riparian_vegetation;natural_materials,,"observed_conditions[21,supported]","observed_conditions[21,supported]","observed_conditions[21,supported]","observed_conditions[21,supported]",1,21,supported 1; partial 0,,,,,,,Composition overlay without its own ground; applies over another family (WK composes_with).,,stfv3__g5_general_hazard_v1@1,,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=reality_batch_01_open_conditions];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.reality_batch_01_open_conditions,C,candidate,
pf_reality_first_practical_conditions,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=reality_first_practical_conditions],"Практические условия места (наложение): работа, путь, уход, еда, животные",Practical conditions overlay,overlay,"Open composition of observed place, rural, work, travel, care and food/animal conditions.",pf_town_street;pf_market_square;pf_rural_yard,,surface;relief;water_body;bank_structure;tree_layer;shrub_layer;ground_cover;riparian_vegetation;natural_materials,,"place_rural_work[15,supported]","place_rural_work[15,supported];travel_care_food[15,supported]",,"travel_care_food[15,supported]",2,30,supported 2; partial 0,,,,,,,Composition overlay without its own ground.,,,,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=reality_first_practical_conditions];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.reality_first_practical_conditions,C,candidate,
pf_rural_yard,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=rural_yard],Сельский двор,Rural yard,settlement_space,Open rural yard context.,pf_town_street,surface;ground_cover;natural_materials,relief;water_body;bank_structure;tree_layer;shrub_layer;riparian_vegetation,,,"ordinary_conditions[1,supported]",,,1,1,supported 1; partial 0,,,pt_isolated_farmstead;pt_hamlet;pt_village;pt_nucleated_village;pt_dispersed_settlement_cluster;pt_estate_center;pt_monastic_grange,,,,,common_yards;master_yard;priest_yard;well_or_pond;work_yard,stfv3__g5_habitation_v1@1;stfv3__g5_work_storage_social_v1@1,yard,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=rural_yard];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.rural_yard,C,candidate,
pf_town_street,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_street],Городская улица (мостовая),Town street,settlement_space,Street between dense urban plots and public movement.,pf_market_square;pf_town_courtyard;pf_town_wall_edge;pf_river_wharf,surface;relief;ground_cover;natural_materials,water_body;bank_structure;tree_layer;shrub_layer;riparian_vegetation,,"paving_and_drainage[5,supported]","frontage_and_traffic[2,supported]","senses_and_traces[6,supported]","use_and_risk[8,supported]",4,21,supported 4; partial 0,,,pt_town;pt_city_major_center;pt_posad_suburb;pt_fortified_town,,,,,city_gate_spine;craft_quarters;craft_street;entry_street;hidden_lane_network;hidden_passage;main_street;poor_burnt_edges;poor_edge;river_or_market_exit;sofia_side_spine;street_connection;trade_side_spine;volkhov_bridge_axis;well_place,,street,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_street];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.town_street,C,candidate,
pf_market_square,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=market_square],"Торг, торговая площадь",Market square,settlement_space,Open trading and assembly ground with changing density.,pf_town_street;pf_river_wharf;pf_churchyard;pf_town_courtyard,surface;natural_materials,relief;water_body;bank_structure;tree_layer;shrub_layer;ground_cover;riparian_vegetation,,"ground_and_stalls[6,supported]","goods_people_animals[3,supported]","noise_smell_visibility[7,supported]","commerce_and_hazards[3,supported]",4,19,supported 4; partial 0,,,pt_market_place;pt_periodic_fairground;pt_town;pt_city_major_center,,,,,livestock_corner;market_square;measure_place;meeting_torg_spot;merchant_yards;trade_rows;watch_place;yaroslav_court_market_core,,torg,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=market_square];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.market_square,C,candidate,
pf_river_wharf,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=river_wharf],Городская пристань,Urban river wharf,water_edge,"Urban water-edge for landing, loading and waiting.",pf_river_channel;pf_town_street;pf_ferry_landing;pf_riverbank,surface;relief;water_body;bank_structure;natural_materials,tree_layer;shrub_layer;ground_cover;riparian_vegetation,,"edge_and_mooring[4,supported]","cargo_and_labor[4,supported]","water_senses_and_marks[5,supported]","waterfront_risks[4,supported]",4,17,supported 4; partial 0,lt_low_alluvial_riverbank,,pt_river_landing;pt_town;pt_city_major_center;pt_posad_suburb,wb_small_river;wb_medium_river;wb_large_river;wb_river_channel,rt_river_route,,,cargo_slope;cargo_waiting;landing_or_bridge;landing_or_river;landing_planks;river_landings;river_or_market_exit,stfv3__g5_landing_transition_v1@1,pier,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=river_wharf];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.river_wharf,C,candidate,
pf_town_courtyard,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_courtyard],"Городская усадьба, двор",Town courtyard,settlement_space,Semi-private urban yard behind or between occupied plots.,pf_town_street;pf_outbuildings;pf_cellar_granary;pf_bathhouse;pf_smithy,surface;ground_cover;natural_materials,relief;water_body;bank_structure;tree_layer;shrub_layer;riparian_vegetation,,"yard_surface_and_boundaries[6,supported]","household_life[6,supported]","odors_sounds_traces[5,supported]","domestic_safety[6,supported]",4,23,supported 4; partial 0,,,pt_town;pt_city_major_center;pt_posad_suburb;pt_fortified_town;pt_administrative_court;pt_estate_center,,,,,administrative_yard;back_gate;boyar_estate_belts;church_courts;clerks_corner;craft_yards;dense_posad_yards;dense_yards;detinets_bishop_core;front_yard;gate_yard;guard_place;guest_waiting;guest_yard;inner_yard;judgement_hall;master_house;merchant_guest_yards;merchant_yards;outer_gate;posad_yards;rich_yards;servant_yards;service_admin_yards;stable_yard;store_yard;well_or_spring;work_yards;yaroslav_court_market_core,,construction_site;refuse_area;urban_house;yard,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_courtyard];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.town_courtyard,C,candidate,
pf_town_wall_edge,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_wall_edge],Край города у вала и ворот,Town wall edge,settlement_space,"Urban perimeter beside defensive earthworks, gates or open approaches.",pf_town_street;pf_road;pf_field_margin;pf_riverbank,surface;relief;shrub_layer;ground_cover;natural_materials,water_body;bank_structure;tree_layer;riparian_vegetation,,"earthwork_and_approach[2,supported]","threshold_traffic[1,supported]","open_edge_perception[4,supported]","edge_risks_and_upkeep[1,supported]",4,8,supported 4; partial 0,,,pt_fortified_town;pt_town;pt_city_major_center;pt_hillfort_gorodishche,wb_moat_water,rt_local_road;rt_major_road,,,approach_slope;city_gate_spine;gate_gap;outer_bank;ravine_edge;town_gate;watch_and_fire_points;watch_corner;watch_place,stfv3__g5_boundary_access_v1@1,,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_wall_edge];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.town_wall_edge,C,candidate,
pf_riverbank,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=riverbank],Речной берег,Riverbank,water_edge,Natural or lightly used bank away from fixed urban wharf.,pf_river_channel;pf_floodplain_meadow;pf_ferry_landing;pf_forest_edge,surface;relief;water_body;bank_structure;tree_layer;shrub_layer;ground_cover;riparian_vegetation;natural_materials,,,"bank_material_and_water[2,supported]","riparian_life[3,partial]","shore_use_and_marks[6,supported]","shore_hazards[4,supported]",4,15,supported 3; partial 1,lt_low_alluvial_riverbank;lt_steep_eroding_riverbank;lt_riparian_scrub_bank;lt_rocky_riverbank,lu_inland_capture_fishing;lu_reed_sedge_harvest,pt_boat_landing;pt_fishing_station,wb_small_river;wb_medium_river;wb_large_river;wb_river_channel;wb_brook;wb_backwater,rt_path,lt_rocky_riverbank,,bank_path;boat_shelter;camp_fire;cattle_waiting;crossing_line;ford_slope;forest_or_river_exit;landing_planks;river_edge;river_exit;road_or_landing_exit;shore_approach;slipway;upstream_path;waiting_bank;water_edge;water_or_landing;water_place;water_spot;well_or_bank,stfv3__g5_landing_transition_v1@1;stfv3__g5_observation_orientation_v1@1;stfv3__g5_resource_v1@1;stfv3__g5_route_approach_v1@1,riverbank,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=riverbank];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.riverbank,C,candidate,
pf_river_channel,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=river_channel],"Речное русло, протока",River channel,water,"Moving water as route, barrier and ecological process.",pf_riverbank;pf_river_wharf;pf_ferry_landing;pf_winter_ice_crossing,surface;water_body;bank_structure;riparian_vegetation;natural_materials,relief;tree_layer;shrub_layer;ground_cover,,"flow_depth_and_ice[2,supported]","watercraft_and_use[4,supported]","water_signals[5,supported]","channel_danger[2,supported]",4,13,supported 4; partial 0,lt_low_alluvial_riverbank,lu_inland_capture_fishing;lu_fish_weir_trap_operation,,wb_small_river;wb_medium_river;wb_large_river;wb_river_channel;wb_braided_river_channel;wb_rapid_section;wb_backwater;wb_estuary,rt_river_route;rt_ford,wb_braided_river_channel;wb_estuary,,crossing_line;shallow_marker;water_channel;water_route_exit;weir_or_sadki,stfv3__g5_water_hazard_v1@1;stfv3__g5_water_navigation_v1@1,boat,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=river_channel];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.river_channel,C,candidate,
