bt_id,name_ru,name_en,bt_class,region_id,pf_ids,rooms,storeys,area_m2_min,area_m2_max,side_m_min,side_m_max,size_note,materials,condition_states,age_states,fire_risk,occupants_roles,light_smoke_smell,anachronism_guard,source_refs,confidence,status,notes
bt_izba_heated_single,изба: однокамерный отапливаемый сруб (курная),single-room heated log house (smoke-heated),dwelling,,dwelling_interior|town_courtyard|peasant_homestead,жилая камера с печью,1,16,80,4,9,16–80 м² (matcult ARC0020); чаще 20–70 м² (nov1230db B028); стороны 4–9 м (arhitekto); сруб около 6×6 м первой половины XIII в. (nov1230db S26),mat_log_conifer|mat_moss|mat_plank_hewn|mat_clay|mat_boulder|mat_roof_tes,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,high,малая семья|холоп/челядь при дворе|постоялец,"днём свет из двери и волоковых окон, дальние углы темнее; под потолком слой дыма при топке, копоть на верхних венцах; запах дыма, дерева, пищи, овчины",нет кирпичной трубы/дымохода|нет застеклённых окон|нет развитой русской печи XIX в.|нет кирпичных стен,matcult:ARC0020|nov1230db:B028|nov1230db:S26|ref:arhitekto_2russ27|matcult:INT0006|wk:claim:settlement-log-building-form|wk:claim:settlement-oven-heating|wk:claim:reconstructed-dwelling-interior-light-and-air-change-with-opening-weather-and-fuel,A,candidate,печь в углу у ~95% печей Неревского раскопа (ref:rsl_zasurcev_search); ранняя центральная печь XI–нач. XII в. ещё встречается (ref:arhitekto_2russ27)
bt_klet_dwelling,жилая клеть,log chamber dwelling,dwelling,,dwelling_interior|town_courtyard|peasant_homestead,одна камера (тёплая с печью или холодная без печи),1,,,4,6,один срубный модуль около 4–6 м по стороне (matcult ARC0021),mat_log_conifer|mat_moss|mat_plank_hewn|mat_clay|mat_roof_tes,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,high,семья|зависимые люди|летний жилец в холодной клети,"как у избы при тёплой функции; холодная клеть светлее от двери, без дыма, пахнет деревом и хранимым",нет дымохода|нет стекла,matcult:ARC0021|wk:claim:settlement-log-building-form,B,candidate,fire_risk=high только в тёплом варианте; холодная клеть — medium
bt_pyatistenok,пятистенок: двухкамерный сруб с рубленой перегородкой,five-wall two-chamber log house,dwelling,,dwelling_interior|town_courtyard|peasant_homestead,жилая камера с печью|вторая камера (сени или хозяйственная часть),1,40,100,,,"порядка 40–100 м² по сводным данным (matcult ARC0019); до середины XIII в. пятистенки среднего и большого размера — основные владельческие постройки усадеб (ref:rsl_zasurcev_search, ref:dissercat_ljudin)",mat_log_conifer|mat_moss|mat_plank_hewn|mat_clay|mat_boulder|mat_roof_tes,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,high,владелец усадьбы и семья|челядь,"жилая часть дымная при топке, вторая камера холоднее и темнее; запах дыма, хлеба, кожи, дерева",нет дымохода|нет стекла в рядовом доме|не изба-пятистенок XIX в. с русской печью,matcult:ARC0019|ref:dissercat_ljudin|ref:rsl_zasurcev_search|ref:arhitekto_2russ27,A,candidate,"датировка проверена: пятистенки в Новгороде с XI в. (ref:dissercat_ljudin), не поздняя форма"
bt_three_part_house,трёхчастный дом: изба + сени + клеть,"three-part house (heated room, vestibule, store room)",dwelling,,dwelling_interior|town_courtyard|peasant_homestead,изба с печью|сени|клеть,1,,,,,размер по конкретному плану; тип с середины XII в. у зажиточных усадеб (nov1230db B029),mat_log_conifer|mat_moss|mat_plank_hewn|mat_clay|mat_roof_tes,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,high,зажиточная семья|челядь,"сени — проходные, холодные, пахнут хранимым; изба — дымная и тёплая",нет дымохода|нет стекла,nov1230db:B029|nov1230db:S12|wk:claim:settlement-vestibule-log|matcult:ARC0023,B,candidate,"один из типичных вариантов, не единственный"
bt_horomy,хоромы: многокамерный деревянный комплекс,multi-chamber timber mansion,dwelling,,dwelling_interior|town_courtyard,тёплые клети|холодные клети|сени-переходы|подклет|наружное крыльцо|галерея на столбах,1-2,,,,,размер по плану усадьбы; площадь 150–250 м² НЕ считать установленной (matcult ARC0011),mat_log_conifer|mat_plank_hewn|mat_clay|mat_boulder|mat_iron_metal|mat_roof_tes|mat_shingle_oak,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,high,боярская семья|челядь|холопы|ключник|гости,"много переходов с разным светом; дым только в тёплых клетях; запах воска, мехов, кожи, дыма",нет дымохода|нет каменного дворца|нет стекла повсеместно (лишь спорно у элиты)|нет поздней Грановитой палаты,matcult:ARC0011|nov1230db:B030|nov1230db:S18|ref:arhitekto_2russ27,B,candidate,возможны башнеобразные объёмы и резьба (nov1230db B030)
bt_monastery_cell,деревянная монастырская келья,timber monastic cell,religious_dwelling,,monastery_yard|dwelling_interior,одна камера (печь по климату и функции),1,,,,,,mat_log_conifer|mat_plank_hewn|mat_clay|mat_hearth_stone|mat_roof_tes,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,high,монах|послушник,"полумрак, огонёк свечи или лучины, воск, дым печи",нет каменных корпусов келий|нет стекла,matcult:ARC0016|matcult_scene:SCN049,B,candidate,
bt_stone_civil_building,редкое каменное гражданское здание,rare stone secular building,civic,region_novgorod_land,town_courtyard,,1,,,,,,mat_limestone|mat_plinfa|mat_lime_mortar|mat_log_conifer,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,по функции (обсуждается),"холодное, гулкое",,nov1230db:B034|nov1230db:S25,B,candidate,исключение; функция обсуждается; не использовать как тип жилья
bt_seni,сени между срубами,vestibule / passage room,dwelling_part,,dwelling_interior|town_courtyard|peasant_homestead,проходное помещение; иногда погреб-сруб под полом,1,,,,,уже основной жилой камеры (matcult ARC0023),mat_log_conifer|mat_plank_hewn|mat_pole|mat_roof_tes,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,хозяйство дома,"холодно, полутемно, сквозняк, запах хранимого и сырых вещей",,matcult:ARC0023|wk:claim:settlement-vestibule-log|ref:arhitekto_2russ27,B,candidate,
bt_podklet,подклет: низкий нижний ярус под жилым,undercroft (low lower storey),dwelling_part,,cellar_granary|outbuildings|dwelling_interior,холодное хозяйственное помещение,1,,,,,"ориентир высоты около 1,5 м (matcult ARC0022); подклеты появляются в конце XII – начале XIII в. (ref:dissercat_ljudin)",mat_log_conifer|mat_plank_hewn,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,хозяйство дома|ключник,"темно, прохладно, пахнет зерном, кожей, деревом",не высокий каменный цоколь,matcult:ARC0022|wk:claim:settlement-underfloor-storage|wk:claim:settlement-underfloor-utility|ref:dissercat_ljudin,B,candidate,
bt_klet_ambar,клеть-амбар,log storehouse,storage,,cellar_granary|outbuildings|town_courtyard|peasant_homestead|market_square,одна камера без печи,1,,,,,небольшой плотный сруб; размер по плану (matcult ARC0018),mat_log_conifer|mat_plank_hewn|mat_hardwood_bar|mat_iron_hasp|mat_roof_tes,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,хозяин/ключник (доступ)|сторож,"темно при закрытой двери; пахнет зерном, пылью, воском, мехом по содержимому",,matcult:ARC0018|nov1230db:B031|wk:claim:population-household-storage,A,candidate,в голод 1230 г. объект грабежей (nov1230db B031)
