occupation_id,occupation_title_ru,occupation_group,historical_term,occupation_archetype_id,daily_schedule_winter,daily_schedule_spring_rasputitsa,daily_schedule_summer,daily_schedule_autumn,how_to_materialize_as_background_npc,how_to_materialize_as_scene_npc,how_to_materialize_as_key_npc,typical_property,typical_tools,typical_clothing,typical_containers,typical_local_knowledge,typical_route_knowledge,common_relationships,common_fears,common_goals,llm_adaptation_rules,llm_forbidden_uses,status,confidence,source_refs,notes
occ_jeweler_caster,ювелир-литейщик,ремесло,ювелир / литец,archetype_urban_craftsman,"дома/в мастерской при усадьбе с рассвета: разогрев тигля, литьё по восковой модели или в форму, доводка напильником; вечером — торг на дому или через посредника",работа не выходя со двора (бездорожье режет поставки металла и сбыт); долив запасов лома и монеты-сырья до распутицы,то же плюс поездки на торг и к заказчикам по ясной дороге; закупка привозного цветного металла у гостей,"интенсивная работа под зимние и рождественские заказы (кресты, колты, перстни, бубенчики)",стук молоточка и запах горячего воска/металла из мастерской на усадьбе; лоток с готовыми колтами и перстнями на торгу,"показывает заказчику восковую модель или готовую вещь, называет цену в кунах/резанах, спорит о пробе металла","держатель редкого умения (литьё по выплавляемой модели, зернь, эмаль-выемка); источник подделок или, наоборот, экспертизы подлинности вещи","усадьба с отдельной мастерской или углом в доме, тигли, льячки, каменные/глиняные литейные формы","льячка, тигель, каменные и глиняные литейные формы, наковальня малая, зубила, напильник, весы для металла",обычная городская одежда ремесленника; кожаный передник в мастерской,"кожаный кошель для лома металла и монет, деревянный ларец для готовых изделий",кто в городе покупает/продаёт цветной металл и лом; где меняют куны на серебро,путь до торга и до боярских/церковных заказчиков,"зависит от гостей-купцов (привозная медь, олово, серебро); конкурирует с другими литейщиками; поставляет украшения боярским и купеческим домам","обвинение в подмене металла (медь под серебро), кража готовых изделий, пожар в мастерской",накопить запас цветного металла до распутицы; выполнить заказ до праздника,"конкретный узор колта/перстня и состав сплава — импровизация в пределах новгородской ювелирной традиции (литьё по выплавляемой модели, зернь, эмаль); техника и инструмент — из типовых полей",не изображать штамповку листового металла прессом (анахронизм) и не изображать огранку драгоценных камней фасетами,candidate,B,"gb:sources/master-archive-v1/data/normalized_source_tables/occupations/professions.csv#PRO0017(Ювелир,conf=A,SRC001|SRC062|SRC063|SRC085|SRC102);#PRO0018(Изготовитель металлической проволоки,conf=C)","Объединяет PRO0017 (ювелир) и функцию литья по восковой модели, засвидетельствованную новгородской археологией цветного металла (тигли, льячки, литейные формы — SRC001 и производные своды)."
occ_bone_carver,косторез,ремесло,косторез,archetype_urban_craftsman,"распиловка и резьба кости (гребни, иглы, писала, шашки, рукояти) при дневном свете у окна мастерской","доработка запасов кости и рога, накопленных зимой (забой скота)",закупка свежей кости/рога у мясников и охотников; сбыт готовых гребней и накостных изделий на торгу,основной сезон заготовки сырья — после осеннего забоя скота,ровный скрип пилки по кости и стружка на полу мастерской; лоток гребней на торгу,"предлагает гребень или писало, показывает узор резьбы, оценивает принесённую кость/рог",держатель приметного клейма на гребнях; свидетель по вещи с меткой,угол в доме или отдельная клеть с рабочим столом у окна,"пилки, ножи-резцы, свёрла ручные (лучковые), точильный камень",обычная городская одежда ремесленника,"короб для сырой кости/рога, короб для готовых изделий",кто в городе держит скот на убой и когда забой; кто режет гребни особого узора,путь к скотобойным дворам и на торг,"зависит от мясников/забойщиков скота (сырьё), продаёт гребни, иглы, писала горожанам и церковным дворам",нехватка кости после плохого осеннего забоя; порча инструмента,набрать запас кости на зиму; выполнить именной заказ гребня,"узор гребня/рукояти — свободная стилизация в пределах новгородской костерезной традиции (циркульный орнамент, плетёнка)","не изображать токарный станок с ножным приводом как штатный инструмент (для кости в 1230-х основной приём — пилка и резец, не массовое токарение)",candidate,A,"gb:sources/master-archive-v1/data/normalized_source_tables/occupations/professions.csv#PRO0051(Косторез,conf=A,SRC001|SRC008|SRC089);#PRO0052(Изготовитель костяных гребней,conf=B);#PRO0053(Изготовитель костяных игл и мелких орудий,conf=B)","Косторезное дело — одно из самых массово засвидетельствованных ремёсел новгородского слоя (гребни, писала, коньки); объединяет PRO0051-53 в одно игровое занятие с уклонами."
occ_wood_turner,токарь по дереву,ремесло,токарь,archetype_urban_craftsman,"точит на ручном (лучковом) станке чаши, веретёна, ручки инструмента из заготовленной осенью древесины",работа со двора не выходя; доводка запасов,"заготовка свежей древесины (берёза, липа), сбыт токарных изделий на торгу",основной сезон заготовки заготовок под зимнюю точку,ритмичный скрип лучкового токарного станка во дворе или мастерской; ровные чаши и веретёна на прилавке,"показывает точёную посуду или веретено, договаривается о партии на заказ",держатель редкого умения точить тонкостенную посуду или сложные детали (ткацкие/прядильные части),"двор с навесом для станка, запас круглого леса","лучковый токарный станок, резцы, скобель","обычная ремесленная одежда, часто в стружке",короб для готовых точёных изделий,где брать сухую и свежую древесину нужных пород,"путь в ближний лес за заготовками, путь на торг","снабжает бондарей, ткачих (веретёна, детали станка), домохозяек (посуда)","порча заготовки, поломка станка перед крупным заказом",выполнить партию посуды или веретён до торгового дня,форма изделия — свободно в пределах типовой токарной посуды/веретён/рукоятей эпохи,не изображать ножной токарный станок европейского типа как штатный для рядового новгородского двора; базовый инструмент — лучковый (реципрокный) привод,candidate,B,"gb:sources/master-archive-v1/data/normalized_source_tables/occupations/professions.csv#PRO0040(Токарь по дереву,conf=B,SRC001|SRC005|SRC006|SRC008|SRC089)",Деревянная токарная посуда и веретёна — массовая находка в новгородском мокром слое.
occ_furrier,скорняк,ремесло,скорняк,archetype_urban_craftsman,"основной сезон: обработка зимних шкур (мездрение, выделка мехом, шитьё меховой подкладки/шапок/воротников)","доработка запасов, сбыт остатков перед распутицей",меньше сырья (не сезон пушнины); ремонт готовых меховых вещей,закупка свежих шкур у охотников и с торга по мере начала промысла,запах мездрения и развешанные шкуры на дворе; меховой товар на торговом ряду,"предлагает готовую шапку/воротник, оценивает принесённую шкуру по качеству меха","эксперт по подлинности дорогого меха (бобр, соболь) — свидетель в торговом споре","двор с местом для мездрения и сушки шкур, отдельная от кожевника (сырьё и приёмы разные: мех vs кожа)","скобель/мездряк, иглы, нити (сухожилия/лён)","рабочая одежда, часто в шерсти и мехе на пробу",короб/сундук для готовых меховых изделий,кто из охотников и купцов приносит какой мех и по какой цене,путь на меховой ряд торга,"покупает у охотников и купцов-гостей (привозной дорогой мех), продаёт горожанам и на вывоз","подмена дешёвого меха под дорогой, порча шкуры молью/сыростью","набрать запас зимнего меха, выполнить заказ на шапку/воротник к зиме",конкретный мех и фасон — по сезону и достатку заказчика в пределах типовой новгородской меховой моды,не путать со скорняком-кожевником: не приписывать скорняку дубление кожи для обуви/упряжи,candidate,B,"gb:sources/master-archive-v1/data/normalized_source_tables/occupations/professions.csv#PRO0028(Скорняк,conf=B,SRC001|SRC061|SRC084|SRC089);#PRO0264(Торговец кожами и шкурами,conf=A)",Явно отделён от уже одобренного occupation 'кожевник' (дубление кожи) — по брифу это разные ремёсла с разным сырьём и техникой.
occ_dyer,красильщик,ремесло,красильщик,archetype_urban_craftsman,крашение пряжи/готовой ткани в чане с подогревом внутри дома или в клети,работа не выходя со двора; расход запасов краски,"сбор местных красящих растений (в т.ч. лишайники, кора, растительные красители) и крашение на открытом воздухе",крашение шерсти нового настрига перед зимним шитьём,чан с окрашенной водой и разложенная на просушку окрашенная пряжа/ткань во дворе,"показывает клиенту образцы окрашенной пряжи/сукна, называет цену за оттенок","держатель секрета устойчивого дорогого оттенка (синий, ярко-красный) — источник статусной ткани","двор с чаном для крашения, запас красящего сырья","чан, мешалка, ступа для растирания красителя",рабочая одежда с пятнами краски,горшки и мешочки для сухого красителя,"где растёт/продаётся сырьё для красного, синего, жёлтого, зелёного цвета",путь за местным растительным сырьём; путь к купцам за привозным красителем,"красит пряжу и сукно для ткачей, портных и купцов на вывоз; зависит от привозного красителя для устойчивых ярких цветов",неровный/нестойкий цвет портит партию заказчика; порча привозного дорогого красителя,добиться устойчивого нужного оттенка для заказа,"палитра и стойкость цвета — приглушённые природные тона по умолчанию (синий, зелёный, охристо-жёлтый), яркие насыщенные — только для дорогого заказа с привозным красителем",не изображать анилиновые/синтетические яркие цвета (неоновый и т.п.) как обычные для 1230 года,candidate,B,"gb:sources/costume-dataset-v1/data/materials_palette.csv#COL005(Приглушённый синий,conf=B,SRC007|SRC010|SRC043);#COL006(Приглушённый зелёный,conf=B,SRC007|SRC010);#COL007(Охристо-жёлтый,conf=B,SRC007|SRC008)","В professions.csv отдельной строки 'красильщик' нет (проверено скриптом keyword-поиска, поиск на 'красильщ/краше' давал только ложное совпадение через 'украшение'); занятие восстановлено по палитре тканей costume-dataset (крашеная шерсть засвидетельствована с confidence B) — реальный источниковый разрыв, отмечен в README как требующий отдельной archaeology-проверки красильных мастерских."
occ_ropemaker_netmaker,верёвочник/канатчик,ремесло,верёвочник,archetype_urban_craftsman,вьёт верёвки и канаты из запасенного зимой лыка/пеньки/лозы дома или в клети,работа не выходя со двора,"заготовка сырья (лыко, пенька), сбыт готовых канатов лодейщикам к навигации",основной сезон заготовки лыка и растительного волокна,"верёвочный станок/дорожка во дворе, свитые бухты верёвок и канатов на продажу у пристани","продаёт канат лодейному мастеру или рыбаку, оценивает нужную длину и толщину",снабжает крупный торговый или военный заказ (снасть для судна),длинный двор или проулок для витья верёвки (нужна прямая дорожка),"верёвочное колесо/крюк, чесалка волокна",обычная рабочая одежда,бухты и мотки готовой верёвки,кто на пристани и в лодейном деле нуждается в канате к навигации,путь к пристани и лодейным мастерам,"снабжает лодейных мастеров, рыбаков (см. также сетевязальщик), купцов (упаковка/крепёж грузов)","порча сырья сыростью, недостаток лыка после плохого лета",успеть с партией канатов до начала навигации,"толщина и длина канатов — по заказу; сырьё — лыко, пенька, лоза, конский волос (для тонкой бечевы)",не изображать стальной трос/цепь как замену верёвке в бытовом обиходе,candidate,B,"gb:sources/master-archive-v1/data/normalized_source_tables/occupations/professions.csv#PRO0066(Верёвочник/канатчик,conf=B,SRC001|SRC025|SRC039|SRC045)","Занятие особенно уместно на старте игры: критик указывает, что стартовая территория v17 состоит в основном из речных плёсов, проток и пристаней — снасть и канат востребованы с первой сцены."
occ_netmaker,сетевязальщик,ремесло,сетевяз,archetype_urban_craftsman,вяжет и чинит рыболовные сети дома при свете лучины/окна,ремонт сетей перед началом весеннего лова,активный ремонт после каждого лова; вязка новых сетей на заказ,вязка сетей под зимний подлёдный лов,челнок и растянутая на распялке сеть во дворе рыбацкой слободы,"чинит принесённую рваную сеть при рыбаке, называет цену/срок",держатель умения вязать частую сеть для мелкой рыбы — источник улова для целой артели,двор рыбацкой слободы у воды,"челнок для вязки сети, распялка, грузила и поплавки",рабочая одежда рыбацкой слободы,короб для запасной нити и грузил,какая сеть нужна под какую рыбу и сезон (подо льдом/по открытой воде),путь к воде и рыбацким пристаням,"работает для рыбаков (профессиональных и сезонных), зависит от ремонтника сетей и поставщика лыка/пеньки",рваная сеть в разгар лова — упущенный улов артели,успеть с починкой к выходу артели на воду,размер ячеи и материал нити — по целевой рыбе и сезону,не изображать сеть из синтетического волокна,candidate,A,"gb:sources/master-archive-v1/data/normalized_source_tables/occupations/professions.csv#PRO0067(Сетевязальщик,conf=A,SRC001|SRC025|SRC039|SRC045);#PRO0115(Ремонтник рыболовных сетей,conf=A)","Разделено от 'верёвочник' по прямому указанию брифа (верёвочник/сетевяз отдельно), хотя оба ремесла родственны и делят навык."
occ_locksmith,замочник,ремесло,кузнец замков и ключей,archetype_urban_craftsman,"кузница: изготовление и ремонт замков, ключей, скоб, накладок сундуков","работа не выходя со двора, доводка запасов",то же плюс заказы на новые сундучные замки к торговому сезону,то же,стук малого молотка по мелкой поковке в кузнице; выставленные замки и ключи на лотке,"подбирает или изготавливает ключ к замку клиента, чинит сломанный механизм","источник дубликата ключа (кража, доступ), эксперт по вскрытию/подлинности замка в расследовании",кузница или угол в общей кузнице с мелким горном,"малый горн, наковальня, зубила, напильники, свёрла","кузнечная рабочая одежда, кожаный передник",ларец для готовых замков и ключей,у кого в городе есть сундуки/клети с замками его работы (узнаёт свою продукцию),путь на торг и к боярским/купеческим дворам,работает для купцов и зажиточных дворов (сохранность товара/казны); тесно связан с кузнецом общего профиля,изготовленный им замок вскрыли — удар по репутации; кража заготовок железа,выполнить заказ на замок к сундуку с товаром до отправки обоза,конструкция — типовой навесной замок-скоба новгородского типа (внутренние пружинные пластины); ключ подходит только к своему замку,не изображать цилиндровый замок современного типа,candidate,B,"gb:sources/master-archive-v1/data/normalized_source_tables/occupations/professions.csv#PRO0006(Кузнец замков, ключей и скоб,conf=B,SRC001|SRC032|SRC033|SRC089|SRC102)",Замки-скобы и ключи — частая находка новгородского слоя (см. также обычную кузнечную линию PRO0006).
occ_bowyer,лучник-мастер (изготовитель луков),ремесло,лукодел,archetype_urban_craftsman,"склейка и просушка составного лука (дерево+кость+сухожилия) — процесс месяцами, требует сухого тёплого места","контроль сушки/склейки, не выходя со двора","заготовка древесины, кости, рога и сухожилий на новую партию",то же плюс сбыт готовых луков к осенней охоте,развешанные на просушку заготовки лука и берестяная обмотка в мастерской,"подгоняет лук по силе натяжения под заказчика, показывает готовое изделие","держатель умения делать сложный составной (композитный) лук — редкость, ценный заказчик (княжий двор, дружина)",сухая клеть/мастерская для многомесячной склейки лука,"ножи, скобель, клей животный, тиски-прижимы, береста для обмотки",обычная ремесленная одежда,короб для заготовок и готовых луков,где взять качественную кость/рог/сухожилие и клей,путь на торг и к дружинным/охотничьим заказчикам,"снабжает дружину, охотников; зависит от изготовителя наконечников стрел (стрельника)","испорченная многомесячная склейка (влажность, брак) — потеря заказа и материала",довести лук до нужной силы натяжения к сроку,лук новгородского региона — простой цельнодеревянный или композитный степного/дружинного образца по контексту заказчика,не изображать современный композитный/блочный лук,candidate,A,"gb:sources/master-archive-v1/data/normalized_source_tables/occupations/professions.csv#PRO0311(Лучник,conf=A,SRC031|SRC034|SRC035|SRC036|SRC037|SRC038|SRC071|SRC090|SRC102)","PRO0311 в источнике описывает воина-стрелка; здесь занятие переопределено на РЕМЕСЛЕННИКА-изготовителя лука (лукодел), как явно просит бриф ('лучник' в списке недостающих ремёсел, не военного); военный стрелок как роль уже покрыт военной группой occupation."
occ_arrowsmith,стрельник (изготовитель стрел и наконечников),ремесло,изготовитель наконечников стрел и болтов,archetype_urban_craftsman,кузнечная выковка наконечников малым горном + насад древков и оперение стрел дома,"доводка запасов, не выходя со двора",заготовка древка (ровный сухой прут) и перьев (гусь/утка) для оперения,"то же, плюс заказы к осенней охоте",ровные пучки готовых стрел с оперением и наконечники на лотке ремесленника,подбирает наконечник (боевой ромбовидный/срезень охотничий) под назначение стрелы для заказчика,снабжает крупный военный или охотничий заказ; эксперт по типу наконечника как улика (боевой/охотничий/для птицы),малая кузница или угол общей кузницы + рабочий стол для сборки древка,"малый горн, зубила, ножи для древка, клей и нить для оперения",ремесленная рабочая одежда,"колчан-образец, короб для заготовок наконечников",какой наконечник нужен под какую дичь/бой,путь на торг и к дружинным/охотничьим заказчикам,"тесно работает с лукоделом (бывший бриф-пункт 'лучник'), снабжает дружину и охотников",брак партии наконечников перед крупным военным заказом,выполнить партию стрел определённого типа к сроку,"форма наконечника (боевой ромбовидный, срезень, для птицы) — по назначению стрелы, засвидетельствованная новгородская типология",не изображать наконечники из современных сплавов/штампованные,candidate,B,"gb:sources/master-archive-v1/data/normalized_source_tables/occupations/professions.csv#PRO0009(Изготовитель наконечников стрел и болтов,conf=B,SRC001|SRC032|SRC033|SRC089|SRC102)","Закрывает пункт брифа 'стрельник', явно выделенный отдельно от лучника-мастера."
