wp_id,name_ru,name_en,kind,group,parent_wp_id,tier,effective_tier,category_id,category_status,layer,region_id,period_from,period_to,material,mass_rule,freq_general,weight_general,freq_armed,weight_armed,freq_basis,status_access,expected_for_roles,legal_right_ref,condition_family,condition_states,source_wear_notes,mark_slots,attestation,source_refs,confidence,priority,status,note
wp_sword,меч,sword (double-edged),weapon,sword,,elite_war,elite_war,cat_item_object_sword_v1,existing_v5_candidate,universal_category+regional_permission,region_novgorod_land,1180,1260,"сталь/железо клинок; рукоять дерево, кость, кожа; перекрестье и навершие железо","не нормировать числом без конкретной находки; общая длина около 85–105 см по аналогам (MASTER WPN0024, WPN0038)",rare,1,contextual,2,"Медведев 1959: на Неревском раскопе целых мечей нет, только 2 перекрестья XII–XIII вв.; Кирпичников: в городищах XIII в. мечи единичны (не более 10–15), в погребениях XII–XIII вв. — 37%",nov_role_prince | nov_role_posadnik | nov_role_tysyatsky | nov_role_city_elder | nov_role_princely_druzhinnik | nov_role_boyar | nov_role_merchant_guest | nov_role_foreign_guest,nov_role_prince | nov_role_princely_druzhinnik | nov_role_boyar,statusrules:status_weapon | items/weapon_status_access.csv#tier=elite_war | sqlite:law:L07 | lit:russkaya_pravda_pp23,iron_edge,исправное | заточенное | затуплённое | с зазубринами | в поверхностной ржавчине | промасленное | погнутое | сломанное | чиненое,"заточки, забоины, масло, ржавчина только умеренно","maker_mark:клеймо или надпись мастера | decoration:украшение, инкрустация | repair_trace:след починки | wear_trace:след износа | owner_sign:знак собственности","archaeological_rus; archaeological_novgorod (детали рукояти); iconographic (Нередица, блюдо с воинами)",master:mc:WPN0024 | master:mc:WPN0025 | master:mc:WPN0038 | master:mc:WPN0039 | costume:AR020 | v5:cat_item_object_sword_v1 | v5:item_tpl_nov_sword_v1 | wk:claim:public-world-weapons-shields-armour-have-distinct-tradeoffs | wk:claim:final-practical-present-weapon-or-tool-needs-secure-carrying-and-access | lit:kirpichnikov_1971_kompleks | lit:medvedev_1959_mia65 | sqlite:social_groups:княжеская дружина | bible:§11 Роль №7 — дружинник,A,M3,candidate,
wp_sword_hilt_parts,"части рукояти меча (перекрестье, навершие, основа рукояти)",sword hilt parts,component,sword,wp_sword,component,elite_war,cat_item_object_sword_hilt_part_v1,proposed,universal_category+regional_permission,region_novgorod_land,1180,1260,"железо; дерево, кость, кожа для рукояти",по части; не нормировать,rare,1,contextual,2,Медведев 1959: 2 перекрестья XII–XIII вв. и 1 навершие XIII–XIV вв. в Новгороде,nov_role_prince | nov_role_posadnik | nov_role_tysyatsky | nov_role_city_elder | nov_role_princely_druzhinnik | nov_role_boyar | nov_role_merchant_guest | nov_role_foreign_guest,nov_role_prince | nov_role_princely_druzhinnik | nov_role_boyar,statusrules:status_weapon | items/weapon_status_access.csv#tier=elite_war | sqlite:law:L07 | lit:russkaya_pravda_pp23,iron_edge,исправное | заточенное | затуплённое | с зазубринами | в поверхностной ржавчине | промасленное | погнутое | сломанное | чиненое,"заточки, забоины, масло, ржавчина только умеренно","decoration:украшение, инкрустация | wear_trace:след износа | repair_trace:след починки",archaeological_novgorod,master:mc:WPN0026 | master:mc:WPN0027 | master:mc:WPN0028 | master:mc:WPN0029 | lit:medvedev_1959_mia65,A,M3,candidate,
wp_sword_scabbard,ножны меча,sword scabbard,accessory,sword,wp_sword,component,elite_war,cat_container_form_sword_scabbard_v1,existing_v5_candidate,universal_category+regional_permission,region_novgorod_land,1180,1260,"дерево, обтянутое кожей или тканью; металлический наконечник",по клинку; не нормировать,rare,1,contextual,2,как у меча (принадлежность),nov_role_prince | nov_role_posadnik | nov_role_tysyatsky | nov_role_city_elder | nov_role_princely_druzhinnik | nov_role_boyar | nov_role_merchant_guest | nov_role_foreign_guest,nov_role_prince | nov_role_princely_druzhinnik | nov_role_boyar,statusrules:status_weapon | items/weapon_status_access.csv#tier=elite_war | sqlite:law:L07 | lit:russkaya_pravda_pp23,leather_textile,целое | потёртое | промокшее | порванное | чиненое | пересохшее,"заточки, забоины, масло, ржавчина только умеренно","decoration:украшение, инкрустация | repair_trace:след починки | wear_trace:след износа",archaeological_rus (наконечники ножен),master:mc:WPN0053 | master:mc:WPN0055 | costume:AR021 | v5:cat_container_form_sword_scabbard_v1 | v5:container_tpl_nov_sword_scabbard_v1,B,M3,candidate,
wp_sword_belt,мечевой пояс с подвесом ножен,sword belt and suspension,accessory,sword,wp_sword,component,elite_war,cat_item_object_sword_belt_v1,proposed,universal_category+regional_permission,region_novgorod_land,1180,1260,кожа; бронзовые или железные детали,по талии; не нормировать,rare,1,contextual,2,как у меча (принадлежность),nov_role_prince | nov_role_posadnik | nov_role_tysyatsky | nov_role_city_elder | nov_role_princely_druzhinnik | nov_role_boyar | nov_role_merchant_guest | nov_role_foreign_guest,nov_role_prince | nov_role_princely_druzhinnik | nov_role_boyar,statusrules:status_weapon | items/weapon_status_access.csv#tier=elite_war | sqlite:law:L07 | lit:russkaya_pravda_pp23,leather_textile,целое | потёртое | промокшее | порванное | чиненое | пересохшее,"заточки, забоины, масло, ржавчина только умеренно | грязь, масло, ремонт, дорожная потёртость","decoration:украшение, инкрустация | repair_trace:след починки | wear_trace:след износа",reconstruction по мечевому комплексу,master:mc:WPN0040 | master:mc:MIL0020 | costume:AC010 | bible:§17 Поясные предметы (для дружинника — оружейная подвеска),B,M3,candidate,
wp_baldric,перевязь оружия через плечо,baldric,accessory,sword,wp_sword,component,elite_war,cat_item_object_baldric_v1,proposed,universal_category+regional_permission,region_novgorod_land,1180,1260,кожа,не нормировать,rare,1,rare,1,только реконструкция MASTER (C),nov_role_prince | nov_role_posadnik | nov_role_tysyatsky | nov_role_city_elder | nov_role_princely_druzhinnik | nov_role_boyar | nov_role_merchant_guest | nov_role_foreign_guest,nov_role_prince | nov_role_princely_druzhinnik | nov_role_boyar,statusrules:status_weapon | items/weapon_status_access.csv#tier=elite_war | sqlite:law:L07 | lit:russkaya_pravda_pp23,leather_textile,целое | потёртое | промокшее | порванное | чиненое | пересохшее,"грязь, масло, ремонт, дорожная потёртость",wear_trace:след износа | repair_trace:след починки,reconstruction,master:mc:MIL0005,C,M3,candidate,Форма ношения меча через плечо для Новгорода 1230 прямо не подтверждена; предпочитать поясной подвес.
wp_sabre,сабля,sabre,weapon,sword,,elite_war,elite_war,cat_item_object_sabre_v1,proposed,universal_category+regional_permission,region_novgorod_land,1180,1260,сталь/железо,не нормировать,rare,1,rare,1,"MASTER: редкий приезжий или элитный контекст; в северной Руси сабля — южный/степной тип (Кирпичников 1971, комплекс: в Поросье акцент на саблях)",nov_role_prince | nov_role_posadnik | nov_role_tysyatsky | nov_role_city_elder | nov_role_princely_druzhinnik | nov_role_boyar | nov_role_merchant_guest | nov_role_foreign_guest,nov_role_prince | nov_role_princely_druzhinnik | nov_role_boyar,statusrules:status_weapon | items/weapon_status_access.csv#tier=elite_war | sqlite:law:L07 | lit:russkaya_pravda_pp23,iron_edge,исправное | заточенное | затуплённое | с зазубринами | в поверхностной ржавчине | промасленное | погнутое | сломанное | чиненое,"заточки, забоины, масло, ржавчина только умеренно","decoration:украшение, инкрустация | wear_trace:след износа | repair_trace:след починки",archaeological_rus (юг),master:mc:WPN0061 | lit:kirpichnikov_1971_kompleks,C,M3,candidate,Только у приезжего или по конкретному основанию; не у новгородского ополченца.
wp_spear,копьё пешее,spear (infantry),weapon,spear,,common_war,common_war,cat_item_object_spear_v1,existing_v5_candidate,universal_category+regional_permission,region_novgorod_land,1180,1260,железный втульчатый наконечник; деревянное древко,"наконечник около 15–40 см по типу; древко ориентировочно 2–2,5 м (MASTER WPN0057); массу не нормировать",contextual,2,ubiquitous,8,Кирпичников 1971 (комплекс): в городищах XIII в. копья в 2–7 раз многочисленнее боевых топоров; в погребениях XII–XIII вв. копья — самый частый вид (43%); копейщики — ядро войска; библия персонажа: копьё — главное оружие ополченца,nov_role_prince | nov_role_posadnik | nov_role_tysyatsky | nov_role_city_elder | nov_role_guard | nov_role_princely_druzhinnik | nov_role_junior_druzhinnik | nov_role_boyar | nov_role_merchant_guest | nov_role_foreign_guest,nov_role_prince | nov_role_princely_druzhinnik | nov_role_junior_druzhinnik,statusrules:status_weapon | items/weapon_status_access.csv#tier=common_war | sqlite:law:L07,iron_edge_shaft,исправное | затуплённый наконечник | наконечник в ржавчине | шатается на древке | треснувшее древко | сломанное древко | отсыревшее древко | чиненое,"заточки, забоины, масло, ржавчина только умеренно",repair_trace:след починки | wear_trace:след износа | owner_sign:знак собственности,archaeological_novgorod; archaeological_rus,master:mc:WPN0021 | master:mc:WPN0022 | master:mc:WPN0023 | master:mc:WPN0032 | master:mc:WPN0033 | master:mc:WPN0034 | master:mc:WPN0049 | master:mc:WPN0050 | master:mc:WPN0051 | master:mc:WPN0057 | costume:AR017 | v5:cat_item_object_spear_v1 | v5:item_tpl_nov_spear_v1 | wk:claim:military-world-long-implements-need-clearance | lit:kirpichnikov_1971_kompleks | lit:kirpichnikov_1971_ratnoe | lit:medvedev_1959_mia65 | bible:§10 Роль №6 — городской ополченец,A,M3,candidate,
wp_spear_shaft,копейное древко,spear shaft,component,spear,wp_spear,component,common_war,cat_item_object_spear_shaft_v1,proposed,universal_category+regional_permission,region_novgorod_land,1180,1260,дерево,"ориентировочно 1,8–2,7 м по назначению (MASTER WPN0020)",contextual,2,ubiquitous,8,как у копья,nov_role_prince | nov_role_posadnik | nov_role_tysyatsky | nov_role_city_elder | nov_role_guard | nov_role_princely_druzhinnik | nov_role_junior_druzhinnik | nov_role_boyar | nov_role_merchant_guest | nov_role_foreign_guest,nov_role_prince | nov_role_princely_druzhinnik | nov_role_junior_druzhinnik,statusrules:status_weapon | items/weapon_status_access.csv#tier=common_war | sqlite:law:L07,wood_shaft,целое | сухое | отсыревшее | треснувшее | сломанное | покоробленное | чиненое,"заточки, забоины, масло, ржавчина только умеренно | грязь, масло, ремонт, дорожная потёртость",owner_sign:знак собственности | wear_trace:след износа | repair_trace:след починки,reconstruction по находкам наконечников,master:mc:WPN0020 | master:mc:MIL0022 | wk:claim:wood-anisotropy-moisture,B,M3,candidate,
wp_spear_butt,подток копья,spear butt ferrule,component,spear,wp_spear,component,common_war,cat_item_object_spear_butt_v1,proposed,universal_category+regional_permission,region_novgorod_land,1180,1260,железо,обычно 5–15 см (MASTER WPN0019),contextual,2,common,4,как у копья; подток есть не на каждом древке,nov_role_prince | nov_role_posadnik | nov_role_tysyatsky | nov_role_city_elder | nov_role_guard | nov_role_princely_druzhinnik | nov_role_junior_druzhinnik | nov_role_boyar | nov_role_merchant_guest | nov_role_foreign_guest,nov_role_prince | nov_role_princely_druzhinnik | nov_role_junior_druzhinnik,statusrules:status_weapon | items/weapon_status_access.csv#tier=common_war | sqlite:law:L07,iron_edge,исправное | заточенное | затуплённое | с зазубринами | в поверхностной ржавчине | промасленное | погнутое | сломанное | чиненое,"заточки, забоины, масло, ржавчина только умеренно",wear_trace:след износа,archaeological_rus,master:mc:WPN0019,B,M3,candidate,
wp_lance,конное копьё,cavalry lance,weapon,spear,,elite_war,elite_war,cat_item_object_lance_v1,proposed,universal_category+regional_permission,region_novgorod_land,1180,1260,железный наконечник; длинное деревянное древко,"ориентир 2,5–3,2 м (MASTER WPN0048); не нормировать",rare,1,contextual,2,"только у конных дружинников (Кирпичников 1971, ратное снаряжение); в городском быту не носится",nov_role_prince | nov_role_posadnik | nov_role_tysyatsky | nov_role_city_elder | nov_role_princely_druzhinnik | nov_role_boyar | nov_role_merchant_guest | nov_role_foreign_guest,nov_role_prince | nov_role_princely_druzhinnik | nov_role_boyar,statusrules:status_weapon | items/weapon_status_access.csv#tier=elite_war | sqlite:law:L07,iron_edge_shaft,исправное | затуплённый наконечник | наконечник в ржавчине | шатается на древке | треснувшее древко | сломанное древко | отсыревшее древко | чиненое,"заточки, забоины, масло, ржавчина только умеренно",wear_trace:след износа | repair_trace:след починки,archaeological_rus; iconographic,master:mc:WPN0048 | costume:AR018 | wk:claim:military-world-long-implements-need-clearance | lit:kirpichnikov_1971_ratnoe,B,M3,candidate,
