term_id,term_ru,gloss_en,category,source_refs,confidence,note
kt_otets,отец,father,family_head,standard Old East Slavic term; no dedicated per-row attestation in this group's book evidence (gap) — general historical-linguistic reference,B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_mati,мати / мать,mother,family_head,standard Old East Slavic term; general historical-linguistic reference (gap: no per-row attestation),B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_syn,сын,son,child,standard Old East Slavic term; general historical-linguistic reference (gap: no per-row attestation),B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_dchi,дъчи / дочь,daughter,child,standard Old East Slavic term; general historical-linguistic reference (gap: no per-row attestation),B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_brat,брат,brother,sibling,"book:641351 §2988 (БЕРЕСТЯНЫЕ ГРАМОТЫ > ПЕРЕВОД) — брат as active kin role (защита замужней сестры), c1230",A,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_sestra,сестра,sister,sibling,"book:641351 §2984/§2988 (БЕРЕСТЯНЫЕ ГРАМОТЫ > ПЕРЕВОД), c1230",A,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_ded,дѣдъ,grandfather,elder_kin,standard Old East Slavic term; general historical-linguistic reference (gap: no per-row attestation),B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_baba,баба,pojhilaya zhenshchina / midwife (NOT grandmother),elder_kin,"book:499410 §99: «Баба» значило пожилую, опытную в домашних делах женщину (и повитуху), а не «бабушку» — gloss fixed, was wrongly 'grandmother'",B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_vnuk,вънукъ,grandson,junior_kin,standard Old East Slavic term; general historical-linguistic reference (gap: no per-row attestation),B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_muzh,мужь,husband,spouse,"book:641351 §1678/§1680 (СЛОВО ДАНИИЛА ЗАТОЧНИКА > ПЕРЕВОД), c1230",A,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_zhena,жена,wife,spouse,"book:641351 §1678/§2976 (СЛОВО ДАНИИЛА ЗАТОЧНИКА; БЕРЕСТЯНЫЕ ГРАМОТЫ), c1230",A,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_vdova,вдова,widow,spouse_status,"book:641351 §2847/§2855-2856 (РУССКАЯ ПРАВДА, ПРОСТРАННАЯ РЕДАКЦИЯ > ПЕРЕВОД) — вдова's rights, c1230",A,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
