recipe,reason_rejected,earliest_known_date,problematic_ingredients,sources_checked,status
Картофельные блюда,Картофель — постколумбов продукт; для Новгорода 1230 года невозможен.,после Колумбова обмена; в России значительно позднее XIII века,"[""картофель""]","[""FSRC001"",""SRC044""]",anachronistic
Томатные блюда и соусы,Томат — постколумбов продукт.,после Колумбова обмена,"[""томат""]","[""FSRC001"",""SRC044""]",anachronistic
Кукурузная каша или хлеб,"Кукуруза — американская культура, отсутствующая в Европе 1230 года.",после Колумбова обмена,"[""кукуруза""]","[""FSRC001"",""SRC044""]",anachronistic
Блюда с подсолнечным маслом,Подсолнечник и массовое подсолнечное масло для данного времени невозможны.,после Колумбова обмена,"[""подсолнечное масло""]","[""FSRC001"",""SRC044""]",anachronistic
Блюда с перцем чили,Чили — постколумбов продукт; не смешивать с возможным дорогим чёрным перцем.,после Колумбова обмена,"[""перец чили""]","[""FSRC001"",""SRC027""]",anachronistic
Чай как обычный напиток,Нет основания для бытового чая в Новгороде 1230 года.,распространение в России значительно позднее,"[""чайный лист""]","[""SRC027"",""SRC031""]",anachronistic
Кофе,Нет исторического и торгового основания для Новгорода 1230 года.,европейское распространение значительно позднее,"[""кофе""]","[""SRC027"",""SRC031""]",anachronistic
Какао или шоколад,"Американское сырьё, невозможное до Колумбова обмена.",после Колумбова обмена,"[""какао""]","[""SRC027"",""FSRC001""]",anachronistic
Ванильная выпечка,Ваниль — американское сырьё; современная форма выпечки поздняя.,после Колумбова обмена,"[""ваниль""]","[""SRC027"",""FSRC001""]",anachronistic
Сахарное варенье современного типа,"Не подтверждены современная сахарная рецептура, концентрация и бытовая доступность сахара.",конкретная современная форма позднее 1230 года,"[""рафинированный сахар""]","[""FSRC001"",""SRC027""]",unsupported_late_form
Майонез,Современный эмульсионный соус не относится к пищевой системе XIII века.,значительно позднее XIII века,"[""современная рецептура майонеза""]","[""SRC027""]",anachronistic
Современный овощной салат,"Современная композиция, нарезка, заправка и сервировка не доказаны для 1230 года.",форма не подтверждена для XIII века,"[""современная рецептурная композиция""]","[""FSRC001"",""SRC044""]",unsupported_late_form
Борщ современного типа,Название и поздняя рецептурная традиция не доказывают борщ 1230 года; набор овощей и технология не установлены.,современная форма позднее; точную раннюю дату здесь не утверждаем,"[""поздняя стандартизированная композиция""]","[""FSRC001"",""SRC027"",""SRC044""]",unsupported_name_and_form
Щи современного типа,"Капустная похлёбка возможна, но современное название и рецептура не переносятся назад автоматически.",современная форма не установлена для 1230 года,"[""поздняя рецептурная модель""]","[""FSRC001"",""SRC044""]",use_neutral_reconstruction_instead
Уха современного типа,"Рыбная похлёбка возможна и включена, но современное видовое/пряное понимание ухи не доказано.",современная форма не установлена для 1230 года,"[""поздняя рецептурная модель""]","[""FSRC002"",""FSRC003"",""SRC025""]",use_neutral_reconstruction_instead
Современные блины,Жидкое мучное изделие на нагретой поверхности возможно лишь как осторожная реконструкция; поздняя рецептура блинов не доказана.,конкретная современная рецептура не установлена для 1230 года,"[""поздняя рецептура и сервировка""]","[""FSRC004"",""SRC008""]",use_cautious_batter_cake_instead
Современные оладьи,Нет достаточного основания для точной поздней формы; допустима только нейтральная C-реконструкция жидкого теста.,конкретная форма не установлена для 1230 года,"[""поздняя рецептурная форма""]","[""FSRC004"",""SRC008""]",use_cautious_batter_cake_instead
Пельмени как обычное новгородское блюдо,Не найдено достаточного основания для автоматического включения в Новгород 1230 года.,региональная и терминологическая история требует отдельного исследования,"[""неподтверждённая локальная технология и название""]","[""SRC027"",""SRC044"",""FSRC001""]",unsupported_for_region_and_date
Современные макаронные изделия,Нет основания для домашней новгородской технологии и современной формы макарон.,конкретная форма не подтверждена для 1230 года,"[""современная формовка теста""]","[""SRC027"",""SRC044""]",unsupported_for_region_and_date
Водка современного типа,Дистиллированный крепкий напиток современной русской традиции не относится к 1230 году.,значительно позднее XIII века,"[""дистилляция спирта в современной форме""]","[""SRC027"",""FSRC005"",""FSRC006""]",anachronistic
Современный пряник,"Медовая выпечка возможна осторожно, но поздняя формула пряника, специи и форма не доказаны.",конкретная современная форма позднее; ранний аналог не равен ей,"[""поздняя смесь пряностей и формовка""]","[""SRC027"",""FSRC004""]",use_cautious_honey_bake_instead
Голубцы,Не найдено основания для фаршированных капустных листьев как новгородского блюда 1230 года.,не подтверждено для XIII века,"[""неподтверждённая составная технология""]","[""FSRC001"",""SRC044""]",unsupported_for_region_and_date
Квашеная капуста по современной стандартизированной рецептуре,"Молочнокислая ферментация овощей технологически возможна, но точная поздняя рецептура и массовость не доказаны.",конкретная форма не установлена для 1230 года,"[""современная дозировка и технология""]","[""FSRC001"",""SRC044""]",use_context_only_fermentation_process
Копчёная рыба как универсальный повседневный продукт,"Дымовая обработка возможна, но сознательное контролируемое копчение не должно автоматически подменять сушение/посол.",технология не датирована здесь как массовая для Новгорода 1230,"[""не ингредиент, а преувеличенная технология""]","[""FSRC002"",""SRC025""]",context_only
Колбаса как обычный городской продукт,"Кишечные оболочки и мясная переработка возможны, но конкретный массовый колбасный продукт для Новгорода 1230 года не подтверждён.",не подтверждено для региона/даты,"[""неподтверждённая рецептура и хранение""]","[""FSRC010"",""SRC040"",""SRC041""]",unsupported_for_region_and_date
