sc_id,source_scene_id,name_ru,scene_type,scene_kind,pf_ids,bt_ids,location_scope,required_items,allowed_items,forbidden_items,furniture,quantity_rules,placement_rules,condition,season_variants,light,smoke,smell,sound,ambience_refs,source_refs,confidence,status
sc_scn001,SCN001,Бедный городской дом летом,domestic,interior,dwelling_interior|town_courtyard,bt_izba_heated_single|bt_klet_dwelling,жилая усадьба,ARC0021|INT0007|FUR0002|FUR0008|POT0019|POT0001,HOU0016|HOU0015|HOU0001|MSC0046|MSC0035,AP001|AP003|AP052,INT0007|FUR0002|FUR0008,1 дом; 1 печь; 1–2 лавки; 1 малый стол; 3–7 сосудов; 1–3 тары,Печь у стены/угла по выбранному плану; лавки вдоль стен; минимум свободностоящей мебели.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето; больше света через дверь, грязь/пыль по погоде","днём свет от двери и малых окон, углы темнее; вечером — огонь печи, лучина в светце",при топке дым стелется под потолком и уходит через волок и дверь; копоть на верхних венцах,"дым, печёный хлеб или каша, овчина, сырое дерево","треск печи, голоса семьи, скрип двери",wk:claim:reconstructed-dwelling-interior-light-and-air-change-with-opening-weather-and-fuel|wk:claim:practical-dwelling-smoke-draft|matcult:INT0006|matcult:INT0035,matcult_scene:SCN001|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC005|matcult_src:SRC012|matcult_src:SRC089|matcult_src:SRC008|matcult_src:SRC067|matcult_src:SRC006|matcult_src:SRC024|matcult_src:SRC080,B,candidate
sc_scn002,SCN002,Бедный городской дом зимой,domestic,interior,dwelling_interior|town_courtyard,bt_izba_heated_single|bt_klet_dwelling,жилая усадьба,ARC0021|INT0007|FUR0002|MSC0046|MSC0025,HOU0016|HOU0001|HOU0002|POT0019|POT0001,AP001|AP003|AP052,INT0007|FUR0002,1 дом; 1 печь; 1–2 лавки; 1 запас топлива; 2–6 сосудов,Плотная внутренняя организация вокруг источника тепла; не превращать печь в этнографическую русскую печь XIX века.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","зима; закрытые проёмы, снег у входа, больше топлива","днём свет от двери и малых окон, углы темнее; вечером — огонь печи, лучина в светце",при топке дым стелется под потолком и уходит через волок и дверь; копоть на верхних венцах,"дым, печёный хлеб или каша, овчина, сырое дерево","треск печи, голоса семьи, скрип двери",wk:claim:reconstructed-dwelling-interior-light-and-air-change-with-opening-weather-and-fuel|wk:claim:practical-dwelling-smoke-draft|matcult:INT0006|matcult:INT0035,matcult_scene:SCN002|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC005|matcult_src:SRC012|matcult_src:SRC089|matcult_src:SRC008|matcult_src:SRC067|matcult_src:SRC006|matcult_src:SRC025|matcult_src:SRC061,B,candidate
sc_scn003,SCN003,Дом городского ремесленника,domestic_workshop,interior,dwelling_interior|ordinary_workshop,bt_izba_heated_single|bt_workshop_yard,ремесленная усадьба,ARC0020|ARC0031|FUR0008|FUR0001|CRF0138|CRF0001|CRF0002,HOU0002|HOU0016|MSC0002|MSC0001|MSC0003,AP001|AP003|AP052,FUR0008|FUR0001,1 жилой сруб; 1 рабочая зона; 4–10 инструментов; 1–3 запаса сырья,"Жилая и рабочая зоны связаны, но грязное производство вынесено к двору/отдельной постройке, когда это функционально.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",свет направлен к рабочему месту у двери или окна,дым печи в жилой части,"стружка, кожа или нитки по ремеслу, дым","стук инструмента, разговор",matcult:INT0019|wk:claim:reconstructed-dwelling-interior-light-and-air-change-with-opening-weather-and-fuel,matcult_scene:SCN003|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC005|matcult_src:SRC012|matcult_src:SRC089|matcult_src:SRC019|matcult_src:SRC006|matcult_src:SRC008|matcult_src:SRC032|matcult_src:SRC033,C,candidate
sc_scn004,SCN004,Дом купца,domestic_merchant,interior,dwelling_interior|cellar_granary|town_courtyard,bt_pyatistenok|bt_klet_ambar,торговая городская усадьба,ARC0001|ARC0002|FUR0026|FUR0006|FUR0008|TRD0037|TRD0052|TRD0001,POT0001|POT0002|POT0003|WRT0014|WRT0001,AP001|AP003|AP052,FUR0026|FUR0006|FUR0008,1–2 жилых/складских строения; 2–5 сундуков/ларей; 1 весовой комплект; 5–20 единиц тары/товара,Хранение и счёт отделены от жилой зоны; дорогие вещи не выставлены случайно и остаются property контекста.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов","полумрак клети, свет от двери",в жилой части — дым печи,"воск, мех, кожа, дёготь","скрип крышек ларей, счёт вполголоса",nov1230db:B031|matcult_scene:SCN004,matcult_scene:SCN004|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC005|matcult_src:SRC012|matcult_src:SRC089|matcult_src:SRC007|matcult_src:SRC006|matcult_src:SRC008|matcult_src:SRC032|matcult_src:SRC009,C,candidate
sc_scn005,SCN005,Боярская усадьба,estate,exterior,town_courtyard|outbuildings,bt_horomy|bt_klet_ambar|bt_palisade_fence|bt_yard_gate,крупная городская усадьба,ARC0018|ARC0015|ARC0001|ARC0002|FUR0026|FUR0008|TRD0006|TRD0050,HRS0034|HRS0035|REL0001|REL0008|MIL0003|MIL0001,AP001|AP003|AP052,FUR0026|FUR0008,2–6 строений; ограда и ворота; 1–2 склада; ограниченные статусные предметы,Несколько построек вокруг двора; хозяйственные и статусные зоны различаются; никакого дворца Московского царства.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов","открытый двор, тень частокола",дымки над кровлями при топке,"навоз, щепа, дым","лай собак, ворота, работа во дворе",wk:claim:composite-urban-quarter,matcult_scene:SCN005|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC005|matcult_src:SRC012|matcult_src:SRC089|matcult_src:SRC007|matcult_src:SRC006|matcult_src:SRC008|matcult_src:SRC032|matcult_src:SRC009,B,candidate
sc_scn006,SCN006,Бедная городская усадьба,estate,exterior,town_courtyard,bt_izba_heated_single|bt_palisade_fence,плотная городская застройка,ARC0021|ARC0017|ARC0001|MSC0046|MSC0011,LIV0005|LIV0016|HOU0031|HOU0019,AP001|AP003|AP052,,1 жилое и 0–2 хозяйственных строения; 1 малая зона хранения,"Малый двор, тесные проходы, минимум специализированных построек; отходы локальны.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов","открытый двор, тень частокола",дымки над кровлями при топке,"навоз, щепа, дым","лай собак, ворота, работа во дворе",wk:claim:composite-urban-quarter,matcult_scene:SCN006|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC005|matcult_src:SRC012|matcult_src:SRC089|matcult_src:SRC025|matcult_src:SRC067|matcult_src:SRC040|matcult_src:SRC041|matcult_src:SRC042,B,candidate
sc_scn007,SCN007,Торговая усадьба у берега,estate,exterior,town_courtyard|river_wharf,bt_riverside_warehouse|bt_wharf_vymol,прибрежный городской участок,ARC0020|ARC0001|STR0011|STR0001|TRD0047|TRD0052|TRD0037,WTR0038|WTR0017|LTR0017|LTR0028,AP001|AP003|AP052,,1 склад; 1 пристань/сходни; 5–30 единиц тары; 0–2 транспортных средства,"Склад ориентирован к воде и дворовому проезду; груз перемещается по сходням, не телепортируется.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов","открытый двор, тень частокола",дымки над кровлями при топке,"навоз, щепа, дым","лай собак, ворота, работа во дворе",wk:claim:composite-urban-quarter,matcult_scene:SCN007|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC005|matcult_src:SRC012|matcult_src:SRC089|matcult_src:SRC013|matcult_src:SRC083|matcult_src:SRC011|matcult_src:SRC031|matcult_src:SRC009,B,candidate
sc_scn008,SCN008,Сельский крестьянский двор,rural_estate,exterior,peasant_homestead|outbuildings,bt_izba_heated_single|bt_khlev|bt_klet_ambar,Новгородская земля,ARC0020|ARC0018|ARC0002|AGR0023|AGR0012|AGR0003|LIV0024|LIV0030|LIV0005,LTR0017|LTR0028|MSC0040|MSC0046|MSC0001,AP001|AP003|AP052,,1 жилое строение; 2–5 хозяйственных; 2–8 крупных и мелких животных по достатку,"Жилище, хранение зерна и скотные зоны функционально связаны; не копировать двор XIX века целиком.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",открытый двор,дым из волоков избы,"навоз, сено, дым","скот, куры, стук топора",wk:claim:rural-household-economy-context,matcult_scene:SCN008|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC005|matcult_src:SRC012|matcult_src:SRC089|matcult_src:SRC007|matcult_src:SRC044|matcult_src:SRC045|matcult_src:SRC046|matcult_src:SRC008,B,candidate
sc_scn009,SCN009,Церковная усадьба,religious_estate,exterior,churchyard|church_interior,bt_church_wooden|bt_church_stone,городской церковный участок,ARC0008|ARC0018|ARC0001|REL0008|REL0001,WRT0022|WRT0001|HOU0031|HOU0002,AP001|AP003|AP052,,1 храм; 1–3 хозяйственных строения; ограниченная утварь,Небольшой храм и хозяйственные помещения без позднего большого монастырского ансамбля.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов","двор у храма, свет из дверей храма",,"воск у входа, мокрая земля дорожек","голоса у входа, пение при службе",wk:claim:reconstructed-churchyard-weather-foot-traffic-and-care-alter-observable-traces,matcult_scene:SCN009|matcult_src:SRC019|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC005|matcult_src:SRC012|matcult_src:SRC089|matcult_src:SRC017|matcult_src:SRC018|matcult_src:SRC020|matcult_src:SRC062,B,candidate
sc_scn010,SCN010,Сапожная мастерская,workshop,interior,ordinary_workshop,bt_workshop_yard,ремесленная усадьба,CRF0106|CRF0050|CRF0001|CRF0002|FUR0001|MSC0003,HOU0016|HOU0015|TRD0001|TRD0003,AP001|AP003|AP052,FUR0001,1 рабочее место; 5–15 инструментов/колодок; 1–3 связки кожи; заметные обрезки,Инструменты сгруппированы у низкой рабочей скамьи; колодки и выкройки не лежат декоративным набором.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",свет от двери и проёма к рабочему месту; у огневых ремёсел — отсвет огня,у огневых ремёсел дым и гарь,"по ремеслу: уголь и окалина, кожа, глина, костяная пыль","стук, скрежет, шипение закалки",wk:claim:ordinary-life-smith-fire-needs-managed-space|wk:claim:reconstructed-place-work-hot-heavy-or-moving-work-benefits-from-clearance,matcult_scene:SCN010|matcult_src:SRC032|matcult_src:SRC033|matcult_src:SRC005|matcult_src:SRC061|matcult_src:SRC089|matcult_src:SRC006|matcult_src:SRC008|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC025,C,candidate
