origin_profile_id,name_ru,who,presence_confidence,clothing_difference,local_adaptation,combo_refs,runtime_selector,source_refs,reliability_note,status
orig_fg001,Готландские купцы,Сезонные торговцы и служащие Готского/Немецкого двора.,A,"Западно-/североевропейская туника, раздельные шоссы, кольцевая брошь, отдельный капюшон и западные поясные детали.","Могли покупать местную обувь, мех, пищу и ремонтировать вещи у новгородских мастеров.",CMB036,missing: origin is not a clothing variant selector,costume:FG001|costume:SRC028|costume:SRC029|costume:SRC049,Присутствие надёжно; полный костюм реконструируется по западным аналогиям B.,candidate
orig_fg002,Немецкие купцы,"Купцы, приказчики, слуги и ремесленники при Немецком дворе.",A,"Западная одежда начала XIII в.; отличия прежде всего в шоссах, капюшонах, типах застёжек и качестве сукна.","Длительное сезонное пребывание делало смешение местной обуви, меха и ремонта вероятным.",CMB037,missing: origin is not a clothing variant selector,costume:FG002|costume:SRC028|costume:SRC049,Не изображать позднеганзейский костюм XIV–XV вв.,candidate
orig_fg003,Скандинавы / «варяги» в широком разговорном смысле,"Купцы, моряки, охрана и отдельные дружинные люди из скандинавского мира.",B,"Христианский североевропейский костюм XIII в., близкий западному; кольцевые броши и отдельные поясные детали.","Легко сочетали местный мех, обувь и бытовые вещи с привезённой одеждой.",CMB038,missing: origin is not a clothing variant selector,costume:FG003|costume:SRC028|costume:SRC035|costume:SRC049,"Никаких рогатых шлемов, черепаховидных фибул и ранневикингского набора по умолчанию.",candidate
orig_fg004,Балтийские группы,"Эсты/чудь, ливы, латгалы и другие жители восточной Балтики в торговом, дипломатическом, пленном или военном контексте — конкретизировать сцену.",B,"Региональные бронзовые украшения, отдельные формы булавок/цепей, шерстяные полотнищные одежды; точный набор зависит от группы.",В городе могли носить местную обувь и купленные ткани; этничность нельзя выводить из одной вещи.,CMB039,missing: origin is not a clothing variant selector,costume:FG004|costume:SRC035|costume:SRC036|costume:SRC037,Женский комплект с цепными булавками пока C и основан на предварительной публикации.,candidate
orig_fg005,"Водь, ижора, корела и другие финно-угорские группы Новгородской земли","Жители зависимых/соседних территорий, торговцы, данники, проводники, промысловики и горожане смешанного происхождения.",A–B,"Некоторые шейные гривны, спиральные детали, пластинчатые браслеты и способы скрепления одежды; не единая «финно-угорская форма».","Сильное взаимопроникновение тканей, обуви и городских вещей; локальный человек мог выглядеть почти по-новгородски.",CMB040,missing: origin is not a clothing variant selector,costume:FG005|costume:SRC035|costume:SRC036,Основные комплексы XI–XII вв.; перенос к 1230 только как осторожная преемственность.,candidate
orig_fg006,Русские из других княжеств,"Купцы, послы, духовные лица, дружинники, паломники и переселенцы.",A,"Основа костюма близка; различия в локальных украшениях, поясе, воинских и головных деталях.","Местная обувь, мех и ткань могли быстро смешиваться с привезёнными вещами.",CMB041,missing: origin is not a clothing variant selector,costume:FG006|costume:SRC006|costume:SRC021|costume:SRC022|costume:SRC023|costume:SRC029|costume:SRC050,Не создавать цветовую «национальную униформу» каждого княжества.,candidate
orig_fg007,Латинское духовенство и паломники,"Капелланы, священники при дворе, паломники и церковные гости западного обряда.",B,"Западный длинный клирикальный костюм, капюшон/плащ и отличные литургические детали.",В быту могли использовать местные меховые и обувные вещи.,CMB042,missing: origin is not a clothing variant selector,costume:FG007|costume:SRC028|costume:SRC043,Конкретный орден или форма не назначаются без отдельного источника.,candidate
orig_fg008,Православные духовные лица и паломники из других земель,"Монахи, священники, посланники монастырей и паломники.",A–B,"Обычно невелики; различия в качестве ткани, местной традиции головного покрова и литургических деталях.","Бытовой комплект легко заменялся местными тканями, обувью и плащами.",,missing: origin is not a clothing variant selector,costume:FG008|costume:SRC013|costume:SRC025|costume:SRC043|costume:SRC050,Не делать экзотическими.,candidate
orig_fg009,Иностранные наёмники или дружинные элементы,"Отдельные профессиональные воины, охрана купцов или союзные бойцы извне.",C,"Базовая кольчуга, шлем, щит и оружие общеевропейского круга с одной региональной деталью.","Оружие, ремонт, обувь и одежда могли быть смешанными.",CMB043,missing: origin is not a clothing variant selector,costume:FG009|costume:SRC021|costume:SRC022|costume:SRC023|costume:SRC028|costume:SRC035|costume:SRC050,Не использовать как массовую экзотическую фракцию.,candidate
orig_fg010,Греческие/византийские духовные лица или мастера — редкие гости,"Редкий клирик, художник, мастер или участник церковной связи.",C,"Византийские церковные или городские детали, но не роскошный императорский костюм.","В северном климате необходимы местные шерсть, мех и обувь.",,missing: origin is not a clothing variant selector,costume:FG010|costume:SRC004|costume:SRC025|costume:SRC043,Не считать обычной уличной группой; использовать только в обоснованной сцене.,candidate
