anti_id,name_ru,why_wrong,replacement
ANTI001,Позднемосковский кафтан XVI–XVII вв.,"Поздний крой, застёжка, воротник и силуэт.","Туникообразная шерстяная одежда, свита или простой плащ."
ANTI002,Косоворотка XIX века,Боковая застёжка и фольклорная стилизация анахроничны.,Прямая сорочица с простой горловиной и минимальной отделкой.
ANTI003,Сплошная яркая «славянская» вышивка,Не подтверждена как массовый визуальный язык костюма 1230.,Локальная неброская отделка по горловине/краю при наличии основания.
ANTI004,Фэнтезийные кожаные жилеты и наплечники,Не являются типовой защитой или одеждой Новгорода XIII века.,"Тканевые слои, рабочий передник или кольчуга у обеспеченного воина."
ANTI005,Поголовные лапти у городского населения,Новгородская археология даёт богатый набор хорошо сшитой кожаной обуви.,"Поршни, мягкие туфли, полуботинки и сапоги по статусу."
ANTI006,Карикатурная высокая меховая шапка,Поздние и театральные формы подменяют раннесредневековый костюм.,Компактная мягкая тканевая или меховая шапка.
ANTI007,Образ «викинга» X века,"В 1230 скандинавский приезжий — христианский купец/воин своего времени, а не языческий викинг.",Западно-/североевропейский костюм начала XIII в. с одним региональным акцентом.
ANTI008,Образ «монгола» по умолчанию,Монгольские клише не объясняют новгородский местный костюм и вооружение.,Древнерусские и североевропейские формы; восточные влияния только по конкретному источнику.
ANTI009,Униформа всех сословий,"Материалы, качество, цвет, количество слоёв и аксессуары зависели от достатка и роли.","Варьировать ткань, износ, обувь, украшения и доспех."
ANTI010,Полные латные доспехи,Пластинчатая рыцарская броня XIV–XV вв. анахронична.,"Кольчуга, шлем, щит; редкий и осторожный пластинчатый вариант."
ANTI011,Рогатые шлемы,Фантазийный/театральный штамп.,Конические и сфероконические железные шлемы без рогов.
ANTI012,Шкуры наружу и «варварский» меховой костюм,"Мех был практическим утеплителем и статусным материалом, но не дикарской униформой.","Кожух мехом внутрь, ограниченная видимая опушка."
ANTI013,Современный корсет и подчёркнутая талия,Не соответствует конструкции женской одежды первой половины XIII в.,Длинные мягкие слои с естественной посадкой и поясом.
ANTI014,Кокошник позднего типа,Высокие жёсткие кокошники относятся к иным эпохам и региональным традициям.,"Нижний чепец/повой, покрывало, низкое очелье или девичья лента."
ANTI015,Сарафан как универсальная новгородская форма 1230,Точная сарафанная модель для этого времени не должна приниматься без доказательства.,Длинная сорочица плюс шерстяная верхняя одежда; понёва только C-гипотеза.
ANTI016,Современные сапоги с каблуком и жёстким носком,Средневековая новгородская обувь была мягкой и плоской.,"Мягкая кожаная подошва, ручные швы, умеренное голенище."
ANTI017,Яркий хлопчатобумажный ситец,Хлопок не является обычным материалом Новгорода около 1230; набивные фабричные принты поздние.,"Лён, конопля, шерсть; редкий шёлк как отделка."
ANTI018,Одинаковые доспехи у дружины и ополчения,Снаряжение зависело от профессионализма и достатка.,"Ополчение — щит, копьё/топор, редкий простой шлем; дружина — кольчуга, шлем, меч/копьё."
ANTI019,Геральдическая униформа и развитые гербы,Не следует переносить позднюю западную геральдическую систему на всех воинов Новгорода 1230.,Простая окраска щитов и индивидуальные знаки только при источнике.
ANTI020,Ювелирная перегрузка каждой женщины,"Элитные колты, рясна и золото были редкими.","Бусы, простые серьги/кольца у средних слоёв; элитные комплекты — единично."
