step_id,recipe_id,step_number,action,input_item_ids,input_ingredient_ids,tool_ids,vessel_ids,duration,heat,result_state
RST000001,RCP0001,1,"Разложить зерно небольшим слоем и выбрать камни, сор и испорченные зёрна.","[""FOD0051""]","[""ING0005""]","[""POT0002""]","[""HOU0019""]",10–60 min,none,cleaned
RST000002,RCP0001,2,"Провеять зерно на ветру или пересыпанием, отделяя лёгкую мякину.","[""FOD0051""]","[""ING0005""]","[""POT0030""]","[""HOU0019""]",10–60 min,none,cleaned
RST000003,RCP0001,3,Собрать очищенное зерно в сухую тару.,"[""FOD0051""]","[""ING0005""]",[],"[""HOU0015""]",5–15 min,none,stored
RST000004,RCP0002,1,"Проверить, что зерно сухое и очищенное.","[""FOD0051""]","[""ING0005""]",[],"[""HOU0019""]",5–10 min,none,cleaned
RST000005,RCP0002,2,"Дробить зерно жерновами или в ступе, не доводя всё до тонкой муки.","[""FOD0051""]","[""ING0005""]","[""AGR0017"",""POT0032"",""POT0029""]",[],20–120 min,none,crushed
RST000006,RCP0002,3,Просеять и отделить слишком крупные части и мучную пыль.,"[""FOD0051""]","[""ING0005""]","[""POT0030""]","[""HOU0019""]",10–30 min,none,groats
RST000007,RCP0002,4,Ссыпать крупу в сухую тару.,"[""OMI01290""]","[""ING0010""]",[],"[""HOU0015""]",5 min,none,stored
RST000008,RCP0003,1,Подготовить очищенное сухое зерно.,"[""FOD0051""]","[""ING0005""]",[],"[""HOU0019""]",5–15 min,none,cleaned
RST000009,RCP0003,2,Молоть зерно ручными жерновами; для водяной мельницы использовать отдельный контекст.,"[""FOD0051""]","[""ING0005""]","[""AGR0017""]",[],30–240 min,none,ground
RST000010,RCP0003,3,Просеять муку в зависимости от требуемой грубости.,"[""OMI01294""]","[""ING0015""]","[""POT0030"",""POT0031""]","[""HOU0019""]",10–45 min,none,flour
RST000011,RCP0003,4,Ссыпать муку и отдельно сохранить или удалить отруби.,"[""OMI01294""]","[""ING0015""]",[],"[""HOU0015""]",5–15 min,none,stored
RST000012,RCP0004,1,"Разложить зерно небольшим слоем и выбрать камни, сор и испорченные зёрна.","[""FOD0021""]","[""ING0006""]","[""POT0002""]","[""HOU0019""]",10–60 min,none,cleaned
RST000013,RCP0004,2,"Провеять зерно на ветру или пересыпанием, отделяя лёгкую мякину.","[""FOD0021""]","[""ING0006""]","[""POT0030""]","[""HOU0019""]",10–60 min,none,cleaned
RST000014,RCP0004,3,Собрать очищенное зерно в сухую тару.,"[""FOD0021""]","[""ING0006""]",[],"[""HOU0015""]",5–15 min,none,stored
RST000015,RCP0005,1,"Проверить, что зерно сухое и очищенное.","[""FOD0021""]","[""ING0006""]",[],"[""HOU0019""]",5–10 min,none,cleaned
RST000016,RCP0005,2,"Дробить зерно жерновами или в ступе, не доводя всё до тонкой муки.","[""FOD0021""]","[""ING0006""]","[""AGR0017"",""POT0032"",""POT0029""]",[],20–120 min,none,crushed
RST000017,RCP0005,3,Просеять и отделить слишком крупные части и мучную пыль.,"[""FOD0021""]","[""ING0006""]","[""POT0030""]","[""HOU0019""]",10–30 min,none,groats
RST000018,RCP0005,4,Ссыпать крупу в сухую тару.,"[""OMI01289""]","[""ING0014""]",[],"[""HOU0015""]",5 min,none,stored
RST000019,RCP0006,1,Подготовить очищенное сухое зерно.,"[""FOD0021""]","[""ING0006""]",[],"[""HOU0019""]",5–15 min,none,cleaned
RST000020,RCP0006,2,Молоть зерно ручными жерновами; для водяной мельницы использовать отдельный контекст.,"[""FOD0021""]","[""ING0006""]","[""AGR0017""]",[],30–240 min,none,ground
RST000021,RCP0006,3,Просеять муку в зависимости от требуемой грубости.,"[""OMI01298""]","[""ING0017""]","[""POT0030"",""POT0031""]","[""HOU0019""]",10–45 min,none,flour
RST000022,RCP0006,4,Ссыпать муку и отдельно сохранить или удалить отруби.,"[""OMI01298""]","[""ING0017""]",[],"[""HOU0015""]",5–15 min,none,stored
RST000023,RCP0007,1,"Разложить зерно небольшим слоем и выбрать камни, сор и испорченные зёрна.","[""FOD0022""]","[""ING0007""]","[""POT0002""]","[""HOU0019""]",10–60 min,none,cleaned
RST000024,RCP0007,2,"Провеять зерно на ветру или пересыпанием, отделяя лёгкую мякину.","[""FOD0022""]","[""ING0007""]","[""POT0030""]","[""HOU0019""]",10–60 min,none,cleaned
RST000025,RCP0007,3,Собрать очищенное зерно в сухую тару.,"[""FOD0022""]","[""ING0007""]",[],"[""HOU0015""]",5–15 min,none,stored
RST000026,RCP0008,1,"Проверить, что зерно сухое и очищенное.","[""FOD0022""]","[""ING0007""]",[],"[""HOU0019""]",5–10 min,none,cleaned
RST000027,RCP0008,2,"Дробить зерно жерновами или в ступе, не доводя всё до тонкой муки.","[""FOD0022""]","[""ING0007""]","[""AGR0017"",""POT0032"",""POT0029""]",[],20–120 min,none,crushed
RST000028,RCP0008,3,Просеять и отделить слишком крупные части и мучную пыль.,"[""FOD0022""]","[""ING0007""]","[""POT0030""]","[""HOU0019""]",10–30 min,none,groats
RST000029,RCP0008,4,Ссыпать крупу в сухую тару.,"[""OMI01291""]","[""ING0011""]",[],"[""HOU0015""]",5 min,none,stored
RST000030,RCP0009,1,Подготовить очищенное сухое зерно.,"[""FOD0022""]","[""ING0007""]",[],"[""HOU0019""]",5–15 min,none,cleaned
RST000031,RCP0009,2,Молоть зерно ручными жерновами; для водяной мельницы использовать отдельный контекст.,"[""FOD0022""]","[""ING0007""]","[""AGR0017""]",[],30–240 min,none,ground
RST000032,RCP0009,3,Просеять муку в зависимости от требуемой грубости.,"[""OMI01297""]","[""ING0018""]","[""POT0030"",""POT0031""]","[""HOU0019""]",10–45 min,none,flour
RST000033,RCP0009,4,Ссыпать муку и отдельно сохранить или удалить отруби.,"[""OMI01297""]","[""ING0018""]",[],"[""HOU0015""]",5–15 min,none,stored
RST000034,RCP0010,1,"Разложить зерно небольшим слоем и выбрать камни, сор и испорченные зёрна.","[""FOD0050""]","[""ING0008""]","[""POT0002""]","[""HOU0019""]",10–60 min,none,cleaned
RST000035,RCP0010,2,"Провеять зерно на ветру или пересыпанием, отделяя лёгкую мякину.","[""FOD0050""]","[""ING0008""]","[""POT0030""]","[""HOU0019""]",10–60 min,none,cleaned
RST000036,RCP0010,3,Собрать очищенное зерно в сухую тару.,"[""FOD0050""]","[""ING0008""]",[],"[""HOU0015""]",5–15 min,none,stored
RST000037,RCP0011,1,"Проверить, что зерно сухое и очищенное.","[""FOD0050""]","[""ING0008""]",[],"[""HOU0019""]",5–10 min,none,cleaned
RST000038,RCP0011,2,"Дробить зерно жерновами или в ступе, не доводя всё до тонкой муки.","[""FOD0050""]","[""ING0008""]","[""AGR0017"",""POT0032"",""POT0029""]",[],20–120 min,none,crushed
RST000039,RCP0011,3,Просеять и отделить слишком крупные части и мучную пыль.,"[""FOD0050""]","[""ING0008""]","[""POT0030""]","[""HOU0019""]",10–30 min,none,groats
RST000040,RCP0011,4,Ссыпать крупу в сухую тару.,"[""OMI01292""]","[""ING0012""]",[],"[""HOU0015""]",5 min,none,stored
RST000041,RCP0012,1,Подготовить очищенное сухое зерно.,"[""FOD0050""]","[""ING0008""]",[],"[""HOU0019""]",5–15 min,none,cleaned
RST000042,RCP0012,2,Молоть зерно ручными жерновами; для водяной мельницы использовать отдельный контекст.,"[""FOD0050""]","[""ING0008""]","[""AGR0017""]",[],30–240 min,none,ground
RST000043,RCP0012,3,Просеять муку в зависимости от требуемой грубости.,"[""OMI01296""]","[""ING0019""]","[""POT0030"",""POT0031""]","[""HOU0019""]",10–45 min,none,flour
RST000044,RCP0012,4,Ссыпать муку и отдельно сохранить или удалить отруби.,"[""OMI01296""]","[""ING0019""]",[],"[""HOU0015""]",5–15 min,none,stored
RST000045,RCP0013,1,"Разложить зерно небольшим слоем и выбрать камни, сор и испорченные зёрна.","[""FOD0023""]","[""ING0009""]","[""POT0002""]","[""HOU0019""]",10–60 min,none,cleaned
RST000046,RCP0013,2,"Провеять зерно на ветру или пересыпанием, отделяя лёгкую мякину.","[""FOD0023""]","[""ING0009""]","[""POT0030""]","[""HOU0019""]",10–60 min,none,cleaned
RST000047,RCP0013,3,Собрать очищенное зерно в сухую тару.,"[""FOD0023""]","[""ING0009""]",[],"[""HOU0015""]",5–15 min,none,stored
RST000048,RCP0014,1,"Проверить, что зерно сухое и очищенное.","[""FOD0023""]","[""ING0009""]",[],"[""HOU0019""]",5–10 min,none,cleaned
RST000049,RCP0014,2,"Дробить зерно жерновами или в ступе, не доводя всё до тонкой муки.","[""FOD0023""]","[""ING0009""]","[""AGR0017"",""POT0032"",""POT0029""]",[],20–120 min,none,crushed
RST000050,RCP0014,3,Просеять и отделить слишком крупные части и мучную пыль.,"[""FOD0023""]","[""ING0009""]","[""POT0030""]","[""HOU0019""]",10–30 min,none,groats
RST000051,RCP0014,4,Ссыпать крупу в сухую тару.,"[""OMI01293""]","[""ING0013""]",[],"[""HOU0015""]",5 min,none,stored
RST000052,RCP0015,1,Оставить часть зрелой кислой массы как основу.,"[""OMI01308""]","[""ING0022""]",[],"[""HOU0019""]",1–5 min,none,fermented
RST000053,RCP0015,2,Добавить ржаную муку и воду до густой массы.,"[""OMI01308"",""OMI01294"",""FMA0001""]","[""ING0022"",""ING0015"",""ING0001""]","[""POT0002""]","[""HOU0019""]",5–15 min,none,mixed
RST000054,RCP0015,3,Оставить в умеренно тёплом месте до заметного подкисления и пузырьков.,"[""OMI01308""]","[""ING0022""]",[],"[""HOU0019""]",8–24 h,warm_no_direct_heat,fermented
RST000055,RCP0015,4,"Использовать часть, а остаток сохранить недолго для следующего замеса.","[""OMI01308""]","[""ING0022""]",[],"[""HOU0021""]",0–48 h,none,stored
RST000056,RCP0016,1,Отделить чистый кусок кислого теста до выпечки.,"[""OMI01310""]","[""ING0024""]","[""POT0002""]","[""HOU0019""]",1–5 min,none,separated
RST000057,RCP0016,2,Слегка обсыпать мукой или держать в закрытой малой таре.,"[""OMI01310"",""OMI01294""]","[""ING0024"",""ING0015""]",[],"[""HOU0021""]",1–5 min,none,stored
RST000058,RCP0016,3,Использовать в следующем замесе до явной порчи.,"[""OMI01309""]","[""ING0023""]",[],"[""HOU0019""]",within days,none,starter_ready
RST000059,RCP0017,1,Отмерить муку реконструктивно по нужному размеру выпечки.,"[""OMI01294""]","[""ING0015""]",[],"[""HOU0019""]",5 min,none,measured
RST000060,RCP0017,2,Развести закваску или старое тесто водой.,"[""OMI01308"",""FMA0001""]","[""ING0022"",""ING0001""]","[""POT0002""]","[""HOU0019""]",5–10 min,none,mixed
RST000061,RCP0017,3,"Вмешать муку; соль допустима, но её наличие и количество не предполагаются автоматически.","[""OMI01294"",""FMA0001"",""OMI01308"",""FOD0037""]","[""ING0015"",""ING0001"",""ING0022"",""ING0003""]","[""POT0002""]","[""HOU0019""]",10–30 min,none,kneaded
RST000062,RCP0017,4,Оставить тесто бродить до подъёма и подкисления.,"[""OMI01310""]","[""ING0024""]",[],"[""HOU0019""]",3–12 h,warm_no_direct_heat,fermented
RST000063,RCP0018,1,Отмерить муку реконструктивно по нужному размеру выпечки.,"[""OMI01299""]","[""ING0020""]",[],"[""HOU0019""]",5 min,none,measured
RST000064,RCP0018,2,Развести закваску или старое тесто водой.,"[""OMI01308"",""FMA0001""]","[""ING0022"",""ING0001""]","[""POT0002""]","[""HOU0019""]",5–10 min,none,mixed
