sf_id,name_ru,level,settlement_kind,region_id,pf_ids,place_template_ids,v6_template_type,v6_g3_count,v6_place_template_ids,v6_household_estimate,v6_household_mix,area_m2_min,area_m2_max,yard_layout,street_elements,fence_types,source_refs,confidence,status,notes
sf_yard_urban_poor,бедная городская усадьба,yard,urban_yard,,town_courtyard|dwelling_interior,pt_posad_suburb,,0,,,,,,узкий участок за частоколом; жилой сруб у улицы или в глубине; малое место хранения; минимум свободного двора,,bt_palisade_fence,matcult_scene:SCN006|nov1230db:B027|matcult_scene:SCN001|matcult_scene:SCN002,B,candidate,
sf_yard_urban_ordinary,рядовая городская усадьба,yard,urban_yard,,town_courtyard|dwelling_interior|outbuildings|cellar_granary,pt_posad_suburb,,0,,,,,,"длинное узкое владение за частоколом; ворота на улицу; жилой дом, хозяйственные клети и навесы; дворовый настил",bt_yard_deck,bt_palisade_fence,nov1230db:B027|nov1230db:B028|nov1230db:S09|wk:claim:composite-urban-quarter|matcult:STR0013,B,candidate,
sf_yard_urban_craft,ремесленная городская усадьба,yard,urban_yard,,town_courtyard|ordinary_workshop|dwelling_interior|smithy,pt_posad_suburb,,0,,,,,,"мастерская встроена в усадебное хозяйство, часто у улицы; жилой сруб, склад сырья, отходы у края двора",bt_yard_deck,bt_palisade_fence,matcult_scene:SCN003|nov1230db:B033|wk:claim:settlement-workshop-street|matcult_scene:SCN064,B,candidate,
sf_yard_urban_merchant,купеческая городская усадьба,yard,urban_yard,,town_courtyard|dwelling_interior|cellar_granary,pt_posad_suburb,,0,,,,,,1–2 жилых/складских строения; сундуки и лари с товаром; весовой комплект,,bt_palisade_fence,matcult_scene:SCN004|matcult_scene:SCN023,C,candidate,
sf_yard_merchant_riverside,торговая усадьба у берега,yard,urban_yard,,town_courtyard|river_wharf|cellar_granary,pt_posad_suburb|pt_river_landing,,0,,,,,,"склад у воды, пристань или сходни; 5–30 единиц тары; 0–2 транспортных средства",,bt_palisade_fence,matcult_scene:SCN007|wk:claim:household-riverside-storage,B,candidate,
sf_yard_boyar,боярская усадьба,yard,urban_yard,,town_courtyard|dwelling_interior|outbuildings|cellar_granary|bathhouse,pt_estate_center,,0,,,,1200,1500,хоромы в глубине или у улицы; 2–6 строений; ограда и ворота; 1–2 склада; ремесленные зависимые на усадьбе,bt_yard_deck,bt_palisade_fence,matcult_scene:SCN005|nov1230db:B030|nov1230db:S11|nov1230db:S18,B,candidate,площадь 1200–1500 м² — крупные усадьбы квартала 38 (nov1230db S11)
sf_yard_church,церковная усадьба (причт),yard,church_yard,,churchyard|church_interior|town_courtyard,pt_rural_church_center|pt_pogost_center|pt_posad_suburb,,0,,,,,,храм; 1–3 хозяйственных строения; ограниченная утварь; дворик с дорожками,,,matcult_scene:SCN009|wk:claim:reconstructed-churchyard-weather-foot-traffic-and-care-alter-observable-traces,B,candidate,
sf_yard_peasant,сельский крестьянский двор,yard,rural_yard,,peasant_homestead|dwelling_interior|outbuildings|threshing_barn|orchard_garden,pt_village|pt_hamlet|pt_isolated_farmstead,,0,,,,,,1 жилое строение и 2–5 хозяйственных; огород у двора; гумно и овин ближе к полю; 2–8 животных по достатку,,bt_wattle_fence|bt_palisade_fence,matcult_scene:SCN008|wk:claim:rural-household-economy-context|wk:claim:rural-agriculture-crop-context,B,candidate,
sf_monastery,монастырь (деревянные корпуса при храме),complex,monastery,,monastery_yard|church_interior|churchyard|orchard_garden,pt_monastery,,0,,,,,,"дорожки связывают воду, кухню, сад, хозяйственные места и ворота; кельи; храм",,bt_palisade_fence,wk:claim:reconstructed-monastery-yard-can-coordinate-ordinary-outdoor-work-contextually|matcult_scene:SCN049|matcult:ARC0016|nov1230db:B018|nov1230db:B019,B,candidate,
sf_foreign_court,иноземный торговый двор (Готский/Немецкий),complex,foreign_court,region_novgorod_land,town_courtyard|cellar_granary|church_interior,pt_market_place,,0,,,,,,"закрываемый на ночь двор гостей с церковью, складскими и жилыми помещениями; 10–40 единиц тары",,bt_palisade_fence,nov1230db:B013|nov1230db:B014|nov1230db:S02|nov1230db:S10|matcult_scene:SCN024,B,candidate,позднюю ганзейскую контору не переносить целиком (nov1230db B014)
sf_street_urban,городская улица с мостовой,street,urban_street,,town_street,pt_posad_suburb|pt_city_major_center,,0,,,,,,частоколы усадеб по обе стороны; ворота выводят на улицу; мастерские фасадом к улице,bt_street_pavement|bt_street_drain|bt_lane|bt_yard_gate,bt_palisade_fence,nov1230db:B026|nov1230db:B027|matcult:STR0007|matcult_scene:SCN038|matcult_scene:SCN039|wk:claim:settlement-wooden-paving|wk:claim:settlement-workshop-street|wk:claim:settlement-cart-transport|ref:arhitekto_2russ27,A,candidate,
sf_quarter_urban_end,конец Новгорода (городская община),quarter,urban_end,region_novgorod_land,town_street|town_courtyard|churchyard,pt_posad_suburb|pt_city_major_center,,0,,,,,,улицы-магистрали и уличные общины; приходские храмы; усадьбы разного достатка,,,nov1230db:E01|nov1230db:E02|nov1230db:E03|nov1230db:E04|nov1230db:E05|nov1230db:I02|nov1230db:I03,B,candidate,пять концов — landmarks/landmarks.csv (category=end)
sf_torg,Торг: рыночная площадь с рядами,complex,market,region_novgorod_land,market_square|river_wharf|churchyard,pt_market_place,,0,,,,,,"плотная система рядов, проходов, настилов, весов, складов, храмов и дворов; мостовые ведут к вымолам",bt_street_pavement,,nov1230db:B012|matcult:STR0006|matcult_scene:SCN022|wk:claim:civic-public-market|wk:claim:river-landing-market-approaches,B,candidate,
