source_id,level,read_depth,title,url,use
SRC_PANT2001,B,full,Пантелеев А.В. 2001. Список птиц Новгородской области // Русский орнитологический журнал. Экспресс-выпуск 141: 331-343,https://cyberleninka.ru/article/n/spisok-ptits-novgorodskoy-oblasti,Regional bird checklist with literature per species since Петров 1885 (Приильменье). Presence in Novgorod region (modern/19th c.); no status/abundance.
SRC_MALPUK1983,B,extract,"Мальчевский А.С., Пукинский Ю.Б. 1983. Птицы Ленинградской области и сопредельных территорий. Л.: Изд-во ЛГУ. Т. 1-2 (электронная версия zoomet.ru, по видам)",https://zoomet.ru/mal/malchevski_oglav.html,"Per-species status (resident/migrant/passage), abundance words, arrival/departure, voice and nesting for NW Russia incl. Novgorod region. Species page URL is given in each bird row (malchevsky_page). Extracted by scripts/extract-malchevsky.py keyword digest; statements are modern (XIX-XX c.) and applied to 1230 as analogy."
SRC_VOLOGDA_MAMM,B,extract,"Звери Вологодской области (Вологда, после 1957; ред. В. К. Пудожгорский; автор на сайте не указан). Полный текст, booksite.ru",https://www.booksite.ru/fulltext/ter/iol/ogu/iya/index.htm,"Species accounts for mammals of the adjacent north-east of the historical Novgorod land (Белоозеро): activity, hibernation, moult, dens, nests, tracks, fur trade. Modern analogue."
SRC_VALDAY_NP,B,abstract,Валдайский национальный парк. Животные парка (официальный сайт),https://www.valdaypark.ru/fauna,"Modern mammal and bird composition inside Novgorod oblast (Валдай): >45 mammal species, 217 bird species; rare/Red Book species; synanthropes. Modern analogue only."
SRC_NBCRS,C,abstract,"Фауна. Новгородская область (nbcrs.org, популярный региональный обзор)",https://nbcrs.org/regions/novgorodskaya-oblast/fauna,Modern common/rare mammals of Novgorod oblast; acclimatised sika deer and raccoon dog; 11 mammal and 48 bird species in the regional Red Book. Popular source: used only for modern status and anachronism checks.
SRC_RYBINA2015,A,abstract,Рыбина Е.А. 2015. Промыслы в средневековом Новгороде (по археологическим материалам),https://cyberleninka.ru/article/n/promysly-v-srednevekovom-novgorode-po-arheologicheskim-materialam,"Birch-bark letters XII-XV c.: белка most frequent; куница 7 letters; бобр 5; песец, заяц, лисица, выдра, соболь, нерпа, росомаха once each; hides of elk, deer, bear. Bone-tipped blunt arrows (томары, ~120) used for valuable fur animals (sable, marten, stoat); wooden arrows >350 in X-XII c.; a whole ash hunting bow, XIII c. (WK claim:agriculture-fauna-ash-hunting-bow)."
SRC_HDBM2017,A,abstract,"Hamilton-Dyer S., Brisbane M., Maltby M. 2017. Fish, feather, fur and forest: Exploitation of wild animals in medieval Novgorod and its territory // Quaternary International 460: 97-107",https://doi.org/10.1016/j.quaint.2016.04.024,"Via WK research environment-agriculture-fauna.md FAU-02/FAU-04 and search abstract: wild mammals small dietary share; hare, beaver and elk most frequent wild bones; very few fur-bearer bones (bear claws, squirrel, marten, otter, fox, beaver); falconry attested in the territory."
SRC_MALTBY2020,A,abstract,"Maltby M., Hamilton-Dyer S., Zinoviev A.V., Sablin M. 2020. The exploitation of wild mammals in Novgorod and sites in its immediate hinterland // Animals and Archaeology in Northern Medieval Russia. Oxbow: 223-237",https://doi.org/10.2307/j.ctv138wsxr,"Search abstract only: 106 beaver from Troitsky sites, foot bones under-represented (skins), 35% butchery marks."
SRC_ELK_RUS2025,A,abstract,"Elk in Medieval Towns of Rus': Meat, Hides, and Antler Economies // International Journal of Osteoarchaeology (2025)",https://onlinelibrary.wiley.com/doi/10.1002/oa.70158,"Search abstract only: elk ~0.2% of identified mammal bones in medieval Novgorod, one third butchered, antler pedicles removed."
SRC_ZIN2025,A,abstract,Zinoviev A.V. 2025. When Synanthropic Birds Appeared in Medieval Novgorod the Great and Tver (Russia): Historical and Zooarchaeological Accounts // Int. J. Osteoarchaeology 35: 89-96,https://doi.org/10.1002/oa.70009,"Abstract (also WK claim:urban-bird-period-specific): corvids (raven, hooded crow, rook, jackdaw) and pigeon early urban adapters; feral pigeon and tree sparrow documented by the 13th c.; magpie and starling later-medieval colonisers of the town."
