bt_id,seq,bp_id,material,size_min,size_max,size_unit,count_rule,required,size_source,status
bt_izba_heated_single,1,bp_wall_crowns,mat_log_crown,4,9,m_side,4 стены,1,ref:arhitekto_2russ27,candidate
bt_izba_heated_single,2,bp_caulk_moss,mat_moss,,,,все пазы,1,,candidate
bt_izba_heated_single,3,bp_sill,mat_sill_log,,,,по периметру,1,,candidate
bt_izba_heated_single,4,bp_floor_plank,mat_plank_hewn,0.10,0.40,m_board_width,1 пол; альтернатива bp_floor_split,0,matcult:CON0035,candidate
bt_izba_heated_single,5,bp_floor_split,mat_plank_split,,,,1 пол; альтернатива bp_floor_plank,0,,candidate
bt_izba_heated_single,6,bp_ceiling_beam,mat_log_conifer,,,,1–2,1,,candidate
bt_izba_heated_single,7,bp_roof_gable,mat_roof_tes,,,,1; покрытие тёс или дрань,1,,candidate
bt_izba_heated_single,8,bp_roof_underlay_bark,mat_birch_bark,,,,по кровле,0,,candidate
bt_izba_heated_single,9,bp_door_plank,mat_plank_hewn,,,,1–2,1,,candidate
bt_izba_heated_single,10,bp_door_bar,mat_hardwood_bar,,,,1 на дверь,1,,candidate
bt_izba_heated_single,11,bp_stove_clay,mat_clay,,,,1 печь: глинобитная или каменно-глиняная; ~95% печей в углу,1,ref:rsl_zasurcev_search,candidate
bt_izba_heated_single,12,bp_stove_stone_clay,mat_hearth_stone,,,,альтернатива bp_stove_clay,0,,candidate
bt_izba_heated_single,13,bp_stove_base,mat_clay,,,,1 под печью,1,,candidate
bt_izba_heated_single,14,bp_smoke_path,mat_plank_hewn,,,,"1+ (волок, дверь, отверстие); трубы нет",1,,candidate
bt_izba_heated_single,15,bp_window_volok,mat_plank_hewn,,,,1–3,1,,candidate
bt_izba_heated_single,16,bp_window_shutter,mat_plank_hewn,,,,по числу окон,1,,candidate
bt_izba_heated_single,17,bp_bench_builtin,mat_plank_hewn,0.30,0.60,m_width,1–4 вдоль стен,1,matcult:FUR0018,candidate
bt_izba_heated_single,18,bp_shelf,mat_plank_hewn,0.5,2,m_length,1–3,0,matcult:INT0048,candidate
bt_izba_heated_single,19,bp_peg,mat_wood_peg,,,,3–10,0,,candidate
bt_izba_heated_single,20,bp_sleep_platform,mat_plank_hewn,,,,0–2,0,,candidate
bt_izba_heated_single,21,bp_porch,mat_plank_split,,,,0–1,0,,candidate
bt_klet_dwelling,1,bp_wall_crowns,mat_log_crown,4,6,m_side,4 стены,1,matcult:ARC0021,candidate
bt_klet_dwelling,2,bp_caulk_moss,mat_moss,,,,все пазы,1,,candidate
bt_klet_dwelling,3,bp_sill,mat_sill_log,,,,по периметру,1,,candidate
bt_klet_dwelling,4,bp_floor_plank,mat_plank_hewn,0.10,0.40,m_board_width,1 пол; альтернатива bp_floor_split,0,matcult:CON0035,candidate
bt_klet_dwelling,5,bp_floor_split,mat_plank_split,,,,1 пол; альтернатива bp_floor_plank,0,,candidate
bt_klet_dwelling,6,bp_ceiling_beam,mat_log_conifer,,,,1–2,1,,candidate
bt_klet_dwelling,7,bp_roof_gable,mat_roof_tes,,,,1; покрытие тёс или дрань,1,,candidate
bt_klet_dwelling,8,bp_roof_underlay_bark,mat_birch_bark,,,,по кровле,0,,candidate
