row_id,season_period,from_anomaly,to_anomaly,weight,rule,source_refs,confidence,status
ant_winter__severe_cold__severe_cold,winter,an_severe_cold,an_severe_cold,44,self: (4x3-1) x Σ neighbours -> anomaly holds ~3 days,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_winter__severe_cold__cold,winter,an_severe_cold,an_cold,4,"adjacent step, W(common)","Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_winter__cold__cold,winter,an_cold,an_cold,99,self: (4x3-1) x Σ neighbours -> anomaly holds ~3 days,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_winter__cold__severe_cold,winter,an_cold,an_severe_cold,1,"adjacent step, W(rare)","Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_winter__cold__normal,winter,an_cold,an_normal,8,"adjacent step, W(ubiquitous)","Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_winter__normal__normal,winter,an_normal,an_normal,88,self: (4x3-1) x Σ neighbours -> anomaly holds ~3 days,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_winter__normal__cold,winter,an_normal,an_cold,4,"adjacent step, W(common)","Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_winter__normal__warm,winter,an_normal,an_warm,4,"adjacent step, W(common)","Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_winter__warm__warm,winter,an_warm,an_warm,88,self: (4x3-1) x Σ neighbours -> anomaly holds ~3 days,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_winter__warm__normal,winter,an_warm,an_normal,8,"adjacent step, W(ubiquitous)","Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_winter__hot__warm,winter,an_hot,an_warm,4,anomaly not allowed in this season: forced move to nearest allowed,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_spring__severe_cold__cold,spring,an_severe_cold,an_cold,4,anomaly not allowed in this season: forced move to nearest allowed,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_spring__cold__cold,spring,an_cold,an_cold,88,self: (4x3-1) x Σ neighbours -> anomaly holds ~3 days,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_spring__cold__normal,spring,an_cold,an_normal,8,"adjacent step, W(ubiquitous)","Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_spring__normal__normal,spring,an_normal,an_normal,88,self: (4x3-1) x Σ neighbours -> anomaly holds ~3 days,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_spring__normal__cold,spring,an_normal,an_cold,4,"adjacent step, W(common)","Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_spring__normal__warm,spring,an_normal,an_warm,4,"adjacent step, W(common)","Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
ant_spring__warm__warm,spring,an_warm,an_warm,88,self: (4x3-1) x Σ neighbours -> anomaly holds ~3 days,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч",C,candidate
