pp_id,entity_kind,name_ru,endonym,languages,faith,typical_occupations,pf_ids,presence_note,clothing_profile_ref,name_pool_ref,legal_status_ref,source_refs,confidence
pp_fg001,guest_itinerant,Готландские купцы,,,,Сезонные торговцы и служащие Готского/Немецкого двора.,,Археология торгового двора и документированный западный торговый контекст.,costume-dataset-v1:foreigner_profiles#FG001,unassigned,guest_status_unassigned,"game-base:sources.costume-dataset-v1/foreigner_profiles.csv#FG001 | costume-dataset-v1:source_ids#SRC028,SRC029,SRC049",A
pp_fg002,guest_itinerant,Немецкие купцы,,,,"Купцы, приказчики, слуги и ремесленники при Немецком дворе.",,"Археологически исследованный двор с западными пряжками, накладками, кольцами и руническими предметами.",costume-dataset-v1:foreigner_profiles#FG002,unassigned,guest_status_unassigned,"game-base:sources.costume-dataset-v1/foreigner_profiles.csv#FG002 | costume-dataset-v1:source_ids#SRC028,SRC049",A
pp_fg003,guest_itinerant,Скандинавы / «варяги» в широком разговорном смысле,,,,"Купцы, моряки, охрана и отдельные дружинные люди из скандинавского мира.",,Продолжающиеся северные торговые связи и Готландский двор; термин «викинг» для 1230 неверен как социальная норма.,costume-dataset-v1:foreigner_profiles#FG003,unassigned,guest_status_unassigned,"game-base:sources.costume-dataset-v1/foreigner_profiles.csv#FG003 | costume-dataset-v1:source_ids#SRC028,SRC035,SRC049",B
pp_fg004,guest_itinerant,Балтийские группы,,,,"Эсты/чудь, ливы, латгалы и другие жители восточной Балтики в торговом, дипломатическом, пленном или военном контексте — конкретизировать сцену.",,"Географическая близость, пограничная археология и балтийские вещи в Новгороде.",costume-dataset-v1:foreigner_profiles#FG004,unassigned,guest_status_unassigned,"game-base:sources.costume-dataset-v1/foreigner_profiles.csv#FG004 | costume-dataset-v1:source_ids#SRC035,SRC036,SRC037",B
pp_fg005,guest_itinerant,"Водь, ижора, корела и другие финно-угорские группы Новгородской земли",,,,"Жители зависимых/соседних территорий, торговцы, данники, проводники, промысловики и горожане смешанного происхождения.",,"Региональная археология Ижорского плато, Приладожья, Причудья и находки в Новгороде.",costume-dataset-v1:foreigner_profiles#FG005,unassigned,guest_status_unassigned,"game-base:sources.costume-dataset-v1/foreigner_profiles.csv#FG005 | costume-dataset-v1:source_ids#SRC035,SRC036",B
pp_fg006,guest_itinerant,Русские из других княжеств,,,,"Купцы, послы, духовные лица, дружинники, паломники и переселенцы.",,"Постоянные межкняжеские политические, церковные и торговые связи.",costume-dataset-v1:foreigner_profiles#FG006,unassigned,guest_status_unassigned,"game-base:sources.costume-dataset-v1/foreigner_profiles.csv#FG006 | costume-dataset-v1:source_ids#SRC006,SRC021,SRC022,SRC023,SRC029,SRC050",A
pp_fg007,guest_itinerant,Латинское духовенство и паломники,,,,"Капелланы, священники при дворе, паломники и церковные гости западного обряда.",,Западные торговые дворы предполагали церковную инфраструктуру и духовное обслуживание.,costume-dataset-v1:foreigner_profiles#FG007,unassigned,guest_status_unassigned,"game-base:sources.costume-dataset-v1/foreigner_profiles.csv#FG007 | costume-dataset-v1:source_ids#SRC028,SRC043",B
pp_fg008,guest_itinerant,Православные духовные лица и паломники из других земель,,,,"Монахи, священники, посланники монастырей и паломники.",,Новгород как крупный церковный центр и межрегиональные связи.,costume-dataset-v1:foreigner_profiles#FG008,unassigned,guest_status_unassigned,"game-base:sources.costume-dataset-v1/foreigner_profiles.csv#FG008 | costume-dataset-v1:source_ids#SRC013,SRC025,SRC043,SRC050",B
pp_fg009,guest_itinerant,Иностранные наёмники или дружинные элементы,,,,"Отдельные профессиональные воины, охрана купцов или союзные бойцы извне.",,"Военные и торговые контакты делают отдельные случаи правдоподобными, но постоянные унифицированные контингенты требуют конкретного сюжета.",costume-dataset-v1:foreigner_profiles#FG009,unassigned,guest_status_unassigned,"game-base:sources.costume-dataset-v1/foreigner_profiles.csv#FG009 | costume-dataset-v1:source_ids#SRC021,SRC022,SRC023,SRC028,SRC035,SRC050",C
pp_fg010,guest_itinerant,Греческие/византийские духовные лица или мастера — редкие гости,,,,"Редкий клирик, художник, мастер или участник церковной связи.",,Византийская художественная/технологическая связь Новгорода; фактическое присутствие конкретного человека требует отдельного сюжета.,costume-dataset-v1:foreigner_profiles#FG010,unassigned,guest_status_unassigned,"game-base:sources.costume-dataset-v1/foreigner_profiles.csv#FG010 | costume-dataset-v1:source_ids#SRC004,SRC025,SRC043",C
pp_pskov_land,neighbor_land,Псковская земля,,,,купцы|возчики|послы|дружинники|беглецы|паломники|люди у погостов,,direction:southwest; Шелонское направление|юго-западные сухопутные пути|речные и зимние переправы,unassigned,unassigned,unassigned,game-base:sources.rus13/novgorod_neighbor_regions_v1.json#pskov_land,C
