price_entry_id	item_or_service	category	unit	price_model	base_value_band	common_exchange_forms	seasonal_variation	crisis_variation	where_available	who_sells	who_buys	status_restrictions	legal_or_social_limits	notes	status	confidence	sources	source_note	audit_notes
price_bread_loaf	хлеб печёный	food	loaf	relative_value_band; exact_coin_price_not_fixed	low	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	higher_when_grain_short	rises_with_hunger_war_fire_or_closure	город; село; погост; монастырский двор	хозяйка; пекущий двор; монастырское хозяйство	путник; работник; бедный человек	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_grain_rye	зерно ржаное	grain	measure	relative_value_band; exact_coin_price_not_fixed	ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	lowest_after_harvest; higher_late_winter	rises_with_hunger_war_fire_or_closure	деревня; погост; торг; амбар	хозяин двора; купец; монастырь	горожанин; купец; монастырь; бедный двор	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_grain_barley_oats	ячмень или овёс	grain	measure	relative_value_band; exact_coin_price_not_fixed	ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	seasonal; tied_to_fodder	rises_with_hunger_war_fire_or_closure	деревня; погост; торг	крестьянин; хозяин двора; купец	возчик; владелец скота; двор	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_flour	мука	food	measure	relative_value_band; exact_coin_price_not_fixed	ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	higher_in_winter_and_shortage	rises_with_hunger_war_fire_or_closure	торг; мельничное место; двор	хозяин; мельничный работник; купец	домохозяйство; пекущий двор	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_salt	соль	preservation	small_measure_or_bag	relative_value_band; exact_coin_price_not_fixed	valuable	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	depends_on_supply_routes; high_when_routes_closed	rises_with_hunger_war_fire_or_closure	торг; склад; рыбацкий стан; купеческий двор	купец; складской человек	рыбак; хозяйка; монастырь; путник	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_fresh_fish	рыба свежая	food	fish_or_bundle	relative_value_band; exact_coin_price_not_fixed	low_to_ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	best_in_fishing_season; spoils_quickly	rises_with_hunger_war_fire_or_closure	берег; торг; рыбацкий стан	рыбак; рыбная артель	горожане; монастырь; путники	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_dried_fish	рыба сушёная	food_preserved	bundle	relative_value_band; exact_coin_price_not_fixed	ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	valued_in_travel_and_winter	rises_with_hunger_war_fire_or_closure	торг; склад; рыбацкий стан; лодочный груз	рыбак; купец; монастырь	путник; двор; купец	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_honey	мёд	food_trade	small_vessel	relative_value_band; exact_coin_price_not_fixed	valuable	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	harvest_season_supply; valuable_for_trade	rises_with_hunger_war_fire_or_closure	торг; бортный промысел; монастырь	бортник; купец; монастырь	горожане; церковь; купец	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_wax	воск	trade_church	weight_piece	relative_value_band; exact_coin_price_not_fixed	high_value	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	stable_trade_good; high_demand_for_church	rises_with_hunger_war_fire_or_closure	торг; церковь; монастырь; бортный промысел	бортник; купец; монастырь	церковь; купец; богатый двор	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_fur_squirrel	мех мелкий	fur	skin_or_bundle	relative_value_band; exact_coin_price_not_fixed	valuable	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	winter_quality_matters	rises_with_hunger_war_fire_or_closure	торг; промысловый стан; купеческий двор	охотник; промысловик; купец	купец; богатый двор	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
