row_id,wx_state_id,precipitation_phase,weather_kind,weather_kind_overrides,precipitation,wind,visibility_weather_modifier,allowed_temperature_bands,ground_tendency,body_state_risk,movement_factor,name_ru,source_refs,confidence,status
wxr_clear__none,wx_clear,none,clear,band severe_cold -> frost; winter with T > 0 °C -> thaw,none,weak,none,severe_cold|cold|cool|mild|warm|hot,unchanged,cold_at_night; при жаре — жажда,1/1,Ясно,"pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|Jennings K.S. et al. Spatial variation of the rain–snow temperature threshold across the Northern Hemisphere // Nature Communications 9, 1148 (2018). https://doi.org/10.1038/s41467-018-03629-7 (thresholds near +1…+2 °C; used as rule-of-thumb band)|main:data/world-catalogs/novgorod/temporal-v4/datasets/weather_transition_profiles_processes.json#record:weather_transition_profiles_processes:novgorod_weather_v2 (approved v1: 6 states, equal weights)",C,candidate
wxr_partly_cloudy__none,wx_partly_cloudy,none,cloudy,band severe_cold -> frost; winter with T > 0 °C -> thaw,none,weak,none,severe_cold|cold|cool|mild|warm|hot,unchanged,none,1/1,Переменная облачность,"pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|Jennings K.S. et al. Spatial variation of the rain–snow temperature threshold across the Northern Hemisphere // Nature Communications 9, 1148 (2018). https://doi.org/10.1038/s41467-018-03629-7 (thresholds near +1…+2 °C; used as rule-of-thumb band)|main:data/world-catalogs/novgorod/temporal-v4/datasets/weather_transition_profiles_processes.json#record:weather_transition_profiles_processes:novgorod_weather_v2 (approved v1: 6 states, equal weights)",C,candidate
wxr_overcast__none,wx_overcast,none,cloudy,band severe_cold -> frost; winter with T > 0 °C -> thaw,none,weak,none,severe_cold|cold|cool|mild|warm|hot,unchanged,none,1/1,Пасмурно без осадков,"pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|Jennings K.S. et al. Spatial variation of the rain–snow temperature threshold across the Northern Hemisphere // Nature Communications 9, 1148 (2018). https://doi.org/10.1038/s41467-018-03629-7 (thresholds near +1…+2 °C; used as rule-of-thumb band)|main:data/world-catalogs/novgorod/temporal-v4/datasets/weather_transition_profiles_processes.json#record:weather_transition_profiles_processes:novgorod_weather_v2 (approved v1: 6 states, equal weights)",C,candidate
wxr_fog__none,wx_fog,none,fog,band severe_cold -> frost; winter with T > 0 °C -> thaw,none,none,heavily_reduced,severe_cold|cold|cool|mild|warm|hot,unchanged,disorientation,5/4,Туман,"pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|Jennings K.S. et al. Spatial variation of the rain–snow temperature threshold across the Northern Hemisphere // Nature Communications 9, 1148 (2018). https://doi.org/10.1038/s41467-018-03629-7 (thresholds near +1…+2 °C; used as rule-of-thumb band)|main:data/world-catalogs/novgorod/temporal-v4/datasets/weather_transition_profiles_processes.json#record:weather_transition_profiles_processes:novgorod_weather_v2 (approved v1: 6 states, equal weights)",C,candidate
wxr_precip_light__snow,wx_precip_light,snow,snow,,snow,weak,reduced,severe_cold|cold|cool,snow,cold,5/4,Слабые осадки: снег,"pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|Jennings K.S. et al. Spatial variation of the rain–snow temperature threshold across the Northern Hemisphere // Nature Communications 9, 1148 (2018). https://doi.org/10.1038/s41467-018-03629-7 (thresholds near +1…+2 °C; used as rule-of-thumb band)|main:data/world-catalogs/novgorod/temporal-v4/datasets/weather_transition_profiles_processes.json#record:weather_transition_profiles_processes:novgorod_weather_v2 (approved v1: 6 states, equal weights)",C,candidate
wxr_precip_light__sleet,wx_precip_light,sleet,rain,,sleet,weak,reduced,cool,wet_or_ice,wet_cold,5/4,Слабые осадки: мокрый снег с дождём,"pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|Jennings K.S. et al. Spatial variation of the rain–snow temperature threshold across the Northern Hemisphere // Nature Communications 9, 1148 (2018). https://doi.org/10.1038/s41467-018-03629-7 (thresholds near +1…+2 °C; used as rule-of-thumb band)|main:data/world-catalogs/novgorod/temporal-v4/datasets/weather_transition_profiles_processes.json#record:weather_transition_profiles_processes:novgorod_weather_v2 (approved v1: 6 states, equal weights)",C,candidate
wxr_precip_light__rain,wx_precip_light,rain,rain,,rain,weak,reduced,cool|mild|warm|hot,wet,wet,5/4,Слабые осадки: дождь,"pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|Jennings K.S. et al. Spatial variation of the rain–snow temperature threshold across the Northern Hemisphere // Nature Communications 9, 1148 (2018). https://doi.org/10.1038/s41467-018-03629-7 (thresholds near +1…+2 °C; used as rule-of-thumb band)|main:data/world-catalogs/novgorod/temporal-v4/datasets/weather_transition_profiles_processes.json#record:weather_transition_profiles_processes:novgorod_weather_v2 (approved v1: 6 states, equal weights)",C,candidate
wxr_precip_steady__snow,wx_precip_steady,snow,snow,,snow,moderate,heavily_reduced,severe_cold|cold|cool,snow,cold,3/2,Обложные осадки: снег,"pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|Jennings K.S. et al. Spatial variation of the rain–snow temperature threshold across the Northern Hemisphere // Nature Communications 9, 1148 (2018). https://doi.org/10.1038/s41467-018-03629-7 (thresholds near +1…+2 °C; used as rule-of-thumb band)|main:data/world-catalogs/novgorod/temporal-v4/datasets/weather_transition_profiles_processes.json#record:weather_transition_profiles_processes:novgorod_weather_v2 (approved v1: 6 states, equal weights)",C,candidate
wxr_precip_steady__sleet,wx_precip_steady,sleet,rain,,sleet,moderate,reduced,cool,wet_or_ice,wet_cold,3/2,Обложные осадки: мокрый снег с дождём,"pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|Jennings K.S. et al. Spatial variation of the rain–snow temperature threshold across the Northern Hemisphere // Nature Communications 9, 1148 (2018). https://doi.org/10.1038/s41467-018-03629-7 (thresholds near +1…+2 °C; used as rule-of-thumb band)|main:data/world-catalogs/novgorod/temporal-v4/datasets/weather_transition_profiles_processes.json#record:weather_transition_profiles_processes:novgorod_weather_v2 (approved v1: 6 states, equal weights)",C,candidate
wxr_precip_steady__rain,wx_precip_steady,rain,rain,,rain,moderate,reduced,cool|mild|warm|hot,mud,wet,3/2,Обложные осадки: дождь,"pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|Jennings K.S. et al. Spatial variation of the rain–snow temperature threshold across the Northern Hemisphere // Nature Communications 9, 1148 (2018). https://doi.org/10.1038/s41467-018-03629-7 (thresholds near +1…+2 °C; used as rule-of-thumb band)|main:data/world-catalogs/novgorod/temporal-v4/datasets/weather_transition_profiles_processes.json#record:weather_transition_profiles_processes:novgorod_weather_v2 (approved v1: 6 states, equal weights)",C,candidate
