pff_id,pf_id,facet_id,facet_order,slots,coverage,claim_ref_count,needs,limits,residual_needs,claim_refs,source_refs,confidence,status
pff_reality_batch_01_open_conditions__observed_conditions,pf_reality_batch_01_open_conditions,observed_conditions,1,facet_ground;facet_use_people;facet_senses_traces;facet_risks_upkeep,supported,21,"Какие уже наблюдаемые environment, work, animal and care conditions ограничивают попытку без создания presence?","Не создаёт место, материал, животное, тело, доступ, безопасность или исход.",Редкие специализированные практики остаются bounded P2.,claim:reality-batch-01-wetland-reed-dry-intact-stems-can-be-distinguished-by-observation;claim:reality-batch-01-wetland-reed-cutting-needs-clear-hand-and-foot-placement;claim:reality-batch-01-cut-reed-stems-can-be-gathered-before-moving-across-wet-ground;claim:reality-batch-01-rope-knot-can-hold-tension-when-loaded-and-allow-release-when-unloaded;claim:reality-batch-01-rope-knot-release-depends-on-access-to-its-working-part;claim:reality-batch-01-rope-knot-can-be-checked-for-dressing-and-contact-before-loading;claim:reality-batch-01-wooden-joinery-sag-can-be-observed-at-joints-frame-or-bearing-points;claim:reality-batch-01-wooden-joinery-can-be-unloaded-before-adjustment;claim:reality-batch-01-wooden-joinery-temporary-wedge-or-brace-can-limit-movement-conditionally;claim:reality-batch-01-dried-herbs-need-dry-protected-storage;claim:reality-batch-01-dried-herbs-can-be-checked-for-dampness-visible-mold-or-stale-odor;claim:reality-batch-01-dried-herbs-can-be-separated-from-damp-or-moldy-material;claim:reality-batch-01-working-horse-can-show-observable-post-work-heat-and-breathing-change;claim:reality-batch-01-horse-harness-contact-can-be-observed-for-rub-or-displacement;claim:reality-batch-01-horse-work-rest-and-harness-adjustment-can-be-considered-after-observation;claim:reality-batch-01-minor-dirty-abrasion-can-be-rinsed-or-cleaned-gently;claim:reality-batch-01-minor-dirty-abrasion-care-can-use-clean-hands-and-material;claim:reality-batch-01-minor-abrasion-can-be-kept-observed-for-change-after-initial-care;claim:reality-batch-01-soil-texture-and-moisture-change-local-resistance-to-a-temporary-stake;claim:reality-batch-01-saturated-soil-can-lose-cohesion-around-a-small-excavation;claim:reality-batch-01-temporary-stake-or-excavation-can-be-checked-locally-as-ground-changes,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=reality_batch_01_open_conditions].facets[facet=observed_conditions],B,candidate
pff_reality_first_practical_conditions__place_rural_work,pf_reality_first_practical_conditions,place_rural_work,1,facet_ground;facet_use_people,supported,15,"Как уже наблюдаемые место, двор и работа задают условия без materialization?","Не создаёт место, двор, животных, запас, работу или исход.",Редкие локальные и специализированные практики остаются bounded P2.,claim:reality-first-place-environmental-composition-needs-observed-conditions-r1;claim:reality-first-place-environmental-composition-needs-observed-conditions-r2;claim:reality-first-place-environmental-composition-needs-observed-conditions-r3;claim:reality-first-place-environmental-composition-needs-observed-conditions-r4;claim:reality-first-place-environmental-composition-needs-observed-conditions-r5;claim:reality-first-rural-subsistence-storage-and-animal-yard-compete-for-labour-r1;claim:reality-first-rural-subsistence-storage-and-animal-yard-compete-for-labour-r2;claim:reality-first-rural-subsistence-storage-and-animal-yard-compete-for-labour-r3;claim:reality-first-rural-subsistence-storage-and-animal-yard-compete-for-labour-r4;claim:reality-first-rural-subsistence-storage-and-animal-yard-compete-for-labour-r5;claim:reality-first-ordinary-worksite-needs-task-specific-flow-and-clearance-r1;claim:reality-first-ordinary-worksite-needs-task-specific-flow-and-clearance-r2;claim:reality-first-ordinary-worksite-needs-task-specific-flow-and-clearance-r3;claim:reality-first-ordinary-worksite-needs-task-specific-flow-and-clearance-r4;claim:reality-first-ordinary-worksite-needs-task-specific-flow-and-clearance-r5,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=reality_first_practical_conditions].facets[facet=place_rural_work],B,candidate
pff_reality_first_practical_conditions__travel_care_food,pf_reality_first_practical_conditions,travel_care_food,2,facet_use_people;facet_risks_upkeep,supported,15,"Как реальные условия пути, ухода, пищи и животных ограничивают попытку?","Не задаёт маршрут, диагноз, пищу, животное, безопасность или исход.","Редкие медицинские, ветеринарные и дальние дорожные случаи остаются bounded P2.",claim:reality-first-travel-wayfinding-and-exposure-remain-condition-bound-r1;claim:reality-first-travel-wayfinding-and-exposure-remain-condition-bound-r2;claim:reality-first-travel-wayfinding-and-exposure-remain-condition-bound-r3;claim:reality-first-travel-wayfinding-and-exposure-remain-condition-bound-r4;claim:reality-first-travel-wayfinding-and-exposure-remain-condition-bound-r5;claim:reality-first-common-care-and-sanitation-need-observation-and-separation-r1;claim:reality-first-common-care-and-sanitation-need-observation-and-separation-r2;claim:reality-first-common-care-and-sanitation-need-observation-and-separation-r3;claim:reality-first-common-care-and-sanitation-need-observation-and-separation-r4;claim:reality-first-common-care-and-sanitation-need-observation-and-separation-r5;claim:reality-first-food-animal-products-and-care-need-established-inputs-r1;claim:reality-first-food-animal-products-and-care-need-established-inputs-r2;claim:reality-first-food-animal-products-and-care-need-established-inputs-r3;claim:reality-first-food-animal-products-and-care-need-established-inputs-r4;claim:reality-first-food-animal-products-and-care-need-established-inputs-r5,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=reality_first_practical_conditions].facets[facet=travel_care_food],B,candidate
pff_rural_yard__ordinary_conditions,pf_rural_yard,ordinary_conditions,1,facet_use_people,supported,1,Какие наблюдаемые условия двора меняют работу без создания хозяйства?,"Не создаёт двор, животное или запас.",Специализированные хозяйственные практики остаются bounded P2.,claim:reality-first-rural-subsistence-storage-and-animal-yard-compete-for-labour-r1,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=rural_yard].facets[facet=ordinary_conditions],B,candidate
pff_town_street__paving_and_drainage,pf_town_street,paving_and_drainage,1,facet_ground,supported,5,"Какие покрытия, колеи, грязь, стоки и подсыпки меняют проход пешком, верхом и с телегой? | Что дождь, оттепель и ремонт делают с твёрдостью, лужами и краями улицы?","Не выводить мостовую, ширину или состояние без места и времени.",,claim:urban-pavements;claim:place-outdoors-traffic-wet-ground-and-ruts;claim:foundations-earth2-06-precipitation-infiltration-runoff-limit;claim:static-ground-b05-wet-soil-can-reduce-trafficability-and-rut-under-load;claim:candidate-v2-ice-or-snow-can-be-a-slip-hazard,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_street].facets[facet=paving_and_drainage],B,candidate
pff_town_street__frontage_and_traffic,pf_town_street,frontage_and_traffic,2,facet_use_people,supported,2,"Какие ворота, лавочные фасады, навесы, телеги, носильщики и животные сужают или открывают путь? | Как различаются утренняя доставка, торг, ночная тишина и праздничная толпа?",Не превращать тип улицы в список обязательных построек.,,claim:settlement-cart-transport;claim:settlement-workshop-street,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_street].facets[facet=frontage_and_traffic],B,candidate
pff_town_street__senses_and_traces,pf_town_street,senses_and_traces,3,facet_senses_traces,supported,6,"Какие запахи, шумы, дым, свет и линии обзора дают деятельность соседей? | Какие следы уборки, навоза, разгрузки, пожара или недавнего проезда требуют различения?","Конкретные сигналы, освещение и следы принадлежат состоянию сцены; след не доказывает скрытый факт.",,claim:work-waste-context;claim:place-outdoors-activity-sensory-pulses;claim:place-outdoors-cover-opening-and-work-visibility;claim:place-outdoors-clearing-and-trace-renewal;claim:smoke-particles-can-attenuate-light-and-reduce-visibility;claim:sound-background-noise-masks-speech,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_street].facets[facet=senses_and_traces],B,candidate
pff_town_street__use_and_risk,pf_town_street,use_and_risk,4,facet_risks_upkeep,supported,8,"Какие обычные работы, встречи, доставка и обходы возможны для ребёнка, торговца, стражи и приезжего? | Какие риски дают теснота, скользкость, пожар, лошади и плохая видимость?",Не приписывать право доступа или охрану без owner/policy.,,claim:settlement-cart-transport;claim:candidate-v2-ice-or-snow-can-be-a-slip-hazard;claim:place-community-local-temporary-watch-can-agree-attention-handover-and-signal;claim:population-material-wood-combustion;claim:environment-p1-horse-transport;claim:static-animal-b06-perceived-threat-can-prompt-horse-flight;claim:reconstructed-place-work-hot-heavy-or-moving-work-benefits-from-clearance;claim:place-outdoors-cover-opening-and-work-visibility,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_street].facets[facet=use_and_risk],B,candidate
pff_market_square__ground_and_stalls,pf_market_square,ground_and_stalls,1,facet_ground,supported,6,"Как открытый грунт, настилы, временные прилавки, навесы и отходы делят площадь? | Как сезонный торг, дождь и уборка меняют проход, сухие места и нагрузку?",Торговые позиции и товары не materialize без causal basis.,,claim:civic-public-market;claim:place-outdoors-traffic-wet-ground-and-ruts;claim:place-outdoors-market-activity-and-empty-intervals;claim:foundations-earth2-06-precipitation-infiltration-runoff-limit;claim:place-outdoors-microterrain-patches;claim:place-outdoors-clearing-and-trace-renewal,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=market_square].facets[facet=ground_and_stalls],B,candidate
pff_market_square__goods_people_animals,pf_market_square,goods_people_animals,2,facet_use_people,supported,3,"Какие ordinary грузы, упряжь, вьючные животные и тара нужны для правдоподобного движения товаров? | Какие отношения покупателя, продавца, посредника и возницы важны для действий без фиксированного roster?",Не создавать значимых продавцов или официальный товарный статус.,,claim:domestic-animal-context;claim:rp-market-purchase-relates-proof-participant;claim:place-outdoors-market-activity-and-empty-intervals,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=market_square].facets[facet=goods_people_animals],B,candidate
