sat_id,pf_id,layer,season_period,day_part,channel,clear_text,partial_text,loudness,requires_presence_ref,source_refs,confidence,status
sat_peasant_homestead_smoke_winter_001,peasant_homestead,smoke,winter,morning,visual,"Над кровлями стоят сизые столбы дыма: в избах топят, дым выходит из волоков и расползается под застрехами.","Где-то впереди тянет дымом, над деревьями сереет лёгкая пелена.",quiet,bt_izba_heated_single|bt_pyatistenok|bt_three_part_house|bt_klet_dwelling|bt_horomy,wk:claim:practical-dwelling-smoke-draft|matcult:INT0006|wk:claim:practical-dwelling-fuel,B,candidate
sat_peasant_homestead_smoke_spring_rasputitsa_002,peasant_homestead,smoke,spring_rasputitsa,morning,visual,"Из волоковых окон лениво тянется дым, сырой воздух прижимает его к мокрым кровлям.",Сырой воздух пахнет печным дымом.,quiet,bt_izba_heated_single|bt_pyatistenok|bt_three_part_house|bt_klet_dwelling|bt_horomy,wk:claim:practical-dwelling-smoke-draft|matcult:INT0006|wk:claim:practical-dwelling-fuel,B,candidate
sat_peasant_homestead_smoke_summer_003,peasant_homestead,smoke,summer,morning,visual,"Дыма почти не видно: печь топят коротко, по утрам, и дымок быстро тает над двором.",Слабо пахнет остывшей золой.,quiet,bt_izba_heated_single|bt_pyatistenok|bt_three_part_house|bt_klet_dwelling|bt_horomy,wk:claim:practical-dwelling-smoke-draft|matcult:INT0006|wk:claim:practical-dwelling-fuel,B,candidate
sat_peasant_homestead_smoke_autumn_004,peasant_homestead,smoke,autumn,morning,visual,"Дым из изб ложится полосой вдоль двора, смешиваясь с туманом над огородом.",В тумане тянет печным дымом.,quiet,bt_izba_heated_single|bt_pyatistenok|bt_three_part_house|bt_klet_dwelling|bt_horomy,wk:claim:practical-dwelling-smoke-draft|matcult:INT0006|wk:claim:practical-dwelling-fuel,B,candidate
sat_peasant_homestead_animals_winter_005,peasant_homestead,animals,winter,any,acoustic,"Из хлева доносится глухое мычание и возня: скот стоит в тесноте, пар дыхания выходит в щели.","Из-за стены слышно, как переступает и вздыхает скотина.",moderate,presence:livestock|bt_khlev,wk:claim:practical-livestock-care|matcult:ARC0002|matcult:AGR0035,C,candidate
sat_peasant_homestead_animals_spring_rasputitsa_006,peasant_homestead,animals,spring_rasputitsa,any,acoustic,Скот выводят к воде по раскисшей тропе; копыта чавкают в грязи у ворот хлева.,Где-то чавкает грязь под копытами.,moderate,presence:livestock|bt_khlev,wk:claim:practical-livestock-care|matcult:ARC0002|matcult:AGR0035,C,candidate
sat_peasant_homestead_animals_summer_007,peasant_homestead,animals,summer,any,acoustic,Двор почти пуст — скотина на выгоне; у хлева роятся мухи над навозной кучей.,Жужжат мухи; пахнет навозом.,moderate,presence:livestock|bt_khlev,wk:claim:practical-livestock-care|matcult:ARC0002|matcult:AGR0035,C,candidate
sat_peasant_homestead_animals_autumn_008,peasant_homestead,animals,autumn,any,acoustic,"Скот загоняют с выгона, у ворот хлева толкаются и мычат коровы.",Вдали мычит корова.,moderate,presence:livestock|bt_khlev,wk:claim:practical-livestock-care|matcult:ARC0002|matcult:AGR0035,C,candidate
sat_peasant_homestead_animals_winter_009,peasant_homestead,animals,winter,any,acoustic,"Собака, вылезшая из-под навеса, хрипло лает на чужого и тут же прячется от мороза.",Где-то хрипло лает собака.,moderate,presence:dog,matcult:LIV0007,C,candidate
sat_peasant_homestead_animals_spring_rasputitsa_010,peasant_homestead,animals,spring_rasputitsa,any,acoustic,"Собака, вся в грязи, лает от ворот, не решаясь выйти в лужу.",Лает собака.,moderate,presence:dog,matcult:LIV0007,C,candidate
sat_peasant_homestead_animals_summer_011,peasant_homestead,animals,summer,any,acoustic,Разморённая собака поднимает голову и лениво подаёт голос.,Коротко гавкает собака.,moderate,presence:dog,matcult:LIV0007,C,candidate
sat_peasant_homestead_animals_autumn_012,peasant_homestead,animals,autumn,any,acoustic,Собака с лаем выбегает к воротам и носится вдоль частокола.,За оградой лает собака.,moderate,presence:dog,matcult:LIV0007,C,candidate
sat_peasant_homestead_work_sounds_winter_013,peasant_homestead,work_sounds,winter,day,acoustic,Во дворе стучит топор — колют дрова; снег вокруг колоды усыпан щепой.,Где-то глухо стучит топор.,moderate,presence:people,matcult_scene:SCN008|matcult_scene:SCN035|wk:claim:reconstructed-place-work-grain-drying-and-threshing-are-different-work-contexts,C,candidate
sat_peasant_homestead_work_sounds_spring_rasputitsa_014,peasant_homestead,work_sounds,spring_rasputitsa,day,acoustic,"Чинят то, что попортила зима: стук молотка по кровле, скрип волочимых жердей.",Слышен стук по дереву.,moderate,presence:people,matcult_scene:SCN008|matcult_scene:SCN035|wk:claim:reconstructed-place-work-grain-drying-and-threshing-are-different-work-contexts,C,candidate
sat_peasant_homestead_work_sounds_summer_015,peasant_homestead,work_sounds,summer,day,acoustic,Двор почти безлюден — все в поле или на покосе; только скрипит верёвка колодезного ведра да кто-то точит серп.,Тихо; изредка звякает железо о точило.,moderate,presence:people,matcult_scene:SCN008|matcult_scene:SCN035|wk:claim:reconstructed-place-work-grain-drying-and-threshing-are-different-work-contexts,C,candidate
sat_peasant_homestead_work_sounds_autumn_016,peasant_homestead,work_sounds,autumn,day,acoustic,"С гумна несётся мерный стук цепов, над током висит мякинная пыль.",Вдалеке мерно стучат цепы.,moderate,presence:people,matcult_scene:SCN008|matcult_scene:SCN035|wk:claim:reconstructed-place-work-grain-drying-and-threshing-are-different-work-contexts,C,candidate
sat_peasant_homestead_smells_winter_017,peasant_homestead,smells,winter,any,olfactory,"Пахнет дымом, мёрзлым навозом и хлебом из натопленной избы.",Тянет дымом.,quiet,bt_izba_heated_single|bt_pyatistenok|bt_three_part_house|bt_klet_dwelling|bt_horomy,matcult:AGR0035|matcult:MSC0030|wk:claim:place-thermal-ovin-can-relate-a-furnace-to-sheaves-held-on-grates,C,candidate
sat_peasant_homestead_smells_spring_rasputitsa_018,peasant_homestead,smells,spring_rasputitsa,any,olfactory,"Пахнет талой землёй, прелой соломой и навозом.",Сыро пахнет навозом.,quiet,bt_izba_heated_single|bt_pyatistenok|bt_three_part_house|bt_klet_dwelling|bt_horomy,matcult:AGR0035|matcult:MSC0030|wk:claim:place-thermal-ovin-can-relate-a-furnace-to-sheaves-held-on-grates,C,candidate
sat_peasant_homestead_smells_summer_019,peasant_homestead,smells,summer,any,olfactory,"Пахнет сеном, нагретым деревом и навозом у хлева.",Пахнет сеном.,quiet,bt_izba_heated_single|bt_pyatistenok|bt_three_part_house|bt_klet_dwelling|bt_horomy,matcult:AGR0035|matcult:MSC0030|wk:claim:place-thermal-ovin-can-relate-a-furnace-to-sheaves-held-on-grates,C,candidate
sat_peasant_homestead_smells_autumn_020,peasant_homestead,smells,autumn,any,olfactory,"Пахнет сырой соломой, дымом овина и квашеной капустой из сеней.",Тянет дымом и сыростью.,quiet,bt_izba_heated_single|bt_pyatistenok|bt_three_part_house|bt_klet_dwelling|bt_horomy,matcult:AGR0035|matcult:MSC0030|wk:claim:place-thermal-ovin-can-relate-a-furnace-to-sheaves-held-on-grates,C,candidate
