contract_id,step_id,purpose,required_fields_json,writes_to_json,blocking_validations_json
StartRequestNormalized,ng_01_request_intake,Convert free player text into historically adaptable intent without fixing world facts.,"[""raw_player_text"", ""core_intent"", ""requested_identity"", ""requested_status"", ""requested_place_or_region"", ""requested_year_or_period"", ""requested_goal_or_problem"", ""tone_preferences"", ""must_preserve"", ""must_adapt_or_reject"", ""uncertainties""]","[""party_llm_steps""]","[""raw_player_text stored"", ""core_intent present or empty-start flag"", ""modern/impossible terms flagged""]"
HistoricalFrameDraft,ng_02_historical_frame,"Fix year, season, region and historical boundary before character/place generation.","[""year"", ""season"", ""region_id"", ""region_title"", ""historical_background_summary"", ""authority_context"", ""season_context"", ""known_limits"", ""source_ids"", ""hidden_world_notes"", ""character_possible_knowledge""]","[""party_state"", ""party_events""]","[""1230 <= year <= 1250"", ""region_id exists in world_base.regions"", ""source_ids exist or unresolved source placeholder is needs_review""]"
ActiveRegionContext,ng_03_region_context_retrieval,Retrieve region-relevant canonical data and template constraints from world_base.,"[""region_id"", ""allowed_landscapes"", ""allowed_water_bodies"", ""allowed_routes"", ""allowed_land_use"", ""allowed_place_templates"", ""social_roles"", ""occupations"", ""seasonal_rules"", ""known_historical_anchors"", ""source_ids""]","[""party_state""]","[""No invented template IDs"", ""all IDs exist in world_base or are marked missing""]"
HistoricalPressurePackage,ng_04_historical_pressure,Select relevant historical pressure and split objective event state from character knowledge.,"[""events"", ""figures"", ""regional_effects"", ""visible_signs"", ""character_knowledge"", ""hidden_facts"", ""source_ids""]","[""party_events"", ""party_journal_entries""]","[""no exact future knowledge in character_knowledge"", ""event phases have date/trigger/visible signs""]"
StartPlaceDraft,ng_05_start_place_selection,Choose or materialize start place and G1-G4 chain as a grounded graph node chain.,"[""region_id"", ""g1_node_id"", ""g2_node_id"", ""g3_place_id"", ""g4_location_id"", ""place_function"", ""controller_or_owner"", ""access_rules"", ""connected_routes"", ""seasonal_conditions"", ""start_reason"", ""source_ids"", ""party_created_flags""]","[""party_graph_nodes"", ""party_graph_edges"", ""party_places"", ""party_locations""]","[""G1-G4 chain valid"", ""place function and controller present"", ""at least one route or physical access relation present""]"
StartPositionChain,ng_06_location_chain,Create concrete start minilocation and anchor for current_position.,"[""region_id"", ""place_id"", ""location_id"", ""minilocation_id"", ""anchor_id"", ""last_route_id"", ""position_prose"", ""visibility_context"", ""access_context"", ""nearby_objects"", ""nearby_npc_labels""]","[""party_minilocations"", ""party_scene_anchors"", ""party_current_position""]","[""all position IDs present"", ""anchor has physical function"", ""position supports first actions""]"
PlayerCharacterStartProfile,ng_07_player_character_generation,Create historically constrained player character linked to start frame.,"[""character_id"", ""name_or_label"", ""age_range"", ""status"", ""origin"", ""body"", ""numeric_states"", ""active_states"", ""attributes"", ""skills"", ""knowledge"", ""memory"", ""goals"", ""fears"", ""obligations"", ""inventory"", ""property_outside_inventory"", ""relationships"", ""start_position"", ""reason_here"", ""risk_profile""]","[""party_player_characters"", ""party_items"", ""party_inventory_entries"", ""party_map_knowledge"", ""party_journal_entries""]","[""status has rights/risks"", ""attributes and skills balanced"", ""inventory has owners/holders/access/risk"", ""reason_here linked to place""]"
StartCausalLink,ng_08_bind_character_to_place,Explain why this character is here now and why the first scene matters.,"[""link_type"", ""visible_reason"", ""hidden_reason_if_any"", ""related_npc_ids"", ""related_item_ids"", ""related_event_ids"", ""risk_if_no_action"", ""source_or_basis""]","[""party_journal_entries"", ""party_events""]","[""visible reason present"", ""hidden reason not required for player comprehension"", ""no disconnected protagonist""]"
InitialNpcLayer,ng_09_people_nearby,Create initial people/groups near the character at appropriate depth.,"[""background_npcs"", ""scene_npcs"", ""key_npcs"", ""visibility"", ""witness_risk"", ""known_to_character"", ""hidden_profiles""]","[""party_npcs"", ""party_journal_entries""]","[""each NPC has profile level"", ""visible fields separated from hidden fields"", ""scene/key NPCs have memory requirements""]"
InitialItemPropertyLayer,ng_10_item_property_layer,Create visible/significant item and property layer for first scene.,"[""visible_items"", ""hidden_items_with_signs"", ""containers"", ""ownership_claims"", ""access_rules"", ""inventory_links"", ""property_links"", ""risk_notes""]","[""party_items"", ""party_inventory_entries"", ""party_journal_entries""]","[""significant items have owner/holder/placement/access/risk"", ""containers pre-profiled if significant"", ""no player-request retrocreation""]"
