item_id,name_ru,alt_names_ru,gender_scope,category,subcategory,description_ru,who_wore,social_scope,role_scope,season_scope,region_scope,period_scope,materials,colors,status_markers,historical_confidence,evidence_basis,source_ids,image_refs,do_not_confuse_with,notes_for_image_generation
GM001,Сорочица из льняного полотна,рубаха | нижняя рубаха,male,garment_male,base_layer,"Прямая или умеренно расширяющаяся рубаха с длинными рукавами, надеваемая непосредственно на тело. Археология подтверждает растительные ткани, письменные источники — термин «сорочица»; конкретная выкройка реконструируется.",мужчины большинства городских и сельских слоёв,"бедные, средние и богатые; качество полотна различалось",горожанин | ремесленник | крестьянин | купец | воин вне боя,круглый год | лето как основной слой,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,лён | льняная нить,небелёный серо-бежевый | выбеленный молочно-белый,,B,Письменное употребление «сорочица» и археологические растительные ткани; форма восстановлена по древнерусским и североевропейским аналогиям.,SRC006 | SRC008 | SRC019,IMG_SHEET_03,косоворотка XIX века с боковой застёжкой и фабричной декоративной тесьмой,Т-образный или близкий к нему спокойный крой; без яркой сплошной вышивки. Допустимы незаметные клинья/ластовицы как реконструкция.
GM002,Грубая сорочица из конопляного или смешанного полотна,рабочая рубаха,male,garment_male,base_layer,Более грубый и тёмный вариант нижней/рабочей рубахи из растительного волокна; удобен для тяжёлой работы и бедного сельского комплекта.,"бедные горожане, подёнщики, крестьяне, промысловики",бедный и нижний средний слой,подёнщик | крестьянин | рыбак | лесной промысловик,весна | лето | осень как нижний слой,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,конопля | лён | смешанное растительное полотно,серо-бежевый | серо-коричневый,,B,Растительные волокна в новгородском текстиле и общий бытовой контекст; точная доля конопли в конкретной рубахе обычно не определяется.,SRC008 | SRC009 | SRC034,IMG_SHEET_03,мешковиной грубого современного типа или лохмотьями «варвара»,"Полотно должно выглядеть тканым и носким, а не как современный джутовый мешок."
GM003,Шерстяная верхняя рубаха или туникообразная одежда,верхняя рубаха | туника — условный современный термин,male,garment_male,middle_layer,"Длиннорукавная шерстяная одежда поверх сорочицы, обычно до колен или немного ниже. Название «туника» используется только как описательный термин, а не как древнерусское имя.","горожане, сельские жители, купцы, воины вне боя","от небогатых до знати; различались ткань, длина и отделка",горожанин | купец | дружинник вне боя | путник,весна | осень | зима как средний слой,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть | льняная нить для швов/подкладки,натуральный серый | коричневый | приглушённый красный | синий | зелёный — при доступном красителе,,B,Археологический шерстяной текстиль и близкая иконография; цельные выкройки обычно не сохраняются.,SRC007 | SRC008 | SRC025 | SRC027,IMG_SHEET_03,поздним кафтаном с длинным рядом пуговиц и жёстким стоячим воротником,"Простой цельный силуэт, боковые клинья допустимы; отделка сосредоточена по краю/горловине, а не покрывает всю поверхность."
GM004,Порты из полотна,штаны | нижние штаны,male,garment_male,legwear,"Мужские штаны свободного или умеренно свободного кроя, носимые с обувью и при необходимости с обмотками. Конкретный способ соединения деталей реконструируется.",мужчины всех основных слоёв,все слои; качество ткани и посадка различались,все мужские роли,круглый год,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,лён | конопля | иногда тонкая шерсть,небелёный | белёный | серый | коричневый,,B,Письменная/обще-древнерусская традиция и сравнительные реконструкции; органические штаны редко сохраняются целиком.,SRC006 | SRC008 | SRC034,IMG_SHEET_03,широкими шароварами позднего восточного типа или современными брюками с гульфиком,Не делать чрезмерно мешковатыми. Низ может входить в обувь или обматываться.
GM005,Шерстяные зимние порты,тёплые штаны,male,garment_male,legwear_winter,"Тёплый вариант штанов из шерстяной ткани, возможно поверх более лёгкого нижнего слоя. Точная конструкция для Новгорода не сохранилась.","мужчины, длительно работающие или передвигающиеся зимой",широкий социальный диапазон,путник | рыбак | охотник | крестьянин | воин,зима | холодная осень,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть,серый | коричневый | тёмный натуральный,,B,Климатическая необходимость плюс шерстяной текстиль и общие северные аналогии; конкретная новгородская выкройка не известна.,SRC007 | SRC008 | SRC034,IMG_SHEET_03,меховыми штанами кочевого/фэнтезийного типа как городской нормой,"Предпочитать плотную шерсть, а не наружный мех."
GM006,Обмотки голени,онучи для голени | шерстяные обмотки,male,garment_male,leg_wraps,"Полосы ткани вокруг голени поверх нижней части портов; могли защищать от холода, грязи и цепляния одежды.","работники, путники, сельские жители, часть воинов","обычный практический элемент, не обязательный для всех",крестьянин | лесной промысловик | путник | ополченец,осень | зима | межсезонье,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть | льняная ткань,серый | коричневый | небелёный,,B,Широкие североевропейские и древнерусские аналогии; прямой комплект из Новгорода около 1230 не всегда различим.,SRC006 | SRC034,IMG_SHEET_03 | IMG_SHEET_01,унифицированными «викингскими» обмотками у каждого персонажа,"Использовать выборочно, особенно в практических и дорожных комплектах."
GM007,Свита,верхняя шерстяная одежда,male,garment_male,outerwear,"Длиннополая шерстяная верхняя одежда, закрывающая туловище и бёдра; могла запахиваться или застёгиваться ограниченным числом завязок/застёжек. Точный крой около 1230 реконструируется.","горожане, купцы, служилые люди, путники",от среднего слоя до знати; грубая и тонкая ткань давали разные варианты,горожанин | ремесленник | купец | служилый человек,весна | осень | мягкая зима,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть | льняная подкладка — возможна,серый | коричневый | бурый | приглушённый красный | синий для более дорогой ткани,,B,Термин в поздне-XIII берестяной описи и общая древнерусская верхняя одежда; форма для 1230 не реконструируется до деталей.,SRC006 | SRC019 | SRC025,IMG_SHEET_03,"кафтаном XVI–XVII вв. с частой застёжкой, стоячим воротником и поздним силуэтом","Мягкий, не жёсткий силуэт. Не рисовать длинный ряд металлических пуговиц."
GM008,Простой кожух,шуба мехом внутрь | овчинная верхняя одежда,male,garment_male,outerwear_winter,"Тёплая одежда из меховой шкуры, чаще с мехом внутрь; могла иметь тканевое покрытие у более обеспеченных владельцев.","горожане, крестьяне, промысловики, путники",широкий диапазон; вид меха и отделка отражали достаток,бедный горожанин | крестьянин | охотник | купец | воин зимой,зима,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,овчина | другой доступный мех | кожа,натуральный коричневый | серый | кремовый мех,,B,"Шубы прямо названы в берестяных грамотах; археология подтверждает шкуры и меховую экономику, но крой восстанавливается. Исходная детализация уверенности: A–B.",SRC016 | SRC018 | SRC019 | SRC020,IMG_SHEET_03,огромной богатырской шубой наружным длинным мехом у любого персонажа,"Для бедных — простой коротковорсовый мех и минимум отделки; для знати — качественный мех/тканевое покрытие, но без позднемосковской роскоши."
GM009,Покрытая тканью меховая шуба,богатая шуба,male,garment_male,outerwear_winter_status,"Статусный меховой верхний слой, возможно покрытый тонкой шерстью или импортной тканью; мех служит утеплением и признаком достатка.","зажиточные купцы, бояре, княжеская/старшая дружинная среда",богатые и элита,купец | боярин | старший дружинник,зима | торжественный выход зимой,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,качественный мех | тонкая шерсть | редко импортная ткань,тёмно-синий | красный | бурый | зелёный | натуральный мех,дорогой мех; ровная ткань; ограниченная декоративная кайма,B,"Письменные упоминания шуб, меховая торговля и импортные ткани; конкретное сочетание покрытия реконструктивно.",SRC010 | SRC016 | SRC020 | SRC029,IMG_SHEET_03 | IMG_SHEET_08,поздними русскими парадными шубами XVII века с чрезмерно широкими рукавами,"Показывать как редкий богатый вариант, не как стандарт каждого боярина."
GM010,Плащ-мятель,мятель | плащ | накидка,male,garment_male,cloak,Шерстяной плащ или накидка для улицы и дороги. Термин «мятель» близко по времени засвидетельствован в Новгороде; точная форма могла варьировать от прямоугольного полотнища до более обработанного плаща.,"горожане, купцы, путники, служилые и военные люди",все слои в разных качествах,путник | купец | воин | горожанин,весна | осень | прохладное лето | зима поверх слоёв,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть | металлическая или костяная застёжка — возможна,бурый | серый | красно-коричневый | синий/зелёный у обеспеченных,,B,Берестяная грамота №765 прямо упоминает буро-красный плащ/мятель; конструкция восстанавливается по иконографии и аналогиям. Исходная детализация уверенности: A–B.,SRC015 | SRC025 | SRC027 | SRC049,IMG_SHEET_03,"римской тоги, фэнтезийной многослойной мантией или поздним опашнем",Плащ должен реально закрывать плечи и часть тела; допустима одна застёжка у плеча/груди.
