hz_id,risk_type,name_ru,pf_ids,route_or_edge_kinds,season_periods,event_triggers,visible_signs,avoidance_methods,consequence_refs,frequency_class,region_id,source_refs,confidence,note
hz_thin_ice_current,water,Тонкий лёд над подлёдным течением,"pf_river_channel;pf_riverbank;pf_winter_ice_crossing","water_crossing;winter_road",winter,,"ровный на вид снежный покров без свежих следов;тёмные или мокрые пятна на льду;слышимый треск","не выходить на лёд без свежего местного знания;идти по проверенной тропе;проверять лёд шестом/палкой перед первым шагом",health_body:submersion_cold_exposure,"common (basis: v17 M2c start territory = 32 G4 river reaches/channels/shoals/landings, sweep-d4 critic note on transport_travel)",region_novgorod_land,wk:claim:residual-nature-ice-current-thin-areas,B,
hz_ice_not_a_road,water,Лёд как путь без свежего местного основания,"pf_river_channel;pf_ferry_landing","water_crossing;winter_road",winter,"ice_formation;thaw","отсутствие санного следа;тёмная кромка у берега;слышимая вода под льдом","требовать местное знание не старше текущей недели;переправа лодкой/перевозом вместо льда в оттепель","traversal:crossing_blocked;health_body:submersion_cold_exposure","common (basis: v17 M2c start territory = 32 G4 river reaches/channels/shoals/landings, sweep-d4 critic note on transport_travel)",region_novgorod_land,tools:rus13-novgorod-regional-templates/novgorod_route_season_modifiers_v1.json#crossing_ice,C,"Основание — не WK-претензия, а редакторское правило черновика rus13tpl (draft)."
hz_river_ice_breakup,water,Ледоход,"pf_river_channel;pf_river_wharf;pf_ferry_landing",water_crossing,spring,ice_breakup,"трещины и подвижка льдин;шум ледохода;поднятая мутная вода","не пытаться переправиться;ждать на берегу до полного прохода льда","traversal:crossing_blocked;health_body:submersion_cold_exposure","common (basis: v17 M2c start territory = 32 G4 river reaches/channels/shoals/landings, sweep-d4 critic note on transport_travel)",region_novgorod_land,"tools:rus13-novgorod-regional-templates/novgorod_route_knowledge_rules_v1.json#lost_rule_water_change;book:518606 §Глава первая ¶259",C,"Правило черновика (lost_rule_water_change) говорит о паводке/ледоставе/оттепели в общем, не называет ледоход прямо. Добавлена книжная опора: book:518606 §Глава первая ¶259 (Колесов, «Древняя Русь: наследие в слове», 2011) — ледоход 1143 г. выбил четыре опоры Волховского моста, прямой пример ледохода на Волхове; confidence остаётся C (черновик остаётся основным правилом, книга — подтверждающий пример)."
hz_spring_flood,water,"Половодье, смытые мостки и перенесённые пристани","pf_riverbank;pf_river_wharf","water_crossing;road",spring_rasputitsa,spring_flood,"поднятая вода у берега;плывущий мусор и лёд;затопленные тропы","искать временное место ожидания/погрузки;спрашивать местных о новом положении пристани","traversal:crossing_blocked;item_consequences:lost_or_wet_cargo","common (basis: v17 M2c start territory = 32 G4 river reaches/channels/shoals/landings, sweep-d4 critic note on transport_travel)",region_novgorod_land,tools:rus13-novgorod-regional-templates/novgorod_weather_season_rules_v1.json#place_flood,C,
hz_drowning,water,Утопление при погружении,"pf_river_channel;pf_river_wharf;pf_ferry_landing",water_crossing,"winter;spring;spring_rasputitsa;summer;autumn",,"быстрое течение;глубокая вода без видимого дна;неустойчивая лодка/мостки","не входить в глубокую или быструю воду без проверки;держать опору;не перегружать лодку",health_body:drowning_respiratory_impairment,"common (basis: v17 M2c start territory = 32 G4 river reaches/channels/shoals/landings, sweep-d4 critic note on transport_travel)",region_novgorod_land,wk:claim:candidate-physiology-v3-drowning-respiratory-impairment,B,"WK claim помечена pending independent verification (approved payload, candidate физиология)."
hz_ford_crossing,water,Брод без проверки глубины и дна,"pf_river_channel;pf_riverbank",water_crossing,"winter;spring;spring_rasputitsa;summer;autumn",,"быстрая рябь на воде;неровное дно под ногами;помутнение после дождя","проверить глубину, течение, дно, груз, сезон и свежесть знания перед входом","health_body:submersion_cold_exposure;item_consequences:lost_or_wet_cargo","common (basis: v17 M2c start territory = 32 G4 river reaches/channels/shoals/landings, sweep-d4 critic note on transport_travel)",region_novgorod_land,tools:rus13-novgorod-regional-templates/novgorod_route_season_modifiers_v1.json#crossing_ford_check,C,"place_families.csv не выделяет отдельный pf для брода; использован ближайший водный pf (pf_river_channel/pf_riverbank). Точная привязка брода к конкретному G4-месту остаётся задачей владельца spatial."
hz_ferry_landing,water,Перевоз и пристань без разрешения или в непогоду,"pf_ferry_landing;pf_river_wharf",water_crossing,"winter;spring;spring_rasputitsa;summer;autumn",,"занятая очередь;отсутствие перевозчика;сильный ветер и волна","договориться о цене/обязанности заранее;ждать спокойной воды;не грузить сверх лодки","traversal:crossing_blocked;economic_consequences:fare_or_dispute","common (basis: v17 M2c start territory = 32 G4 river reaches/channels/shoals/landings, sweep-d4 critic note on transport_travel)",region_novgorod_land,"tools:rus13-novgorod-regional-templates/novgorod_route_season_modifiers_v1.json#crossing_ferry_access;wk:claim:mb14-practical-boat-approach-balances-wind-current-and-oar-control",C,
hz_quagmire_bog,road,Трясина и вязкая болотная тропа,"pf_bog;pf_forest_track","footpath;road","spring_rasputitsa;summer;autumn",,"ровный мох поверх открытой воды;проваливающийся под ногой дёрн;отсутствие твёрдой тропы","идти только по знакомой гати или тропе;иметь шест для проверки пути;идти с проводником","health_body:submersion_cold_exposure;item_consequences:lost_cargo","contextual (basis: trigger-conditioned, not ambient to place/season)",region_novgorod_land,tools:rus13-novgorod-regional-templates/novgorod_route_knowledge_rules_v1.json#lost_rule_forest_swamp,C,"Черновик описывает потерю пути без проводника, а не саму трясину; сигналы трясины (мох над водой, гать) — авторские, не из цитируемого правила. Слабое соответствие источнику отмечено при верификации; confidence остаётся C."
hz_storm_hung_wood,weather,Повреждённое бурей нависшее дерево,"pf_forest_track;pf_forest_edge","footpath;road","winter;spring;spring_rasputitsa;summer;autumn",after_storm,"наклонённый или подвешенный ствол;свежий излом древесины;скрип при ветре","считать нависшую древесину опасной, пока не установлено её состояние;не подходить и не валить без проверки",health_body:blunt_trauma,"contextual (basis: trigger-conditioned, not ambient to place/season)",region_novgorod_land,wk:claim:macro-b1819-storm-damaged-hung-wood-is-an-overhead-hazard-until-its-state-is-known,B,
hz_snow_slope_instability,weather,Неустойчивый слоистый снег на склоне,pf_riverbank,"footpath;road","winter;spring",,"слоистый снег с трещинами;свежий снегопад на старом слое;глухой звук под ногой","снизить время под склоном;выбрать обходной путь;не пересекать склон группой в одну линию",health_body:burial_or_fall_trauma,"contextual (basis: trigger-conditioned, not ambient to place/season)",region_novgorod_land,wk:claim:r7-unstable-layered-snow-on-a-slope-can-release-and-warning-cues-support-exposure-reduction,B,"place_families.csv не выделяет отдельный pf для оврага/берегового склона; использован ближайший pf_riverbank (склон берега) как приближение."
