id	title	land_use_kind	compatible_landscape_template_ids	compatible_water_body_template_ids	seasonal_pattern	labor_intensity	status	confidence
lu_bark_bast_collection	Заготовка коры / лыка / бересты	bark_bast_harvest	["lt_tropical_moist_broadleaf_forest", "lt_tropical_dry_broadleaf_forest", "lt_tropical_coniferous_forest", "lt_temperate_broadleaf_mixed_forest", "lt_temperate_coniferous_forest", "lt_boreal_taiga_coniferous_forest", "lt_boreal_mixed_forest", "lt_montane_forest", "lt_mediterranean_woodland_scrub", "lt_dry_open_woodland", "lt_dense_coniferous_forest", "lt_sparse_forest_woodland", "lt_wet_lowland_forest", "lt_wooded_floodplain", "lt_seasonally_flooded_forest"]	[]	обычно весна/лето; зависит от дерева	medium	draft	medium
lu_bog_iron_extraction	Добыча болотной руды	bog_iron_extraction	["lt_fen", "lt_wooded_swamp", "lt_wet_lowland_forest", "lt_freshwater_marsh", "lt_peat_swamp_forest"]	["wb_marsh_pool", "wb_bog_pool", "wb_marsh_channel"]	обычно сухой сезон/низкая вода; затем обжиг/плавка отдельно	high	draft	medium
lu_charcoal_burning	Углежжение	charcoal_production	["lt_tropical_moist_broadleaf_forest", "lt_tropical_dry_broadleaf_forest", "lt_tropical_coniferous_forest", "lt_temperate_broadleaf_mixed_forest", "lt_temperate_coniferous_forest", "lt_boreal_taiga_coniferous_forest", "lt_boreal_mixed_forest", "lt_montane_forest", "lt_mediterranean_woodland_scrub", "lt_dry_open_woodland", "lt_dense_coniferous_forest", "lt_sparse_forest_woodland", "lt_wet_lowland_forest", "lt_wooded_floodplain", "lt_seasonally_flooded_forest"]	[]	сезонно; требует сухой древесины и контроля огня	high	draft	medium
lu_clay_extraction	Добыча глины	clay_extraction	["lt_alluvial_floodplain", "lt_low_alluvial_riverbank", "lt_sandy_lake_shore", "lt_sandy_coast_dune", "lt_dry_meadow"]	[]	обычно тёплый сезон; сушка изделий отдельно	medium	draft	medium
lu_coastal_fishing	Прибрежное морское рыболовство	coastal_fishing	["lt_salt_marsh", "lt_sandy_coast_dune", "lt_shingle_pebble_coast", "lt_rocky_coast_cliff", "lt_tidal_mudflat", "lt_mangrove_coast"]	["wb_sea_bay", "wb_sea_strait", "wb_coastal_lagoon", "wb_nearshore_sea", "wb_open_sea", "wb_tidal_creek", "wb_salt_pan"]	зависит от ветра, сезона, прилива и хода рыбы	high	draft	medium
lu_common_pasture	Общинный выпас	pasture	["lt_dry_meadow", "lt_mesic_meadow", "lt_wet_meadow", "lt_alpine_meadow", "lt_montane_grassland", "lt_temperate_grass_steppe", "lt_dry_steppe", "lt_shrub_steppe", "lt_forest_steppe"]	[]	выпас в тёплый сезон; зимний выпас зависит от климата	low	draft	medium
lu_date_palm_oasis_garden	Финиковая / оазисная садовая система	oasis_garden	["lt_sandy_desert_dunes", "lt_stony_desert_reg", "lt_rocky_desert_hamada", "lt_salt_flat_desert", "lt_semi_desert_steppe", "lt_cold_desert"]	["wb_qanat_falaj_channel", "wb_irrigation_canal", "wb_spring", "wb_reservoir_impoundment"]	постоянный уход за водой; сбор плодов по сезону	very_high	draft	medium
lu_drainage_reclamation	Осушение / мелиорация / отвод воды	drainage_reclamation	["lt_wet_meadow", "lt_floodplain_wet_grassland", "lt_freshwater_marsh", "lt_seasonal_sedge_marsh", "lt_salt_marsh", "lt_tidal_mudflat", "lt_fen"]	["wb_drainage_canal", "wb_marsh_channel", "wb_floodwater"]	постоянный ремонт канав; зависит от паводков/приливов	high	draft	medium
lu_dye_medicinal_crop_plot	Красильные / лекарственные посадки	specialty_crop	["lt_dry_meadow", "lt_mesic_meadow", "lt_gentle_hills", "lt_mediterranean_woodland_scrub"]	[]	сбор по виду растения	medium	draft	medium
lu_fallow_rotation	Пар / залежь / перелог	fallow	["lt_dry_meadow", "lt_mesic_meadow", "lt_wet_meadow", "lt_floodplain_wet_grassland", "lt_alluvial_floodplain", "lt_gentle_hills", "lt_forest_steppe", "lt_temperate_grass_steppe"]	[]	годовой или многолетний перерыв; возможен выпас	low	draft	medium
lu_fiber_crop_plot	Лён / конопля / волокнистые культуры	fiber_crop	["lt_dry_meadow", "lt_mesic_meadow", "lt_wet_meadow", "lt_floodplain_wet_grassland", "lt_alluvial_floodplain", "lt_gentle_hills", "lt_forest_steppe", "lt_temperate_grass_steppe"]	["wb_brook", "wb_small_river", "wb_freshwater_pond"]	посев/уборка; вымачивание требует воды отдельно	medium	draft	medium
lu_fishpond_aquaculture	Рыбный пруд / прудовое рыборазведение	fishpond_aquaculture	[]	["wb_fishpond", "wb_freshwater_pond", "wb_reservoir_impoundment"]	управление водой и вылов по сезону	medium	draft	medium
