role_id,register,literacy_expectation_ru,speech_notes_ru,derivation_rule,source_refs,confidence
nov_role_prince,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_prince,C
nov_role_posadnik,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_posadnik,C
nov_role_tysyatsky,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_tysyatsky,C
nov_role_sotsky,everyday_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_sotsky,C
nov_role_city_elder,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_city_elder,C
nov_role_starosta,everyday_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_starosta,C
nov_role_toll_collector,everyday_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_toll_collector,C
nov_role_guard,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_guard,C
nov_role_princely_man,everyday_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_princely_man,C
nov_role_princely_druzhinnik,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_princely_druzhinnik,C
