agent_id,role,output_contract,hidden_allowed,task,guardrails
g5_context_retriever,агент закрепления стартового G4-контекста,G5StartInputContext,yes,Extract and lock the selected start G4 location and all required current party context for G5 materialization.,Do not invent or select a new G4. Return an error list if context is incomplete.
g5_template_selector,агент подбора G5-шаблона,G5TemplateMatch,no,"Find the exact G5 template for the selected g4_type_id and return its allowed, required, optional and forbidden anchor constraints.",Do not use a generic scene if no template is found. Do not expand anchor lists without explicit source and audit flag.
g5_scene_materializer,агент материализации стартовой G5-сцены,G5SceneGraphDraft,yes,Create a causally grounded G5 scene graph inside the selected G4 using the matched template and locked party context.,"No new G1-G4 nodes. No modern/fantasy anchors. Every anchor must help process visibility, access, movement, witnesses, items or interaction."
g5_visibility_access_auditor,"аудитор видимости, доступа, владения и риска",G5AnchorAccessVisibilityPackage,yes,"Audit each G5 anchor for what is visible, accessible, owned/controlled, witnessed and risky.","Hidden facts must not be converted into visible facts. If hidden has a sign, pass only the sign."
g5_object_npc_binder,агент привязки предметов и NPC к G5,G5ObjectNpcBinding,yes,"Bind initial items, containers and NPCs to scene anchors only where the G4 function, situation and template justify them.",Player request does not materialize items. Significant objects require owner/holder/access/risk.
g5_edge_materializer,агент G5-связей и движения,G5SceneEdgePackage,yes,"Define short movement edges between G5 anchors and minilocations with time, access, visibility and risk.",G5 edge time must be 0-5 minutes and stay inside selected G4.
g5_current_position_selector,агент выбора стартовой точки персонажа,G5CurrentPositionCommitPlan,yes,Select the exact starting anchor and produce complete current_position fields.,The selected anchor must exist in the G5 draft. Position cannot be prose-only.
g5_visible_context_selector,агент безопасного видимого пакета стартовой сцены,G5VisibleStartPackage,"yes, only to exclude hidden information",Prepare the visible-only package for intro prose after G5 materialization.,"Do not reveal hidden motives, hidden objects, exact future events, objective map, raw JSON or internal calculations."
g5_commit_gate_auditor,аудитор commit gate G5,G5AuditReport,yes,Decide if the G5 materialization can be committed to party DB.,"Block commit on any missing FK plan, template violation, G1-G4 mutation, visibility leak or missing current_position."
g5_db_write_structurer,структурировщик DB write-plan G5,G5CommitResult,yes for DB hidden_state fields,Transform accepted G5 contracts into DB write plan.,"Only structure accepted facts. Do not add new anchors, items, NPCs or routes."
