ingredient_id,slug,name_ru,historical_name,ingredient_type,item_id,item_source_catalog,description_ru,period_from,period_to,valid_for_1230,region_scope,local_or_imported,historical_confidence,recipe_evidence_type,evidence_basis,source_ids,season_profile,social_scope,fasting_status,rarity,relative_cost,storage_container_ids,storage_location_ids,estimated_shelf_life,shelf_life_basis,spoilage_signs,anachronism_risk,notes
ING0001,water_well,Колодезная вода,unknown,water,FMA0001,food_related_material_additions,Вода из городского или усадебного колодца; конкретная чистота и кипячение не предполагаются автоматически.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,archaeological,Вода из городского или усадебного колодца; конкретная чистота и кипячение не предполагаются автоматически.,"[""SRC001"",""SRC045""]",year_round,"[""common""]",fasting_allowed,ubiquitous,very_low,"[""HOU0001"",""HOU0031""]",[],use promptly; stored water quality varies,reconstruction_estimate,"[""stagnant"",""contaminated""]",low,
ING0002,water_river,Речная вода,unknown,water,FMA0002,food_related_material_additions,"Вода Волхова, Ильменя и других водоёмов как бытовой источник; использование зависит от места и состояния воды.",1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,archaeological,"Вода Волхова, Ильменя и других водоёмов как бытовой источник; использование зависит от места и состояния воды.","[""SRC001"",""SRC045""]",year_round,"[""common""]",fasting_allowed,ubiquitous,very_low,"[""HOU0001"",""HOU0031""]",[],use promptly,reconstruction_estimate,"[""stagnant"",""contaminated""]",low,
ING0003,salt_coarse,Соль крупная,unknown,seasoning,FOD0037,material_culture_v1,Ценный торговый и технологический продукт для вкуса и консервации; количество в рецептах — реконструктивный диапазон.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,direct_text,Ценный торговый и технологический продукт для вкуса и консервации; количество в рецептах — реконструктивный диапазон.,"[""SRC027"",""SRC101"",""FSRC009""]",stored_year_round,"[""common""]",fasting_allowed,common,medium,"[""POT0016"",""HOU0021"",""HOU0043""]",[],indefinite if dry,reconstruction_estimate,"[""damp"",""contaminated""]",low,
ING0004,vinegar,Уксус,unknown,seasoning,FMA0003,food_related_material_additions,Продукт прямо назван в новгородской деловой записи начала XII века; конкретное сырьё и рецептура для 1230 года не устанавливаются.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,uncertain,B,direct_text,Продукт прямо назван в новгородской деловой записи начала XII века; конкретное сырьё и рецептура для 1230 года не устанавливаются.,"[""FSRC004"",""SRC027""]",stored_year_round,"[""common""]",fasting_allowed,uncommon,medium,"[""POT0020"",""HOU0025""]",[],months if sound,reconstruction_estimate,"[""off_odor"",""mold_surface""]",low,
ING0005,rye_grain,"Рожь, зерно",unknown,raw_product,FOD0051,material_culture_v1,"Рожь, зерно подтверждено археоботаническими и хозяйственными данными; доля и доступность зависели от урожая, статуса и года.",1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,archaeological,"Рожь, зерно подтверждено археоботаническими и хозяйственными данными; доля и доступность зависели от урожая, статуса и года.","[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",grain_year_round,"[""common""]",fasting_allowed,common,low,"[""AGR0008"",""AGR0009"",""AGR0011"",""HOU0015""]","[""ARC0018"",""ARC0026""]",months to about a year if dry,reconstruction_estimate,"[""damp"",""moldy"",""sprouted"",""pest_damaged""]",low,
ING0006,wheat_grain,"Пшеница, зерно",unknown,raw_product,FOD0021,material_culture_v1,"Пшеница, зерно подтверждено археоботаническими и хозяйственными данными; доля и доступность зависели от урожая, статуса и года.",1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,archaeological,"Пшеница, зерно подтверждено археоботаническими и хозяйственными данными; доля и доступность зависели от урожая, статуса и года.","[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",grain_year_round,"[""common""]",fasting_allowed,uncommon,medium,"[""AGR0008"",""AGR0009"",""AGR0011"",""HOU0015""]","[""ARC0018"",""ARC0026""]",months to about a year if dry,reconstruction_estimate,"[""damp"",""moldy"",""sprouted"",""pest_damaged""]",low,
ING0007,barley_grain,"Ячмень, зерно",unknown,raw_product,FOD0022,material_culture_v1,"Ячмень, зерно подтверждено археоботаническими и хозяйственными данными; доля и доступность зависели от урожая, статуса и года.",1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,archaeological,"Ячмень, зерно подтверждено археоботаническими и хозяйственными данными; доля и доступность зависели от урожая, статуса и года.","[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",grain_year_round,"[""common""]",fasting_allowed,common,low,"[""AGR0008"",""AGR0009"",""AGR0011"",""HOU0015""]","[""ARC0018"",""ARC0026""]",months to about a year if dry,reconstruction_estimate,"[""damp"",""moldy"",""sprouted"",""pest_damaged""]",low,
ING0008,oat_grain,"Овёс, зерно",unknown,raw_product,FOD0050,material_culture_v1,"Овёс, зерно подтверждено археоботаническими и хозяйственными данными; доля и доступность зависели от урожая, статуса и года.",1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,archaeological,"Овёс, зерно подтверждено археоботаническими и хозяйственными данными; доля и доступность зависели от урожая, статуса и года.","[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",grain_year_round,"[""common""]",fasting_allowed,common,low,"[""AGR0008"",""AGR0009"",""AGR0011"",""HOU0015""]","[""ARC0018"",""ARC0026""]",months to about a year if dry,reconstruction_estimate,"[""damp"",""moldy"",""sprouted"",""pest_damaged""]",low,
ING0009,millet_grain,"Просо, зерно",unknown,raw_product,FOD0023,material_culture_v1,"Просо, зерно подтверждено археоботаническими и хозяйственными данными; доля и доступность зависели от урожая, статуса и года.",1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,archaeological,"Просо, зерно подтверждено археоботаническими и хозяйственными данными; доля и доступность зависели от урожая, статуса и года.","[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",grain_year_round,"[""common""]",fasting_allowed,common,low,"[""AGR0008"",""AGR0009"",""AGR0011"",""HOU0015""]","[""ARC0018"",""ARC0026""]",months to about a year if dry,reconstruction_estimate,"[""damp"",""moldy"",""sprouted"",""pest_damaged""]",low,
ING0010,rye_groats,Ржаная крупа,unknown,processed_product,OMI01290,other_material_entities_v1,Продукт помола или дробления зерна (rye_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,ingredient_based_reconstruction,Продукт помола или дробления зерна (rye_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",stored_year_round,"[""common""]",fasting_allowed,common,low,"[""HOU0015"",""HOU0021"",""AGR0009""]","[""ARC0018"",""ARC0026""]",weeks to months if dry,reconstruction_estimate,"[""damp"",""moldy"",""pest_damaged""]",low,
ING0011,barley_groats,Ячменная крупа,unknown,processed_product,OMI01291,other_material_entities_v1,Продукт помола или дробления зерна (barley_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,ingredient_based_reconstruction,Продукт помола или дробления зерна (barley_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",stored_year_round,"[""common""]",fasting_allowed,common,low,"[""HOU0015"",""HOU0021"",""AGR0009""]","[""ARC0018"",""ARC0026""]",weeks to months if dry,reconstruction_estimate,"[""damp"",""moldy"",""pest_damaged""]",low,
ING0012,oat_groats,Овсяная крупа,unknown,processed_product,OMI01292,other_material_entities_v1,Продукт помола или дробления зерна (oat_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,ingredient_based_reconstruction,Продукт помола или дробления зерна (oat_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",stored_year_round,"[""common""]",fasting_allowed,common,low,"[""HOU0015"",""HOU0021"",""AGR0009""]","[""ARC0018"",""ARC0026""]",weeks to months if dry,reconstruction_estimate,"[""damp"",""moldy"",""pest_damaged""]",low,
