fl_id,name_ru,name_lat,name_en,crop_kind,life_form,allowed_1230,region_id,universal_taxon,category_ref,habitat_classes,habitat_presence,place_family_refs,sowing_months,sowing_period,harvest_months,harvest_period,flowering_months,visible_months,field_look_by_season,phenology_by_season,winter_look,perceptual_cues,uses,medicinal_practice_epoch,edibility,toxicity,lookalike_ids,lookalikes,yield_unit,yield_note,food_ingredient_ref,archaeobotanical_attestation,evidence_1230,source_refs,confidence,gbif_usage_key,gbif_nw_count,status,notes
fl_cu_secale_cereale,рожь (озимая),Secale cereale,rye,cereal_winter,annual_grass,yes,,true,proposed:flora/cereal_winter,ARABLE:8,"arable_field:ubiquitous | seasons: winter,spring,summer,autumn",arable_field,8 9,VIII–IX,7 8,VII–VIII,6,1 2 3 4 5 6 7 8 9 10 11 12,"{""winter"":""озимь под снегом"",""spring"":""озимь отрастает"",""summer"":""цветение/колошение → созревание, жатва/уборка"",""autumn"":""сев озимых, всходы → всходы и рост""}","{""winter"":""озимь под снегом; весной зелёные щётки всходов из-под снега"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI); созревание и уборка (VII–VIII)"",""autumn"":""вегетирует""}","озимь под снегом; весной зелёные щётки всходов из-под снега","сизые колосья выше человеческого роста, ость короткая; на корню качается волной","зерно — хлеб (WK);солома — кровля, подстилка;мука",не засвидетельствовано для Новгорода XIII в.,edible_after_processing,спорынья в колосьях опасна,fl_fu_claviceps_purpurea,fl_fu_claviceps_purpurea: рожки спорыньи в колосе,"сноп;мера","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0005,"Кирьянова 1979, табл. 2–4: основная культура X – первой пол. XIII в. (79,5% находок; 39,8% зёрен); в Новгороде «++»; озимая форма по сорнякам (костёр ржаной, метлица) — Кирьянов 1959","археоботаника Новгорода; берестяная грамота 943 (WK)","src:KIRYANOVA1979 ; src:KIRYANOV1959 ; wk:claim:household-rye-commodity ; wk:claim:food-practices-rye-flour-bread ; wk:claim:occupation-directed-grain-procurement ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0005 ; https://www.gbif.org/species/2705966 ; https://en.wikipedia.org/wiki/Secale_cereale",A,2705966,49,candidate,голодные 1230–1231 гг.: неурожай (см. temporal-v4 famine rule)
fl_cu_triticum_aestivum,пшеница (мягкая),Triticum aestivum,common wheat,cereal_spring,annual_grass,yes,,true,proposed:flora/cereal_spring,ARABLE:2,"arable_field:contextual | seasons: spring,summer,autumn",arable_field,5,V,8 9,VIII–IX,6 7,5 6 7 8 9,"{""winter"":""поле под снегом (жнивьё или пар)"",""spring"":""жнивьё или пар → сев, всходы"",""summer"":""цветение/колошение → созревание, жатва/уборка"",""autumn"":""созревание, жатва/уборка → жнивьё или пар""}","{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); созревание и уборка (VIII)"",""autumn"":""созревание и уборка (IX)""}",,"плотный колос, зерно крупнее ржаного; поле ниже ржаного","зерно — хлеб, каша",не засвидетельствовано для Новгорода XIII в.,edible_after_processing,,,,"сноп;мера","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0006,"Кирьянова 1979, табл. 2: пшеница в Новгороде «+» (X – первая пол. XIII в.); 59,6% находок в регионе; ул. Боркова (сер. XIII в.)",археоботаника,"src:KIRYANOVA1979 ; src:BORKOVA2024 ; main:data/world-catalogs/novgorod/world-knowledge/research/population-settlement-craft.md#SC-26 ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0006 ; https://www.gbif.org/species/7795888 ; https://en.wikipedia.org/wiki/Triticum_aestivum",A,7795888,108,candidate,форма (озимая/яровая) для Новгорода не уточнена — яровая как реконструкция
fl_cu_hordeum_vulgare,ячмень,Hordeum vulgare,barley,cereal_spring,annual_grass,yes,,true,proposed:flora/cereal_spring,ARABLE:4,"arable_field:common | seasons: spring,summer",arable_field,5 6,V–VI,7 8,VII–VIII,6 7,5 6 7 8,"{""winter"":""поле под снегом (жнивьё или пар)"",""spring"":""жнивьё или пар → сев, всходы"",""summer"":""сев, всходы → созревание, жатва/уборка"",""autumn"":""жнивьё или пар""}","{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); созревание и уборка (VII–VIII)"",""autumn"":""надземной части не видно (ещё не появилась или отмерла)""}",,"колос с длинными остями, никнет при созревании","зерно — каша, похлёбка (WK), солод (реконструкция)",не засвидетельствовано для Новгорода XIII в.,edible_after_processing,,,,"сноп;мера","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0007,"Кирьянова 1979, табл. 2: Новгород «+»; ул. Боркова; грамота 943","археоботаника; берестяная грамота 943 (WK)","src:KIRYANOVA1979 ; src:BORKOVA2024 ; wk:claim:household-barley-commodity ; wk:claim:food-practices-barley-porridge-soup ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0007 ; https://www.gbif.org/species/2706056 ; https://en.wikipedia.org/wiki/Hordeum_vulgare",A,2706056,82,candidate,
fl_cu_avena_sativa,овёс,Avena sativa,oat,cereal_spring,annual_grass,yes,,true,proposed:flora/cereal_spring,ARABLE:4,"arable_field:common | seasons: spring,summer,autumn",arable_field,5,V,8 9,VIII–IX,7,5 6 7 8 9,"{""winter"":""поле под снегом (жнивьё или пар)"",""spring"":""жнивьё или пар → сев, всходы"",""summer"":""всходы и рост → цветение/колошение → созревание, жатва/уборка"",""autumn"":""созревание, жатва/уборка → жнивьё или пар""}","{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VII); созревание и уборка (VIII)"",""autumn"":""созревание и уборка (IX)""}",,"раскидистые метёлки с висячими колосками, шуршат на ветру","зерно — каша, корм лошадям;солома — корм",не засвидетельствовано для Новгорода XIII в.,edible_after_processing,,,,"сноп;мера","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0008,"Кирьянова 1979, табл. 2: Новгород «+»","археоботаника; WK: весенний сев овса","src:KIRYANOVA1979 ; wk:claim:mb14-practical-sowing-follows-local-workable-soil ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0008 ; https://www.gbif.org/species/2705290 ; https://en.wikipedia.org/wiki/Avena_sativa",A,2705290,47,candidate,
fl_cu_panicum_miliaceum,просо,Panicum miliaceum,proso millet,cereal_spring,annual_grass,yes,,true,proposed:flora/cereal_spring,ARABLE:2,"arable_field:contextual | seasons: summer,autumn",arable_field,5 6,V–VI,8 9,VIII–IX,7 8,6 7 8 9,"{""winter"":""поле под снегом (жнивьё или пар)"",""spring"":""жнивьё или пар → сев, всходы"",""summer"":""сев, всходы → цветение/колошение → созревание, жатва/уборка"",""autumn"":""созревание, жатва/уборка → жнивьё или пар""}","{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""цветёт/колосится (VII–VIII); созревание и уборка (VIII)"",""autumn"":""созревание и уборка (IX)""}",,пушистые поникшие метёлки с блестящим мелким зерном,пшено — каша,не засвидетельствовано для Новгорода XIII в.,edible_after_processing,,,,"сноп;мера","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0009,"Кирьянова 1979, табл. 2: Новгород «+»; Троицкий раскоп (WK: вероятно из Поозерья); ул. Боркова",археоботаника,"src:KIRYANOVA1979 ; wk:claim:troitsky-cereal-millet-remains-probably-link-to-poozerie ; wk:claim:food-practices-millet-cleaning-waste ; src:BORKOVA2024 ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0009 ; https://www.gbif.org/species/2705090 ; https://en.wikipedia.org/wiki/Panicum_miliaceum",A,2705090,36,candidate,"теплолюбиво; вероятно, часть проса привозная (Кирьянова: круглец в плёнках проса Старой Руссы)"
fl_cu_pisum_sativum,горох,Pisum sativum,pea,pulse,annual_herb,yes,,true,proposed:flora/pulse,ARABLE:2 GARDEN:2,"arable_field:contextual; orchard_garden:contextual | seasons: spring,summer",arable_field orchard_garden,5,V,8,VIII,6 7,5 6 7 8,"{""winter"":""поле под снегом (жнивьё или пар)"",""spring"":""жнивьё или пар → сев, всходы"",""summer"":""цветение/колошение → созревание, жатва/уборка"",""autumn"":""жнивьё или пар""}","{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); созревание и уборка (VIII)"",""autumn"":""надземной части не видно (ещё не появилась или отмерла)""}",,"цепкие усики, белые мотыльковые цветки, пухлые стручки","сухой горох — каша, похлёбка (MASTER A)",не засвидетельствовано для Новгорода XIII в.,edible_after_processing,,fl_hb_vicia_cracca,fl_hb_vicia_cracca: мышиный горошек,"мера;горсть","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0046,"Кирьянова 1979, табл. 2: Новгород «+»",археоботаника,"src:KIRYANOVA1979 ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0046 ; https://www.gbif.org/species/5347845 ; https://en.wikipedia.org/wiki/Pisum_sativum",A,5347845,11,candidate,
fl_cu_vicia_faba,бобы (конские),Vicia faba,broad bean,pulse,annual_herb,yes,,true,proposed:flora/pulse,GARDEN:2 ARABLE:1,"arable_field:rare; orchard_garden:contextual | seasons: spring,summer,autumn",arable_field orchard_garden,5,V,8 9,VIII–IX,6 7,5 6 7 8 9,"{""winter"":""поле под снегом (жнивьё или пар)"",""spring"":""жнивьё или пар → сев, всходы"",""summer"":""цветение/колошение → созревание, жатва/уборка"",""autumn"":""созревание, жатва/уборка → жнивьё или пар""}","{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); созревание и уборка (VIII)"",""autumn"":""созревание и уборка (IX)""}",,"прямые толстые стебли, белые цветки с чёрным пятном, толстые стручки",сухие бобы — похлёбка,не засвидетельствовано для Новгорода XIII в.,edible_after_processing,,,,"мера;горсть","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0050,"Кирьянова 1979, табл. 2: Новгород «+» (бобы 0,1% зёрен в регионе)",археоботаника,"src:KIRYANOVA1979 ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0050 ; https://www.gbif.org/species/2974832 ; https://en.wikipedia.org/wiki/Vicia_faba",A,2974832,6,candidate,"мелкосемянная форма; фасоль (Phaseolus) — анахронизм"
fl_cu_lens_culinaris,чечевица,Lens culinaris,lentil,pulse,annual_herb,yes,,true,proposed:flora/pulse,GARDEN:1 ARABLE:1,"arable_field:rare; orchard_garden:rare | seasons: spring,summer",arable_field orchard_garden,5,V,8,VIII,6 7,5 6 7 8,"{""winter"":""поле под снегом (жнивьё или пар)"",""spring"":""жнивьё или пар → сев, всходы"",""summer"":""цветение/колошение → созревание, жатва/уборка"",""autumn"":""жнивьё или пар""}","{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); созревание и уборка (VIII)"",""autumn"":""надземной части не видно (ещё не появилась или отмерла)""}",,низкие тонкие стебли с мелкими плоскими семенами в коротких бобиках,семена — похлёбка,не засвидетельствовано для Новгорода XIII в.,edible_after_processing,,,,горсть,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0050,"Кирьянова 1979, табл. 2: Новгород «+»",археоботаника (единичные находки),"src:KIRYANOVA1979 ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0050 ; https://www.gbif.org/species/5350010 ; https://en.wikipedia.org/wiki/Lens_culinaris",B,5350010,1,candidate,редкая культура
fl_cu_linum_usitatissimum,лён,Linum usitatissimum,flax,fibre_oil,annual_herb,yes,,true,proposed:flora/fibre_oil,ARABLE:4 GARDEN:1,"arable_field:common; orchard_garden:rare | seasons: spring,summer,autumn",arable_field orchard_garden,5,V,7 8,VII–VIII,6 7,5 6 7 8 9,"{""winter"":""поле под снегом (жнивьё или пар)"",""spring"":""жнивьё или пар → сев, всходы"",""summer"":""цветение/колошение → созревание, жатва/уборка"",""autumn"":""жнивьё или пар""}","{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); созревание и уборка (VII–VIII)"",""autumn"":""вегетирует""}",,"голубое цветущее поле по утрам; позже жёлтые коробочки-«головки»","волокно — полотно (WK);семя — масло, еда (MASTER A)",не засвидетельствовано для Новгорода XIII в.,edible_after_processing,,,,"горсть (повесмо);сноп","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0077,"ул. Боркова (сер. XIII в.); WK: льноводство и мялка",археоботаника и WK,"src:BORKOVA2024 ; wk:claim:agriculture-fauna-flax-hemp-cultivation ; wk:claim:material-water-linen-flax-origin ; wk:claim:fibre-flax-breaker-shive ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0077 ; https://www.gbif.org/species/2873861 ; https://en.wikipedia.org/wiki/Linum_usitatissimum",A,2873861,10,candidate,"лён теребят (выдёргивают), а не жнут"
fl_cu_cannabis_sativa,конопля,Cannabis sativa,hemp,fibre_oil,annual_herb,yes,,true,proposed:flora/fibre_oil,GARDEN:4 ARABLE:2 RUDERAL:1,"arable_field:contextual; churchyard:rare; monastery_yard:rare; orchard_garden:common; outbuildings:rare; peasant_homestead:rare; road:rare; rural_yard:rare; town_courtyard:rare; town_street:rare; town_wall_edge:rare; village_lane:rare | seasons: summer,autumn",arable_field churchyard monastery_yard orchard_garden outbuildings peasant_homestead road rural_yard town_courtyard town_street town_wall_edge village_lane,5 6,V–VI,8 9,VIII–IX,7 8,6 7 8 9 10,"{""winter"":""поле под снегом (жнивьё или пар)"",""spring"":""жнивьё или пар → сев, всходы"",""summer"":""сев, всходы → цветение/колошение → созревание, жатва/уборка"",""autumn"":""созревание, жатва/уборка → жнивьё или пар""}","{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""цветёт/колосится (VII–VIII); созревание и уборка (VIII)"",""autumn"":""созревание и уборка (IX)""}",,высокие стебли с пальчатыми листьями и резким запахом у огородов,"волокно — верёвки, сети, пакля (WK);семя — масло, еда",не засвидетельствовано для Новгорода XIII в.,edible_after_processing,,,,"сноп;горсть","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0079,"Кирьянова 1979, табл. 2: Новгород «+»; ул. Боркова",археоботаника и WK,"src:KIRYANOVA1979 ; src:BORKOVA2024 ; wk:claim:agriculture-fauna-hemp-stem-fibre ; wk:claim:population-processes-hemp-cordage ; wk:claim:population-processes-hemp-net ; wk:claim:agriculture-fauna-tow-log-gaps ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0079 ; https://www.gbif.org/species/5361880 ; https://en.wikipedia.org/wiki/Cannabis_sativa",A,5361880,36,candidate,
