group_id,name_ru,who,presence_basis,presence_confidence,clothing_difference,local_adaptation,source_ids,image_refs,reliability_note
FG001,Готландские купцы,Сезонные торговцы и служащие Готского/Немецкого двора.,Археология торгового двора и документированный западный торговый контекст.,A,"Западно-/североевропейская туника, раздельные шоссы, кольцевая брошь, отдельный капюшон и западные поясные детали.","Могли покупать местную обувь, мех, пищу и ремонтировать вещи у новгородских мастеров.",SRC028 | SRC029 | SRC049,IMG_SHEET_06 | IMG_EXT_GERMAN_COURT,Присутствие надёжно; полный костюм реконструируется по западным аналогиям B.
FG002,Немецкие купцы,"Купцы, приказчики, слуги и ремесленники при Немецком дворе.","Археологически исследованный двор с западными пряжками, накладками, кольцами и руническими предметами.",A,"Западная одежда начала XIII в.; отличия прежде всего в шоссах, капюшонах, типах застёжек и качестве сукна.","Длительное сезонное пребывание делало смешение местной обуви, меха и ремонта вероятным.",SRC028 | SRC049,IMG_SHEET_06 | IMG_EXT_GERMAN_COURT,Не изображать позднеганзейский костюм XIV–XV вв.
FG003,Скандинавы / «варяги» в широком разговорном смысле,"Купцы, моряки, охрана и отдельные дружинные люди из скандинавского мира.",Продолжающиеся северные торговые связи и Готландский двор; термин «викинг» для 1230 неверен как социальная норма.,B,"Христианский североевропейский костюм XIII в., близкий западному; кольцевые броши и отдельные поясные детали.","Легко сочетали местный мех, обувь и бытовые вещи с привезённой одеждой.",SRC028 | SRC035 | SRC049,IMG_SHEET_06,"Никаких рогатых шлемов, черепаховидных фибул и ранневикингского набора по умолчанию."
FG004,Балтийские группы,"Эсты/чудь, ливы, латгалы и другие жители восточной Балтики в торговом, дипломатическом, пленном или военном контексте — конкретизировать сцену.","Географическая близость, пограничная археология и балтийские вещи в Новгороде.",B,"Региональные бронзовые украшения, отдельные формы булавок/цепей, шерстяные полотнищные одежды; точный набор зависит от группы.",В городе могли носить местную обувь и купленные ткани; этничность нельзя выводить из одной вещи.,SRC035 | SRC036 | SRC037,IMG_SHEET_06,Женский комплект с цепными булавками пока C и основан на предварительной публикации.
FG005,"Водь, ижора, корела и другие финно-угорские группы Новгородской земли","Жители зависимых/соседних территорий, торговцы, данники, проводники, промысловики и горожане смешанного происхождения.","Региональная археология Ижорского плато, Приладожья, Причудья и находки в Новгороде.",A–B,"Некоторые шейные гривны, спиральные детали, пластинчатые браслеты и способы скрепления одежды; не единая «финно-угорская форма».","Сильное взаимопроникновение тканей, обуви и городских вещей; локальный человек мог выглядеть почти по-новгородски.",SRC035 | SRC036,IMG_SHEET_06 | IMG_EXT_LESMAN,Основные комплексы XI–XII вв.; перенос к 1230 только как осторожная преемственность.
FG006,Русские из других княжеств,"Купцы, послы, духовные лица, дружинники, паломники и переселенцы.","Постоянные межкняжеские политические, церковные и торговые связи.",A,"Основа костюма близка; различия в локальных украшениях, поясе, воинских и головных деталях.","Местная обувь, мех и ткань могли быстро смешиваться с привезёнными вещами.",SRC006 | SRC021 | SRC022 | SRC023 | SRC029 | SRC050,IMG_SHEET_06,Не создавать цветовую «национальную униформу» каждого княжества.
FG007,Латинское духовенство и паломники,"Капелланы, священники при дворе, паломники и церковные гости западного обряда.",Западные торговые дворы предполагали церковную инфраструктуру и духовное обслуживание.,B,"Западный длинный клирикальный костюм, капюшон/плащ и отличные литургические детали.",В быту могли использовать местные меховые и обувные вещи.,SRC028 | SRC043,IMG_SHEET_06,Конкретный орден или форма не назначаются без отдельного источника.
FG008,Православные духовные лица и паломники из других земель,"Монахи, священники, посланники монастырей и паломники.",Новгород как крупный церковный центр и межрегиональные связи.,A–B,"Обычно невелики; различия в качестве ткани, местной традиции головного покрова и литургических деталях.","Бытовой комплект легко заменялся местными тканями, обувью и плащами.",SRC013 | SRC025 | SRC043 | SRC050,IMG_SHEET_08,Не делать экзотическими.
FG009,Иностранные наёмники или дружинные элементы,"Отдельные профессиональные воины, охрана купцов или союзные бойцы извне.","Военные и торговые контакты делают отдельные случаи правдоподобными, но постоянные унифицированные контингенты требуют конкретного сюжета.",C,"Базовая кольчуга, шлем, щит и оружие общеевропейского круга с одной региональной деталью.","Оружие, ремонт, обувь и одежда могли быть смешанными.",SRC021 | SRC022 | SRC023 | SRC028 | SRC035 | SRC050,IMG_SHEET_05 | IMG_SHEET_06,Не использовать как массовую экзотическую фракцию.
FG010,Греческие/византийские духовные лица или мастера — редкие гости,"Редкий клирик, художник, мастер или участник церковной связи.",Византийская художественная/технологическая связь Новгорода; фактическое присутствие конкретного человека требует отдельного сюжета.,C,"Византийские церковные или городские детали, но не роскошный императорский костюм.","В северном климате необходимы местные шерсть, мех и обувь.",SRC004 | SRC025 | SRC043,IMG_EXT_GOLD_QUADRIFOIL | IMG_EXT_NEREDITSA,Не считать обычной уличной группой; использовать только в обоснованной сцене.
