pc_id,name_ru,name_en,craft_group,master_family_ref,workplace_pf_id,inputs,tools,fuel_heat,outputs,waste_traces,skill_level,total_duration_band,step_count,season_constraints,failure_modes,defect_signs,player_feasibility_ru,authenticity_owner,region_id,wk_claim_refs,source_refs,confidence,status,note
pc_bloomery_iron,Кричное железо из болотной руды,bloomery iron from bog ore,metallurgy,iron_bloomery,forest_edge,mt_bog_ore;mt_charcoal;mt_clay_refractory;mt_firewood;mt_fieldstone,tl_ore_basket;tl_bloomery_furnace;tl_bellows;tl_tuyere;tl_smith_tongs;tl_sledgehammer;tl_anvil,"древесный уголь, принудительное дутьё мехами; жар по цвету и поведению шлака, без измерения температуры",mt_bloom_iron,mt_forge_slag;шлаковые лепёшки;обломки обмазки горна;пережжённая руда,specialist,weeks,6,добыча руды — в сухое время года (летом и осенью болото доступнее); плавка — вне сильных дождей; зимой затруднён доступ к болоту,"руда не восстановилась — вышел шлак без железа;крица рыхлая, распадается при проковке;горн прогорел или обвалился;мехи не дали дутья",много стекловидного шлака и мало губчатого металла;крица крошится под молотом;трещины и прогар в стенке горна,"Нужны разведанная болотная руда, уголь в количестве, многократно превышающем руду, построенный горн, мехи и работник, умеющий вести плавку. Одиночная попытка без опыта почти наверняка даёт шлак. В городе этим обычно не занимались: железо привозили сельские металлурги.",,,claim:occupation-smith-iron-input;claim:population-material-wood-pyrolysis;claim:fuel-charcoal-metallurgy-fuel,src:kolchin1953-metallurgy;src:kolchin1959-iron,B,candidate,Соотношения руда/уголь/выход и длительность плавки не приводятся: числа не выписаны из первоисточника.
pc_smith_forging,Кузнечная ковка железного изделия,forging a wrought-iron object,smithing,iron_forging,smithy,mt_bloom_iron;mt_iron;mt_charcoal;mt_water,tl_forge_hearth;tl_bellows;tl_anvil;tl_smith_hammer;tl_sledgehammer;tl_smith_tongs;tl_smith_chisel;tl_punch;tl_quench_tub,древесный уголь в горне с мехами; нагрев до ковочного жара по цвету; остывшую заготовку возвращают в горн,pr:forged_iron_object,mt_forge_slag;обсечки;зола;остатки угля,trained,hours,5,круглый год под крышей; сырой уголь сначала сушат,пережог металла;заковы и расслоения;трещина при гибке остывшей заготовки;недогрев — металл не тянется,"искристый пережжённый край, крупное зерно в изломе;видимые расслоения и складки;трещины на изгибе","Нужны горн, мехи, наковальня, клещи, молот, сухой уголь и железо. Простые вещи (гвоздь, скоба, крюк, дужка) реалистичны для обученного подмастерья за часы. Без горна и мехов железо не куют.",,,claim:mb14-practical-iron-workability-is-qualitative-not-temperature;claim:ordinary-life-smith-anvil-hammer-tongs;claim:ordinary-life-smith-forge-and-bellows;claim:ordinary-life-smith-leaves-scale-ash-offcuts;claim:ordinary-life-smith-needs-iron-and-fuel;claim:macro-b21-wet-charcoal-needs-drying-or-heat-management-before-reliable-hot-forge-work;claim:static-forge-welding-pressure-depends-on-temperature-and-material,src:kolchin1959-iron;src:kolchin1957-city,A,candidate,
pc_welded_steel_edge,Изготовление орудия с наварным стальным лезвием и закалкой,edge tool with welded steel blade and heat treatment,smithing,iron_heat_treatment,smithy,mt_iron;mt_steel;mt_charcoal;mt_water;mt_quartz_sand;mt_wood_birch,tl_forge_hearth;tl_bellows;tl_anvil;tl_smith_hammer;tl_smith_tongs;tl_smith_chisel;tl_quench_tub;tl_grinding_wheel;tl_whetstone;tl_file,горн на угле с мехами; сварочный жар выше ковочного; закалка в воде; отпуск по цветам побежалости,pr:edge_tool,mt_forge_slag;точильная пыль и шлам;обсечки,master,day,7,круглый год,стальная полоса не сварилась с основой;трещина закалки;перекал — лезвие крошится;недокал — лезвие мнётся;пережог стали,видимый шов с чернотой или отслоением на лезвии;волосная трещина после закалки;выкрашивание кромки;кромка заминается о дерево,"Требует мастера: сварку разнородных полос и закалку не выполнить без навыка. Топор, нож, тесло, долото, серп, коса делались так (Колчин). Для оружия — тот же процесс плюс заготовка стали; право носить оружие решает weapons_armour и social-law, а не процесс.",,,claim:occupation-smith-heat-treatment;claim:population-joining-steel-quench;claim:population-joining-steel-temper;claim:harvest-scythe-iron-steel-specimen;claim:casting-firesteel-steel;claim:static-forge-welding-pressure-depends-on-temperature-and-material,src:kolchin1959-iron;src:kolchin1957-city,A,candidate,Колчин 1957: многослойные лезвия из 3 или 5 пластин с высокоуглеродистой сталью в середине.
pc_carburizing,Науглероживание (цементация) железа,carburizing iron into steel,smithing,iron_heat_treatment,smithy,mt_iron;mt_charcoal;mt_salt;mt_clay_refractory,tl_carburizing_pot;tl_forge_hearth;tl_bellows;tl_smith_tongs,длительный нагрев в горне закрытого сосуда с угольной засыпкой,mt_steel,разбитый сосуд;зола,master,day,3,круглый год,сосуд треснул — металл окислился;науглероживание только поверхностное;пережог,окалина вместо светлой поверхности;после закалки кромка мягкая,Мастерская операция; без знания рецептуры и длительного жара результат непредсказуем.,,,claim:population-material-wood-pyrolysis,src:kolchin1959-iron,B,candidate,Уголь и поваренная соль в глиняных сосудах — по конспекту Колчина; длительность не выписана.
pc_nail_forging,Ковка гвоздей в гвоздильне,forging nails with a nail header,smithing,iron_forging,smithy,mt_iron;mt_charcoal,tl_forge_hearth;tl_bellows;tl_anvil;tl_smith_hammer;tl_smith_chisel;tl_nail_header;tl_smith_tongs,"горн, ковочный жар",pr:forged_nail,обсечки;окалина,trained,hours,3,круглый год,стержень застрял в гвоздильне;шляпка кривая или трескается,кривая шляпка;расслоение стержня,Рутинная работа подмастерья при горне и гвоздильне; гвоздочники — отдельная специальность XII в.,,,claim:construction-forged-iron-nail-vessel-joint,src:kolchin1959-iron;src:kolchin1957-city,A,candidate,
pc_iron_repair,Починка и перековка железной вещи,repair and reforging of iron objects,smithing,iron_finishing_repair,smithy,pr:worn_iron_object;mt_iron;mt_charcoal,tl_forge_hearth;tl_bellows;tl_anvil;tl_smith_hammer;tl_smith_tongs;tl_grinding_wheel;tl_file,горн,pr:repaired_iron_object,окалина;обломки,trained,hours,3,круглый год,вещь не подлежит сварке — ломается снова;при нагреве отпускается закалка лезвия,шов наварки виден;лезвие после починки мягкое,Заказы мастера часто состоят из починки (WK); поломанную вещь чаще перековывают в меньшую или меняют деталь.,,,claim:ordinary-life-craftsman-income-varies-with-orders;claim:final-practical-worn-fastening-or-covering-can-be-limited-repaired-replaced-or-deferred-conditionally,src:kolchin1959-iron;src:master-technology-v1,B,candidate,
pc_nonferrous_casting,Литьё цветного металла в каменную или глиняную форму,non-ferrous casting in stone or clay moulds,casting_jewelry,nonferrous_casting,ordinary_workshop,mt_copper;mt_bronze;mt_brass;mt_lead;mt_tin;mt_silver;mt_charcoal;mt_clay_refractory;mt_limestone;mt_slate_ovruch,tl_mould_stone;tl_mould_clay;tl_crucible;tl_crucible_tongs;tl_ladle_pouring;tl_bellows;tl_blowpipe;tl_file;tl_burnisher;tl_graver;tl_jeweler_scales;tl_carving_knife;tl_compass_divider,малый горн или очаг с углём и дутьём; тигель в угле,pr:cast_ornament,литники;брак литья;брызги металла;разбитые тигли и формы,master,day,5,круглый год,металл не заполнил форму;пористая отливка;треснула каменная форма;тигель лопнул,"недолив, раковины и пузыри;облой по шву створок;следы литника не зачищены","Нужны металл (привозной), тигель, форма и умение резать форму. Копия чужой вещи отливается по оттиску в глину — рельеф получается мягче и мельче оригинала (усадка, потеря деталей); это важно для подделок: решение о подлинности — у @rus/items-property.",@rus/items-property,,claim:casting-defective-casting;claim:casting-sprue;claim:casting-copper;claim:casting-bronze;claim:casting-brass;claim:casting-lead;claim:casting-tin;claim:casting-gold;claim:casting-casting-crucible;claim:casting-casting-mould;claim:casting-pouring-ladle;claim:population-joining-metal-melt;claim:metal-classes-composition,src:iaran-desyatinny;src:sedova1981-jewelry,A,candidate,Состав сплавов конкретной вещи не назначается (WK metal-classes-composition).
pc_lost_wax_casting,Литьё по восковой модели,lost-wax casting,casting_jewelry,nonferrous_casting,ordinary_workshop,mt_beeswax;mt_clay_refractory;mt_bronze;mt_silver;mt_charcoal,tl_carving_knife;tl_crucible;tl_crucible_tongs;tl_bellows;tl_file;tl_burnisher,прогрев формы для вытапливания воска; плавка в тигле,pr:cast_ornament,разбитая глиняная форма;литник,master,days,5,круглый год,воск не вытек полностью — пустоты;форма треснула при заливке,"пористость, недолив тонких частей",Даёт единичную отливку; форма разбивается. Модель можно снять оттиском с чужой вещи — тогда копия чуть меньше и мягче по рельефу.,@rus/items-property,,claim:casting-casting-mould;claim:population-joining-metal-melt;claim:population-material-clay-steam,src:sedova1981-jewelry;src:matcult-catalog-v1,B,candidate,Применение способа в Новгороде — по Седовой (через сводки); доля в производстве не выписана.
pc_wire_filigree,"Проволока, филигрань и зернь","wire drawing, filigree and granulation",casting_jewelry,sheet_wire_metal,ordinary_workshop,mt_silver;mt_copper;mt_charcoal,tl_draw_plate;tl_jeweler_pliers;tl_jeweler_hammer;tl_jeweler_anvil;tl_blowpipe;tl_crucible,малый огонь с паяльной трубкой для пайки,pr:filigree_ornament,проволочные концы;опилки драгметалла,specialist,days,4,круглый год,проволока рвётся при протяжке;припой растекается и заливает узор;зерно не припаялось,неравномерная толщина проволоки;залитые припоем ячейки,Узкая специальность ювелира; требует драгметалла и точного огня. Для 1230 г. тонкая филигрань — редкая элитная работа.,@rus/items-property,,claim:population-joining-metal-melt,src:sedova1981-jewelry;src:matcult-catalog-v1;src:master-technology-v1,C,candidate,Волочение и пайка в Новгороде — по сводкам; конкретный инструмент (волочильная доска) — реконструкция.
pc_sheet_embossing,Тиснение накладок по матрице,embossing sheet mounts over a die,casting_jewelry,jewelry_decoration,ordinary_workshop,mt_copper;mt_silver;mt_bronze;mt_lead,tl_embossing_die;tl_jeweler_hammer;tl_jeweler_anvil;tl_chasing_punch;tl_jeweler_pliers;tl_file,отжиг листа на малом огне,pr:embossed_mount,обрезки листа,master,hours,3,круглый год,лист прорвался;оттиск неполный,разрывы на выпуклостях;размытый рельеф,Матрица позволяет делать много одинаковых накладок; чужая матрица — прямой путь к копиям (подлинность решает @rus/items-property).,@rus/items-property,,claim:population-physics-load-deformation;claim:population-physics-stress-failure;claim:metal-classes-composition,src:matcult-catalog-v1;src:sedova1981-jewelry,B,candidate,
pc_lead_seal,Изготовление вислой свинцовой печати (буллы) на документе,making a lead bulla on a document,writing_seals,writing_bookmaking,dwelling_interior,mt_lead;mt_cordage;mt_charcoal,tl_seal_blank_mould;tl_crucible;tl_ladle_pouring;tl_bullotirion;tl_smith_hammer;tl_anvil,малый огонь для плавки свинца,pr:sealed_document,свинцовые брызги и обрезки,trained,hour,3,круглый год,оттиск смещён или неполный;шнур перебит при сжатии;заготовка треснула,двойной оттиск;смятые края;шнур не проходит через печать,"Сама операция проста, но подлинная печать возможна только тем буллотирием, чьи матрицы вырезаны для конкретного владельца; после смерти или смены должностного лица матрицы уничтожали. Подделка требует новой резной матрицы (работа торевта, pc_seal_matrix) или снятия оттиска с чужой печати — рельеф такой копии беднее. Подлинность и последствия решают @rus/items-property и @rus/social-law.",@rus/items-property;@rus/social-law,,claim:population-joining-metal-melt,src:iaran-bullotirion;src:kyy1985-applied,A,candidate,"Буллотирий XIV в.; для 1230 г. способ тот же (печати XIII в. массово), конкретный инструмент — аналогия."
pc_seal_matrix,Резьба матрицы печати (буллотирия) или клейма,engraving a seal matrix or stamp,writing_seals,jewelry_decoration,ordinary_workshop,mt_steel;mt_iron;mt_bronze,tl_graver;tl_chasing_punch;tl_file;tl_forge_hearth;tl_anvil;tl_smith_hammer;tl_compass_divider,ковка заготовки в горне; резьба холодная,pr:seal_matrix,металлическая стружка,specialist,days,3,круглый год,ошибка в зеркальной надписи;сорвавшийся резец испортил поле,надпись не зеркальна (на оттиске читается наоборот);неровные буквы,"Требует редкого мастера (торевта), знания письма и изображения владельца печати. Заказ матрицы для чужого имени — уже преступный умысел; решает @rus/social-law.",@rus/items-property;@rus/social-law,,claim:mb14-practical-iron-workability-is-qualitative-not-temperature;claim:population-joining-steel-quench,src:kyy1985-applied;src:iaran-bullotirion,B,candidate,Резьба «первоклассными художниками-торевтами» — сводка по Янину; инструменты гравёра не выписаны.
pc_tanning_bark,Кожевенное дело: выделка кожи растительным дублением,vegetable tanning of hides,leather,tanning_leather,ordinary_workshop,mt_hide_raw;mt_water;mt_lime;mt_wood_ash_lye;mt_bark_tanning;mt_tallow;mt_birch_tar;mt_sour_bread_kvas;mt_iron_black_dye,tl_liming_vat;tl_beam;tl_fleshing_knife;tl_leather_press;tl_drying_frame;tl_knife_utility,без огня; тёплая вода по надобности,mt_leather_veg,шерсть и волос в золе;мездра;обрезки шкуры;отработанная кора;вонючие стоки,master,months,8,мочка и золка — в тёплое время; зимой вода мёрзнет и работа замедляется; кору дерут весной-летом при сокодвижении,шкура загнила при мочке;волос не сходит — недозолено;кожа передублена и ломкая;кожа недублена и гниёт,ослизлые пятна и запах гнили;пятна волоса;кожа трескается на изгибе;непродубленная серая середина на срезе,"Долгий процесс (недели и месяцы) с чанами, водой и корой; кожевня пахнет и ставится у воды и на окраине усадьбы. Мгновенно кожу не получить: WK прямо говорит, что наличие кожаных вещей не подтверждает локального дубления.",,,claim:vegetable-tanning-prepared-hide;claim:vegetable-tanning-collagen-stabilization;claim:oil-fat-vegetable-leather-flexibility;claim:material-water-vegetable-leather-water;claim:leather-broad-context;claim:population-hide-leather-distinction;claim:static-wood-ash-water-can-produce-alkaline-runoff;claim:r201-lye-1;claim:streak01-wet-leather-drying,src:izumova1959-leather,B,candidate,"Порядок стадий и составы — по Изюмовой (через конспект), которая сама опирается на технологию XIX в. для реконструкции; сроки не приводятся."
pc_rawhide,Сыромять: промятая недублёная кожа,rawhide (syromyat) preparation,leather,tanning_leather,town_courtyard,mt_hide_raw;mt_water;mt_tallow,tl_beam;tl_fleshing_knife;tl_drying_frame;tl_leather_press,нет,mt_rawhide,волос;мездра,trained,weeks,3,тёплое время для мочки и сушки,пересохла и стала деревянной;загнила при мочке,"жёсткая, звенит, трескается;запах гнили","Проще дубления; даёт прочные ремни и поршни, но кожа боится воды (разбухает, затем усыхает).",,,claim:material-water-rawhide-wet-dry;claim:oil-rawhide-moisture-resistance,src:izumova1959-leather,B,candidate,
