ms_id,unit_or_post_kind,name_ru,summary_ru,region_id,pf_ids,roles,occupations,equipment_profile_ref,duty_schedule_ref,event_refs,source_refs,confidence,priority,status,note
ms_unit_princely_druzhina,unit,княжья дружина,"Военная сила, охрана и судоисполнение приглашённого князя; основная резиденция — Городище; конная и отборная часть войска; не постоянная армия нового времени.",region_novgorod_land,town_courtyard | road | town_wall_edge,nov_role_prince | nov_role_princely_druzhinnik | nov_role_junior_druzhinnik | nov_role_druzhina_companion | nov_role_princely_man,nov_occ_druzhina_warrior | nov_occ_junior_retainer | nov_occ_princely_service_agent,eq_druzhinnik_field | eq_druzhinnik_town | eq_junior_druzhinnik | eq_prince_war,tsv:occ:nov_occ_druzhina_warrior#daily_schedule_normal | tsv:occ:nov_occ_druzhina_warrior#daily_schedule_crisis,nov_hist_1231_002 | nov_hist_1234_001 | nov_hist_1240_001 | nov_hist_1241_001 | nov_hist_1242_001,sqlite:institutions:I07 | sqlite:institutions:I08 | sqlite:social_groups:княжеская дружина | sqlite:city_features:B015 | lit:kirpichnikov_1971_ratnoe | wk:claim:candidate-v7-npl-1220-vsevolod-court-armed-in-armour,A,M3,candidate,
ms_unit_gridba,unit,гридьба (младшая дружина) в городе-крепости,"Младшие дружинники, стоящие в городе; в статье 1234 г. о защите Русы названы вместе с огнищанами, стрельцами и купцами.",region_novgorod_land,town_street | town_wall_edge | market_square,nov_role_junior_druzhinnik | nov_role_druzhina_companion,nov_occ_junior_retainer,eq_junior_druzhinnik,tsv:occ:nov_occ_junior_retainer#daily_schedule_normal,nov_hist_1234_002,lit:npl_nasonov_1950 | lit:wiki_ognishchane | timeline:nov_hist_1234_002,B,M3,candidate,Текст статьи 1234 г. взят по вторичной передаче; сверить с НПЛ.
ms_unit_city_militia,unit,городовое ополчение («тысяча»),"Большей частью пешее ополчение горожан (купцов, ремесленников) и смердов; собирается по решению веча и под началом тысяцкого; кто имеет коня — конно, иначе в ладьях.",region_novgorod_land,town_street | market_square | river_wharf | road,nov_role_tysyatsky | nov_role_sotsky | nov_role_householder | nov_role_craftsman_master | nov_role_journeyman | nov_role_local_merchant | nov_role_trader | nov_role_hired_worker,nov_occ_tysyatsky_public_order,eq_militia | eq_archer,tsv:occ:nov_occ_tysyatsky_public_order#daily_schedule_crisis,nov_hist_1234_001 | nov_hist_1241_001 | nov_hist_1242_001,lit:kirpichnikov_1971_ratnoe | lit:nesin_tysyatskie | sqlite:institutions:I05 | sqlite:institutions:I01 | sqlite:social_groups:«чёрные люди»/рядовые свободные горожане | wk:claim:final-social-tysyatsky-role-can-frame-urban-military-or-trade-contact | bible:§10 Роль №6 — городской ополченец,B,M3,candidate,Точная численность и порядок сбора 1230-х не засвидетельствованы.
ms_unit_sotnya,unit,сотня и сотский,Сотенное деление при тысяцком: сотский — низовой распорядитель в городе и округе; военная роль сотни в 1230-х реконструируется.,region_novgorod_land,town_street | village_lane,nov_role_sotsky | nov_role_tysyatsky,nov_occ_tysyatsky_public_order,eq_sotsky | eq_militia,tsv:occ:nov_occ_tysyatsky_public_order#daily_schedule_normal,,lit:nesin_tysyatskie | tsv:role:nov_role_sotsky#weapon_rights,C,M3,candidate,
ms_unit_konets_regiments,unit,полки концов и партий в городском конфликте,"В городских смутах стороны выстраиваются полками; в 1220 г. сторонники Твердислава стояли пятью полками. Это кризисная расстановка, не постоянная организация.",region_novgorod_land,town_street | market_square | bridge_crossing,nov_role_boyar | nov_role_boyar_man | nov_role_householder | nov_role_city_elder,,eq_militia,,nov_hist_1230_002 | nov_hist_1230_004,wk:claim:candidate-v7-npl-1220-tverdislav-supporters-five-regiments | sqlite:institutions:I02 | sqlite:events:1230-лето,A,M3,candidate,
ms_unit_boyar_retinue,unit,вооружённые люди боярского двора,Боярин выводит своих людей; в 1230 г. партии громят дворы противников.,region_novgorod_land,town_courtyard | town_street,nov_role_boyar | nov_role_boyar_man | nov_role_servant | nov_role_kholop,nov_occ_boyar_yard_manager | nov_occ_household_servant,eq_boyar_war | eq_militia,tsv:occ:nov_occ_boyar_yard_manager#daily_schedule_crisis,nov_hist_1230_002 | nov_hist_1230_004,sqlite:social_groups:бояре | sqlite:law:L20 | sqlite:persons_1230:R12,B,M3,candidate,
ms_unit_rural_levy,unit,сбор «всей области» (волостное ополчение),В крупный поход князь выходит с новгородцами «со всею областью»; сельские люди приходят из погостов и волостей.,region_novgorod_land,village_lane | peasant_homestead | road,nov_role_smerd_householder | nov_role_ploughman | nov_role_hunter | nov_role_starosta,nov_occ_ploughman | nov_occ_hunter_trapper,eq_militia | eq_archer,tsv:occ:nov_occ_ploughman#daily_schedule_crisis,nov_hist_1234_001,wk:claim:candidate-v7-npl-1223-yaroslav-colyvan-campaign | sqlite:institutions:I12,B,M3,candidate,
ms_unit_strelci,unit,стрельцы (лучники) городской обороны,"Лучники, названные среди защитников Русы в 1234 г.; в поле стрельцы завязывают бой, ядро — копейщики.",region_novgorod_land,town_wall_edge | town_street,nov_role_hunter | nov_role_householder | nov_role_junior_druzhinnik,nov_occ_hunter_trapper,eq_archer,,nov_hist_1234_002,lit:npl_nasonov_1950 | lit:wiki_ognishchane | lit:kirpichnikov_1971_ratnoe,B,M3,candidate,Состав защитников Русы 1234 г. по вторичной передаче; сверить с НПЛ.
ms_unit_foreign_guests_armed,unit,вооружённые иноземные гости,Немецкие и готские гости на своих дворах; удар оружием по договору 1191–1192 карается штрафом 6 гривен; оружие и облик — западные варианты без единой униформы.,region_novgorod_land,market_square | town_courtyard | river_wharf,nov_role_foreign_guest | nov_role_merchant_guest,nov_occ_long_distance_merchant,eq_merchant_road,,nov_hist_1231_001,sqlite:law:L07 | sqlite:city_features:B013 | sqlite:city_features:B014 | sqlite:social_groups:иностранные гости,B,M3,candidate,
ms_post_city_gate,post,стража у городских ворот и ворот Детинца,"Пост у ворот: пропуск, досмотр чужих, закрытие на ночь и в тревогу; регулярная служба 1230 г. прямо не описана, ворота и караульный навес — реконструкция.",region_novgorod_land,town_wall_edge | road,nov_role_guard | nov_role_princely_man | nov_role_boyar_man,nov_occ_gate_guard,eq_gate_guard,tsv:occ:nov_occ_gate_guard#daily_schedule_normal | tsv:occ:nov_occ_gate_guard#daily_schedule_winter | tsv:occ:nov_occ_gate_guard#daily_schedule_crisis,nov_hist_1238_002 | nov_hist_1240_002,tsv:occ:nov_occ_gate_guard#weapon_access | master:mc:FOR0003 | master:mc:FOR0007 | sqlite:city_features:B025 | wk:claim:military-world-gate-and-passage-use-needs-actual-access | wk:claim:military-world-watch-relief-keeps-attention-bounded,C,M3,candidate,
