cue_key,match_subcategory,smell_ru,taste_ru,texture_ru,look_ru,source_refs,confidence,status
bread_rye_sour,"[""bread"", ""bread_fermentation"", ""dough_preparation""]","кисловатый хлебный дух закваски, подгорелая корка","кисло-солоноватый, плотный ржаной вкус","тяжёлый влажный мякиш, твёрдая корка с золой снизу","тёмный невысокий каравай, мука на боку","[""wk:claim:lactic-fermentation-affects-acidity-and-food-proteins"", ""wk:claim:grain-processing-bread-oven-baking""]",C,candidate
flatbread,"[""flatbread"", ""batter_cake"", ""filled_baked_food"", ""sweet_food""]",запах пригоревшей муки и тёплой золы,"пресный или чуть кислый, сухой","тонкая, ломкая по краю, мягкая в середине",плоская лепёшка с тёмными пятнами жара,"[""wk:claim:grain-processing-bread-open-fire-baking""]",C,candidate
porridge,"[""porridge"", ""porridge_variant"", ""grain_pottage""]","пар варёного зерна, иногда пригар со дна горшка","мучнисто-сладковатый, пресный без соли","густая, клейкая, стынет коркой",серая или желтоватая масса в горшке,"[""wk:claim:research-starch-gelatinization-can-thicken-an-aqueous-mixture""]",C,candidate
pottage,"[""mixed_pottage"", ""vegetable_pottage"", ""wild_green_pottage"", ""legume_pottage"", ""legume"", ""turnip"", ""allium_or_root"", ""cabbage"", ""mushrooms""]","пар варёных корней, лука, травы","простой, травянистый, с горчинкой зелени или сладостью репы",жидкая с разваренными кусками,мутное варево с плавающей зеленью,"[""wk:claim:research-starch-gelatinization-can-thicken-an-aqueous-mixture""]",C,candidate
fish_fresh_cooked,"[""fresh_fish"", ""fish_species_variant"", ""fish_pottage"", ""pan_frying""]","речная рыба, тина, пар ухи","сладковатое мясо, костистое","слоистая белая плоть, мелкие кости","побелевшая мякоть, мутный отвар","[""wk:claim:research-heating-fish-denatures-proteins-reduces-water-binding-and-firms-flesh""]",C,candidate
fish_salted,"[""fish_salted"", ""fish_salting"", ""preserved_fish_use""]",острый рассольный рыбный дух,"очень солёный, до жжения","плотная, волокнистая","потемневшая, с кристаллами соли","[""wk:claim:research-fish-salting-moves-water-out-and-salt-in-and-its-effect-depends-on-distribution""]",C,candidate
fish_dried,"[""fish_dried"", ""drying""]","сухой рыбный запах, ветер и дым","солоноватый, концентрированный","жёсткая, тянется волокнами",сморщенная тушка на жерди или в связке,"[""wk:claim:research-exposed-fish-drying-depends-on-sun-heat-air-movement-and-invites-pests"", ""wk:claim:drying-reduces-microbial-growth-conditions""]",C,candidate
meat_boiled,"[""boiled_meat"", ""meat_one_pot"", ""offal"", ""preserved_meat_use""]",жирный мясной пар,"сытный, с жиром","волокнистое мясо, хрящ","куски на кости в горшке, жир плёнкой","[""rule:authored_prose_lexicon""]",C,candidate
meat_roasted,"[""roasted_meat""]",дым и капающий жир,"подгорелый край, сочное нутро",корка и тянущиеся волокна,"тёмная корка, сок","[""rule:authored_prose_lexicon""]",C,candidate
dairy_fresh,"[""milk"", ""cheese""]","тёплое парное молоко, хлев",сладковато-жирный,"жидкое, пенка","белое, с пеной","[""wk:claim:mb14-practical-milk-in-heat-needs-cooler-place-and-prompt-use""]",C,candidate
dairy_soured,"[""sour_milk"", ""curd"", ""dairy_drink"", ""dairy_fermentation"", ""dairy""]",кислый молочный запах,"кислый, освежающий","сгусток, отделяется сыворотка",белые хлопья в желтоватой сыворотке,"[""wk:claim:place-milk-fresh-curd-can-progressively-separate-from-whey""]",C,candidate
egg,"[""egg""]",сера и дым от печёного яйца,жирный желток,упругий белок,мелкие яйца в золе или горшке,"[""rule:authored_prose_lexicon""]",C,candidate
honey_drink,"[""honey_drink""]","медовый, бродильный, воск",сладкий с кислинкой и хмелем,"густоватый, пенистый",мутно-золотистый,"[""wk:claim:yeast-can-convert-sugars-to-ethanol-under-low-oxygen""]",C,candidate
beer,"[""beer"", ""malting""]","солод, хлебная кислинка, хмель","горьковато-кислый, некрепкий","мутный, с осадком","бурый, мутный, пена","[""wk:claim:yeast-can-convert-sugars-to-ethanol-under-low-oxygen"", ""wk:claim:population-processes-malt-context""]",C,candidate
kvass,"[""kvass_like""]",кислый хлебный запах,"кисловатый, чуть шипучий","жидкий, с крошками","бурый, мутный","[""wk:claim:lactic-bacteria-can-convert-carbohydrate-to-acid-carbon-dioxide""]",C,candidate
berry_drink,"[""berry_drink""]","ягодный, лесной","кисло-сладкий, терпкий","жидкий, мякоть",красный или тёмно-синий,"[""rule:authored_prose_lexicon""]",C,candidate
cabbage_fermented,"[""vegetable_fermentation""]",резкий кислый капустный дух,"кислый, солёный",хрусткая или обмякшая,бледная капуста в рассоле под гнётом,"[""wk:claim:research-vegetable-fermentation-submersion-salt-and-temperature-shape-course""]",C,candidate
grain_processing,"[""grain_cleaning"", ""milling_groats"", ""milling_flour""]","мучная пыль, сухое зерно",,"сыпучее, пыль в воздухе",мякина и шелуха вокруг,"[""wk:claim:food-practices-threshing-chaff""]",C,candidate
leftovers,"[""leftovers""]","застоялый, холодный","пресный, подсохший","чёрствый, загустевший",остатки в миске,"[""rule:authored_prose_lexicon""]",C,candidate
kissel,"[""kissel""]","кислый овсяный дух, пар","кисловатый, мучнистый, с мёдом — сладковатый","густой, дрожащий, застывает студнем",серовато-белая масса в миске,"[""ext:pvl_6505_997"", ""wk:claim:research-starch-gelatinization-can-thicken-an-aqueous-mixture""]",C,candidate
honey_water,"[""honey_water"", ""turnip_variant"", ""sweet_food""]","мёд, воск",сладкий,жидкий или тягучий,золотистый,"[""ext:pvl_6505_997""]",C,candidate
water,"[""water""]",сырость колодезного сруба или речной запах,"холодная, иногда с привкусом дерева или ила",,прозрачная или мутноватая,"[""master-food:SRC082""]",C,candidate
wine,"[""wine""]","винный, кисловатый","терпкий, кислый",жидкий,тёмно-красный или бурый,"[""ext:gramota586""]",C,candidate
