ct_id,name_ru,name_en,container_class,matcult,v5_category,rus13_ref,capacity_slots,capacity_band,capacity_basis,closure,lock,portability,compatible,forbidden_content,source_refs,confidence,status,notes
ct_chest_plank,сундук дощатый с плоской крышкой,plank chest,chest,FUR0026,cat_container_form_chest_v1,chest_sunduk,24,large,v5:container_tpl_nov_chest_v1,hinged_lid,bar_or_iron_lock_possible,two_person,content_textiles|content_personal_small_items|content_coins|content_folded_documents|content_household_goods|content_trade_goods|content_fur|content_wax|content_ritual_objects,content_hot|content_liquid|content_water|content_wet_bulk|content_fish,matcult:FUR0026|v5:container_templates:container_tpl_nov_chest_v1|matcult:HOU0002|matcult:HOU0003,A,candidate,замок железный — дорогой вариант (rus13tpl chest_sunduk)
ct_chest_domed,сундук с выпуклой крышкой,domed chest,chest,FUR0012,,,24,large,v5:container_tpl_nov_chest_v1 (аналог),hinged_lid,bar_or_iron_lock_possible,two_person,content_textiles|content_personal_small_items|content_coins|content_folded_documents|content_household_goods,content_hot|content_liquid|content_water|content_wet_bulk|content_fish,matcult:FUR0012,C,candidate,
ct_chest_merchant,купеческий сундук с замком,merchant chest,chest,TRD0030,,,24,large,v5:container_tpl_nov_chest_v1 (аналог),hinged_lid,iron_lock,two_person,content_trade_goods|content_coins|content_weights|content_folded_documents|content_textiles|content_fur|content_wax,content_hot|content_liquid|content_water|content_wet_bulk|content_fish,matcult:TRD0030|matcult:TRD0057,A,candidate,
ct_casket_small,малый ларец,small casket,casket,FUR0024,cat_container_form_small_casket_v1,,4,small,"v5:container_tpl_nov_wooden_box_v1 (20–50 см, matcult FUR0024); v5 small_casket=24 слотов завышено",lid,latch_or_small_lock,hand,content_personal_small_items|content_coins|content_folded_documents|content_needles|content_ritual_objects,content_hot|content_liquid|content_water|content_wet_bulk|content_fish|content_grain,matcult:FUR0024|v5:container_templates:container_tpl_nov_small_casket_v1,A,candidate,расхождение с v5 (24 слота) зафиксировано: размер 20–50 см по matcult
ct_box_wooden_small,небольшая деревянная коробочка,small wooden box,box,HOU0043,cat_container_form_wooden_box_v1,,4,small,v5:container_tpl_nov_wooden_box_v1,lid,none,hand,content_personal_small_items|content_small_dry_goods|content_small_tools|content_needles|content_salt,content_hot,matcult:HOU0043|v5:container_templates:container_tpl_nov_wooden_box_v1,A,candidate,
ct_box_plank_crate,дощатый ящик,plank crate,box,TRD0042,,,12,medium,v5:container_tpl_nov_sack_v1 (аналог по объёму; ручной/двухчеловечный груз),lid_nailed_or_loose,none,two_person,content_trade_goods|content_household_goods|content_small_tools|content_metal_stock|content_wax,content_hot|content_liquid|content_water,matcult:TRD0042,B,candidate,
ct_lar_plank,ларь крупный дощатый,large plank bin,bin,FUR0006,,lar,48,bulk,крупнее сундука (matcult FUR0023); 2× v5 chest,lid,bar_or_iron_lock_possible,fixed,content_grain|content_flour|content_food_dry|content_household_goods|content_salt|content_textiles,content_hot|content_liquid|content_water|content_wet_bulk,matcult:FUR0006|matcult:FUR0023,B,candidate,
ct_lar_dugout,долблёный ларь,dugout bin,bin,FUR0003,,,24,large,v5:container_tpl_nov_chest_v1 (аналог),lid,none,two_person,content_grain|content_flour|content_food_dry|content_household_goods,content_hot|content_liquid|content_water,matcult:FUR0003,B,candidate,
ct_grain_bin,зерновой ларь/короб,grain bin,bin,AGR0009,,grain_bin_zakrom,48,bulk,сотни литров по хозяйству (matcult AGR0009); 2× v5 chest,lid,bar_possible,fixed,content_grain|content_flour,content_hot|content_liquid|content_water|content_wet_bulk|content_fish,matcult:AGR0009|matcult:FUR0023,B,candidate,
ct_zakrom,амбарный закром (отгородка),granary bay,bay,AGR0008,,grain_bin_zakrom,96,bulk,по помещению (matcult AGR0008); 4× v5 chest как условная граница,open_or_boarded,room_door,fixed,content_grain|content_flour|content_fodder,content_hot|content_liquid|content_water|content_wet_bulk|content_fish,matcult:AGR0008,B,candidate,
ct_trade_bin,товарный ларь,merchant bin,bin,TRD0031,,,48,bulk,десятки–сотни литров (matcult TRD0031),lid,iron_lock_possible,fixed,content_trade_goods|content_fur|content_wax|content_textiles|content_salt|content_grain,content_hot|content_liquid|content_water,matcult:TRD0031,B,candidate,
ct_birchbark_box,берестяной короб,birch-bark box,bark_box,HOU0021,cat_container_form_birch_bark_box_v1,korob,4,small,v5:container_tpl_nov_birch_bark_box_v1,fitted_lid_variant,none,hand,content_food_dry|content_small_dry_goods|content_personal_small_items|content_textiles|content_fish,content_hot|content_liquid|content_water,matcult:HOU0021|v5:container_templates:container_tpl_nov_birch_bark_box_v1|wk:claim:transport-boat-cargo-dispatch,A,candidate,«коробья» в грамоте №1054 как груз ладьи (WK)
ct_tues,берестяной туес,birch-bark cylinder (tues),bark_box,HOU0022,,,4,small,v5:container_tpl_nov_birch_bark_box_v1 (аналог; несколько литров по TRD0022),fitted_lid,none,hand,content_honey|content_food_dry|content_small_dry_goods|content_salt|content_liquid,content_hot,matcult:HOU0022|matcult:TRD0022|wk:claim:household-bark-tues,A,candidate,жидкость — только плотный туес; C
ct_birchbark_case,берестяной чехол,birch-bark sheath,sheath,HOU0023,,,2,tiny,v5:container_tpl_nov_knife_sheath_v1 (аналог),friction_fit,none,worn,content_small_tools|content_knife_fitted|content_folded_documents,content_hot,matcult:HOU0023,B,candidate,
ct_barrel_oak,бочка дубовая,oak cask,cask,HOU0024,cat_container_form_cask_v1,,24,large,v5:container_tpl_nov_cask_v1,bung_or_head,none,cart,content_liquid|content_water|content_fermented_liquid|content_fish|content_salt|content_honey|content_wet_bulk|content_grain,content_hot,matcult:HOU0024|v5:container_templates:container_tpl_nov_cask_v1,A,candidate,
ct_keg_small,бочонок малый,small keg,cask,HOU0025,,,6,medium,v5:container_tpl_nov_jug_v1 (аналог по переносимости),bung,none,hand,content_liquid|content_fermented_liquid|content_honey|content_salt|content_water,content_hot,matcult:HOU0025,B,candidate,
ct_barrel_cargo,торговая грузовая бочка,cargo cask,cask,TRD0045,,,24,large,v5:container_tpl_nov_cask_v1,bung_or_head,seal_possible,cart,content_fish|content_salt|content_honey|content_wax|content_liquid|content_fermented_liquid|content_trade_goods|content_wet_bulk,content_hot,matcult:TRD0045|matcult:TRD0023|matcult:TRD0005|matcult:TRD0047|matcult:TRD0048|matcult:TRD0028,A,candidate,
ct_kad,кадка (кадь) клёпочная,staved tub,tub,HOU0036,cat_container_form_tub_v1,,24,large,v5:container_tpl_nov_tub_v1,open_or_cover,none,two_person,content_water|content_fermented_liquid|content_wet_bulk|content_fish|content_vegetables|content_flour|content_grain|content_liquid,content_hot,matcult:HOU0036|v5:container_templates:container_tpl_nov_tub_v1,A,candidate,
ct_kad_pressed,кадка с крышкой и гнётом,tub with lid and press stone,tub,TRD0024,,,24,large,v5:container_tpl_nov_tub_v1,lid_with_weight,none,fixed,content_fish|content_vegetables|content_meat|content_wet_bulk|content_fermented_liquid|content_salt,content_hot,matcult:TRD0024|master:spawn:SPN026,A,candidate,
ct_fish_tub,деревянная кадка для рыбы,fish tub,tub,FSH0017,,,24,large,v5:container_tpl_nov_tub_v1,open_or_cover,none,two_person,content_fish|content_water|content_salt|content_wet_bulk,content_hot,matcult:FSH0017,A,candidate,
ct_lokhan,лохань клёпочная,washing tub,tub,HOU0040,,,12,medium,v5:container_tpl_nov_tub_v1 (половина; низкий сосуд),open,none,two_person,content_water|content_textiles|content_wet_bulk,content_hot|content_grain|content_flour,matcult:HOU0040,A,candidate,
ct_ushat,ушат (клёпочный сосуд с ушами для жерди),two-eared carrying tub,tub,,,,12,medium,как лохань (ct_lokhan),open,none,two_person,content_water|content_wet_bulk|content_fish,content_hot,matcult:POT0025|matcult:HOU0040,C,candidate,"в собранных источниках отдельной находки «ушат» нет; клёпочные сосуды — A (POT0025). Название по поздней этнографии; проверить по Колчину 1968 (ГЭП, нужен OCR)"
ct_bucket_staved,деревянное ведро с обручами,staved bucket,bucket,HOU0001,cat_container_form_bucket_v1,,6,medium,v5:container_tpl_nov_bucket_v1,open,none,hand,content_water|content_liquid|content_wet_bulk|content_fish|content_grain,,matcult:HOU0001|v5:container_templates:container_tpl_nov_bucket_v1|wk:claim:place-practical-hoop-fit-can-change-stave-contact-and-leakage-without-establishing-repair,A,candidate,объём от нескольких до ~15 л (matcult HOU0001)
ct_bucket_dugout,долблёное ведро,dugout bucket,bucket,HOU0031,,,6,medium,v5:container_tpl_nov_bucket_v1,open,none,hand,content_water|content_liquid|content_wet_bulk,,matcult:HOU0031,A,candidate,
