order,step_id,human_stage,agent,input_sources,output_contract,writes_to_party_tables,validation_gates,repair_on_fail,hidden_allowed,player_visible,notes
1,g5_01_start_context_lock,Закрепление стартового G4-контекста,g5_context_retriever,new_party_generator output; party_state; party_places; party_locations; world_base.graph_nodes; novgorod_g5_scene_templates_v1,G5StartInputContext,party_llm_steps,"party_id, character_id, region_id, place_id, location_id, canonical_g4_node_id/g4_type_id, season, time, weather, start cause are present; no G1-G4 creation here.",Return missing or inconsistent context to new-party generator; do not create fallback location in code.,"yes, for already approved hidden start state only",progress label only,This step freezes the target G4; all G5 nodes must be children of it.
2,g5_02_template_match,Подбор G5-шаблона по типу G4,g5_template_selector,G5StartInputContext; novgorod_g5_scene_templates_v1.g4_scene_templates,G5TemplateMatch,party_llm_steps,"Exact g4_type_id match preferred; category fallback requires needs_review issue; allowed/required/forbidden anchor lists copied from template, not invented.",Ask LLM/template editor for matching G4 template; do not use generic scene anchors if no template exists.,no,no,"Template is a limit and causal frame, not a precreated G5 map."
3,g5_03_existing_state_check,Проверка уже материализованного состояния,g5_existing_state_checker,party_minilocations; party_scene_anchors; party_items; party_npcs; party_graph_nodes; party_graph_edges,G5ExistingStateSnapshot,party_llm_steps; party_validation_issues when conflicts exist,Existing facts cannot be silently overwritten; duplicate anchor/item/NPC risks identified before drafting new G5.,Return to LLM with locked facts and require reuse/update rather than duplicate materialization.,yes,no,Needed for returning to an existing scene or resuming after partial start generation.
4,g5_04_scene_graph_draft,Черновик G5-сцены,g5_scene_materializer,G5StartInputContext; G5TemplateMatch; G5ExistingStateSnapshot; time/season/weather; place function; PC status,G5SceneGraphDraft,party_llm_steps,At least one minilocation and one primary scene anchor; all anchors inside selected G4; no forbidden anchor types; required anchor categories covered; generation limits observed.,Ask LLM to rebuild anchors within allowed template lists and explicit causal basis.,"yes, but split visible/hidden fields in contract",no raw draft,This is the main semantic materialization step. Code must not choose anchors.
5,g5_05_visibility_access_ownership_audit,"Видимость, доступ, владение и риск",g5_visibility_access_auditor,G5SceneGraphDraft; item/property rules; NPC presence; light/weather/status/time,G5AnchorAccessVisibilityPackage,party_llm_steps; party_validation_issues when failed,"Each significant anchor has visibility, access, owner/controller/holder when relevant, witnesses and risk; hidden facts have visible signs only when justified.",Return anchors without owner/access/risk/visibility to LLM for completion; remove ungrounded hidden objects.,"yes, audit role only",no; only filtered visible package later,Prevents empty anchors and unfair hidden objects.
6,g5_06_objects_npcs_binding,Привязка предметов и людей к G5,g5_object_npc_binder,G5AnchorAccessVisibilityPackage; item profiles; container profiles; NPC profile rules; existing party state,G5ObjectNpcBinding,party_llm_steps,Items and NPCs are attached to anchor/minilocation with materialization reason; significant items have placement/owner/holder/access/risk; NPC depth matches memory need.,Require materialization reason or drop item/NPC from start scene; do not create inventory/object from player wish alone.,yes,visible subset later,Binding may update existing NPC/item rows or create party-level rows when LLM approves them.
7,g5_07_edges_movement_graph,Связи и движение внутри сцены,g5_edge_materializer,G5SceneGraphDraft; G5ObjectNpcBinding; graph_scale_rules G5; selected G4 location access,G5SceneEdgePackage,party_llm_steps,Each edge connects two G5 nodes in same selected G4; base_time_minutes is 0-5; access/risk/visibility conditions are explicit; reverse edge specified when movement is reversible.,Return impossible or out-of-range edges to LLM; no code-side edge guessing.,yes for blocked/unknown passage state,known/visible movement cues only,"G5 edges handle seconds/minutes, doors, thresholds, short approach, hiding places and witness line-of-sight."
8,g5_08_current_position_selection,Выбор стартовой точки персонажа,g5_current_position_selector,G5SceneGraphDraft; G5SceneEdgePackage; PlayerCharacterStartProfile; StartCausalLink,G5CurrentPositionCommitPlan,party_llm_steps,selected anchor exists; position_visible_text is consistent; full region/place/location/minilocation/anchor/current_node chain can be written.,Ask LLM to choose a valid existing draft anchor or rebuild G5 graph.,yes,position prose after visible filter,This produces the first actionable physical position of the player character.
9,g5_09_visible_start_package,Видимый пакет стартовой сцены,g5_visible_context_selector,All G5 draft/audit contracts; PC knowledge; UI rules; hidden state,G5VisibleStartPackage,party_llm_steps; party_journal_entries visible start facts,"No hidden motives, hidden objects, future events, exact internal calculations or full objective map leak into player-facing package.",Return leak list to visibility selector; strip or convert hidden facts to visible signs only.,"yes, only to exclude it from output",yes after prose writer uses only this package,This is the only G5 package allowed to reach intro prose.
10,g5_10_commit_gate_audit,Аудит перед записью G5,g5_commit_gate_auditor,All prior contracts; party schema; repair/audit pipeline rules,G5AuditReport,party_validation_issues; party_llm_steps,No blocking issues: FK plan complete; no G1-G4 runtime creation; no template violation; no visibility leak; no missing required fields.,Block commit and send focused repair prompt to the failing agent.,yes,no,Must pass before DB writes.
11,g5_11_db_write_plan_and_commit,Запись G5 в party-базу,g5_db_write_structurer_plus_code_commit,G5AuditReport; accepted contracts; party_database_schema_v1,G5CommitResult,party_graph_nodes; party_graph_edges; party_minilocations; party_scene_anchors; party_items; party_npcs; party_current_position; party_map_knowledge; party_llm_steps,Atomic transaction; all FK targets exist; no partial visible scene without current_position; failed commit rolls back and records validation issue.,Rollback; return SQL/FK/constraint issue to LLM or schema implementer depending on cause.,yes in DB hidden_state only,no; next stage prose uses G5VisibleStartPackage,The commit code writes only accepted plan; it does not invent missing fields.
