category_id,stable_code,domain,facet,parent_group,status,preferred_label_ru,category_scope,region_permission,used_by
cat_item_object_awl_v1,awl,item,object_type,HH_SEWING,existing_v5_draft,шило,universal,region_novgorod_land,it_hh_awl
cat_item_object_bagpipe_v1,bagpipe,item,object_type,PS_MUSIC,proposed_new,Новгородская волынка,universal,region_novgorod_land,it_ps_bagpipe
cat_item_object_ball_v1,ball,item,object_type,PS_PLAY,proposed_new,Кожаный мяч с набивкой,universal,region_novgorod_land,it_ps_leather_ball;it_ps_wooden_ball
cat_item_object_bark_bundle_v1,bark_bundle,item,object_type,HH_SMALL_STORAGE,proposed_new,Берестяной свёрток с мелкими вещами,universal,region_novgorod_land,it_hh_bark_bundle
cat_item_object_bark_case_v1,bark_case,item,object_type,HH_SMALL_STORAGE,proposed_new,Берестяной чехол,universal,region_novgorod_land,it_hh_bark_case
cat_item_object_bark_cup_v1,bark_cup,item,object_type,HH_TABLEWARE,proposed_new,Берестяная чашечка,universal,region_novgorod_land,it_hh_bark_cup
cat_item_object_bark_label_v1,bark_label,item,object_type,PS_TRADE_ADMIN,proposed_new,Берестяная товарная бирка-записка,universal,region_novgorod_land,it_ps_bark_label
cat_item_object_bast_scrubber_v1,bast_scrubber,item,object_type,HH_CLEANING,proposed_new,Мочало,universal,region_novgorod_land,it_hh_bast_scrubber
cat_item_object_bath_besom_v1,bath_besom,item,object_type,HH_CLEANING,proposed_new,Банный веник,universal,region_novgorod_land,it_hh_bath_besom
cat_item_object_birch_bark_box_v1,birch_bark_box,item,object_type,HH_SMALL_STORAGE,proposed_new,Берестяной туес,universal,region_novgorod_land,it_hh_bark_tues;it_hh_bark_box
cat_item_object_birch_bark_letter_v1,birch_bark_letter,item,object_type,PS_WRITING,proposed_new,Берестяная грамота с процарапанным текстом,universal,region_novgorod_land,it_ps_bark_letter;it_ps_child_bark
cat_item_object_birch_bark_sheet_v1,birch_bark_sheet,item,object_type,PS_WRITING,existing_v5_draft,лист бересты для записи,universal,region_novgorod_land,it_ps_bark_sheet_blank
cat_item_object_blanket_wool_v1,blanket_wool,item,object_type,HH_BEDDING_TEXTILE,proposed_new,Шерстяное покрывало,universal,region_novgorod_land,it_hh_wool_blanket
cat_item_object_bone_skate_v1,bone_skate,item,object_type,PS_PLAY,proposed_new,Костяные коньки (пара),universal,region_novgorod_land,it_ps_bone_skates
cat_item_object_broom_v1,broom,item,object_type,HH_CLEANING,proposed_new,Метла из прутьев,universal,region_novgorod_land,it_hh_broom
cat_item_object_brush_v1,brush,item,object_type,HH_CLEANING,proposed_new,Деревянная щётка,universal,region_novgorod_land,it_hh_brush_wood
cat_item_object_bucket_v1,bucket,item,object_type,HH_VESSELS_WATER,proposed_new,Клёпочное деревянное ведро с обручами,universal,region_novgorod_land,it_hh_bucket_stave;it_hh_bucket_hollowed
cat_item_object_candlestick_v1,candlestick,item,object_type,HH_FIRE_LIGHT,proposed_new,Железный подсвечник-штырь,universal,region_novgorod_land,it_hh_candlestick_iron;it_hh_candlestick_copper
cat_item_object_carrying_basket_v1,carrying_basket,item,object_type,HH_SMALL_STORAGE,proposed_new,Плетёная корзина,universal,region_novgorod_land,it_hh_basket
cat_item_object_cask_v1,cask,item,object_type,HH_VESSELS_WATER,proposed_new,Малый бочонок,universal,region_novgorod_land,it_hh_small_cask
cat_item_object_ceramic_bowl_v1,ceramic_bowl,item,object_type,HH_TABLEWARE,proposed_new,Керамическая миска,universal,region_novgorod_land,it_hh_ceramic_bowl
cat_item_object_ceramic_cup_v1,ceramic_cup,item,object_type,HH_TABLEWARE,proposed_new,Керамическая чаша,universal,region_novgorod_land,it_hh_ceramic_cup
cat_item_object_ceramic_mug_v1,ceramic_mug,item,object_type,HH_TABLEWARE,proposed_new,Керамическая кружка с ручкой,universal,region_novgorod_land,it_hh_ceramic_mug
cat_item_object_chess_piece_v1,chess_piece,item,object_type,PS_PLAY,proposed_new,Шахматная ладья,universal,region_novgorod_land,it_ps_chess_rook;it_ps_chess_pawn;it_ps_chess_king
cat_item_object_chopping_board_v1,chopping_board,item,object_type,HH_COOKWARE,existing_v5_draft,разделочная доска,universal,region_novgorod_land,it_hh_chopping_board
cat_item_object_clamp_peg_v1,clamp_peg,item,object_type,HH_TOOLS_SMALL,proposed_new,Деревянная прищепка-зажим,universal,region_novgorod_land,it_hh_peg_clamp
