step_id,ds_id,step_no,action_ru,input_fd_ids,tool_ids,vessel_ids,duration,heat,result_state,source_refs,confidence,status
st_rst000001,ds_clean_rye_grain,1,"Разложить зерно небольшим слоем и выбрать камни, сор и испорченные зёрна.","[""fd_rye_grain""]","[""POT0002""]","[""HOU0019""]",10–60 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000001""]",A,candidate
st_rst000002,ds_clean_rye_grain,2,"Провеять зерно на ветру или пересыпанием, отделяя лёгкую мякину.","[""fd_rye_grain""]","[""POT0030""]","[""HOU0019""]",10–60 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000002""]",A,candidate
st_rst000003,ds_clean_rye_grain,3,Собрать очищенное зерно в сухую тару.,"[""fd_rye_grain""]",[],"[""HOU0015""]",5–15 min,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000003""]",A,candidate
st_rst000004,ds_crush_rye_grain_to_groats,1,"Проверить, что зерно сухое и очищенное.","[""fd_rye_grain""]",[],"[""HOU0019""]",5–10 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000004""]",C,candidate
st_rst000005,ds_crush_rye_grain_to_groats,2,"Дробить зерно жерновами или в ступе, не доводя всё до тонкой муки.","[""fd_rye_grain""]","[""AGR0017"", ""POT0032"", ""POT0029""]",[],20–120 min,none,crushed,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000005""]",C,candidate
st_rst000006,ds_crush_rye_grain_to_groats,3,Просеять и отделить слишком крупные части и мучную пыль.,"[""fd_rye_grain""]","[""POT0030""]","[""HOU0019""]",10–30 min,none,groats,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000006""]",C,candidate
st_rst000007,ds_crush_rye_grain_to_groats,4,Ссыпать крупу в сухую тару.,"[""fd_rye_groats""]",[],"[""HOU0015""]",5 min,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000007""]",C,candidate
st_rst000008,ds_grind_rye_grain_to_flour,1,Подготовить очищенное сухое зерно.,"[""fd_rye_grain""]",[],"[""HOU0019""]",5–15 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000008""]",A,candidate
st_rst000009,ds_grind_rye_grain_to_flour,2,Молоть зерно ручными жерновами; для водяной мельницы использовать отдельный контекст.,"[""fd_rye_grain""]","[""AGR0017""]",[],30–240 min,none,ground,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000009""]",A,candidate
st_rst000010,ds_grind_rye_grain_to_flour,3,Просеять муку в зависимости от требуемой грубости.,"[""fd_rye_flour_coarse""]","[""POT0030"", ""POT0031""]","[""HOU0019""]",10–45 min,none,flour,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000010""]",A,candidate
st_rst000011,ds_grind_rye_grain_to_flour,4,Ссыпать муку и отдельно сохранить или удалить отруби.,"[""fd_rye_flour_coarse""]",[],"[""HOU0015""]",5–15 min,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000011""]",A,candidate
st_rst000012,ds_clean_wheat_grain,1,"Разложить зерно небольшим слоем и выбрать камни, сор и испорченные зёрна.","[""fd_wheat_grain""]","[""POT0002""]","[""HOU0019""]",10–60 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000012""]",A,candidate
st_rst000013,ds_clean_wheat_grain,2,"Провеять зерно на ветру или пересыпанием, отделяя лёгкую мякину.","[""fd_wheat_grain""]","[""POT0030""]","[""HOU0019""]",10–60 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000013""]",A,candidate
st_rst000014,ds_clean_wheat_grain,3,Собрать очищенное зерно в сухую тару.,"[""fd_wheat_grain""]",[],"[""HOU0015""]",5–15 min,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000014""]",A,candidate
st_rst000015,ds_crush_wheat_grain_to_groats,1,"Проверить, что зерно сухое и очищенное.","[""fd_wheat_grain""]",[],"[""HOU0019""]",5–10 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000015""]",C,candidate
st_rst000016,ds_crush_wheat_grain_to_groats,2,"Дробить зерно жерновами или в ступе, не доводя всё до тонкой муки.","[""fd_wheat_grain""]","[""AGR0017"", ""POT0032"", ""POT0029""]",[],20–120 min,none,crushed,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000016""]",C,candidate
st_rst000017,ds_crush_wheat_grain_to_groats,3,Просеять и отделить слишком крупные части и мучную пыль.,"[""fd_wheat_grain""]","[""POT0030""]","[""HOU0019""]",10–30 min,none,groats,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000017""]",C,candidate
st_rst000018,ds_crush_wheat_grain_to_groats,4,Ссыпать крупу в сухую тару.,"[""fd_wheat_groats""]",[],"[""HOU0015""]",5 min,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000018""]",C,candidate
st_rst000019,ds_grind_wheat_grain_to_flour,1,Подготовить очищенное сухое зерно.,"[""fd_wheat_grain""]",[],"[""HOU0019""]",5–15 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000019""]",A,candidate
