item_id,name_ru,category,subcategory,materials,dimensions,historical_confidence,generation_policy,who_used,where_used,dating_note,source_refs,status
FUR0001,Деревянная колыбель подвесная,furniture,мебель и стационарные конструкции,"дерево, лыко/ткань, веревка",по конкретной находке/плану; универсальный размер не задаётся,C,reference_required,младенцы и ухаживающие взрослые,"жилые, ремесленные, торговые и церковные помещения",,matcult:FUR0001,candidate
FUR0002,Длинная лавка на ножках,furniture,мебель и стационарные конструкции,дерево,по конкретной находке/плану; универсальный размер не задаётся,A,safe_with_record_specific_reference,"домохозяйства, мастерские, церковь","жилые, ремесленные, торговые и церковные помещения",,matcult:FUR0002,candidate
FUR0003,Долбленый ларь,furniture,мебель и стационарные конструкции,ствол дерева,по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,"домохозяйства, мастерские, церковь","жилые, ремесленные, торговые и церковные помещения",,matcult:FUR0003,candidate
FUR0004,Книжная подставка простого типа,furniture,мебель и стационарные конструкции,дерево,по конкретной находке/плану; универсальный размер не задаётся,C,reference_required,духовенство и писцы,"жилые, ремесленные, торговые и церковные помещения",,matcult:FUR0004,candidate
FUR0005,Колыбель на полозьях,furniture,мебель и стационарные конструкции,"дерево, ткань",по конкретной находке/плану; универсальный размер не задаётся,C,reference_required,младенцы,"жилые, ремесленные, торговые и церковные помещения",,matcult:FUR0005,candidate
FUR0006,Ларь крупный,furniture,мебель и стационарные конструкции,толстые доски/плахи,по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,"домохозяйства, мастерские, церковь","жилые, ремесленные, торговые и церковные помещения",,matcult:FUR0006,candidate
FUR0007,Настенная открытая полка,furniture,мебель и стационарные конструкции,дерево,по конкретной находке/плану; универсальный размер не задаётся,A,safe_with_record_specific_reference,"домохозяйства, мастерские, церковь","жилые, ремесленные, торговые и церковные помещения",,matcult:FUR0007,candidate
FUR0008,Низкий рабочий столик,furniture,мебель и стационарные конструкции,дерево,по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,"домохозяйства, мастерские, церковь","жилые, ремесленные, торговые и церковные помещения",,matcult:FUR0008,candidate
FUR0009,Подставка под сосуд,furniture,мебель и стационарные конструкции,дерево или плетение,по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,"домохозяйства, мастерские, церковь","жилые, ремесленные, торговые и церковные помещения",,matcult:FUR0009,candidate
FUR0010,Подставка-козлы,furniture,мебель и стационарные конструкции,дерево,по конкретной находке/плану; универсальный размер не задаётся,A,safe_with_record_specific_reference,"домохозяйства, мастерские, церковь","жилые, ремесленные, торговые и церковные помещения",,matcult:FUR0010,candidate
FUR0011,Стол на четырех врубных ножках,furniture,мебель и стационарные конструкции,дерево,по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,"домохозяйства, мастерские, церковь","жилые, ремесленные, торговые и церковные помещения",,matcult:FUR0011,candidate
FUR0012,Сундук с выпуклой крышкой,furniture,мебель и стационарные конструкции,"доски, железные полосы и петли",по конкретной находке/плану; универсальный размер не задаётся,C,reference_required,"домохозяйства, мастерские, церковь","жилые, ремесленные, торговые и церковные помещения",,matcult:FUR0012,candidate
FUR0013,Трехногий табурет,furniture,мебель и стационарные конструкции,дерево,по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,"домохозяйства, мастерские, церковь","жилые, ремесленные, торговые и церковные помещения",,matcult:FUR0013,candidate
FUR0014,Угловая полка,furniture,мебель и стационарные конструкции,дерево,по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,"домохозяйства, мастерские, церковь","жилые, ремесленные, торговые и церковные помещения",,matcult:FUR0014,candidate
FUR0015,Короткая переносная скамья,furniture,сиденье,"сосна, ель, берёза, дуб реже; железная фурнитура локально",длина 0.8–2 м,A,safe_with_record_specific_reference,"домохозяйства, мастерские, церковь",интерьеры,,matcult:FUR0015,candidate
FUR0016,Кресло/стул со спинкой элитного типа,furniture,сиденье,"сосна, ель, берёза, дуб реже; железная фурнитура локально",человеческий масштаб,C,reference_required,"домохозяйства, мастерские, церковь",интерьеры,кресло со спинкой — только элита и только по конкретному референсу,matcult:FUR0016,candidate
FUR0017,Низкий табурет,furniture,сиденье,"сосна, ель, берёза, дуб реже; железная фурнитура локально",высота 25–45 см,A,safe_with_record_specific_reference,"домохозяйства, мастерские, церковь",интерьеры,,matcult:FUR0017,candidate
FUR0018,Встроенная лавка вдоль стены,furniture,сиденье/спальное место,"сосна, ель, берёза, дуб реже; железная фурнитура локально",длина вдоль стены; ширина 30–60 см ориентировочно,B,safe_with_constraints,"домохозяйства, мастерские, церковь",интерьеры,,matcult:FUR0018,candidate
FUR0019,Деревянная кроватная рама,furniture,сон,"сосна, ель, берёза, дуб реже; железная фурнитура локально",по длине человека,C,reference_required,"домохозяйства, мастерские, церковь",интерьеры,высокая кровать — прямое новгородское подтверждение ограничено; норма — настил/лавка,matcult:FUR0019,candidate
FUR0020,Спальный настил,furniture,сон,"сосна, ель, берёза, дуб реже; железная фурнитура локально","по длине человека, ширина зависит от числа спящих",B,safe_with_constraints,"домохозяйства, мастерские, церковь",интерьеры,,matcult:FUR0020,candidate
FUR0021,Прямоугольный стол на козлах,furniture,стол,"сосна, ель, берёза, дуб реже; железная фурнитура локально","длина 1–2.5 м, ширина 0.5–0.9 м ориентировочно",B,safe_with_constraints,"домохозяйства, мастерские, церковь",интерьеры,,matcult:FUR0021,candidate
FUR0022,Стол на рамном основании,furniture,стол,"сосна, ель, берёза, дуб реже; железная фурнитура локально",вариативно,B,safe_with_constraints,"домохозяйства, мастерские, церковь",интерьеры,,matcult:FUR0022,candidate
