id	slug	title	node_type	scale_level	parent_node_id	region_id	region_cell_code	g1_type	place_template_id	g4_location_type	default_edge_type_from_parent	base_time_minutes_from_parent	visibility_profile	access_profile	item_profile	npc_profile	evidence_status	game_use	limits	status	confidence	sources	audit_notes	scale_role	g5_materialization_hint	internal_connectivity_role
gn_nov_g1_00_00_g4_001_bereze_ohotnichiy_stan_01_track_entry	bereze_ohotnichiy_stan_track_entry	Березье: охотничий стан: тропа к стану	location	G4	gn_nov_g1_00_00_g3_001_bereze_ohotnichiy_stan	region_novgorod_land	nov_g1_00_00	empty_wild	pt_hunting_camp	track_entry	forest_track	7	видимая игровая зона внутри «Березье: охотничий стан»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: вход из леса/болота	NPC возможны по функции зоны: вход из леса/болота	historically_plausible_required_detail	G4-зона для сцены: вход из леса/болота. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'вход из леса/болота' вместо шаблонной заглушки; пригодно для G5-сцены.	вход из леса/болота	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: вход из леса/болота.	entry
gn_nov_g1_00_00_g4_001_bereze_ohotnichiy_stan_02_camp_fire	bereze_ohotnichiy_stan_camp_fire	Березье: охотничий стан: кострище	location	G4	gn_nov_g1_00_00_g3_001_bereze_ohotnichiy_stan	region_novgorod_land	nov_g1_00_00	empty_wild	pt_hunting_camp	camp_fire	yard_passage	2	видимая игровая зона внутри «Березье: охотничий стан»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: ядро стоянки	NPC возможны по функции зоны: ядро стоянки	historically_plausible_required_detail	G4-зона для сцены: ядро стоянки. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'ядро стоянки' вместо шаблонной заглушки; пригодно для G5-сцены.	ядро стоянки	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: ядро стоянки.	internal
gn_nov_g1_00_00_g4_001_bereze_ohotnichiy_stan_03_hut_or_shelter	bereze_ohotnichiy_stan_hut_or_shelter	Березье: охотничий стан: изба, шалаш или навес	location	G4	gn_nov_g1_00_00_g3_001_bereze_ohotnichiy_stan	region_novgorod_land	nov_g1_00_00	empty_wild	pt_hunting_camp	hut_or_shelter	door	3	видимая игровая зона внутри «Березье: охотничий стан»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: укрытие и ночлег	NPC возможны по функции зоны: укрытие и ночлег	historically_plausible_required_detail	G4-зона для сцены: укрытие и ночлег. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'укрытие и ночлег' вместо шаблонной заглушки; пригодно для G5-сцены.	укрытие и ночлег	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: укрытие и ночлег.	internal
gn_nov_g1_00_00_g4_001_bereze_ohotnichiy_stan_04_wood_stack	bereze_ohotnichiy_stan_wood_stack	Березье: охотничий стан: дрова и сушняк	location	G4	gn_nov_g1_00_00_g3_001_bereze_ohotnichiy_stan	region_novgorod_land	nov_g1_00_00	empty_wild	pt_hunting_camp	wood_stack	yard_passage	3	видимая игровая зона внутри «Березье: охотничий стан»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: топливо и следы	NPC возможны по функции зоны: топливо и следы	historically_plausible_required_detail	G4-зона для сцены: топливо и следы. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'топливо и следы' вместо шаблонной заглушки; пригодно для G5-сцены.	топливо и следы	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: топливо и следы.	internal
gn_nov_g1_00_00_g4_001_bereze_ohotnichiy_stan_05_tool_storage	bereze_ohotnichiy_stan_tool_storage	Березье: охотничий стан: снасти, ловушки или инструмент	location	G4	gn_nov_g1_00_00_g3_001_bereze_ohotnichiy_stan	region_novgorod_land	nov_g1_00_00	empty_wild	pt_hunting_camp	tool_storage	door	3	видимая игровая зона внутри «Березье: охотничий стан»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: предметы промысла	NPC возможны по функции зоны: предметы промысла	historically_plausible_required_detail	G4-зона для сцены: предметы промысла. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'предметы промысла' вместо шаблонной заглушки; пригодно для G5-сцены.	предметы промысла	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: предметы промысла.	internal
gn_nov_g1_00_00_g4_001_bereze_ohotnichiy_stan_06_water_spot	bereze_ohotnichiy_stan_water_spot	Березье: охотничий стан: ручей или мокрое место	location	G4	gn_nov_g1_00_00_g3_001_bereze_ohotnichiy_stan	region_novgorod_land	nov_g1_00_00	empty_wild	pt_hunting_camp	water_spot	path	4	видимая игровая зона внутри «Березье: охотничий стан»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: вода, следы, опасность	NPC возможны по функции зоны: вода, следы, опасность	historically_plausible_required_detail	G4-зона для сцены: вода, следы, опасность. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'вода, следы, опасность' вместо шаблонной заглушки; пригодно для G5-сцены.	вода, следы, опасность	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: вода, следы, опасность.	internal
gn_nov_g1_00_00_g4_001_bereze_ohotnichiy_stan_07_resource_line	bereze_ohotnichiy_stan_resource_line	Березье: охотничий стан: тропа к ловушкам, делянке или бортям	location	G4	gn_nov_g1_00_00_g3_001_bereze_ohotnichiy_stan	region_novgorod_land	nov_g1_00_00	empty_wild	pt_hunting_camp	resource_line	forest_track	8	видимая игровая зона внутри «Березье: охотничий стан»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: связь с ресурсной средой	NPC возможны по функции зоны: связь с ресурсной средой	historically_plausible_required_detail	G4-зона для сцены: связь с ресурсной средой. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'связь с ресурсной средой' вместо шаблонной заглушки; пригодно для G5-сцены.	связь с ресурсной средой	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: связь с ресурсной средой.	internal
gn_nov_g1_00_00_g4_002_luzhitsy_dvor_01_approach_track	luzhitsy_dvor_approach_track	Лужицы: двор: подходная тропа к двору	location	G4	gn_nov_g1_00_00_g3_002_luzhitsy_dvor	region_novgorod_land	nov_g1_00_00	empty_wild	pt_isolated_farmstead	approach_track	forest_track	7	видимая игровая зона внутри «Лужицы: двор»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: вход/выход к одиночному двору	NPC возможны по функции зоны: вход/выход к одиночному двору	historically_plausible_required_detail	G4-зона для сцены: вход/выход к одиночному двору. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'вход/выход к одиночному двору' вместо шаблонной заглушки; пригодно для G5-сцены.	вход/выход к одиночному двору	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: вход/выход к одиночному двору.	entry
gn_nov_g1_00_00_g4_002_luzhitsy_dvor_02_yard_gate	luzhitsy_dvor_yard_gate	Лужицы: двор: воротца и ограда двора	location	G4	gn_nov_g1_00_00_g3_002_luzhitsy_dvor	region_novgorod_land	nov_g1_00_00	empty_wild	pt_isolated_farmstead	yard_gate	gate	2	видимая игровая зона внутри «Лужицы: двор»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: граница доступа и свидетели	NPC возможны по функции зоны: граница доступа и свидетели	historically_plausible_required_detail	G4-зона для сцены: граница доступа и свидетели. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'граница доступа и свидетели' вместо шаблонной заглушки; пригодно для G5-сцены.	граница доступа и свидетели	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: граница доступа и свидетели.	internal
gn_nov_g1_00_00_g4_002_luzhitsy_dvor_03_dwelling_yard	luzhitsy_dvor_dwelling_yard	Лужицы: двор: жилой двор и сени	location	G4	gn_nov_g1_00_00_g3_002_luzhitsy_dvor	region_novgorod_land	nov_g1_00_00	empty_wild	pt_isolated_farmstead	dwelling_yard	door	3	видимая игровая зона внутри «Лужицы: двор»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: жилая сцена, хозяева, доступ	NPC возможны по функции зоны: жилая сцена, хозяева, доступ	historically_plausible_required_detail	G4-зона для сцены: жилая сцена, хозяева, доступ. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'жилая сцена, хозяева, доступ' вместо шаблонной заглушки; пригодно для G5-сцены.	жилая сцена, хозяева, доступ	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: жилая сцена, хозяева, доступ.	internal
gn_nov_g1_00_00_g4_002_luzhitsy_dvor_04_klet_and_barn	luzhitsy_dvor_klet_and_barn	Лужицы: двор: клеть и малый амбар	location	G4	gn_nov_g1_00_00_g3_002_luzhitsy_dvor	region_novgorod_land	nov_g1_00_00	empty_wild	pt_isolated_farmstead	klet_and_barn	door	3	видимая игровая зона внутри «Лужицы: двор»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: имущество, припасы, замки	NPC возможны по функции зоны: имущество, припасы, замки	historically_plausible_required_detail	G4-зона для сцены: имущество, припасы, замки. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'имущество, припасы, замки' вместо шаблонной заглушки; пригодно для G5-сцены.	имущество, припасы, замки	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: имущество, припасы, замки.	internal
gn_nov_g1_00_00_g4_002_luzhitsy_dvor_05_cattle_corner	luzhitsy_dvor_cattle_corner	Лужицы: двор: скотный угол и навес	location	G4	gn_nov_g1_00_00_g3_002_luzhitsy_dvor	region_novgorod_land	nov_g1_00_00	empty_wild	pt_isolated_farmstead	cattle_corner	yard_passage	3	видимая игровая зона внутри «Лужицы: двор»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: скот, запах, следы	NPC возможны по функции зоны: скот, запах, следы	historically_plausible_required_detail	G4-зона для сцены: скот, запах, следы. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'скот, запах, следы' вместо шаблонной заглушки; пригодно для G5-сцены.	скот, запах, следы	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: скот, запах, следы.	internal
gn_nov_g1_00_00_g4_002_luzhitsy_dvor_06_water_spot	luzhitsy_dvor_water_spot	Лужицы: двор: колодец, ручей или болотная протока	location	G4	gn_nov_g1_00_00_g3_002_luzhitsy_dvor	region_novgorod_land	nov_g1_00_00	empty_wild	pt_isolated_farmstead	water_spot	path	4	видимая игровая зона внутри «Лужицы: двор»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: вода, следы, бытовые встречи	NPC возможны по функции зоны: вода, следы, бытовые встречи	historically_plausible_required_detail	G4-зона для сцены: вода, следы, бытовые встречи. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'вода, следы, бытовые встречи' вместо шаблонной заглушки; пригодно для G5-сцены.	вода, следы, бытовые встречи	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: вода, следы, бытовые встречи.	internal
