row_id,season_period,from_state,to_state,weight,from_available_in_season,rule,source_refs,confidence,status
wxt_winter__clear__clear,winter,wx_clear,wx_clear,177,true,self: (4 x 1 - 1) x 59 -> expected run 1 d,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__clear",C,candidate
wxt_winter__clear__partly_cloudy,winter,wx_clear,wx_partly_cloudy,10,true,entry_weight(wx_partly_cloudy),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__partly_cloudy",C,candidate
wxt_winter__clear__overcast,winter,wx_clear,wx_overcast,14,true,entry_weight(wx_overcast),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__overcast",C,candidate
wxt_winter__clear__fog,winter,wx_clear,wx_fog,5,true,entry_weight(wx_fog),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__fog",C,candidate
wxt_winter__clear__precip_light,winter,wx_clear,wx_precip_light,14,true,entry_weight(wx_precip_light),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_light",C,candidate
wxt_winter__clear__precip_steady,winter,wx_clear,wx_precip_steady,6,true,entry_weight(wx_precip_steady),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_steady",C,candidate
wxt_winter__clear__windy_dry,winter,wx_clear,wx_windy_dry,1,true,entry_weight(wx_windy_dry),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__windy_dry",C,candidate
wxt_winter__clear__windy_precip,winter,wx_clear,wx_windy_precip,9,true,entry_weight(wx_windy_precip),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__windy_precip",C,candidate
wxt_winter__partly_cloudy__clear,winter,wx_partly_cloudy,wx_clear,5,true,entry_weight(wx_clear),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__clear",C,candidate
wxt_winter__partly_cloudy__partly_cloudy,winter,wx_partly_cloudy,wx_partly_cloudy,594,true,self: (4 x 3 - 1) x 54 -> expected run 3 d,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__partly_cloudy",C,candidate
wxt_winter__partly_cloudy__overcast,winter,wx_partly_cloudy,wx_overcast,14,true,entry_weight(wx_overcast),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__overcast",C,candidate
wxt_winter__partly_cloudy__fog,winter,wx_partly_cloudy,wx_fog,5,true,entry_weight(wx_fog),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__fog",C,candidate
wxt_winter__partly_cloudy__precip_light,winter,wx_partly_cloudy,wx_precip_light,14,true,entry_weight(wx_precip_light),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_light",C,candidate
wxt_winter__partly_cloudy__precip_steady,winter,wx_partly_cloudy,wx_precip_steady,6,true,entry_weight(wx_precip_steady),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_steady",C,candidate
wxt_winter__partly_cloudy__windy_dry,winter,wx_partly_cloudy,wx_windy_dry,1,true,entry_weight(wx_windy_dry),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__windy_dry",C,candidate
wxt_winter__partly_cloudy__windy_precip,winter,wx_partly_cloudy,wx_windy_precip,9,true,entry_weight(wx_windy_precip),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__windy_precip",C,candidate
wxt_winter__overcast__clear,winter,wx_overcast,wx_clear,5,true,entry_weight(wx_clear),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__clear",C,candidate
wxt_winter__overcast__partly_cloudy,winter,wx_overcast,wx_partly_cloudy,10,true,entry_weight(wx_partly_cloudy),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__partly_cloudy",C,candidate
wxt_winter__overcast__overcast,winter,wx_overcast,wx_overcast,350,true,self: (4 x 2 - 1) x 50 -> expected run 2 d,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__overcast",C,candidate
wxt_winter__overcast__fog,winter,wx_overcast,wx_fog,5,true,entry_weight(wx_fog),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__fog",C,candidate
wxt_winter__overcast__precip_light,winter,wx_overcast,wx_precip_light,14,true,entry_weight(wx_precip_light),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_light",C,candidate
wxt_winter__overcast__precip_steady,winter,wx_overcast,wx_precip_steady,6,true,entry_weight(wx_precip_steady),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_steady",C,candidate
wxt_winter__overcast__windy_dry,winter,wx_overcast,wx_windy_dry,1,true,entry_weight(wx_windy_dry),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__windy_dry",C,candidate
wxt_winter__overcast__windy_precip,winter,wx_overcast,wx_windy_precip,9,true,entry_weight(wx_windy_precip),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__windy_precip",C,candidate
wxt_winter__fog__clear,winter,wx_fog,wx_clear,5,true,entry_weight(wx_clear),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__clear",C,candidate
wxt_winter__fog__partly_cloudy,winter,wx_fog,wx_partly_cloudy,10,true,entry_weight(wx_partly_cloudy),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__partly_cloudy",C,candidate
wxt_winter__fog__overcast,winter,wx_fog,wx_overcast,14,true,entry_weight(wx_overcast),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__overcast",C,candidate
wxt_winter__fog__fog,winter,wx_fog,wx_fog,177,true,self: (4 x 1 - 1) x 59 -> expected run 1 d,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__fog",C,candidate
wxt_winter__fog__precip_light,winter,wx_fog,wx_precip_light,14,true,entry_weight(wx_precip_light),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_light",C,candidate
wxt_winter__fog__precip_steady,winter,wx_fog,wx_precip_steady,6,true,entry_weight(wx_precip_steady),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_steady",C,candidate
wxt_winter__fog__windy_dry,winter,wx_fog,wx_windy_dry,1,true,entry_weight(wx_windy_dry),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__windy_dry",C,candidate
wxt_winter__fog__windy_precip,winter,wx_fog,wx_windy_precip,9,true,entry_weight(wx_windy_precip),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__windy_precip",C,candidate
wxt_winter__precip_light__clear,winter,wx_precip_light,wx_clear,5,true,entry_weight(wx_clear),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__clear",C,candidate
wxt_winter__precip_light__partly_cloudy,winter,wx_precip_light,wx_partly_cloudy,10,true,entry_weight(wx_partly_cloudy),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__partly_cloudy",C,candidate
wxt_winter__precip_light__overcast,winter,wx_precip_light,wx_overcast,14,true,entry_weight(wx_overcast),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__overcast",C,candidate
wxt_winter__precip_light__fog,winter,wx_precip_light,wx_fog,5,true,entry_weight(wx_fog),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__fog",C,candidate
wxt_winter__precip_light__precip_light,winter,wx_precip_light,wx_precip_light,150,true,self: (4 x 1 - 1) x 50 -> expected run 1 d,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_light",C,candidate
wxt_winter__precip_light__precip_steady,winter,wx_precip_light,wx_precip_steady,6,true,entry_weight(wx_precip_steady),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_steady",C,candidate
wxt_winter__precip_light__windy_dry,winter,wx_precip_light,wx_windy_dry,1,true,entry_weight(wx_windy_dry),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__windy_dry",C,candidate
wxt_winter__precip_light__windy_precip,winter,wx_precip_light,wx_windy_precip,9,true,entry_weight(wx_windy_precip),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__windy_precip",C,candidate
wxt_winter__precip_steady__clear,winter,wx_precip_steady,wx_clear,5,true,entry_weight(wx_clear),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__clear",C,candidate
wxt_winter__precip_steady__partly_cloudy,winter,wx_precip_steady,wx_partly_cloudy,10,true,entry_weight(wx_partly_cloudy),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__partly_cloudy",C,candidate
wxt_winter__precip_steady__overcast,winter,wx_precip_steady,wx_overcast,14,true,entry_weight(wx_overcast),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__overcast",C,candidate
wxt_winter__precip_steady__fog,winter,wx_precip_steady,wx_fog,5,true,entry_weight(wx_fog),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__fog",C,candidate
wxt_winter__precip_steady__precip_light,winter,wx_precip_steady,wx_precip_light,14,true,entry_weight(wx_precip_light),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_light",C,candidate
wxt_winter__precip_steady__precip_steady,winter,wx_precip_steady,wx_precip_steady,174,true,self: (4 x 1 - 1) x 58 -> expected run 1 d,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_steady",C,candidate
wxt_winter__precip_steady__windy_dry,winter,wx_precip_steady,wx_windy_dry,1,true,entry_weight(wx_windy_dry),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__windy_dry",C,candidate
wxt_winter__precip_steady__windy_precip,winter,wx_precip_steady,wx_windy_precip,9,true,entry_weight(wx_windy_precip),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__windy_precip",C,candidate
wxt_winter__convective_storm__clear,winter,wx_convective_storm,wx_clear,5,false,entry_weight(wx_clear),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__clear",C,candidate
wxt_winter__convective_storm__partly_cloudy,winter,wx_convective_storm,wx_partly_cloudy,10,false,entry_weight(wx_partly_cloudy),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__partly_cloudy",C,candidate
wxt_winter__convective_storm__overcast,winter,wx_convective_storm,wx_overcast,14,false,entry_weight(wx_overcast),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__overcast",C,candidate
wxt_winter__convective_storm__fog,winter,wx_convective_storm,wx_fog,5,false,entry_weight(wx_fog),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__fog",C,candidate
wxt_winter__convective_storm__precip_light,winter,wx_convective_storm,wx_precip_light,14,false,entry_weight(wx_precip_light),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_light",C,candidate
wxt_winter__convective_storm__precip_steady,winter,wx_convective_storm,wx_precip_steady,6,false,entry_weight(wx_precip_steady),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_steady",C,candidate
wxt_winter__convective_storm__windy_dry,winter,wx_convective_storm,wx_windy_dry,1,false,entry_weight(wx_windy_dry),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__windy_dry",C,candidate
wxt_winter__convective_storm__windy_precip,winter,wx_convective_storm,wx_windy_precip,9,false,entry_weight(wx_windy_precip),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__windy_precip",C,candidate
wxt_winter__windy_dry__clear,winter,wx_windy_dry,wx_clear,5,true,entry_weight(wx_clear),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__clear",C,candidate
wxt_winter__windy_dry__partly_cloudy,winter,wx_windy_dry,wx_partly_cloudy,10,true,entry_weight(wx_partly_cloudy),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__partly_cloudy",C,candidate
wxt_winter__windy_dry__overcast,winter,wx_windy_dry,wx_overcast,14,true,entry_weight(wx_overcast),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__overcast",C,candidate
wxt_winter__windy_dry__fog,winter,wx_windy_dry,wx_fog,5,true,entry_weight(wx_fog),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__fog",C,candidate
wxt_winter__windy_dry__precip_light,winter,wx_windy_dry,wx_precip_light,14,true,entry_weight(wx_precip_light),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_light",C,candidate
wxt_winter__windy_dry__precip_steady,winter,wx_windy_dry,wx_precip_steady,6,true,entry_weight(wx_precip_steady),"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__precip_steady",C,candidate
wxt_winter__windy_dry__windy_dry,winter,wx_windy_dry,wx_windy_dry,189,true,self: (4 x 1 - 1) x 63 -> expected run 1 d,"Issue #133 decision D7 (owner, 2026-09-26): погода держится 1–3 дня; держащееся отклонение температуры; вид осадков зависит от температуры; одна цепочка на G0 с местными поправками по ландшафту; интервал 6 ч|weather_season_climatology.csv#wxc_winter__windy_dry",C,candidate
