ac_id,name_ru,profession_ids,prev_ref,next_ref,season_scope,duration_estimate,observable_text_ru,source_refs,confidence
ac_act00026,"Кузнец замков, ключей и скоб: подготовить горн и топливо","[""PRO0006""]",[],"[""ACT00027""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Кузнец замков, ключей и скоб подготавливает горн, древесный уголь, воду и исправный инструмент. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00026,B
ac_act00027,"Кузнец замков, ключей и скоб: нагреть заготовку","[""PRO0006""]","[""ACT00026""]","[""ACT00028""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}","Кузнец замков, ключей и скоб кладёт железную заготовку в горн и раздувает мехи до рабочего нагрева. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00027,B
ac_act00028,"Кузнец замков, ключей и скоб: ковать изделие","[""PRO0006""]","[""ACT00027""]","[""ACT00029""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}","Кузнец замков, ключей и скоб переносит нагретую заготовку на наковальню и формует ударами молота. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00028,B
ac_act00029,"Кузнец замков, ключей и скоб: пробить, обрезать и довести","[""PRO0006""]","[""ACT00028""]","[""ACT00030""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}","Кузнец замков, ключей и скоб пробивает отверстия, обрубает лишнее, при необходимости правит и затачивает. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00029,B
ac_act00030,"Кузнец замков, ключей и скоб: убрать изделие и обслужить инструмент","[""PRO0006""]","[""ACT00029""]",[],"[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Кузнец замков, ключей и скоб охлаждает или откладывает готовую работу, сортирует отходы и проверяет инструмент. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00030,B
ac_act00041,Изготовитель наконечников стрел и болтов: подготовить горн и топливо,"[""PRO0009""]",[],"[""ACT00042""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Изготовитель наконечников стрел и болтов подготавливает горн, древесный уголь, воду и исправный инструмент. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00041,B
ac_act00042,Изготовитель наконечников стрел и болтов: нагреть заготовку,"[""PRO0009""]","[""ACT00041""]","[""ACT00043""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}","Изготовитель наконечников стрел и болтов кладёт железную заготовку в горн и раздувает мехи до рабочего нагрева. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00042,B
ac_act00043,Изготовитель наконечников стрел и болтов: ковать изделие,"[""PRO0009""]","[""ACT00042""]","[""ACT00044""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}","Изготовитель наконечников стрел и болтов переносит нагретую заготовку на наковальню и формует ударами молота. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00043,B
ac_act00044,"Изготовитель наконечников стрел и болтов: пробить, обрезать и довести","[""PRO0009""]","[""ACT00043""]","[""ACT00045""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}","Изготовитель наконечников стрел и болтов пробивает отверстия, обрубает лишнее, при необходимости правит и затачивает. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00044,B
ac_act00045,Изготовитель наконечников стрел и болтов: убрать изделие и обслужить инструмент,"[""PRO0009""]","[""ACT00044""]",[],"[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Изготовитель наконечников стрел и болтов охлаждает или откладывает готовую работу, сортирует отходы и проверяет инструмент. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00045,B
ac_act00081,Ювелир: проверить металл и заказ,"[""PRO0017""]",[],"[""ACT00082""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":5,""max_minutes"":45,""basis"":""gameplay_estimate""}","Ювелир взвешивает сырьё, сверяет задачу и выбирает технологию. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00081,A
ac_act00082,"Ювелир: подготовить тигель, форму или проволоку","[""PRO0017""]","[""ACT00081""]","[""ACT00083""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Ювелир очищает рабочее место и подготавливает малые инструменты. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00082,A
ac_act00083,"Ювелир: лить, ковать или тянуть металл","[""PRO0017""]","[""ACT00082""]","[""ACT00084""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Ювелир выполняет основную операцию с цветным или драгоценным металлом. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00083,A
ac_act00084,"Ювелир: штамповать, паять и отделывать","[""PRO0017""]","[""ACT00083""]","[""ACT00085""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Ювелир соединяет и отделывает мелкие части, не приписывая недоказанную технику. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00084,A
ac_act00085,Ювелир: взвесить и передать изделие,"[""PRO0017""]","[""ACT00084""]",[],"[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":5,""max_minutes"":45,""basis"":""gameplay_estimate""}","Ювелир проверяет результат и остаток дорогого материала, передаёт заказчику или торговцу. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00085,A
ac_act00086,Изготовитель металлической проволоки: проверить металл и заказ,"[""PRO0018""]",[],"[""ACT00087""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":5,""max_minutes"":45,""basis"":""gameplay_estimate""}","Изготовитель металлической проволоки взвешивает сырьё, сверяет задачу и выбирает технологию. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00086,C
ac_act00087,"Изготовитель металлической проволоки: подготовить тигель, форму или проволоку","[""PRO0018""]","[""ACT00086""]","[""ACT00088""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Изготовитель металлической проволоки очищает рабочее место и подготавливает малые инструменты. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00087,C
ac_act00088,"Изготовитель металлической проволоки: лить, ковать или тянуть металл","[""PRO0018""]","[""ACT00087""]","[""ACT00089""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Изготовитель металлической проволоки выполняет основную операцию с цветным или драгоценным металлом. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00088,C
ac_act00089,"Изготовитель металлической проволоки: штамповать, паять и отделывать","[""PRO0018""]","[""ACT00088""]","[""ACT00090""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Изготовитель металлической проволоки соединяет и отделывает мелкие части, не приписывая недоказанную технику. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00089,C
ac_act00090,Изготовитель металлической проволоки: взвесить и передать изделие,"[""PRO0018""]","[""ACT00089""]",[],"[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":5,""max_minutes"":45,""basis"":""gameplay_estimate""}","Изготовитель металлической проволоки проверяет результат и остаток дорогого материала, передаёт заказчику или торговцу. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00090,C
ac_act00136,Скорняк: принять и отсортировать кожу,"[""PRO0028""]",[],"[""ACT00137""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Скорняк проверяет кожу или мех, отделяет пригодные участки и отходы. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00136,B
ac_act00137,"Скорняк: замочить, очистить или размягчить","[""PRO0028""]","[""ACT00136""]","[""ACT00138""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}","Скорняк обрабатывает материал водой, скребком и дубильным сырьём по нужному процессу. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00137,B
ac_act00138,Скорняк: разметить и раскроить,"[""PRO0028""]","[""ACT00137""]","[""ACT00139""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Скорняк размечает детали и режет кожу подходящим ножом. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00138,B
