id,slug,title,summary,game_use,limits,status,confidence,sources,audit_notes,created_at,updated_at
military_security,military_security,Военная служба и охрана,Военная служба и охрана,Canonical военная служба и охрана reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
transport_guiding,transport_guiding,Перевозка и проводничество,Перевозка и проводничество,Canonical перевозка и проводничество reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
administration_law,administration_law,Управление и право,Управление и право,Canonical управление и право reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
religious_literate,religious_literate,Церковная грамотная служба,Церковная грамотная служба,Canonical церковная грамотная служба reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
craft_production,craft_production,Ремесленное производство,Ремесленное производство,Canonical ремесленное производство reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
trade_exchange,trade_exchange,Торговля и обмен,Торговля и обмен,Canonical торговля и обмен reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
forest_hunting,forest_hunting,Лес и охота,Лес и охота,Canonical лес и охота reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
fishing_water,fishing_water,Рыболовство и водный промысел,Рыболовство и водный промысел,Canonical рыболовство и водный промысел reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
agriculture,agriculture,Земледелие,Земледелие,Canonical земледелие reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
animal_husbandry,animal_husbandry,Скотоводство,Скотоводство,Canonical скотоводство reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
healing_care,healing_care,Лечение и уход,Лечение и уход,Canonical лечение и уход reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
domestic_service,domestic_service,Домашняя служба,Домашняя служба,Canonical домашняя служба reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
illicit_marginal,illicit_marginal,Теневой и маргинальный промысел,Теневой и маргинальный промысел,Canonical теневой и маргинальный промысел reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
wage_labor,wage_labor,Наёмный труд,Наёмный труд,Canonical наёмный труд reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
hospitality_service,hospitality_service,Гостеприимство и приют,Гостеприимство и приют,Canonical гостеприимство и приют reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
