id	slug	title	node_type	scale_level	parent_node_id	region_id	region_cell_code	grid_x	grid_y	g1_type	g2_zone_type	primary_landscape_template_id	secondary_landscape_template_ids	primary_water_body_template_id	secondary_water_body_template_ids	land_use_template_ids	route_template_ids_guidance	route_hint_edge_type	known_landmarks	canonical_corridors	summary	evidence_status	status	confidence	sources	audit_notes
gn_nov_g1_00_00_g2_01_core_wild_forest	nov_g1_00_00_g2_01_core_wild_forest	Глухой лесной массив	cell_subgraph	G2	gn_nov_g1_00_00	region_novgorod_land	nov_g1_00_00	0	0	empty_wild	core_wild_forest	lt_wet_lowland_forest	"[""lt_wooded_swamp"", ""lt_mesic_meadow""]"		[]	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	offroad_crossing	[]	"[""южная внутренняя периферия""]"	G2-зона внутри nov_g1_00_00: глухой лесной массив. Это зона территории, а не комната и не конкретная изба.	regional_typological	usable_with_caution	medium_low	"[""src_project_g1_g5_rules"", ""src_project_graph_architecture"", ""src_novgorod_region_g1_70""]"	Сгенерировано по типу G1 и разрешённым слоям G1; не является отдельным историческим фактом.
gn_nov_g1_00_00_g2_02_wet_ground	nov_g1_00_00_g2_02_wet_ground	Мокрая низина / мох	cell_subgraph	G2	gn_nov_g1_00_00	region_novgorod_land	nov_g1_00_00	0	0	empty_wild	wet_ground	lt_wet_lowland_forest	"[""lt_wooded_swamp"", ""lt_mesic_meadow""]"		[]	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	offroad_crossing	[]	"[""южная внутренняя периферия""]"	G2-зона внутри nov_g1_00_00: мокрая низина / мох. Это зона территории, а не комната и не конкретная изба.	regional_typological	usable_with_caution	medium_low	"[""src_project_g1_g5_rules"", ""src_project_graph_architecture"", ""src_novgorod_region_g1_70""]"	Сгенерировано по типу G1 и разрешённым слоям G1; не является отдельным историческим фактом.
gn_nov_g1_00_00_g2_03_local_track	nov_g1_00_00_g2_03_local_track	Непостоянная лесная тропа	route_junction	G2	gn_nov_g1_00_00	region_novgorod_land	nov_g1_00_00	0	0	empty_wild	local_track	lt_wet_lowland_forest	"[""lt_wooded_swamp"", ""lt_mesic_meadow""]"		[]	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	forest_track	[]	"[""южная внутренняя периферия""]"	G2-зона внутри nov_g1_00_00: непостоянная лесная тропа. Это зона территории, а не комната и не конкретная изба.	regional_typological	usable_with_caution	medium_low	"[""src_project_g1_g5_rules"", ""src_project_graph_architecture"", ""src_novgorod_region_g1_70""]"	Сгенерировано по типу G1 и разрешённым слоям G1; не является отдельным историческим фактом.
gn_nov_g1_00_00_g2_04_brook_zone	nov_g1_00_00_g2_04_brook_zone	Ручей или малый водоток	water_segment	G2	gn_nov_g1_00_00	region_novgorod_land	nov_g1_00_00	0	0	empty_wild	brook_zone	lt_wet_lowland_forest	"[""lt_wooded_swamp"", ""lt_mesic_meadow""]"	wb_brook	"[""wb_small_river"", ""wb_marsh_channel""]"	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	ford	[]	"[""южная внутренняя периферия""]"	G2-зона внутри nov_g1_00_00: ручей или малый водоток. Это зона территории, а не комната и не конкретная изба.	regional_typological	usable_with_caution	medium_low	"[""src_project_g1_g5_rules"", ""src_project_graph_architecture"", ""src_novgorod_region_g1_70""]"	Сгенерировано по типу G1 и разрешённым слоям G1; не является отдельным историческим фактом.
gn_nov_g1_00_00_g2_05_resource_patch	nov_g1_00_00_g2_05_resource_patch	Промысловой участок	cell_subgraph	G2	gn_nov_g1_00_00	region_novgorod_land	nov_g1_00_00	0	0	empty_wild	resource_patch	lt_wet_lowland_forest	"[""lt_wooded_swamp"", ""lt_mesic_meadow""]"		[]	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	forest_track	[]	"[""южная внутренняя периферия""]"	G2-зона внутри nov_g1_00_00: промысловой участок. Это зона территории, а не комната и не конкретная изба.	regional_typological	usable_with_caution	medium_low	"[""src_project_g1_g5_rules"", ""src_project_graph_architecture"", ""src_novgorod_region_g1_70""]"	Сгенерировано по типу G1 и разрешённым слоям G1; не является отдельным историческим фактом.
gn_nov_g1_00_00_g2_06_risk_patch	nov_g1_00_00_g2_06_risk_patch	Опасный обход / завал	cell_subgraph	G2	gn_nov_g1_00_00	region_novgorod_land	nov_g1_00_00	0	0	empty_wild	risk_patch	lt_wet_lowland_forest	"[""lt_wooded_swamp"", ""lt_mesic_meadow""]"		[]	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	offroad_crossing	[]	"[""южная внутренняя периферия""]"	G2-зона внутри nov_g1_00_00: опасный обход / завал. Это зона территории, а не комната и не конкретная изба.	regional_typological	usable_with_caution	medium_low	"[""src_project_g1_g5_rules"", ""src_project_graph_architecture"", ""src_novgorod_region_g1_70""]"	Сгенерировано по типу G1 и разрешённым слоям G1; не является отдельным историческим фактом.
gn_nov_g1_00_00_g2_07_winter_trace	nov_g1_00_00_g2_07_winter_trace	Зимний след	road_segment	G2	gn_nov_g1_00_00	region_novgorod_land	nov_g1_00_00	0	0	empty_wild	winter_trace	lt_wet_lowland_forest	"[""lt_wooded_swamp"", ""lt_mesic_meadow""]"		[]	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	winter_road	[]	"[""южная внутренняя периферия""]"	G2-зона внутри nov_g1_00_00: зимний след. Это зона территории, а не комната и не конкретная изба.	regional_typological	usable_with_caution	medium_low	"[""src_project_g1_g5_rules"", ""src_project_graph_architecture"", ""src_novgorod_region_g1_70""]"	Сгенерировано по типу G1 и разрешённым слоям G1; не является отдельным историческим фактом.
gn_nov_g1_00_01_g2_01_core_wild_forest	nov_g1_00_01_g2_01_core_wild_forest	Глухой лесной массив	cell_subgraph	G2	gn_nov_g1_00_01	region_novgorod_land	nov_g1_00_01	0	1	empty_wild	core_wild_forest	lt_wet_lowland_forest	"[""lt_wooded_swamp"", ""lt_mesic_meadow""]"		[]	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	offroad_crossing	[]	"[""южная внутренняя периферия""]"	G2-зона внутри nov_g1_00_01: глухой лесной массив. Это зона территории, а не комната и не конкретная изба.	regional_typological	usable_with_caution	medium_low	"[""src_project_g1_g5_rules"", ""src_project_graph_architecture"", ""src_novgorod_region_g1_70""]"	Сгенерировано по типу G1 и разрешённым слоям G1; не является отдельным историческим фактом.
gn_nov_g1_00_01_g2_02_wet_ground	nov_g1_00_01_g2_02_wet_ground	Мокрая низина / мох	cell_subgraph	G2	gn_nov_g1_00_01	region_novgorod_land	nov_g1_00_01	0	1	empty_wild	wet_ground	lt_wet_lowland_forest	"[""lt_wooded_swamp"", ""lt_mesic_meadow""]"		[]	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	offroad_crossing	[]	"[""южная внутренняя периферия""]"	G2-зона внутри nov_g1_00_01: мокрая низина / мох. Это зона территории, а не комната и не конкретная изба.	regional_typological	usable_with_caution	medium_low	"[""src_project_g1_g5_rules"", ""src_project_graph_architecture"", ""src_novgorod_region_g1_70""]"	Сгенерировано по типу G1 и разрешённым слоям G1; не является отдельным историческим фактом.
gn_nov_g1_00_01_g2_03_local_track	nov_g1_00_01_g2_03_local_track	Непостоянная лесная тропа	route_junction	G2	gn_nov_g1_00_01	region_novgorod_land	nov_g1_00_01	0	1	empty_wild	local_track	lt_wet_lowland_forest	"[""lt_wooded_swamp"", ""lt_mesic_meadow""]"		[]	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	forest_track	[]	"[""южная внутренняя периферия""]"	G2-зона внутри nov_g1_00_01: непостоянная лесная тропа. Это зона территории, а не комната и не конкретная изба.	regional_typological	usable_with_caution	medium_low	"[""src_project_g1_g5_rules"", ""src_project_graph_architecture"", ""src_novgorod_region_g1_70""]"	Сгенерировано по типу G1 и разрешённым слоям G1; не является отдельным историческим фактом.
