occupation_id	occupation_title	occupation_group	historical_term	modern_explanation	period	region_id	allowed_social_role_ids	typical_status_range	economic_basis	where_work_happens	typical_g3_place_types	typical_g4_location_types	seasonality	daily_schedule_normal	daily_schedule_winter	daily_schedule_spring_rasputitsa	daily_schedule_summer	daily_schedule_autumn	daily_schedule_market_day	daily_schedule_church_day	daily_schedule_crisis	night_behavior	mobility_pattern	who_they_work_for	who_they_depend_on	who_depends_on_them	family_pattern	household_pattern	typical_property	typical_inventory_visible	typical_inventory_hidden	typical_tools	typical_clothing	typical_food_access	typical_animals	typical_containers	typical_debts	typical_obligations	typical_secrets	typical_rumors_known	typical_local_knowledge	typical_route_knowledge	typical_market_knowledge	typical_law_knowledge	typical_religious_behavior	common_relationships	common_conflicts	common_fears	common_goals	common_services_to_player	common_prices_handling_rule	combat_likelihood	weapon_access	violence_risk	witness_likelihood	theft_risk	social_risk_if_insulted	how_to_materialize_as_background_npc	how_to_materialize_as_scene_npc	how_to_materialize_as_key_npc	llm_required_checks_before_use	llm_adaptation_rules	llm_forbidden_uses	status	confidence	sources	source_note	audit_notes	occupation_archetype_id	mapping_review_status	mapping_confidence	mapping_notes
nov_occ_princely_service_agent	княжий служилый человек	военное	княжий человек	служба княжескому двору, распоряжения, сопровождение, сбор людей	1230-1250	region_novgorod_land	nov_role_princely_man; nov_role_princely_druzhinnik	middle-high	служба княжескому двору, распоряжения, сопровождение, сбор людей	ворота; двор власти; княжий или боярский двор; дорога; торг	pt_administrative_court; pt_city_major_center; pt_crossroads; pt_ford_place	outer_gate; guard_place; road_exit; stable_yard	зависит от сезона, дороги, воды, поста, рынка и хозяйственного цикла; не использовать одинаково весь год	утро: работа у места занятия; день: основной труд и переговоры; вечер: сдача инструмента, корм, семья или двор; ночь: обычно недоступен, кроме сторожи и дороги	утро позднее и короче; день: зимний путь, ремонт, скот, склад или внутренняя работа; вечер ранний; ночь опасна из-за холода и темноты	утро: проверка грязи, воды и доступа; день: работа замедлена распутицей; вечер: возврат раньше; ночь: дороги и перевозы рискованны	утро раннее; день длинный и трудовой; вечер занят запасами, скотом, лодками или товаром; ночь возможна для сторожи, рыбы и дороги	утро: сбор, ремонт, закупка; день: заготовки, торг, дороги до распутицы; вечер: учёт запасов; ночь холоднее и опаснее	утро: приход к торгу/пристани; день: торг, спор, свидетели; вечер: расчёт и возврат; ночью товар под замком или сторожем	утро: служба или запрет шумной работы; день: семейные/общинные встречи; вечер: тише; сделки и насилие социально опаснее	при голоде, войне, пожаре, приказе или закрытой дороге уходит к хозяину, складу, семье, воротам, храму или старшему; обычный труд нарушен	спит или сторожит по роли; тревожить ночью опасно; доступ через хозяина, стражу, семью или сильную необходимость	мобильность выводить из роли, хозяина, семьи, долга, сезона и доступного транспорта; не делать свободным странником без причины	для себя, семьи, хозяина, двора, купца, общины, монастыря или власти согласно роли	семья; хозяин; мастер; кредитор; староста; покупатель; владелец места; сезон; погода	домочадцы; ученики; наниматель; хозяин; животные; товар; младшие работники по роли	типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге	имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины	дом/доля двора, инструмент, запасы, животные, лодка, товар или доступ к ним только по статусу; имущество не равно инвентарь	пояс, нож, копьё или щит по службе, дорожная одежда, знак старшего	малый нож; порученная грамота; чужой ключ только при основании	копьё, щит, нож, пояс, ремень, конская снасть по статусу	льняная/шерстяная одежда по достатку, обувь по сезону, рабочие следы профессии; дорогие ткани только при статусе	через двор, хозяина, оплату, монастырь, милостыню или дорожный запас; голод меняет поведение	лошадь, вол, корова, овца, свинья, собака или отсутствие животных по месту и статусу	мешок, короб, кошель, клеть, сундук, корзина, бочка или амбар по занятию	деньги; хлеб; соль; товар; инструмент; работа; залог; поручительство; долг хозяину или старшему	служба, семейная обязанность, долг, пост, праздник, сторожа, повинность, заказ, сдача товара или отчёт	скрывать только то, что причинно задано: долг, чужая вещь, недовес, бегство, болезнь, тайный маршрут, конфликт с хозяином	слухи своей среды: дороги, цены, долги, власть, стража, война, болезнь, пожар; слух не является фактом	знает ближайшие дворы, опасные места, старших, доступ и свидетелей своей среды	от высокого у проводника/лодочника до низкого у дворового слуги; не универсально	зависит от торговли и места; точные цены не задавать, только правила торга и дефицита	обычай своей среды, кто имеет право на вещь, долг, свидетельство и жалобу	учитывает пост, праздник, клятву, похороны, грех, милостыню и репутацию	родня; хозяин; старший; кредитор; заказчик; священник; сосед; свидетель; должник	спор о долге, недовес, чужая вещь, доступ во двор, невыполненная работа, оскорбление, страх перед властью	голод, холод, болезнь, пожар, потеря инструмента, долг, обвинение, дорога, гнев хозяина, позор	сохранить работу, семью, инструмент, статус, долг под контролем и безопасный доступ к месту	услуга возможна только при статусе, оплате, доверии, сезоне, времени суток и отсутствии запрета хозяина	не задавать точных цен; цена зависит от сезона, дефицита, дороги, статуса, долга, риска и свидетелей	medium_high	служебное оружие по приказу; без приказа риск	high	высока в городе, торге, церкви и дворе; ниже в лесу и дороге, но следы и слухи остаются	зависит от ценности, меток, свидетелей, владельца, доступа и права держателя	ответ зависит от статуса, свидетелей и хозяина; оскорбление может стать долгом, дракой, отказом или жалобой	дать роль, видимое занятие, место, настроение, возможного свидетеля и один признак профессии; без полной биографии	добавить имя/прозвище, цель, право доступа, страх, ближайший долг, что знает и что может сделать сейчас	добавить память, связи, имущество/доступ, семью, долги, расписание, долгосрочные последствия и пределы знания	проверить эпоху, регион, место G3/G4 типа, сезон, время суток, статус, хозяина, долг, имущество, доступ, свидетелей и лимиты материализации	адаптировать к конкретному узлу карты, событию, погоде и статусу; если место не подходит, не использовать профессию	не делать профессией-классом; не создавать конкретного неисторического NPC без причины; не давать дорогие вещи низкому статусу; не раскрывать скрытое	approved	medium_high	src_novgorod_first_chronicle; src_russkaya_pravda; src_yanin_novgorod_posadniki; src_birchbark_corpus_context; src_project_region_profile_v1; src_project_map_v6	региональный профессиональный профиль на основе экономики Новгородской земли; термины с осторожностью помечены	шаблон для LLM; не является конкретной биографией партии	military_security	accepted_with_caution	medium	group_base
nov_occ_druzhina_warrior	дружинник	военное	дружинник	вооружённая служба, охрана князя, походы, посольства	1230-1250	region_novgorod_land	nov_role_princely_druzhinnik; nov_role_junior_druzhinnik	middle-high	вооружённая служба, охрана князя, походы, посольства	ворота; двор власти; княжий или боярский двор; дорога; торг	pt_administrative_court; pt_city_major_center; pt_crossroads; pt_ford_place	outer_gate; guard_place; road_exit; stable_yard	зависит от сезона, дороги, воды, поста, рынка и хозяйственного цикла; не использовать одинаково весь год	утро: работа у места занятия; день: основной труд и переговоры; вечер: сдача инструмента, корм, семья или двор; ночь: обычно недоступен, кроме сторожи и дороги	утро позднее и короче; день: зимний путь, ремонт, скот, склад или внутренняя работа; вечер ранний; ночь опасна из-за холода и темноты	утро: проверка грязи, воды и доступа; день: работа замедлена распутицей; вечер: возврат раньше; ночь: дороги и перевозы рискованны	утро раннее; день длинный и трудовой; вечер занят запасами, скотом, лодками или товаром; ночь возможна для сторожи, рыбы и дороги	утро: сбор, ремонт, закупка; день: заготовки, торг, дороги до распутицы; вечер: учёт запасов; ночь холоднее и опаснее	утро: приход к торгу/пристани; день: торг, спор, свидетели; вечер: расчёт и возврат; ночью товар под замком или сторожем	утро: служба или запрет шумной работы; день: семейные/общинные встречи; вечер: тише; сделки и насилие социально опаснее	при голоде, войне, пожаре, приказе или закрытой дороге уходит к хозяину, складу, семье, воротам, храму или старшему; обычный труд нарушен	спит или сторожит по роли; тревожить ночью опасно; доступ через хозяина, стражу, семью или сильную необходимость	мобильность выводить из роли, хозяина, семьи, долга, сезона и доступного транспорта; не делать свободным странником без причины	для себя, семьи, хозяина, двора, купца, общины, монастыря или власти согласно роли	семья; хозяин; мастер; кредитор; староста; покупатель; владелец места; сезон; погода	домочадцы; ученики; наниматель; хозяин; животные; товар; младшие работники по роли	типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге	имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины	дом/доля двора, инструмент, запасы, животные, лодка, товар или доступ к ним только по статусу; имущество не равно инвентарь	пояс, нож, копьё или щит по службе, дорожная одежда, знак старшего	малый нож; порученная грамота; чужой ключ только при основании	копьё, щит, нож, пояс, ремень, конская снасть по статусу	льняная/шерстяная одежда по достатку, обувь по сезону, рабочие следы профессии; дорогие ткани только при статусе	через двор, хозяина, оплату, монастырь, милостыню или дорожный запас; голод меняет поведение	лошадь, вол, корова, овца, свинья, собака или отсутствие животных по месту и статусу	мешок, короб, кошель, клеть, сундук, корзина, бочка или амбар по занятию	деньги; хлеб; соль; товар; инструмент; работа; залог; поручительство; долг хозяину или старшему	служба, семейная обязанность, долг, пост, праздник, сторожа, повинность, заказ, сдача товара или отчёт	скрывать только то, что причинно задано: долг, чужая вещь, недовес, бегство, болезнь, тайный маршрут, конфликт с хозяином	слухи своей среды: дороги, цены, долги, власть, стража, война, болезнь, пожар; слух не является фактом	знает ближайшие дворы, опасные места, старших, доступ и свидетелей своей среды	от высокого у проводника/лодочника до низкого у дворового слуги; не универсально	зависит от торговли и места; точные цены не задавать, только правила торга и дефицита	обычай своей среды, кто имеет право на вещь, долг, свидетельство и жалобу	учитывает пост, праздник, клятву, похороны, грех, милостыню и репутацию	родня; хозяин; старший; кредитор; заказчик; священник; сосед; свидетель; должник	спор о долге, недовес, чужая вещь, доступ во двор, невыполненная работа, оскорбление, страх перед властью	голод, холод, болезнь, пожар, потеря инструмента, долг, обвинение, дорога, гнев хозяина, позор	сохранить работу, семью, инструмент, статус, долг под контролем и безопасный доступ к месту	услуга возможна только при статусе, оплате, доверии, сезоне, времени суток и отсутствии запрета хозяина	не задавать точных цен; цена зависит от сезона, дефицита, дороги, статуса, долга, риска и свидетелей	medium_high	служебное оружие по приказу; без приказа риск	high	высока в городе, торге, церкви и дворе; ниже в лесу и дороге, но следы и слухи остаются	зависит от ценности, меток, свидетелей, владельца, доступа и права держателя	ответ зависит от статуса, свидетелей и хозяина; оскорбление может стать долгом, дракой, отказом или жалобой	дать роль, видимое занятие, место, настроение, возможного свидетеля и один признак профессии; без полной биографии	добавить имя/прозвище, цель, право доступа, страх, ближайший долг, что знает и что может сделать сейчас	добавить память, связи, имущество/доступ, семью, долги, расписание, долгосрочные последствия и пределы знания	проверить эпоху, регион, место G3/G4 типа, сезон, время суток, статус, хозяина, долг, имущество, доступ, свидетелей и лимиты материализации	адаптировать к конкретному узлу карты, событию, погоде и статусу; если место не подходит, не использовать профессию	не делать профессией-классом; не создавать конкретного неисторического NPC без причины; не давать дорогие вещи низкому статусу; не раскрывать скрытое	approved	high	src_novgorod_first_chronicle; src_russkaya_pravda; src_yanin_novgorod_posadniki; src_birchbark_corpus_context; src_project_region_profile_v1; src_project_map_v6	региональный профессиональный профиль на основе экономики Новгородской земли; термины с осторожностью помечены	шаблон для LLM; не является конкретной биографией партии	military_security	accepted_with_caution	medium	group_base
nov_occ_junior_retainer	младший дружинный слуга	военное	отрок / младший служилый	помощь старшим, конь, оружие, поручения, сторожа	1230-1250	region_novgorod_land	nov_role_junior_druzhinnik; nov_role_druzhina_companion; nov_role_servant	low-middle	помощь старшим, конь, оружие, поручения, сторожа	ворота; двор власти; княжий или боярский двор; дорога; торг	pt_administrative_court; pt_city_major_center; pt_crossroads; pt_ford_place	outer_gate; guard_place; road_exit; stable_yard	зависит от сезона, дороги, воды, поста, рынка и хозяйственного цикла; не использовать одинаково весь год	утро: работа у места занятия; день: основной труд и переговоры; вечер: сдача инструмента, корм, семья или двор; ночь: обычно недоступен, кроме сторожи и дороги	утро позднее и короче; день: зимний путь, ремонт, скот, склад или внутренняя работа; вечер ранний; ночь опасна из-за холода и темноты	утро: проверка грязи, воды и доступа; день: работа замедлена распутицей; вечер: возврат раньше; ночь: дороги и перевозы рискованны	утро раннее; день длинный и трудовой; вечер занят запасами, скотом, лодками или товаром; ночь возможна для сторожи, рыбы и дороги	утро: сбор, ремонт, закупка; день: заготовки, торг, дороги до распутицы; вечер: учёт запасов; ночь холоднее и опаснее	утро: приход к торгу/пристани; день: торг, спор, свидетели; вечер: расчёт и возврат; ночью товар под замком или сторожем	утро: служба или запрет шумной работы; день: семейные/общинные встречи; вечер: тише; сделки и насилие социально опаснее	при голоде, войне, пожаре, приказе или закрытой дороге уходит к хозяину, складу, семье, воротам, храму или старшему; обычный труд нарушен	спит или сторожит по роли; тревожить ночью опасно; доступ через хозяина, стражу, семью или сильную необходимость	мобильность выводить из роли, хозяина, семьи, долга, сезона и доступного транспорта; не делать свободным странником без причины	для себя, семьи, хозяина, двора, купца, общины, монастыря или власти согласно роли	семья; хозяин; мастер; кредитор; староста; покупатель; владелец места; сезон; погода	домочадцы; ученики; наниматель; хозяин; животные; товар; младшие работники по роли	типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге	имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины	дом/доля двора, инструмент, запасы, животные, лодка, товар или доступ к ним только по статусу; имущество не равно инвентарь	пояс, нож, копьё или щит по службе, дорожная одежда, знак старшего	малый нож; порученная грамота; чужой ключ только при основании	копьё, щит, нож, пояс, ремень, конская снасть по статусу	льняная/шерстяная одежда по достатку, обувь по сезону, рабочие следы профессии; дорогие ткани только при статусе	через двор, хозяина, оплату, монастырь, милостыню или дорожный запас; голод меняет поведение	лошадь, вол, корова, овца, свинья, собака или отсутствие животных по месту и статусу	мешок, короб, кошель, клеть, сундук, корзина, бочка или амбар по занятию	деньги; хлеб; соль; товар; инструмент; работа; залог; поручительство; долг хозяину или старшему	служба, семейная обязанность, долг, пост, праздник, сторожа, повинность, заказ, сдача товара или отчёт	скрывать только то, что причинно задано: долг, чужая вещь, недовес, бегство, болезнь, тайный маршрут, конфликт с хозяином	слухи своей среды: дороги, цены, долги, власть, стража, война, болезнь, пожар; слух не является фактом	знает ближайшие дворы, опасные места, старших, доступ и свидетелей своей среды	от высокого у проводника/лодочника до низкого у дворового слуги; не универсально	зависит от торговли и места; точные цены не задавать, только правила торга и дефицита	обычай своей среды, кто имеет право на вещь, долг, свидетельство и жалобу	учитывает пост, праздник, клятву, похороны, грех, милостыню и репутацию	родня; хозяин; старший; кредитор; заказчик; священник; сосед; свидетель; должник	спор о долге, недовес, чужая вещь, доступ во двор, невыполненная работа, оскорбление, страх перед властью	голод, холод, болезнь, пожар, потеря инструмента, долг, обвинение, дорога, гнев хозяина, позор	сохранить работу, семью, инструмент, статус, долг под контролем и безопасный доступ к месту	услуга возможна только при статусе, оплате, доверии, сезоне, времени суток и отсутствии запрета хозяина	не задавать точных цен; цена зависит от сезона, дефицита, дороги, статуса, долга, риска и свидетелей	medium_high	служебное оружие по приказу; без приказа риск	high	высока в городе, торге, церкви и дворе; ниже в лесу и дороге, но следы и слухи остаются	зависит от ценности, меток, свидетелей, владельца, доступа и права держателя	ответ зависит от статуса, свидетелей и хозяина; оскорбление может стать долгом, дракой, отказом или жалобой	дать роль, видимое занятие, место, настроение, возможного свидетеля и один признак профессии; без полной биографии	добавить имя/прозвище, цель, право доступа, страх, ближайший долг, что знает и что может сделать сейчас	добавить память, связи, имущество/доступ, семью, долги, расписание, долгосрочные последствия и пределы знания	проверить эпоху, регион, место G3/G4 типа, сезон, время суток, статус, хозяина, долг, имущество, доступ, свидетелей и лимиты материализации	адаптировать к конкретному узлу карты, событию, погоде и статусу; если место не подходит, не использовать профессию	не делать профессией-классом; не создавать конкретного неисторического NPC без причины; не давать дорогие вещи низкому статусу; не раскрывать скрытое	usable_with_caution	medium	src_novgorod_first_chronicle; src_russkaya_pravda; src_yanin_novgorod_posadniki; src_birchbark_corpus_context; src_project_region_profile_v1; src_project_map_v6	региональный профессиональный профиль на основе экономики Новгородской земли; термины с осторожностью помечены	шаблон для LLM; не является конкретной биографией партии	military_security	accepted_with_caution	medium	group_base
nov_occ_gate_guard	страж ворот	военное	сторож ворот	охрана входа, наблюдение, пропуск по статусу	1230-1250	region_novgorod_land	nov_role_guard; nov_role_princely_man; nov_role_boyar_man	low-middle	охрана входа, наблюдение, пропуск по статусу	ворота; двор власти; княжий или боярский двор; дорога; торг	pt_administrative_court; pt_city_major_center; pt_crossroads; pt_ford_place	outer_gate; guard_place; road_exit; stable_yard	зависит от сезона, дороги, воды, поста, рынка и хозяйственного цикла; не использовать одинаково весь год	утро: работа у места занятия; день: основной труд и переговоры; вечер: сдача инструмента, корм, семья или двор; ночь: обычно недоступен, кроме сторожи и дороги	утро позднее и короче; день: зимний путь, ремонт, скот, склад или внутренняя работа; вечер ранний; ночь опасна из-за холода и темноты	утро: проверка грязи, воды и доступа; день: работа замедлена распутицей; вечер: возврат раньше; ночь: дороги и перевозы рискованны	утро раннее; день длинный и трудовой; вечер занят запасами, скотом, лодками или товаром; ночь возможна для сторожи, рыбы и дороги	утро: сбор, ремонт, закупка; день: заготовки, торг, дороги до распутицы; вечер: учёт запасов; ночь холоднее и опаснее	утро: приход к торгу/пристани; день: торг, спор, свидетели; вечер: расчёт и возврат; ночью товар под замком или сторожем	утро: служба или запрет шумной работы; день: семейные/общинные встречи; вечер: тише; сделки и насилие социально опаснее	при голоде, войне, пожаре, приказе или закрытой дороге уходит к хозяину, складу, семье, воротам, храму или старшему; обычный труд нарушен	спит или сторожит по роли; тревожить ночью опасно; доступ через хозяина, стражу, семью или сильную необходимость	мобильность выводить из роли, хозяина, семьи, долга, сезона и доступного транспорта; не делать свободным странником без причины	для себя, семьи, хозяина, двора, купца, общины, монастыря или власти согласно роли	семья; хозяин; мастер; кредитор; староста; покупатель; владелец места; сезон; погода	домочадцы; ученики; наниматель; хозяин; животные; товар; младшие работники по роли	типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге	имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины	дом/доля двора, инструмент, запасы, животные, лодка, товар или доступ к ним только по статусу; имущество не равно инвентарь	пояс, нож, копьё или щит по службе, дорожная одежда, знак старшего	малый нож; порученная грамота; чужой ключ только при основании	копьё, щит, нож, пояс, ремень, конская снасть по статусу	льняная/шерстяная одежда по достатку, обувь по сезону, рабочие следы профессии; дорогие ткани только при статусе	через двор, хозяина, оплату, монастырь, милостыню или дорожный запас; голод меняет поведение	лошадь, вол, корова, овца, свинья, собака или отсутствие животных по месту и статусу	мешок, короб, кошель, клеть, сундук, корзина, бочка или амбар по занятию	деньги; хлеб; соль; товар; инструмент; работа; залог; поручительство; долг хозяину или старшему	служба, семейная обязанность, долг, пост, праздник, сторожа, повинность, заказ, сдача товара или отчёт	скрывать только то, что причинно задано: долг, чужая вещь, недовес, бегство, болезнь, тайный маршрут, конфликт с хозяином	слухи своей среды: дороги, цены, долги, власть, стража, война, болезнь, пожар; слух не является фактом	знает ближайшие дворы, опасные места, старших, доступ и свидетелей своей среды	от высокого у проводника/лодочника до низкого у дворового слуги; не универсально	зависит от торговли и места; точные цены не задавать, только правила торга и дефицита	обычай своей среды, кто имеет право на вещь, долг, свидетельство и жалобу	учитывает пост, праздник, клятву, похороны, грех, милостыню и репутацию	родня; хозяин; старший; кредитор; заказчик; священник; сосед; свидетель; должник	спор о долге, недовес, чужая вещь, доступ во двор, невыполненная работа, оскорбление, страх перед властью	голод, холод, болезнь, пожар, потеря инструмента, долг, обвинение, дорога, гнев хозяина, позор	сохранить работу, семью, инструмент, статус, долг под контролем и безопасный доступ к месту	услуга возможна только при статусе, оплате, доверии, сезоне, времени суток и отсутствии запрета хозяина	не задавать точных цен; цена зависит от сезона, дефицита, дороги, статуса, долга, риска и свидетелей	medium_high	служебное оружие по приказу; без приказа риск	high	высока в городе, торге, церкви и дворе; ниже в лесу и дороге, но следы и слухи остаются	зависит от ценности, меток, свидетелей, владельца, доступа и права держателя	ответ зависит от статуса, свидетелей и хозяина; оскорбление может стать долгом, дракой, отказом или жалобой	дать роль, видимое занятие, место, настроение, возможного свидетеля и один признак профессии; без полной биографии	добавить имя/прозвище, цель, право доступа, страх, ближайший долг, что знает и что может сделать сейчас	добавить память, связи, имущество/доступ, семью, долги, расписание, долгосрочные последствия и пределы знания	проверить эпоху, регион, место G3/G4 типа, сезон, время суток, статус, хозяина, долг, имущество, доступ, свидетелей и лимиты материализации	адаптировать к конкретному узлу карты, событию, погоде и статусу; если место не подходит, не использовать профессию	не делать профессией-классом; не создавать конкретного неисторического NPC без причины; не давать дорогие вещи низкому статусу; не раскрывать скрытое	approved	medium_high	src_novgorod_first_chronicle; src_russkaya_pravda; src_yanin_novgorod_posadniki; src_birchbark_corpus_context; src_project_region_profile_v1; src_project_map_v6	региональный профессиональный профиль на основе экономики Новгородской земли; термины с осторожностью помечены	шаблон для LLM; не является конкретной биографией партии	military_security	accepted_with_caution	medium	title_override
nov_occ_market_guard	страж торга	военное	сторож торга	порядок на торге, спор, шум, кража, пошлина	1230-1250	region_novgorod_land	nov_role_guard; nov_role_toll_collector	low-middle	порядок на торге, спор, шум, кража, пошлина	ворота; двор власти; княжий или боярский двор; дорога; торг	pt_administrative_court; pt_city_major_center; pt_crossroads; pt_ford_place	outer_gate; guard_place; road_exit; stable_yard	зависит от сезона, дороги, воды, поста, рынка и хозяйственного цикла; не использовать одинаково весь год	утро: работа у места занятия; день: основной труд и переговоры; вечер: сдача инструмента, корм, семья или двор; ночь: обычно недоступен, кроме сторожи и дороги	утро позднее и короче; день: зимний путь, ремонт, скот, склад или внутренняя работа; вечер ранний; ночь опасна из-за холода и темноты	утро: проверка грязи, воды и доступа; день: работа замедлена распутицей; вечер: возврат раньше; ночь: дороги и перевозы рискованны	утро раннее; день длинный и трудовой; вечер занят запасами, скотом, лодками или товаром; ночь возможна для сторожи, рыбы и дороги	утро: сбор, ремонт, закупка; день: заготовки, торг, дороги до распутицы; вечер: учёт запасов; ночь холоднее и опаснее	утро: приход к торгу/пристани; день: торг, спор, свидетели; вечер: расчёт и возврат; ночью товар под замком или сторожем	утро: служба или запрет шумной работы; день: семейные/общинные встречи; вечер: тише; сделки и насилие социально опаснее	при голоде, войне, пожаре, приказе или закрытой дороге уходит к хозяину, складу, семье, воротам, храму или старшему; обычный труд нарушен	спит или сторожит по роли; тревожить ночью опасно; доступ через хозяина, стражу, семью или сильную необходимость	мобильность выводить из роли, хозяина, семьи, долга, сезона и доступного транспорта; не делать свободным странником без причины	для себя, семьи, хозяина, двора, купца, общины, монастыря или власти согласно роли	семья; хозяин; мастер; кредитор; староста; покупатель; владелец места; сезон; погода	домочадцы; ученики; наниматель; хозяин; животные; товар; младшие работники по роли	типовая семья или дом не создаётся автоматически; фиксировать только при сценической нужде, долге, поручительстве или ночлеге	имущество и люди домохозяйства остаются фоном до материализации; полный двор не раскрывать без причины	дом/доля двора, инструмент, запасы, животные, лодка, товар или доступ к ним только по статусу; имущество не равно инвентарь	пояс, нож, копьё или щит по службе, дорожная одежда, знак старшего	малый нож; порученная грамота; чужой ключ только при основании	копьё, щит, нож, пояс, ремень, конская снасть по статусу	льняная/шерстяная одежда по достатку, обувь по сезону, рабочие следы профессии; дорогие ткани только при статусе	через двор, хозяина, оплату, монастырь, милостыню или дорожный запас; голод меняет поведение	лошадь, вол, корова, овца, свинья, собака или отсутствие животных по месту и статусу	мешок, короб, кошель, клеть, сундук, корзина, бочка или амбар по занятию	деньги; хлеб; соль; товар; инструмент; работа; залог; поручительство; долг хозяину или старшему	служба, семейная обязанность, долг, пост, праздник, сторожа, повинность, заказ, сдача товара или отчёт	скрывать только то, что причинно задано: долг, чужая вещь, недовес, бегство, болезнь, тайный маршрут, конфликт с хозяином	слухи своей среды: дороги, цены, долги, власть, стража, война, болезнь, пожар; слух не является фактом	знает ближайшие дворы, опасные места, старших, доступ и свидетелей своей среды	от высокого у проводника/лодочника до низкого у дворового слуги; не универсально	зависит от торговли и места; точные цены не задавать, только правила торга и дефицита	обычай своей среды, кто имеет право на вещь, долг, свидетельство и жалобу	учитывает пост, праздник, клятву, похороны, грех, милостыню и репутацию	родня; хозяин; старший; кредитор; заказчик; священник; сосед; свидетель; должник	спор о долге, недовес, чужая вещь, доступ во двор, невыполненная работа, оскорбление, страх перед властью	голод, холод, болезнь, пожар, потеря инструмента, долг, обвинение, дорога, гнев хозяина, позор	сохранить работу, семью, инструмент, статус, долг под контролем и безопасный доступ к месту	услуга возможна только при статусе, оплате, доверии, сезоне, времени суток и отсутствии запрета хозяина	не задавать точных цен; цена зависит от сезона, дефицита, дороги, статуса, долга, риска и свидетелей	medium_high	служебное оружие по приказу; без приказа риск	high	высока в городе, торге, церкви и дворе; ниже в лесу и дороге, но следы и слухи остаются	зависит от ценности, меток, свидетелей, владельца, доступа и права держателя	ответ зависит от статуса, свидетелей и хозяина; оскорбление может стать долгом, дракой, отказом или жалобой	дать роль, видимое занятие, место, настроение, возможного свидетеля и один признак профессии; без полной биографии	добавить имя/прозвище, цель, право доступа, страх, ближайший долг, что знает и что может сделать сейчас	добавить память, связи, имущество/доступ, семью, долги, расписание, долгосрочные последствия и пределы знания	проверить эпоху, регион, место G3/G4 типа, сезон, время суток, статус, хозяина, долг, имущество, доступ, свидетелей и лимиты материализации	адаптировать к конкретному узлу карты, событию, погоде и статусу; если место не подходит, не использовать профессию	не делать профессией-классом; не создавать конкретного неисторического NPC без причины; не давать дорогие вещи низкому статусу; не раскрывать скрытое	approved	medium_high	src_novgorod_first_chronicle; src_russkaya_pravda; src_yanin_novgorod_posadniki; src_birchbark_corpus_context; src_project_region_profile_v1; src_project_map_v6	региональный профессиональный профиль на основе экономики Новгородской земли; термины с осторожностью помечены	шаблон для LLM; не является конкретной биографией партии	military_security	approved	high	manual_map
