sch_id,role_or_occupation_ref,day_type,season,time_blocks,place_access_ref,source_refs,confidence,status,note
sch_generic_normal,generic_occupation_template (applies verbatim to all 68 occupation_id in novgorod_occupations_v1_enriched.tsv),normal,any,"[{""segment"": ""утро"", ""activity_ref"": ""работа у места занятия""}, {""segment"": ""день"", ""activity_ref"": ""основной труд и переговоры""}, {""segment"": ""вечер"", ""activity_ref"": ""сдача инструмента, корм, семья или двор""}, {""segment"": ""ночь"", ""activity_ref"": ""обычно недоступен, кроме сторожи и дороги""}]",,"main:data/novgorod-region/novgorod_occupations_v1_enriched.tsv (daily_schedule_* columns, uniform template value across all 68 occupation_id rows)",C,candidate,"GAP: the source column is an unfilled per-occupation template -- identical text repeated for every occupation_id, not a distinct schedule per role/occupation as the brief's key_fields imply. Kept as the only generic baseline available; a real per-occupation differentiation (craftsman vs merchant vs clergy vs peasant) is a fill-later gap, listed in README.md."
sch_generic_winter,generic_occupation_template (applies verbatim to all 68 occupation_id in novgorod_occupations_v1_enriched.tsv),winter,winter,"[{""segment"": ""утро"", ""activity_ref"": ""позднее и короче""}, {""segment"": ""день"", ""activity_ref"": ""зимний путь, ремонт, скот, склад или внутренняя работа""}, {""segment"": ""вечер"", ""activity_ref"": ""ранний""}, {""segment"": ""ночь"", ""activity_ref"": ""опасна из-за холода и темноты""}]",,"main:data/novgorod-region/novgorod_occupations_v1_enriched.tsv (daily_schedule_* columns, uniform template value across all 68 occupation_id rows)",C,candidate,"GAP: the source column is an unfilled per-occupation template -- identical text repeated for every occupation_id, not a distinct schedule per role/occupation as the brief's key_fields imply. Kept as the only generic baseline available; a real per-occupation differentiation (craftsman vs merchant vs clergy vs peasant) is a fill-later gap, listed in README.md."
sch_generic_spring_rasputitsa,generic_occupation_template (applies verbatim to all 68 occupation_id in novgorod_occupations_v1_enriched.tsv),spring_rasputitsa,spring_rasputitsa,"[{""segment"": ""утро"", ""activity_ref"": ""проверка грязи, воды и доступа""}, {""segment"": ""день"", ""activity_ref"": ""работа замедлена распутицей""}, {""segment"": ""вечер"", ""activity_ref"": ""возврат раньше""}, {""segment"": ""ночь"", ""activity_ref"": ""дороги и перевозы рискованны""}]",,"main:data/novgorod-region/novgorod_occupations_v1_enriched.tsv (daily_schedule_* columns, uniform template value across all 68 occupation_id rows)",C,candidate,"GAP: the source column is an unfilled per-occupation template -- identical text repeated for every occupation_id, not a distinct schedule per role/occupation as the brief's key_fields imply. Kept as the only generic baseline available; a real per-occupation differentiation (craftsman vs merchant vs clergy vs peasant) is a fill-later gap, listed in README.md."
sch_generic_summer,generic_occupation_template (applies verbatim to all 68 occupation_id in novgorod_occupations_v1_enriched.tsv),summer,summer,"[{""segment"": ""утро"", ""activity_ref"": ""раннее""}, {""segment"": ""день"", ""activity_ref"": ""длинный и трудовой""}, {""segment"": ""вечер"", ""activity_ref"": ""занят запасами, скотом, лодками или товаром""}, {""segment"": ""ночь"", ""activity_ref"": ""возможна для сторожи, рыбы и дороги""}]",,"main:data/novgorod-region/novgorod_occupations_v1_enriched.tsv (daily_schedule_* columns, uniform template value across all 68 occupation_id rows)",C,candidate,"GAP: the source column is an unfilled per-occupation template -- identical text repeated for every occupation_id, not a distinct schedule per role/occupation as the brief's key_fields imply. Kept as the only generic baseline available; a real per-occupation differentiation (craftsman vs merchant vs clergy vs peasant) is a fill-later gap, listed in README.md."
sch_generic_autumn,generic_occupation_template (applies verbatim to all 68 occupation_id in novgorod_occupations_v1_enriched.tsv),autumn,autumn,"[{""segment"": ""утро"", ""activity_ref"": ""сбор, ремонт, закупка""}, {""segment"": ""день"", ""activity_ref"": ""заготовки, торг, дороги до распутицы""}, {""segment"": ""вечер"", ""activity_ref"": ""учёт запасов""}, {""segment"": ""ночь"", ""activity_ref"": ""холоднее и опаснее""}]",,"main:data/novgorod-region/novgorod_occupations_v1_enriched.tsv (daily_schedule_* columns, uniform template value across all 68 occupation_id rows)",C,candidate,"GAP: the source column is an unfilled per-occupation template -- identical text repeated for every occupation_id, not a distinct schedule per role/occupation as the brief's key_fields imply. Kept as the only generic baseline available; a real per-occupation differentiation (craftsman vs merchant vs clergy vs peasant) is a fill-later gap, listed in README.md."
sch_generic_market_day,generic_occupation_template (applies verbatim to all 68 occupation_id in novgorod_occupations_v1_enriched.tsv),market_day,any,"[{""segment"": ""утро"", ""activity_ref"": ""приход к торгу/пристани""}, {""segment"": ""день"", ""activity_ref"": ""торг, спор, свидетели""}, {""segment"": ""вечер"", ""activity_ref"": ""расчёт и возврат""}, {""segment"": ""ночь"", ""activity_ref"": ""товар под замком или сторожем""}]",,"main:data/novgorod-region/novgorod_occupations_v1_enriched.tsv (daily_schedule_* columns, uniform template value across all 68 occupation_id rows)",C,candidate,"GAP: the source column is an unfilled per-occupation template -- identical text repeated for every occupation_id, not a distinct schedule per role/occupation as the brief's key_fields imply. Kept as the only generic baseline available; a real per-occupation differentiation (craftsman vs merchant vs clergy vs peasant) is a fill-later gap, listed in README.md."
sch_generic_church_day,generic_occupation_template (applies verbatim to all 68 occupation_id in novgorod_occupations_v1_enriched.tsv),church_day,any,"[{""segment"": ""утро"", ""activity_ref"": ""служба или запрет шумной работы""}, {""segment"": ""день"", ""activity_ref"": ""семейные/общинные встречи""}, {""segment"": ""вечер"", ""activity_ref"": ""тише""}, {""segment"": ""unspecified"", ""activity_ref"": ""сделки и насилие социально опаснее""}]",,"main:data/novgorod-region/novgorod_occupations_v1_enriched.tsv (daily_schedule_* columns, uniform template value across all 68 occupation_id rows)",C,candidate,"GAP: the source column is an unfilled per-occupation template -- identical text repeated for every occupation_id, not a distinct schedule per role/occupation as the brief's key_fields imply. Kept as the only generic baseline available; a real per-occupation differentiation (craftsman vs merchant vs clergy vs peasant) is a fill-later gap, listed in README.md."
sch_generic_crisis,generic_occupation_template (applies verbatim to all 68 occupation_id in novgorod_occupations_v1_enriched.tsv),crisis,any,"[{""segment"": ""unspecified"", ""activity_ref"": ""при голоде, войне, пожаре, приказе или закрытой дороге уходит к хозяину, складу, семье, воротам, храму или старшему""}, {""segment"": ""unspecified"", ""activity_ref"": ""обычный труд нарушен""}]",,"main:data/novgorod-region/novgorod_occupations_v1_enriched.tsv (daily_schedule_* columns, uniform template value across all 68 occupation_id rows)",C,candidate,"GAP: the source column is an unfilled per-occupation template -- identical text repeated for every occupation_id, not a distinct schedule per role/occupation as the brief's key_fields imply. Kept as the only generic baseline available; a real per-occupation differentiation (craftsman vs merchant vs clergy vs peasant) is a fill-later gap, listed in README.md."
sch_generic_night_behavior,generic_occupation_template,any,any,"[{""segment"": ""night"", ""activity_ref"": ""спит или сторожит по роли; тревожить ночью опасно; доступ через хозяина, стражу, семью или сильную необходимость""}]",,"main:data/novgorod-region/novgorod_occupations_v1_enriched.tsv (daily_schedule_* columns, uniform template value across all 68 occupation_id rows)",C,candidate,Same template-uniformity gap as above.
sch_adapt_time_of_day,any,adaptation_rule,any,"[{""segment"": ""rule"", ""activity_ref"": ""Утро, день, вечер и ночь меняют доступность NPC; ночь требует причины для общения и повышает риск.""}]",,rus13-base-staging/nov_region_audit/novgorod_status_rules_v1.json#schedule_adaptation_rules (trigger=time_of_day),B,candidate,Правило помечено status=approved внутри файла со статусом draft (metadata.status=draft); исходная confidence метка источника: high.
