id,slug,title,summary,game_use,limits,status,confidence,sources,audit_notes,created_at,updated_at
ruler,ruler,Правитель,Правитель,Canonical правитель reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
official_manager,official_manager,Должностной управитель,Должностной управитель,Canonical должностной управитель reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
landholder_notable,landholder_notable,Землевладелец-знатный,Землевладелец-знатный,Canonical землевладелец-знатный reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
armed_retainer,armed_retainer,Вооружённый служилый,Вооружённый служилый,Canonical вооружённый служилый reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
guard_watchman,guard_watchman,Страж и дозорный,Страж и дозорный,Canonical страж и дозорный reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
cleric,cleric,Священнослужитель,Священнослужитель,Canonical священнослужитель reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
monastic,monastic,Монашествующий,Монашествующий,Canonical монашествующий reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
ecclesiastical_agent,ecclesiastical_agent,Церковный агент,Церковный агент,Canonical церковный агент reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
common_householder,common_householder,Городской домохозяин,Городской домохозяин,Canonical городской домохозяин reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
artisan_master,artisan_master,Ремесленник-мастер,Ремесленник-мастер,Canonical ремесленник-мастер reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
elite_household_member,elite_household_member,Член знатного двора,Член знатного двора,Canonical член знатного двора reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
merchant_trader,merchant_trader,Купец и торговец,Купец и торговец,Canonical купец и торговец reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
rural_householder,rural_householder,Сельский домохозяин,Сельский домохозяин,Canonical сельский домохозяин reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
rural_laborer,rural_laborer,Сельский работник,Сельский работник,Canonical сельский работник reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
forest_or_water_producer,forest_or_water_producer,Лесной или водный промысленник,Лесной или водный промысленник,Canonical лесной или водный промысленник reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
traveler_outsider,traveler_outsider,Путник и чужак,Путник и чужак,Canonical путник и чужак reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
