ail_id,species_refs,name_ru,observable_signs,trigger_or_season,ordinary_response,diagnosis_policy,source_refs,confidence,status
ail_frothy_bloat,fa_dom_cattle;fa_dom_sheep;fa_dom_goat,Вздутие рубца (пенистое),"раздутый левый бок, беспокойство, тяжёлое дыхание","после сочного бобового корма, лето",срочно звать знающего; не выводить лечение,признаки не устанавливают диагноз; исход задаёт код,claim:static-ruminant-feed-b11-legume-forage-can-support-frothy-rumen-bloat;claim:static-ruminant-feed-b11-marked-distension-and-respiratory-distress-warrant-prompt-qualified-assessment,B,candidate
ail_moldy_feed,fa_dom_cattle;fa_dom_horse;fa_dom_sheep;fa_dom_goat,Порченный (плесневый) корм,заплесневелое сено с затхлым запахом; вред животному неясен,"сырое сено, конец зимы",отбрасывать порченый корм; вывод о яде не делать,признаки не устанавливают диагноз; исход задаёт код,claim:static-ruminant-feed-b11-some-feed-molds-can-produce-mycotoxins-with-animal-dependent-effects;claim:static-ruminant-feed-b11-visible-mold-does-not-establish-mycotoxin-presence-or-level,B,candidate
ail_equine_colic,fa_dom_horse,Колики у лошади,"беспокойство, оглядывается на живот, ложится и встаёт, вздутие",резкая смена корма,"прекратить работу, звать знающего",признаки не устанавливают диагноз; исход задаёт код,claim:static-equine-colic-is-abdominal-pain-with-variable-signs;claim:static-abrupt-equine-diet-change-can-increase-colic-risk;claim:static-equine-abdominal-pain-signs-warrant-pausing-work-and-qualified-assessment,B,candidate
ail_hoof_debris,fa_dom_horse,"Забитое копыто, хромота","припадает на ногу, камень или грязь у стрелки","распутица, дорога",расчистить копыто,признаки не устанавливают диагноз; исход задаёт код,claim:place-basic-equine-hoof-cleaning-can-remove-debris-around-the-frog;claim:place-equine-feet-bear-weight-absorb-shock-and-provide-traction,B,candidate
ail_work_heat_strain,fa_dom_horse,Перегрев рабочей лошади,"частое дыхание, пот, не остывает","жара, тяжёлый воз","остудить постепенно, дать отдых",признаки не устанавливают диагноз; исход задаёт код,claim:reality-batch-01-working-horse-can-show-observable-post-work-heat-and-breathing-change;claim:macro-b20-a-worked-horse-needs-gradual-cooling-and-observation-before-return-to-rest-or-work,B,candidate
ail_harness_rub,fa_dom_horse;fa_dom_cattle,Потёртость упряжью,"сбитая шерсть, ссадина под хомутом или седлом",долгая работа,"поправить упряжь, дать отдых",признаки не устанавливают диагноз; исход задаёт код,claim:reality-batch-01-horse-harness-contact-can-be-observed-for-rub-or-displacement,B,candidate
ail_wet_cold_sheep,fa_dom_sheep,Мокрый холод у овец,"мокрая шерсть, дрожь, жмутся","осенние дожди, ветер",загнать в сухое укрытие,признаки не устанавливают диагноз; исход задаёт код,claim:macro-b1819-wet-cold-wind-can-overwhelm-sheep-insulation-and-dry-shelter-reduces-exposure,B,candidate
ail_fly_harassment,fa_dom_cattle;fa_dom_horse,Изнурение от слепней и мошки,"бьют хвостом, топчутся, сбиваются в кучу, бегут",жаркое лето,"пасти утром и вечером, загонять в тень (C)",признаки не устанавливают диагноз; исход задаёт код,claim:macro-b1819-blood-feeding-flies-can-provoke-defensive-behavior-in-cattle,B,candidate
ail_nonspecific_illness,fa_dom_cattle,Неблагополучие скотины (без диагноза),"не ест, стоит отдельно, опущена голова, сухой нос (C)",любое время,позвать опытного; диагноз не выводить,признаки не устанавливают диагноз; исход задаёт код,claim:macro-b1819-ill-cattle-observation-is-nondiagnostic-and-can-warrant-experienced-assessment,B,candidate
ail_byre_air,fa_dom_cattle;fa_dom_sheep;fa_dom_pig;fa_dom_horse,Спёртый воздух хлева,"резкий запах навоза и мочи, режет глаза","зима, закрытый хлев","проветрить, убрать навоз",признаки не устанавливают диагноз; исход задаёт код,claim:r7-poorly-ventilated-animal-housing-can-have-irritating-air-from-manure-and-urine,B,candidate
ail_winter_emaciation,fa_dom_cattle;fa_dom_horse;fa_dom_sheep,Весеннее истощение,"торчат рёбра и маклоки, слабость на выгоне",конец зимы при нехватке сена,"подкормить, выгнать на траву",признаки не устанавливают диагноз; исход задаёт код,src:kochin-1965-agriculture,C,candidate
ail_famine_slaughter,fa_dom_horse;fa_dom_dog;fa_dom_cat;fa_dom_cattle,Голодный забой (1230),"дворы без скота, конина и собачатина в пищу",голод 1230–1231,фаза мира famine_1230 уменьшает поголовье (код),признаки не устанавливают диагноз; исход задаёт код,src:npl-6736-6738;claim:environment-p1-horse-meat;src:master-food-ingredients,A,candidate
ail_calf_separation,fa_dom_cattle,Стресс отлучения телёнка,"мычание коровы и телёнка, беспокойство",отлучение,—,признаки не устанавливают диагноз; исход задаёт код,claim:macro-b1819-cow-calf-separation-is-a-stressful-transition-and-context-can-moderate-added-stress,B,candidate
ail_poultry_injury,fa_dom_chicken;fa_dom_goose;fa_dom_duck,Больная или раненая птица,"сидит нахохлившись, волочит крыло, тяжело дышит",любое время,"осматривать бережно, поддерживая всё тело",признаки не устанавливают диагноз; исход задаёт код,claim:place-brief-domestic-fowl-examination-supports-body-and-folded-wings-without-chest-compression;claim:place-poultry-observable-emergency-signs-bound-casual-examination,B,candidate
