mk_id,mark_kind,applicable_groups,applicable_materials,text_ru,distinctiveness,text_pool_id,attestation,source_refs,confidence,note,status
mk_own_cut_sign,owner_sign,HH_TABLEWARE;HH_VESSELS_WATER;HH_SMALL_STORAGE;HH_TEXTILE_WORK;HH_FOODPROC;PS_TRADE_ADMIN;PS_CARRY;PS_KNIFE;PS_MUSIC,wood;bark;bone,"Вырезанный владельческий знак на днище, ручке или боку: {sign_shape}",unique,TXT_OWNER_SIGN,Бирки и деревянные вещи с вырезанным знаком владельца в новгородском материале,master:n1230:material_item:omi01613;src:SRC005;src:BIB_BIRKI_BRE,B,Форма знака — из пула TXT_OWNER_SIGN; толкование знака не даётся.,candidate
mk_own_scratched_graffito,inscription,PS_GROOMING;HH_TABLEWARE;PS_KNIFE;HH_SEWING;PS_WRITING;PS_MUSIC,bone;wood;iron;nonferrous,Процарапанная короткая владельческая надпись: {owner_text},unique,TXT_OBJECT_OWNER_GRAFFITO,"Владельческие надписи-граффити на бытовых предметах, в т. ч. на гребнях (Медынцева)",src:BIB_MEDYNTSEVA;src:BIB_ZALIZNYAK2004,B,Текст только из пула; без пула — надписи нет.,candidate
mk_own_whorl_inscription,inscription,HH_TEXTILE_WORK,stone,Процарапанная по пряслицу владельческая надпись: {owner_text},unique,TXT_WHORL_OWNER,"Надписи на шиферных пряслицах, в т. ч. новгородская находка с именем владелицы",src:BIB_WHORL;src:BIB_MEDYNTSEVA,B,,candidate
mk_own_key_tag,owner_sign,HH_LOCKS,iron;wood,"Деревянная метка на ключе, различающая его среди связки",rare,,Деревянная метка на ключе (тип master),master:n1230:material_item:omi01899,C,Master OMI01899 = C.,candidate
mk_own_knot_or_thread,owner_sign,PS_CARRY;HH_SMALL_STORAGE;HH_BEDDING_TEXTILE;HH_SEWING;HH_TOOLS_SMALL,textile;leather;bark,Особый узел или вплетённая цветная нить для различения своей вещи,rare,,Различение вещей узлом/латкой в черновых правилах контейнеров rus13tpl,rus13tpl:novgorod_container_profiles_v1.json#marks_and_recognition(draft),C,Реконструкция; практика не засвидетельствована археологически для конкретных вещей.,candidate
mk_own_cut_notches,owner_sign,PS_KNIFE;HH_TOOLS_SMALL;HH_HEARTH_TOOLS;HH_COOKWARE,wood;bone,Несколько зарубок на рукояти как метка своей вещи,rare,,"Зарубки как метки на деревянных вещах (бирки, рукояти) в новгородском материале",src:BIB_BIRKI_NKJ;master:n1230:material_item:omi01611,C,Перенос с бирок на рукояти — аналогия.,candidate
mk_mk_pottery_stamp,maker_mark,HH_COOKWARE;HH_TABLEWARE;HH_SMALL_STORAGE,clay,Рельефное клеймо на днище: {stamp_shape},rare,TXT_POTTERY_STAMP,"Гончарные клейма на днищах (крест, круг, колесо, геометрические знаки), X–XIV вв.; мастер или владелец — спорно",src:BIB_POTTERY_STAMPS;src:SRC024,B,Одно клеймо повторяется на продукции мастерской — не уникально.,candidate
mk_mk_lathe_marks,maker_mark,HH_TABLEWARE;HH_TEXTILE_WORK;PS_PLAY,wood;bone,Концентрические риски точения и центровочная ямка на дне или торце,common,,Точёная посуда и изделия на токарном станке в Новгороде,src:SRC005;src:SRC103,B,,candidate
mk_mk_steel_weld_line,maker_mark,PS_KNIFE;HH_COOKWARE;HH_FIRE_LIGHT;HH_SEWING;PS_GROOMING,iron,Видна полоса наварки: лезвие светлее и твёрже основы,common,,Составная (наварная) конструкция кресала и лезвий у Колчина,wk:claim:casting-firesteel-steel;src:SRC032,B,,candidate
mk_mk_blade_stamp,maker_mark,PS_KNIFE,iron,Выбитое на клинке клеймо мастера: {stamp_shape},rare,TXT_MAKER_STAMP_SIGN,Нож западного производства с клеймом (Новгород),master:n1230:material_item:frn0024,B,Для местных ножей клеймо не предполагать.,candidate
mk_mk_casting_seam,maker_mark,PS_RELIGIOUS;PS_TRADE_ADMIN;HH_FIRE_LIGHT;HH_SEWING;PS_GROOMING;PS_MUSIC,nonferrous,Следы литейного шва и облоя по краю отливки,common,,Литейные формы и литейный брак в Новгороде XII в.,wk:claim:casting-casting-mould;src:SRC062,B,,candidate
mk_mk_plomb_impression,inscription,PS_TRADE_ADMIN,nonferrous,Оттиск на пломбе: {plomb_image},rare,TXT_PLOMB_SIGN,"Торговые пломбы: святые, кресты, буквы, знаки Рюриковичей; >3100 находок в Новгороде",src:BIB_PLOMBY_IARAN;src:BIB_SHM_PLOMBA;src:SRC053,A,,candidate
mk_mk_bulla_impression,inscription,PS_TRADE_ADMIN,nonferrous,Оттиск вислой печати по матрице известного эмитента: {issuer_ref},unique,TXT_BULLA_ENTITY_REF,Вислые свинцовые печати в Новгороде,src:SRC087;src:SRC053,A,Эмитент — только существующая сущность; иначе печать без чтения.,candidate
mk_orn_circle_dot,ornament,PS_GROOMING;HH_SEWING;PS_PLAY;PS_WRITING;PS_KNIFE,bone,Циркульный орнамент: кружки с точкой в центре,common,,Мотив костерезного дела Руси; на гребнях и накладках,src:SRC005;master:n1230:material_item:hou0026,C,Конкретная публикация мотива не извлечена — C.,candidate
mk_orn_incised_lines,ornament,HH_TABLEWARE;HH_TEXTILE_WORK;PS_GROOMING;PS_PLAY;PS_MUSIC;HH_SMALL_STORAGE;PS_CARRY;PS_WRITING,wood;bone;bark,"Резные линии, ёлочка или сетка на ручке или по краю",common,,Резное дерево Новгорода,src:SRC006;src:SRC005,B,,candidate
