id,slug,title,summary,game_use,limits,status,confidence,sources,audit_notes,created_at,updated_at
athletics,athletics,Атлетика,Атлетика,Canonical атлетика reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
stealth,stealth,Скрытность,Скрытность,Canonical скрытность reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
melee_combat,melee_combat,Ближний бой,Ближний бой,Canonical ближний бой reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
ranged_combat,ranged_combat,Дальний бой,Дальний бой,Canonical дальний бой reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
craft,craft,Ремесло,Ремесло,Canonical ремесло reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
household,household,Хозяйство,Хозяйство,Canonical хозяйство reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
survival,survival,Выживание,Выживание,Canonical выживание reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
travel_transport,travel_transport,Путь и транспорт,Путь и транспорт,Canonical путь и транспорт reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
healing,healing,Лечение,Лечение,Canonical лечение reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
observation,observation,Наблюдательность,Наблюдательность,Canonical наблюдательность reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
communication_trade,communication_trade,Общение и торг,Общение и торг,Canonical общение и торг reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
custom_law_literacy,custom_law_literacy,Обычай и закон,Обычай и закон,Canonical обычай и закон reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
