from_state,event,to_state,allowed_by
created,raw_result_captured,raw_captured,ra_01_capture_raw_result
raw_captured,schema_pass,schema_valid,ra_02_parse_and_schema_validate
raw_captured,schema_fail,needs_format_repair,ra_02_parse_and_schema_validate
needs_format_repair,repair_pass_schema,schema_valid,ra_03_repair_format_only
needs_format_repair,repair_budget_exhausted,failed_blocked,ra_03_repair_format_only
schema_valid,source_pass,source_valid,ra_04_source_status_audit
source_valid,semantic_pass,semantic_valid,ra_05_semantic_consistency_audit
semantic_valid,visibility_pass,visibility_valid,ra_06_visibility_leak_audit
visibility_valid,write_plan_pass,ready_to_commit,ra_07_db_write_plan_validate
ready_to_commit,commit_success,committed,ra_08_commit_gate
ready_to_commit,commit_fail,rolled_back,ra_08_commit_gate
committed,post_commit_pass,complete,ra_09_post_commit_audit_snapshot
committed,post_commit_mismatch,critical_blocked,ra_09_post_commit_audit_snapshot
