g4_location_type,title_ru_example,scale_role,v6_row_count,v6_status_counts,place_template_ids,pf_ids,mapping_status,note,source_refs,confidence,status
administrative_yard,двор власти или старших,"право, суд, приказ",2,usable_with_caution:2,pt_town:2,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=administrative_yard,C,candidate
approach_road,подъездная дорога к селу,вход/выход на внешний маршрут,229,draft:229,pt_village:198;pt_pogost_center:21;pt_rural_church_center:10,pf_village_lane;pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=approach_road,C,candidate
approach_slope,подступ к городищу,подход под вал,5,usable_with_caution:1;draft:4,pt_hillfort_gorodishche:5,pf_town_wall_edge;pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=approach_slope,C,candidate
approach_track,подходная тропа к двору,вход/выход к одиночному двору,18,draft:18,pt_isolated_farmstead:18,pf_village_lane;pf_forest_track,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=approach_track,C,candidate
back_gate,задние ворота,служебный выход,6,usable_with_caution:4;draft:2,pt_administrative_court:6,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=back_gate,C,candidate
back_path,задняя тропа к дровянику,служебный/обходной путь,8,usable_with_caution:4;draft:4,pt_monastery:5;pt_estate_center:2;pt_saltworks:1,pf_village_lane,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=back_path,C,candidate
bank_path,прибрежная тропа,обход/уход вдоль берега,20,draft:19;usable_with_caution:1,pt_ferry_place:17;pt_shipyard_boatyard:3,pf_riverbank;pf_ferry_landing,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=bank_path,C,candidate
barn_klet_strip,амбарная и клетская полоса,"хранение зерна, снастей, имущества",144,draft:144,pt_hamlet:144,pf_outbuildings;pf_cellar_granary,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=barn_klet_strip,C,candidate
barns_kleti,амбары и клети,"запасы, имущество, замки",2,draft:2,pt_estate_center:2,pf_outbuildings;pf_cellar_granary,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=barns_kleti,C,candidate
boat_shelter,лодочная зона и навес,"лодки, вёсла, ремонт",195,draft:192;usable_with_caution:3,pt_river_landing:188;pt_boat_landing:7,pf_riverbank;pf_outbuildings,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=boat_shelter,C,candidate
boat_zone,лодочная зона перевозчика,"лодка, шесты, вёсла",17,draft:17,pt_ferry_place:17,pf_ferry_landing,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=boat_zone,C,candidate
boats,лодки и вытаски,"лодки, вёсла, доступ к воде",11,draft:11,pt_fishing_station:7;pt_fish_weir_site:4,pf_fishing_camp,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=boats,C,candidate
boiling_house,варница,"огонь, работа, опасность",1,usable_with_caution:1,pt_saltworks:1,pf_ordinary_workshop,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=boiling_house,C,candidate
boyar_estate_belts,пояса боярских усадеб,"крупные дворы, статус, охрана",1,usable_with_caution:1,pt_city_major_center:1,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=boyar_estate_belts,C,candidate
brine_source,рассольный источник или колодец,сырьё соли,1,usable_with_caution:1,pt_saltworks:1,,not_applicable,not_applicable: brine spring has no place-first family (salt-making family missing in WK place-first; gap),DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=brine_source,C,candidate
camp_fire,кострище,ядро стоянки,423,draft:420;usable_with_caution:3,pt_river_landing:188;pt_ford_place:108;pt_hunting_camp:48;pt_wintering_hut:34;pt_ferry_place:17;pt_forest_work_camp:10;pt_fishing_station:7;pt_boat_landing:7;pt_fish_weir_site:4,pf_riverbank;pf_hunting_ground,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=camp_fire,C,candidate
cargo_slope,склон для груза и саней,"погрузка, риск падения",195,draft:192;usable_with_caution:3,pt_river_landing:188;pt_boat_landing:7,pf_river_wharf,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=cargo_slope,C,candidate
cargo_stack,место складирования груза,товар и риск кражи,17,draft:17,pt_ferry_place:17,pf_ferry_landing,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=cargo_stack,C,candidate
cargo_waiting,место заказчиков и груза,"купцы, груз, свидетели",3,usable_with_caution:1;draft:2,pt_shipyard_boatyard:3,pf_river_wharf,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=cargo_waiting,C,candidate
cart_loading,место погрузки возов,"вывоз, свидетели",1,usable_with_caution:1,pt_saltworks:1,pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=cart_loading,C,candidate
cart_stand,место возов и саней,"возы, ремонт, затор",21,usable_with_caution:1;draft:20,pt_crossroads:21,pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=cart_stand,C,candidate
cattle_corner,скотный угол и навес,"скот, запах, следы",18,draft:18,pt_isolated_farmstead:18,pf_peasant_homestead;pf_outbuildings,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=cattle_corner,C,candidate
cattle_pens,скотные загоны,"хозяйство, шум, следы",144,draft:144,pt_hamlet:144,pf_outbuildings;pf_pasture,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=cattle_pens,C,candidate
