po_id,name_ru,name_en,kind,relation_period,status,event_refs,tribute_or_treaty_refs,visible_presence,peoples_ref,source_refs,confidence,status_flag
po_region_pskov_land,Псковская земля,,region_periphery,1230-1250,смешанный: союз/данническая зависимость/эпизодическое военное давление,,,political|trade|military_pressure|church|route|rumor,,rus13tpl novgorod_neighbor_regions_v1.json (draft) [pskov_land],C,candidate
po_region_ladoga_izhoria_land,Ладожско-Ижорская земля,,region_periphery,1230-1250,смешанный: союз/данническая зависимость/эпизодическое военное давление,,,trade|military_pressure|church|route|rumor|border,,rus13tpl novgorod_neighbor_regions_v1.json (draft) [ladoga_izhoria_land],C,candidate
po_region_karelian_land,Карельская земля,,region_periphery,1230-1250,смешанный: союз/данническая зависимость/эпизодическое военное давление,,,resource|military_pressure|route|rumor|cultural_boundary,,rus13tpl novgorod_neighbor_regions_v1.json (draft) [karelian_land],C,candidate
po_region_zavolochye_land,Заволочье,,region_periphery,1230-1250,"смешанный: торговля, church, слухи",,,resource|trade|route|rumor|migration,,rus13tpl novgorod_neighbor_regions_v1.json (draft) [zavolochye_land],C,candidate
po_region_belozero_land,Белозерье,,region_periphery,1230-1250,"смешанный: торговля, church, слухи",,,trade|route|political|church|rumor,,rus13tpl novgorod_neighbor_regions_v1.json (draft) [belozero_land],C,candidate
po_region_vladimir_suzdal_land,Владимиро-Суздальская земля,,principality,1230-1250,смешанный: союз/данническая зависимость/эпизодическое военное давление,,,political|trade|military|route|rumor,,rus13tpl novgorod_neighbor_regions_v1.json (draft) [vladimir_suzdal_land],C,candidate
po_periphery_t16,Обонежье,,tribe_or_tribute_zone,1230-1250,данническая периферия,,дань/пушнина (см. function),"Бассейн Онежского озера; мех, рыба, воск, локальные финно-угорские общины.","Управление через дань, поездки и посредников.","sqlite novgorod_1230(1).territories [T16], sources=S07;S30",B,candidate
po_periphery_t17,Корельская земля,,tribe_or_tribute_zone,1230-1250,союзно-данническая периферия,,дань/пушнина (см. function),"Корельские общины и узлы у Ладоги; военная и торговая значимость.","Отношения могли включать союз, дань и конкуренцию.","sqlite novgorod_1230(1).territories [T17], sources=S01;S07;S30",B,candidate
po_periphery_t18,Белозерье,,tribe_or_tribute_zone,1230-1250,спорная дальняя зона,,дань/пушнина (см. function),"Озёрный узел, мех, рыба и связь с Севером.",Пересечение новгородских и ростово-суздальских притязаний.,"sqlite novgorod_1230(1).territories [T18], sources=S08;S30",C,candidate
po_periphery_t19,Заволочье,,tribe_or_tribute_zone,1230-1250,сеть даннических волостей,,дань/пушнина (см. function),"Общее название земель за волоками северо-восточнее водораздела; меховая дань и речные пути.",Не единый округ и не сплошная колониальная территория.,"sqlite novgorod_1230(1).territories [T19], sources=S05;S07;S30",A,candidate
po_periphery_t20,Важская земля,,tribe_or_tribute_zone,1230-1250,данническая волость,,дань/пушнина (см. function),"Бассейн Ваги; мех, воск, транспорт по Северной Двине.",Известна по надписям и позднейшей устойчивой топонимии.,"sqlite novgorod_1230(1).territories [T20], sources=S05;S07",B,candidate
po_periphery_t21,Емецкая/Эмецкая зона,,tribe_or_tribute_zone,1230-1250,данническая волость,,дань/пушнина (см. function),Узел на Северной Двине и Емце.,Локализация и масштаб управления реконструируются.,"sqlite novgorod_1230(1).territories [T21], sources=S05;S07",B,candidate
po_periphery_t22,Двинская земля,,tribe_or_tribute_zone,1230-1250,данническая макрозона,,дань/пушнина (см. function),"Северная Двина и притоки; главный меховой коридор.","Система местных общин, погостов, сборщиков и купцов.","sqlite novgorod_1230(1).territories [T22], sources=S07;S30",B,candidate
po_periphery_t23,Пинежская зона,,tribe_or_tribute_zone,1230-1250,дальняя данническая периферия,,дань/пушнина (см. function),Пушнина и водные маршруты к северо-востоку.,Присутствие Новгорода эпизодично и сетево.,"sqlite novgorod_1230(1).territories [T23], sources=S07;S30",C,candidate
po_periphery_t24,Печора,,tribe_or_tribute_zone,1230-1250,дальняя промыслово-данническая зона,,дань/пушнина (см. function),Пушнина и контакты с северными народами.,"Для 1230 г. уверенно говорить можно о направлении интереса, не о плотной администрации.","sqlite novgorod_1230(1).territories [T24], sources=S07;S30",C,candidate
po_periphery_t25,Югра,,tribe_or_tribute_zone,1230-1250,крайняя зона походов и дани,,дань/пушнина (см. function),Этнополитический горизонт за Уралом в летописном и торговом воображении.,Не включать в карту как обычную провинцию.,"sqlite novgorod_1230(1).territories [T25], sources=S01;S07",C,candidate
po_pskov_land,Псковская земля,Pskov land,city,1230-1250,"крупный пригород/субцентр; В 1230 г. автономия заметна, полная независимость ещё не оформлена.",,,"Псков с собственным вечем, элитами и обороной; связан с Новгородом, но не сводится к обычной волости.",,"sqlite novgorod_1230(1).territories [T09], sources=S01;S08;S12",A,candidate
