step_id,pc_id,step_no,action_ru,in_state,extra_inputs,tools,out_state,waste,duration_band,skill_level,checks_and_defects_ru,confidence,source_refs,status
pc_bloomery_iron__s01,pc_bloomery_iron,1,Найти и накопать болотную руду у ручьёв и в торфе,mt_bog_ore,,tl_ore_basket,st:raw_ore,торф и дёрн,days,trained,руда — ржаво-бурые комки; пустой торф не годится,B,src:kolchin1953-metallurgy;src:kolchin1959-iron,candidate
pc_bloomery_iron__s02,pc_bloomery_iron,2,"Просушить и обжечь руду на костре, раздробить",st:raw_ore,mt_firewood,tl_sledgehammer,st:roasted_ore,"зола, пустая порода",days,trained,недожжённая руда сырая и вязкая,C,src:kolchin1953-metallurgy;src:kolchin1959-iron,candidate
pc_bloomery_iron__s03,pc_bloomery_iron,3,"Сложить или подновить горн, обмазать огнеупорной глиной, вставить сопло",st:roasted_ore,mt_clay_refractory;mt_fieldstone,tl_bloomery_furnace;tl_tuyere,st:charged_furnace,,day,specialist,трещины обмазки дают прогар,C,src:kolchin1953-metallurgy;src:kolchin1959-iron,candidate
pc_bloomery_iron__s04,pc_bloomery_iron,4,"Разжечь уголь и загружать руду с углём слоями, непрерывно дуть мехами",st:charged_furnace,mt_charcoal,tl_bellows,st:furnace_run,шлак вытекает и застывает лепёшками,hours,specialist,без ровного дутья восстановление не идёт,B,src:kolchin1953-metallurgy;src:kolchin1959-iron,candidate
pc_bloomery_iron__s05,pc_bloomery_iron,5,Вскрыть горн и извлечь раскалённую крицу клещами,st:furnace_run,,tl_smith_tongs,st:hot_bloom,обломки стенки горна,minutes,specialist,крица — рыхлый ком со шлаком и углём,B,src:kolchin1953-metallurgy;src:kolchin1959-iron,candidate
pc_bloomery_iron__s06,pc_bloomery_iron,6,"Уплотнить крицу ударами, выжимая шлак",st:hot_bloom,,tl_sledgehammer;tl_anvil,mt_bloom_iron,"брызги шлака, окалина",hours,specialist,распадается — слишком много шлака,B,src:kolchin1953-metallurgy;src:kolchin1959-iron,candidate
pc_smith_forging__s01,pc_smith_forging,1,"Разжечь горн, наладить дутьё, просушить уголь",mt_charcoal,,tl_forge_hearth;tl_bellows,st:working_fire,"дым, зола",hour,trained,влажный уголь дымит и не даёт жара,A,src:kolchin1959-iron;src:kolchin1957-city,candidate
pc_smith_forging__s02,pc_smith_forging,2,Нагреть железную заготовку до ковочного жара,st:working_fire,mt_iron,tl_smith_tongs,st:hot_stock,окалина,minutes,trained,белое искрение — пережог,A,src:kolchin1959-iron;src:kolchin1957-city,candidate
pc_smith_forging__s03,pc_smith_forging,3,"Оттянуть, осадить, согнуть заготовку на наковальне, повторяя нагревы",st:hot_stock,,tl_anvil;tl_smith_hammer;tl_sledgehammer,st:rough_form,окалина,hours,trained,трещина на остывшем металле; заковы,A,src:kolchin1959-iron;src:kolchin1957-city,candidate
pc_smith_forging__s04,pc_smith_forging,4,Пробить отверстия и отрубить лишнее,st:rough_form,,tl_punch;tl_smith_chisel,st:shaped_object,обсечки,minutes,trained,смятые края отверстий,A,src:kolchin1959-iron;src:kolchin1957-city,candidate
pc_smith_forging__s05,pc_smith_forging,5,Выправить и остудить на воздухе или в воде,st:shaped_object,mt_water,tl_quench_tub,pr:forged_iron_object,,minutes,trained,поводка после остывания,A,src:kolchin1959-iron;src:kolchin1957-city,candidate
pc_welded_steel_edge__s01,pc_welded_steel_edge,1,"Отковать железную основу (обух, тело) с пазом или площадкой под сталь",mt_iron,mt_charcoal,tl_forge_hearth;tl_anvil;tl_smith_hammer;tl_smith_tongs,st:iron_body,окалина,hours,master,,A,src:kolchin1959-iron;src:kolchin1957-city,candidate
pc_welded_steel_edge__s02,pc_welded_steel_edge,2,Подготовить стальную полосу и вложить её в паз или наложить на край,st:iron_body,mt_steel,tl_smith_chisel;tl_smith_tongs,st:assembled_blank,обсечки,minutes,master,зазоры между полосами,A,src:kolchin1959-iron;src:kolchin1957-city,candidate
pc_welded_steel_edge__s03,pc_welded_steel_edge,3,Нагреть до сварочного жара с флюсом-песком и сварить ударами,st:assembled_blank,mt_quartz_sand,tl_forge_hearth;tl_bellows;tl_smith_hammer,st:welded_blank,"шлак, искры",hour,master,несварившийся шов виден как тёмная линия,A,src:kolchin1959-iron;src:kolchin1957-city,candidate
