id,slug,title,summary,game_use,limits,status,confidence,sources,audit_notes,created_at,updated_at
none,none,Без зависимости,Без зависимости,Canonical без зависимости reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
household_dependency,household_dependency,Зависимость от двора,Зависимость от двора,Canonical зависимость от двора reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
debt_dependency,debt_dependency,Долговая зависимость,Долговая зависимость,Canonical долговая зависимость reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
lord_dependency,lord_dependency,Зависимость от господина,Зависимость от господина,Canonical зависимость от господина reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
monastery_dependency,monastery_dependency,Монастырская зависимость,Монастырская зависимость,Canonical монастырская зависимость reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
office_service,office_service,Служебная должность,Служебная должность,Canonical служебная должность reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
military_service,military_service,Военная служба,Военная служба,Canonical военная служба reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
merchant_house_service,merchant_house_service,Служба у купца,Служба у купца,Canonical служба у купца reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
kin_guardianship,kin_guardianship,Родовая опека,Родовая опека,Canonical родовая опека reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
no_local_guarantor,no_local_guarantor,Нет местного поручителя,Нет местного поручителя,Canonical нет местного поручителя reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
owner_control,owner_control,Контроль владельца,Контроль владельца,Canonical контроль владельца reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
captor_control,captor_control,Контроль пленителя,Контроль пленителя,Canonical контроль пленителя reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
monastic_rule,monastic_rule,Монастырский устав,Монастырский устав,Canonical монастырский устав reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
creditor_pressure,creditor_pressure,Давление кредитора,Давление кредитора,Canonical давление кредитора reference.,Do not invent regional variants without social_position_archetype mapping.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
