fa_id,name_ru,name_ru_alt,name_lat,name_en,class,order,group,category_ref,scope,region_scope,base_frequency_class,base_frequency_basis,presence_1230_confidence,historical_evidence,migration_winter,migration_spring,migration_summer,migration_autumn,mass_passage,activity_time,voice_description,audible_seasons,nesting,game_value,falconry_relevance,products,habitats,panteleev_2001_listed,petrov_1885_priilmenye,malchevsky_page,malchevsky_status_flags,malchevsky_heading_check,wk_refs,source_refs,confidence,notes,status
fa_b_black_throated_loon,Чернозобая гагара,,Gavia arctica,Black-throated loon,Aves,Gaviiformes,waterbird,fauna.bird.waterbird.black_throated_loon,universal_taxon,novgorod_land,rare,Malchevsky head abundance flags: common; note: Was common before 1960s (Malchevsky),B,,absent,breeding,breeding,breeding,false,diurnal,"протяжный стонущий вой и «гаканье» над озером, особенно в светлые вечера",spring;summer;autumn,на кочке у самой воды лесного озера,low,none,feathers;skin,"lake:c,river:m",true,true,https://zoomet.ru/mal/malchevski_2.html,breeding|passage|irruptive,Gavia Arctica,,SRC_PANT2001;SRC_MALPUK1983,B,Was common before 1960s (Malchevsky),candidate
fa_b_great_crested_grebe,Чомга,большая поганка,Podiceps cristatus,Great crested grebe,Aves,Podicipediformes,waterbird,fauna.bird.waterbird.great_crested_grebe,universal_taxon,novgorod_land,contextual,Malchevsky head abundance flags: n/a; note: Northern range expanded in XX c. (Malchevsky) -> C for 1230,C,,absent,breeding,breeding,breeding,false,diurnal,"гортанное «кра-кра», весной — брачные игры с криками",spring;summer;autumn,плавучее гнездо в тростнике,low,none,feathers,"lake:c,river:m",true,true,https://zoomet.ru/mal/malchevski_7.html,breeding,Podiceps Cristatus,,SRC_PANT2001;SRC_MALPUK1983,B,Northern range expanded in XX c. (Malchevsky) -> C for 1230,candidate
fa_b_bittern,Большая выпь,"выпь, бугай (народн.)",Botaurus stellaris,Eurasian bittern,Aves,Pelecaniformes,heron,fauna.bird.heron.bittern,universal_taxon,novgorod_land,contextual,Malchevsky head abundance flags: common|rare; note: Was common «по всем большим камышам» c.1900 (Malchevsky); heard more than seen,B,,absent,breeding,breeding,breeding,false,crepuscular,"глухое низкое «у-бу» — как рёв быка или гул в бочку, слышен за километры в весенние сумерки",spring;summer;autumn,в густом тростнике на заломах,low,none,feathers,"lake:c,stream:c,flood:m,bog:m",true,true,https://zoomet.ru/mal/malchevski_9.html,breeding|passage,Botaurus Stellaris,,SRC_PANT2001;SRC_MALPUK1983,B,Was common «по всем большим камышам» c.1900 (Malchevsky); heard more than seen,candidate
fa_b_grey_heron,Серая цапля,"цапля, чапля",Ardea cinerea,Grey heron,Aves,Pelecaniformes,heron,fauna.bird.heron.grey_heron,universal_taxon,novgorod_land,contextual,Malchevsky head abundance flags: common; note: Classic quarry of falconry in Europe (general); Novgorod-specific evidence not read,B,,absent,breeding,breeding,breeding,false,diurnal,резкое хриплое «краак» на лету,spring;summer;autumn,колонии на высоких деревьях у воды,medium,quarry,feathers;meat,"bank:c,lake:c,stream:c,flood:c,river:m,ferry:m",true,true,https://zoomet.ru/mal/malchevski_11.html,breeding,Ardea Cinerea,,SRC_PANT2001;SRC_MALPUK1983,B,Classic quarry of falconry in Europe (general); Novgorod-specific evidence not read,candidate
fa_b_black_stork,Чёрный аист,,Ciconia nigra,Black stork,Aves,Ciconiiformes,heron,fauna.bird.heron.black_stork,universal_taxon,novgorod_land,rare,Malchevsky head abundance flags: n/a; note: Always rare in NW (Malchevsky),B,,absent,breeding,breeding,breeding,false,diurnal,"обычно молчалив; у гнезда — шипение, свист, у птенцов — верещание и гогот",spring;summer;autumn,на старых деревьях в глухом лесу у ручьёв,none,none,,"mixed:c,stream:c,bog:m,flood:m",true,true,https://zoomet.ru/mal/malchevski_13.html,breeding,Ciconia Nigra,,SRC_PANT2001;SRC_MALPUK1983,B,Always rare in NW (Malchevsky),candidate
fa_b_common_crane,Серый журавль,журавль,Grus grus,Common crane,Aves,Gruiformes,crane,fauna.bird.crane.common_crane,universal_taxon,novgorod_land,common,Malchevsky head abundance flags: n/a; note: Nests on large undisturbed bogs almost everywhere in NW (Malchevsky),A,Журавль — среди основной дичи восточных славян X–XIII вв. (SRC_GOROBETS2017),absent,breeding,breeding,breeding,true,diurnal,трубное курлыканье клиньев в небе весной и осенью; на болоте на заре — громкий дуэт пары,spring;summer;autumn,на кочке среди мохового болота,high,quarry,meat;feathers,"bog:c,flood:c,field:m,hay:m,lake:m",true,true,https://zoomet.ru/mal/malchevski_69.html,breeding,Grus Grus,,SRC_PANT2001;SRC_MALPUK1983;SRC_GOROBETS2017,B,Nests on large undisturbed bogs almost everywhere in NW (Malchevsky),candidate
fa_b_corncrake,Коростель,дергач,Crex crex,Corn crake,Aves,Gruiformes,rail,fauna.bird.rail.corncrake,universal_taxon,novgorod_land,common,Malchevsky head abundance flags: common; note: Former mass meadow bird (Malchevsky); hay meadows of 1230 fit,B,,absent,breeding,breeding,breeding,false,crepuscular,сухое скрипучее «крэкс-крэкс» всю короткую ночь в траве,spring;summer,в высокой траве на земле,medium,none,meat,"hay:c,flood:c,field:c,margin:c,pasture:m",true,true,https://zoomet.ru/mal/malchevski_70.html,breeding|passage,Crex Crex,,SRC_PANT2001;SRC_MALPUK1983,B,Former mass meadow bird (Malchevsky); hay meadows of 1230 fit,candidate
fa_b_spotted_crake,Погоныш,,Porzana porzana,Spotted crake,Aves,Gruiformes,rail,fauna.bird.rail.spotted_crake,universal_taxon,novgorod_land,contextual,Malchevsky head abundance flags: common|scarce,B,,absent,breeding,breeding,breeding,false,nocturnal,"ночное ритмичное «уить-уить», похожее на свист хлыста или капель воды",spring;summer;autumn,в осоке на сырых лугах,low,none,,"flood:c,stream:c,lake:m,bog:m",true,true,https://zoomet.ru/mal/malchevski_71.html,breeding|passage,Porzana Porzana,,SRC_PANT2001;SRC_MALPUK1983,B,,candidate
fa_b_coot,Лысуха,,Fulica atra,Eurasian coot,Aves,Gruiformes,rail,fauna.bird.rail.coot,universal_taxon,novgorod_land,rare,Malchevsky head abundance flags: rare; note: Was rarer in XIX c. than now (Malchevsky) -> rare/C,C,,absent,breeding,breeding,breeding,false,diurnal,звонкое «пк!» и трескучие крики в тростниках,spring;summer;autumn,плавучее гнездо в тростнике,medium,none,meat,lake:c,true,true,https://zoomet.ru/mal/malchevski_74.html,breeding,Fulica Atra,,SRC_PANT2001;SRC_MALPUK1983,B,Was rarer in XIX c. than now (Malchevsky) -> rare/C,candidate
fa_b_whooper_swan,Лебедь-кликун,лебедь,Cygnus cygnus,Whooper swan,Aves,Anseriformes,waterfowl,fauna.bird.waterfowl.whooper_swan,universal_taxon,novgorod_land,contextual,Malchevsky head abundance flags: n/a; note: Now passage only; historically bred in NW (Malchevsky) — in 1230 may have bred on remote lakes (C),B,Лебеди — основная дичь восточных славян (SRC_GOROBETS2017),absent,passage,absent,passage,false,diurnal,"громкие трубные «клиг-клиг» стай, слышные издалека",spring;autumn,в XIX в. ещё гнездился (Свирь),high,quarry,meat;feathers;down,"lake:c,river:c,flood:c",true,true,https://zoomet.ru/mal/malchevski_15.html,breeding|passage,Cygnus Cygnus,,SRC_PANT2001;SRC_MALPUK1983;SRC_GOROBETS2017,B,Now passage only; historically bred in NW (Malchevsky) — in 1230 may have bred on remote lakes (C),candidate
