item_id,name_ru,category,subcategory,description_ru,who_used,social_scope,military_scope,period_from,period_to,materials,construction,dimensions,weight_if_known,wear_and_condition,historical_confidence,evidence_basis,source_ids,anachronism_risk,do_not_confuse_with,generation_policy
FOR0001,Ров раннего Детинца — неопределенное состояние к 1230,fortifications,ditch,"Оборонительное углубление перед линией укреплений; археология фиксирует разные этапы, а точный профиль и состояние в 1230 г. не полностью определены.",городская община и гарнизон,public military,fortification,1180,1260,"грунт, вода сезонно",земляная выемка; профиль зависит от этапа строительства,по конкретной находке/плану; универсальный размер не задаётся,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031""]",high,идеальный широкий водяной ров поздней крепости,reference_required
FOR0002,Деревянный переход через оборонительный ров,fortifications,ditch_crossing,"Деревянный переход через оборонительный ров. Функция: доступ к воротам через ров. Конструктивно: простой настил на балках/опорах; постоянный или снимаемый участок не определяется без конкретного контекста. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.",городская община и гарнизон,общественная инфраструктура,оборонительное,1180,1260,"брёвна, плахи, доски",простой настил на балках/опорах; постоянный или снимаемый участок не определяется без конкретного контекста,по ширине проезда,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031""]",высокий: нужен конкретный референс и явная маркировка реконструкции,поздним подъёмным мостом с цепями и противовесами,reference_required
FOR0003,Деревянные ворота Детинца — осторожная реконструкция,fortifications,gate,"Проезд в деревянной оборонительной линии, вероятно усиленный срубной конструкцией и створками; точная форма около 1230 не сохранилась.",городская община и гарнизон,public military,fortification,1180,1260,"дубовые/сосновые бревна, доски, железные скобы и запоры",срубной проезд с тяжелыми створками и верхней площадкой только в минимально необходимой форме,по конкретной находке/плану; универсальный размер не задаётся,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031""]",very_high,Спасская/Кокуй и другие кирпичные башни XV–XVII вв.; барбакан позднего Запада,reference_required
FOR0004,Деревянный засов крепостных/усадебных ворот,fortifications,gate_hardware,"Толстый горизонтальный брус, входящий в пазы/скобы и запирающий тяжелые створки.",городская община и гарнизон,public / household,fortification_support,1180,1260,"твердая древесина, железные скобы эпизодически",обработанный брус скользит в направляющих или закладывается за створки,по конкретной находке/плану; универсальный размер не задаётся,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031"",""SRC001""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
FOR0005,Опорный столб и пятник воротной створки,fortifications,gate_hardware,"Опорный столб и пятник воротной створки. Функция: восприятие веса деревянной воротной створки. Конструктивно: массивный столб с гнездом/пятником для деревянной оси либо железной навеской; конкретная форма по находке. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.",городская община и гарнизон,общественная инфраструктура,оборонительное,1180,1260,"бревно, дерево, железо локально",массивный столб с гнездом/пятником для деревянной оси либо железной навеской; конкретная форма по находке,строительный узел,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,фабричной дверной петлёй,safe_with_constraints
FOR0006,Деревянная створка крепостных ворот,fortifications,gate_leaf,"Деревянная створка крепостных ворот. Функция: закрытие проезда в оборонительной линии. Конструктивно: тяжёлое дощатое полотно на поперечных связях; навеска и запор из дерева с ограниченной железной фурнитурой. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.",городская община и гарнизон,общественная инфраструктура,оборонительное,1180,1260,"толстые доски, брусья, деревянные оси/железные петли и скобы",тяжёлое дощатое полотно на поперечных связях; навеска и запор из дерева с ограниченной железной фурнитурой,по ширине ворот; точные размеры неизвестны,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031""]",высокий: нужен конкретный референс и явная маркировка реконструкции,воротами каменного Кремля XV–XVII веков с гербовым декором,reference_required
FOR0007,Деревянный караульный навес у ворот,fortifications,guard_shelter,"Деревянный караульный навес у ворот. Функция: укрытие стражи и хранение простого дежурного имущества. Конструктивно: малый каркасный или срубный навес/будка, примыкающий к проходу; конкретный план реконструктивен. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.",городская община и гарнизон,общественная инфраструктура,оборонительное,1180,1260,"брёвна, жерди, доски, кровельный материал","малый каркасный или срубный навес/будка, примыкающий к проходу; конкретный план реконструктивен",малое помещение или навес,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031""]",высокий: нужен конкретный референс и явная маркировка реконструкции,декоративной караульной будкой Нового времени,reference_required
FOR0008,Кирпичная стена Новгородского кремля конца XV века,fortifications,late_fortification,Существующие кирпичные стены и башни Кремля в основном относятся к концу XV в. и не являются обликом 1230 г.,городская община и гарнизон,public military,fortification,1480,1500,"кирпич, камень, известковый раствор",каменная/кирпичная крепостная стена с башнями,по конкретной находке/плану; универсальный размер не задаётся,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",D,Спорно. Хранится только как исследовательская гипотеза и не должно автоматически попадать в генерацию.,"[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031""]",certain,Детинец 1230 года,research_only
FOR0009,Поздняя каменная башня Новгородского кремля — запрещённый слой,fortifications,later_exclusion,"Поздняя каменная башня Новгородского кремля — запрещённый слой. Функция: хронологический ограничитель, а не объект мира 1230 года. Конструктивно: кирпичная/каменная башня существующего ансамбля относится к более поздним перестройкам и не переносится в 1230 год. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.",городская община и гарнизон,общественная инфраструктура,оборонительное,1400,1700,"кирпич, камень",кирпичная/каменная башня существующего ансамбля относится к более поздним перестройкам и не переносится в 1230 год,не применять,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",D,Спорно. Хранится только как исследовательская гипотеза и не должно автоматически попадать в генерацию.,"[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031"",""SRC004""]",критический: не использовать автоматически,с ранним деревянным Детинцем,research_only
FOR0010,Большой глиняный вал Детинца рубежа XIII–XIV вв.,fortifications,rampart,"Мощный вал близ современного контура Кремля, вероятно созданный не ранее второй половины XIII — рубежа XIII–XIV вв.",городская община и гарнизон,public military,fortification,1270,1320,"глина, грунт, деревянные лежни/остатки городен",грунтовая насыпь с армирующими деревянными горизонтами,по конкретной находке/плану; универсальный размер не задаётся,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",D,археологическая датировка позднее целевого 1230 года,"[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031""]",very_high,нормальное состояние Детинца в 1230 г.,research_only
